,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:34:07.176000,HAM,44,0 days 00:01:18.184000,1.0,1.0,,,,30.354,27.743,,0 days 00:33:39.482000,0 days 00:34:07.379000,297.0,238.0,191.0,297.0,False,SOFT,1.0,True,Mercedes,0 days 00:32:48.804000,2020-07-12 13:12:50.826,14,1.0,False,,False,False,78.184,
1,0 days 00:36:12.648000,HAM,44,0 days 00:02:05.472000,2.0,1.0,,,26.692,63.909,34.871,0 days 00:34:33.880000,0 days 00:35:37.789000,0 days 00:36:12.660000,147.0,154.0,202.0,134.0,True,SOFT,2.0,True,Mercedes,0 days 00:34:07.176000,2020-07-12 13:14:09.198,4,1.0,False,,False,False,125.472,125.47200000000001
2,0 days 00:38:00.248000,HAM,44,0 days 00:01:47.600000,3.0,1.0,,,27.534,46.844,33.222,0 days 00:36:40.194000,0 days 00:37:27.038000,0 days 00:38:00.260000,155.0,160.0,274.0,205.0,True,SOFT,3.0,True,Mercedes,0 days 00:36:12.648000,2020-07-12 13:16:14.670,41,1.0,False,,False,False,107.6,107.6
3,0 days 00:39:08.879000,HAM,44,0 days 00:01:08.631000,4.0,1.0,,,17.314,30.323,20.994,0 days 00:38:17.574000,0 days 00:38:47.897000,0 days 00:39:08.891000,297.0,234.0,274.0,293.0,True,SOFT,4.0,True,Mercedes,0 days 00:38:00.248000,2020-07-12 13:18:02.270,12,1.0,False,,False,True,68.631,68.631
4,0 days 00:40:17.847000,HAM,44,0 days 00:01:08.968000,5.0,1.0,,,17.367,30.667,20.934,0 days 00:39:26.258000,0 days 00:39:56.925000,0 days 00:40:17.859000,287.0,232.0,276.0,285.0,False,SOFT,5.0,True,Mercedes,0 days 00:39:08.879000,2020-07-12 13:19:10.901,1,1.0,False,,False,True,68.968,68.968
5,0 days 00:41:26.744000,HAM,44,0 days 00:01:08.897000,6.0,1.0,,,17.428,30.488,20.981,0 days 00:40:35.287000,0 days 00:41:05.775000,0 days 00:41:26.756000,288.0,234.0,274.0,289.0,False,SOFT,6.0,True,Mercedes,0 days 00:40:17.847000,2020-07-12 13:20:19.869,1,1.0,False,,False,True,68.897,68.89699999999999
6,0 days 00:42:35.354000,HAM,44,0 days 00:01:08.610000,7.0,1.0,,,17.317,30.404,20.889,0 days 00:41:44.073000,0 days 00:42:14.477000,0 days 00:42:35.366000,294.0,235.0,274.0,291.0,True,SOFT,7.0,True,Mercedes,0 days 00:41:26.744000,2020-07-12 13:21:28.766,1,1.0,False,,False,True,68.61,68.61
7,0 days 00:43:43.935000,HAM,44,0 days 00:01:08.581000,8.0,1.0,,,17.335,30.394,20.852,0 days 00:42:52.701000,0 days 00:43:23.095000,0 days 00:43:43.947000,295.0,235.0,274.0,290.0,True,SOFT,8.0,True,Mercedes,0 days 00:42:35.354000,2020-07-12 13:22:37.376,1,1.0,False,,False,True,68.581,68.581
8,0 days 00:44:52.780000,HAM,44,0 days 00:01:08.845000,9.0,1.0,,,17.244,30.775,20.826,0 days 00:44:01.191000,0 days 00:44:31.966000,0 days 00:44:52.792000,300.0,233.0,272.0,293.0,False,SOFT,9.0,True,Mercedes,0 days 00:43:43.935000,2020-07-12 13:23:45.957,1,1.0,False,,False,True,68.845,68.845
9,0 days 00:46:01.554000,HAM,44,0 days 00:01:08.774000,10.0,1.0,,,17.409,30.387,20.978,0 days 00:45:10.201000,0 days 00:45:40.588000,0 days 00:46:01.566000,295.0,235.0,273.0,291.0,False,SOFT,10.0,True,Mercedes,0 days 00:44:52.780000,2020-07-12 13:24:54.802,1,1.0,False,,False,True,68.774,68.774
10,0 days 00:47:10.566000,HAM,44,0 days 00:01:09.012000,11.0,1.0,,,17.388,30.757,20.867,0 days 00:46:18.954000,0 days 00:46:49.711000,0 days 00:47:10.578000,294.0,233.0,275.0,290.0,False,SOFT,11.0,True,Mercedes,0 days 00:46:01.554000,2020-07-12 13:26:03.576,1,1.0,False,,False,True,69.012,69.012
11,0 days 00:48:19.219000,HAM,44,0 days 00:01:08.653000,12.0,1.0,,,17.332,30.408,20.913,0 days 00:47:27.910000,0 days 00:47:58.318000,0 days 00:48:19.231000,290.0,234.0,274.0,289.0,False,SOFT,12.0,True,Mercedes,0 days 00:47:10.566000,2020-07-12 13:27:12.588,1,1.0,False,,False,True,68.653,68.653
