,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:34:52.538000,VER,33,0 days 00:01:35.298000,1.0,1.0,,,,37.475,25.546,,0 days 00:34:27.046000,0 days 00:34:52.658000,297.0,257.0,245.0,305.0,False,HARD,4.0,False,Red Bull Racing,0 days 00:33:17.072000,2020-08-09 13:13:17.118,12,3.0,False,,False,False,95.298,
1,0 days 00:36:24.506000,VER,33,0 days 00:01:31.968000,2.0,1.0,,,29.202,37.476,25.29,0 days 00:35:21.745000,0 days 00:35:59.221000,0 days 00:36:24.511000,287.0,258.0,248.0,305.0,True,HARD,5.0,False,Red Bull Racing,0 days 00:34:52.538000,2020-08-09 13:14:52.584,1,3.0,False,,False,True,91.968,91.96799999999999
2,0 days 00:37:56.478000,VER,33,0 days 00:01:31.972000,3.0,1.0,,,29.072,37.527,25.373,0 days 00:36:53.583000,0 days 00:37:31.110000,0 days 00:37:56.483000,289.0,259.0,247.0,304.0,False,HARD,6.0,False,Red Bull Racing,0 days 00:36:24.506000,2020-08-09 13:16:24.552,1,3.0,False,,False,True,91.972,91.97200000000001
3,0 days 00:39:28.603000,VER,33,0 days 00:01:32.125000,4.0,1.0,,,29.03,37.655,25.44,0 days 00:38:25.513000,0 days 00:39:03.168000,0 days 00:39:28.608000,,259.0,246.0,301.0,False,HARD,7.0,False,Red Bull Racing,0 days 00:37:56.478000,2020-08-09 13:17:56.524,1,3.0,False,,False,True,92.125,92.125
4,0 days 00:41:00.854000,VER,33,0 days 00:01:32.251000,5.0,1.0,,,29.169,37.646,25.436,0 days 00:39:57.777000,0 days 00:40:35.423000,0 days 00:41:00.859000,287.0,258.0,247.0,300.0,False,HARD,8.0,False,Red Bull Racing,0 days 00:39:28.603000,2020-08-09 13:19:28.649,1,3.0,False,,False,True,92.251,92.251
5,0 days 00:42:32.899000,VER,33,0 days 00:01:32.045000,6.0,1.0,,,29.02,37.444,25.581,0 days 00:41:29.879000,0 days 00:42:07.323000,0 days 00:42:32.904000,288.0,258.0,245.0,299.0,False,HARD,9.0,False,Red Bull Racing,0 days 00:41:00.854000,2020-08-09 13:21:00.900,1,3.0,False,,False,True,92.045,92.045
6,0 days 00:44:05.058000,VER,33,0 days 00:01:32.159000,7.0,1.0,,,29.235,37.506,25.418,0 days 00:43:02.139000,0 days 00:43:39.645000,0 days 00:44:05.063000,286.0,257.0,248.0,300.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:42:32.899000,2020-08-09 13:22:32.945,1,3.0,False,,False,True,92.159,92.15899999999999
7,0 days 00:45:37.228000,VER,33,0 days 00:01:32.170000,8.0,1.0,,,29.176,37.592,25.402,0 days 00:44:34.239000,0 days 00:45:11.831000,0 days 00:45:37.233000,288.0,259.0,248.0,304.0,False,HARD,11.0,False,Red Bull Racing,0 days 00:44:05.058000,2020-08-09 13:24:05.104,1,3.0,False,,False,True,92.17,92.17
8,0 days 00:47:09.677000,VER,33,0 days 00:01:32.449000,9.0,1.0,,,29.262,37.667,25.52,0 days 00:46:06.495000,0 days 00:46:44.162000,0 days 00:47:09.682000,287.0,259.0,249.0,301.0,False,HARD,12.0,False,Red Bull Racing,0 days 00:45:37.228000,2020-08-09 13:25:37.274,1,3.0,False,,False,True,92.449,92.449
9,0 days 00:48:42.037000,VER,33,0 days 00:01:32.360000,10.0,1.0,,,29.196,37.624,25.54,0 days 00:47:38.878000,0 days 00:48:16.502000,0 days 00:48:42.042000,292.0,260.0,248.0,304.0,False,HARD,13.0,False,Red Bull Racing,0 days 00:47:09.677000,2020-08-09 13:27:09.723,1,3.0,False,,False,True,92.36,92.36000000000001
10,0 days 00:50:14.597000,VER,33,0 days 00:01:32.560000,11.0,1.0,,,29.221,37.793,25.546,0 days 00:49:11.263000,0 days 00:49:49.056000,0 days 00:50:14.602000,305.0,259.0,246.0,305.0,False,HARD,14.0,False,Red Bull Racing,0 days 00:48:42.037000,2020-08-09 13:28:42.083,1,3.0,False,,False,True,92.56,92.56
11,0 days 00:51:47.539000,VER,33,0 days 00:01:32.942000,12.0,1.0,,,29.158,38.291,25.493,0 days 00:50:43.760000,0 days 00:51:22.051000,0 days 00:51:47.544000,319.0,253.0,248.0,318.0,False,HARD,15.0,False,Red Bull Racing,0 days 00:50:14.597000,2020-08-09 13:30:14.643,1,3.0,False,,False,True,92.942,92.942
