,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:34:43.329000,HAM,44,0 days 00:01:25.855000,1.0,1.0,,,,31.106,28.38,,0 days 00:34:14.980000,0 days 00:34:43.510000,268.0,257.0,274.0,276.0,False,SOFT,4.0,False,Mercedes,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,1.0,False,,False,False,85.855,
1,0 days 00:36:07.959000,HAM,44,0 days 00:01:24.630000,2.0,1.0,,,24.014,31.689,28.927,0 days 00:35:07.357000,0 days 00:35:39.046000,0 days 00:36:07.973000,261.0,253.0,274.0,294.0,True,SOFT,5.0,False,Mercedes,0 days 00:34:43.329000,2020-08-16 13:14:45.305,1,1.0,False,,False,True,84.63,84.63
2,0 days 00:37:32.996000,HAM,44,0 days 00:01:25.037000,3.0,1.0,,,24.077,31.973,28.987,0 days 00:36:32.050000,0 days 00:37:04.023000,0 days 00:37:33.010000,255.0,250.0,271.0,298.0,False,SOFT,6.0,False,Mercedes,0 days 00:36:07.959000,2020-08-16 13:16:09.935,1,1.0,False,,False,True,85.037,85.03699999999999
3,0 days 00:38:57.675000,HAM,44,0 days 00:01:24.679000,4.0,1.0,,,24.06,31.816,28.803,0 days 00:37:57.070000,0 days 00:38:28.886000,0 days 00:38:57.689000,262.0,266.0,271.0,294.0,False,SOFT,7.0,False,Mercedes,0 days 00:37:32.996000,2020-08-16 13:17:34.972,1,1.0,False,,False,True,84.679,84.679
4,0 days 00:40:22.045000,HAM,44,0 days 00:01:24.370000,5.0,1.0,,,23.997,31.721,28.652,0 days 00:39:21.686000,0 days 00:39:53.407000,0 days 00:40:22.059000,258.0,261.0,275.0,298.0,True,SOFT,8.0,False,Mercedes,0 days 00:38:57.675000,2020-08-16 13:18:59.651,1,1.0,False,,False,True,84.37,84.37
5,0 days 00:41:46.292000,HAM,44,0 days 00:01:24.247000,6.0,1.0,,,23.799,31.812,28.636,0 days 00:40:45.858000,0 days 00:41:17.670000,0 days 00:41:46.306000,257.0,261.0,274.0,295.0,True,SOFT,9.0,False,Mercedes,0 days 00:40:22.045000,2020-08-16 13:20:24.021,1,1.0,False,,False,True,84.247,84.247
6,0 days 00:43:10.570000,HAM,44,0 days 00:01:24.278000,7.0,1.0,,,24.077,31.551,28.65,0 days 00:42:10.383000,0 days 00:42:41.934000,0 days 00:43:10.584000,,247.0,275.0,294.0,False,SOFT,10.0,False,Mercedes,0 days 00:41:46.292000,2020-08-16 13:21:48.268,1,1.0,False,,False,True,84.278,84.27799999999999
7,0 days 00:44:34.678000,HAM,44,0 days 00:01:24.108000,8.0,1.0,,,23.849,31.654,28.605,0 days 00:43:34.433000,0 days 00:44:06.087000,0 days 00:44:34.692000,265.0,248.0,274.0,297.0,True,SOFT,11.0,False,Mercedes,0 days 00:43:10.570000,2020-08-16 13:23:12.546,1,1.0,False,,False,True,84.108,84.108
8,0 days 00:45:59.204000,HAM,44,0 days 00:01:24.526000,9.0,1.0,,,23.905,31.714,28.907,0 days 00:44:58.597000,0 days 00:45:30.311000,0 days 00:45:59.218000,256.0,256.0,275.0,296.0,False,SOFT,12.0,False,Mercedes,0 days 00:44:34.678000,2020-08-16 13:24:36.654,1,1.0,False,,False,True,84.526,84.526
9,0 days 00:47:22.822000,HAM,44,0 days 00:01:23.618000,10.0,1.0,,,23.701,31.405,28.512,0 days 00:46:22.919000,0 days 00:46:54.324000,0 days 00:47:22.836000,260.0,259.0,274.0,297.0,True,SOFT,13.0,False,Mercedes,0 days 00:45:59.204000,2020-08-16 13:26:01.180,1,1.0,False,,False,True,83.618,83.618
10,0 days 00:48:46.060000,HAM,44,0 days 00:01:23.238000,11.0,1.0,,,23.492,31.294,28.452,0 days 00:47:46.328000,0 days 00:48:17.622000,0 days 00:48:46.074000,266.0,259.0,276.0,298.0,True,SOFT,14.0,False,Mercedes,0 days 00:47:22.822000,2020-08-16 13:27:24.798,1,1.0,False,,False,True,83.238,83.238
11,0 days 00:50:09.127000,HAM,44,0 days 00:01:23.067000,12.0,1.0,,,23.397,31.17,28.5,0 days 00:49:09.471000,0 days 00:49:40.641000,0 days 00:50:09.141000,270.0,251.0,275.0,296.0,True,SOFT,15.0,False,Mercedes,0 days 00:48:46.060000,2020-08-16 13:28:48.036,1,1.0,False,,False,True,83.067,83.06700000000001
12,0 days 00:51:31.894000,HAM,44,0 days 00:01:22.767000,13.0,1.0,,,23.291,31.13,28.346,0 days 00:50:32.432000,0 days 00:51:03.562000,0 days 00:51:31.908000,274.0,263.0,275.0,298.0,True,SOFT,16.0,False,Mercedes,0 days 00:50:09.127000,2020-08-16 13:30:11.103,1,1.0,False,,False,True,82.767,82.767
13,0 days 00:52:55.091000,HAM,44,0 days 00:01:23.197000,14.0,1.0,,,23.554,31.171,28.472,0 days 00:51:55.462000,0 days 00:52:26.633000,0 days 00:52:55.105000,269.0,266.0,275.0,296.0,False,SOFT,17.0,False,Mercedes,0 days 00:51:31.894000,2020-08-16 13:31:33.870,1,1.0,False,,False,True,83.197,83.197
14,0 days 00:54:18.186000,HAM,44,0 days 00:01:23.095000,15.0,1.0,,,23.495,31.251,28.349,0 days 00:53:18.600000,0 days 00:53:49.851000,0 days 00:54:18.200000,266.0,261.0,275.0,297.0,False,SOFT,18.0,False,Mercedes,0 days 00:52:55.091000,2020-08-16 13:32:57.067,1,1.0,False,,False,True,83.095,83.095
15,0 days 00:55:41.402000,HAM,44,0 days 00:01:23.216000,16.0,1.0,,,23.417,31.301,28.498,0 days 00:54:41.617000,0 days 00:55:12.918000,0 days 00:55:41.416000,270.0,259.0,276.0,296.0,False,SOFT,19.0,False,Mercedes,0 days 00:54:18.186000,2020-08-16 13:34:20.162,1,1.0,False,,False,True,83.216,83.21600000000001
16,0 days 00:57:04.768000,HAM,44,0 days 00:01:23.366000,17.0,1.0,,,23.39,31.423,28.553,0 days 00:56:04.806000,0 days 00:56:36.229000,0 days 00:57:04.782000,265.0,266.0,275.0,299.0,False,SOFT,20.0,False,Mercedes,0 days 00:55:41.402000,2020-08-16 13:35:43.378,1,1.0,False,,False,True,83.366,83.366
17,0 days 00:58:28.174000,HAM,44,0 days 00:01:23.406000,18.0,1.0,,,23.392,31.342,28.672,0 days 00:57:28.174000,0 days 00:57:59.516000,0 days 00:58:28.188000,262.0,264.0,273.0,,False,SOFT,21.0,False,Mercedes,0 days 00:57:04.768000,2020-08-16 13:37:06.744,1,1.0,False,,False,True,83.406,83.40599999999999
18,0 days 00:59:51.679000,HAM,44,0 days 00:01:23.505000,19.0,1.0,,,23.467,31.359,28.679,0 days 00:58:51.655000,0 days 00:59:23.014000,0 days 00:59:51.693000,267.0,261.0,276.0,296.0,False,SOFT,22.0,False,Mercedes,0 days 00:58:28.174000,2020-08-16 13:38:30.150,1,1.0,False,,False,True,83.505,83.505
19,0 days 01:01:15.073000,HAM,44,0 days 00:01:23.394000,20.0,1.0,,,23.426,31.352,28.616,0 days 01:00:15.119000,0 days 01:00:46.471000,0 days 01:01:15.087000,269.0,264.0,275.0,299.0,False,SOFT,23.0,False,Mercedes,0 days 00:59:51.679000,2020-08-16 13:39:53.655,1,1.0,False,,False,True,83.394,83.394
20,0 days 01:02:38.483000,HAM,44,0 days 00:01:23.410000,21.0,1.0,,,23.46,31.275,28.675,0 days 01:01:38.547000,0 days 01:02:09.822000,0 days 01:02:38.497000,271.0,267.0,276.0,298.0,False,SOFT,24.0,False,Mercedes,0 days 01:01:15.073000,2020-08-16 13:41:17.049,1,1.0,False,,False,True,83.41,83.41
21,0 days 01:04:02.182000,HAM,44,0 days 00:01:23.699000,22.0,1.0,,,23.436,31.308,28.955,0 days 01:03:01.933000,0 days 01:03:33.241000,0 days 01:04:02.196000,275.0,270.0,275.0,301.0,False,SOFT,25.0,False,Mercedes,0 days 01:02:38.483000,2020-08-16 13:42:40.459,1,1.0,False,,False,True,83.699,83.699
22,0 days 01:05:29.357000,HAM,44,0 days 00:01:27.175000,23.0,1.0,,0 days 01:05:26.665000,23.429,31.253,32.493,0 days 01:04:25.625000,0 days 01:04:56.878000,0 days 01:05:29.371000,274.0,265.0,,302.0,False,SOFT,26.0,False,Mercedes,0 days 01:04:02.182000,2020-08-16 13:44:04.158,1,1.0,False,,False,False,87.175,87.17500000000001
23,0 days 01:07:13.395000,HAM,44,0 days 00:01:44.038000,24.0,2.0,0 days 01:05:50.060000,,44.123,31.486,28.429,0 days 01:06:13.494000,0 days 01:06:44.980000,0 days 01:07:13.409000,254.0,260.0,272.0,251.0,False,MEDIUM,1.0,True,Mercedes,0 days 01:05:29.357000,2020-08-16 13:45:31.333,1,1.0,False,,False,False,104.038,104.038
24,0 days 01:08:37.240000,HAM,44,0 days 00:01:23.845000,25.0,2.0,,,23.775,31.362,28.708,0 days 01:07:37.184000,0 days 01:08:08.546000,0 days 01:08:37.254000,260.0,259.0,271.0,295.0,False,MEDIUM,2.0,True,Mercedes,0 days 01:07:13.395000,2020-08-16 13:47:15.371,1,1.0,False,,False,True,83.845,83.845
25,0 days 01:10:00.899000,HAM,44,0 days 00:01:23.659000,26.0,2.0,,,23.796,31.331,28.532,0 days 01:09:01.050000,0 days 01:09:32.381000,0 days 01:10:00.913000,264.0,261.0,273.0,294.0,False,MEDIUM,3.0,True,Mercedes,0 days 01:08:37.240000,2020-08-16 13:48:39.216,1,1.0,False,,False,True,83.659,83.65899999999999
26,0 days 01:11:24.569000,HAM,44,0 days 00:01:23.670000,27.0,2.0,,,23.757,31.309,28.604,0 days 01:10:24.670000,0 days 01:10:55.979000,0 days 01:11:24.583000,261.0,254.0,272.0,297.0,False,MEDIUM,4.0,True,Mercedes,0 days 01:10:00.899000,2020-08-16 13:50:02.875,1,1.0,False,,False,True,83.67,83.67
27,0 days 01:12:47.844000,HAM,44,0 days 00:01:23.275000,28.0,2.0,,,23.708,31.119,28.448,0 days 01:11:48.291000,0 days 01:12:19.410000,0 days 01:12:47.858000,265.0,256.0,272.0,296.0,False,MEDIUM,5.0,True,Mercedes,0 days 01:11:24.569000,2020-08-16 13:51:26.545,1,1.0,False,,False,True,83.275,83.275
28,0 days 01:14:11.532000,HAM,44,0 days 00:01:23.688000,29.0,2.0,,,23.746,31.427,28.515,0 days 01:13:11.604000,0 days 01:13:43.031000,0 days 01:14:11.546000,260.0,254.0,275.0,299.0,False,MEDIUM,6.0,True,Mercedes,0 days 01:12:47.844000,2020-08-16 13:52:49.820,1,1.0,False,,False,True,83.688,83.688
29,0 days 01:15:34.875000,HAM,44,0 days 00:01:23.343000,30.0,2.0,,,23.57,31.229,28.544,0 days 01:14:35.116000,0 days 01:15:06.345000,0 days 01:15:34.889000,259.0,258.0,274.0,298.0,False,MEDIUM,7.0,True,Mercedes,0 days 01:14:11.532000,2020-08-16 13:54:13.508,1,1.0,False,,False,True,83.343,83.343
30,0 days 01:16:57.882000,HAM,44,0 days 00:01:23.007000,31.0,2.0,,,23.58,31.016,28.411,0 days 01:15:58.469000,0 days 01:16:29.485000,0 days 01:16:57.896000,267.0,258.0,274.0,300.0,False,MEDIUM,8.0,True,Mercedes,0 days 01:15:34.875000,2020-08-16 13:55:36.851,1,1.0,False,,False,True,83.007,83.007
31,0 days 01:18:20.984000,HAM,44,0 days 00:01:23.102000,32.0,2.0,,,23.526,31.089,28.487,0 days 01:17:21.422000,0 days 01:17:52.511000,0 days 01:18:20.998000,268.0,264.0,274.0,,False,MEDIUM,9.0,True,Mercedes,0 days 01:16:57.882000,2020-08-16 13:56:59.858,1,1.0,False,,False,True,83.102,83.10199999999999
32,0 days 01:19:43.986000,HAM,44,0 days 00:01:23.002000,33.0,2.0,,,23.527,31.072,28.403,0 days 01:18:44.525000,0 days 01:19:15.597000,0 days 01:19:44,265.0,265.0,275.0,302.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:18:20.984000,2020-08-16 13:58:22.960,1,1.0,False,,False,True,83.002,83.00200000000001
33,0 days 01:21:06.644000,HAM,44,0 days 00:01:22.658000,34.0,2.0,,,23.467,30.76,28.431,0 days 01:20:07.467000,0 days 01:20:38.227000,0 days 01:21:06.658000,274.0,269.0,275.0,303.0,True,MEDIUM,11.0,True,Mercedes,0 days 01:19:43.986000,2020-08-16 13:59:45.962,1,1.0,False,,False,True,82.658,82.658
34,0 days 01:22:29.592000,HAM,44,0 days 00:01:22.948000,35.0,2.0,,,23.334,30.866,28.748,0 days 01:21:29.992000,0 days 01:22:00.858000,0 days 01:22:29.606000,268.0,263.0,285.0,304.0,False,MEDIUM,12.0,True,Mercedes,0 days 01:21:06.644000,2020-08-16 14:01:08.620,1,1.0,False,,False,True,82.948,82.94800000000001
35,0 days 01:23:52.032000,HAM,44,0 days 00:01:22.440000,36.0,2.0,,,22.739,31.087,28.614,0 days 01:22:52.345000,0 days 01:23:23.432000,0 days 01:23:52.046000,270.0,242.0,274.0,327.0,True,MEDIUM,13.0,True,Mercedes,0 days 01:22:29.592000,2020-08-16 14:02:31.568,1,1.0,False,,False,True,82.44,82.44
36,0 days 01:25:14.858000,HAM,44,0 days 00:01:22.826000,37.0,2.0,,,23.302,30.869,28.655,0 days 01:24:15.348000,0 days 01:24:46.217000,0 days 01:25:14.872000,271.0,262.0,277.0,301.0,False,MEDIUM,14.0,True,Mercedes,0 days 01:23:52.032000,2020-08-16 14:03:54.008,12,1.0,False,,False,True,82.826,82.826
37,0 days 01:26:37.360000,HAM,44,0 days 00:01:22.502000,38.0,2.0,,,23.45,30.892,28.16,0 days 01:25:38.322000,0 days 01:26:09.214000,0 days 01:26:37.374000,262.0,268.0,274.0,307.0,False,MEDIUM,15.0,True,Mercedes,0 days 01:25:14.858000,2020-08-16 14:05:16.834,21,1.0,False,,False,True,82.502,82.502
