,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
33,0 days 00:33:33.435000,27.7,40.2,991.2,False,44.5,253,0.9
35,0 days 00:35:33.425000,27.6,41.6,991.1,False,43.9,193,0.8
36,0 days 00:36:33.427000,27.8,39.7,991.2,False,44.0,170,0.6
38,0 days 00:38:33.428000,28.2,40.1,991.2,False,44.2,162,1.2
39,0 days 00:39:33.429000,28.3,39.7,991.1,False,45.0,161,1.8
41,0 days 00:41:33.431000,27.9,40.6,991.2,False,44.4,190,1.0
42,0 days 00:42:33.432000,28.1,40.5,991.0,False,44.3,166,2.1
44,0 days 00:44:33.435000,28.1,40.8,991.0,False,43.8,174,2.2
45,0 days 00:45:33.435000,28.3,40.3,991.0,False,43.6,176,1.4
46,0 days 00:46:33.435000,28.2,41.0,991.0,False,43.7,198,2.7
48,0 days 00:48:33.442000,28.5,39.4,990.9,False,43.7,154,3.1
49,0 days 00:49:33.453000,27.9,40.8,990.9,False,43.7,161,1.6
51,0 days 00:51:33.472000,27.9,40.7,990.9,False,43.8,163,1.2
52,0 days 00:52:33.489000,28.2,40.3,990.9,False,44.2,145,1.1
54,0 days 00:54:33.488000,28.3,40.4,990.8,False,43.8,165,2.6
55,0 days 00:55:33.489000,27.9,40.6,990.8,False,43.5,173,1.5
57,0 days 00:57:33.507000,27.8,41.3,990.7,False,43.6,145,2.1
58,0 days 00:58:33.523000,27.8,41.2,990.7,False,44.2,154,2.3
59,0 days 00:59:33.539000,28.0,40.9,990.7,False,43.9,162,2.4
61,0 days 01:01:33.543000,27.5,41.2,990.6,False,43.6,174,0.9
63,0 days 01:03:33.548000,27.9,40.7,990.6,False,43.6,152,2.2
65,0 days 01:05:33.549000,27.8,40.6,990.6,False,43.9,167,2.0
67,0 days 01:07:33.579000,27.7,41.4,990.6,False,43.9,173,1.0
69,0 days 01:09:33.580000,28.4,39.9,990.6,False,43.7,216,1.4
70,0 days 01:10:33.581000,28.5,40.2,990.6,False,43.9,161,1.3
72,0 days 01:12:33.582000,28.6,38.7,990.6,False,44.3,168,1.6
100,0 days 01:40:33.610000,28.0,40.7,990.5,False,37.4,154,1.9
103,0 days 01:43:33.612000,28.1,39.4,990.6,False,37.3,152,1.2
105,0 days 01:45:33.612000,28.1,39.5,990.6,False,36.9,0,0.7
107,0 days 01:47:33.614000,28.1,39.7,990.5,False,36.1,197,1.3
108,0 days 01:48:33.614000,28.4,40.1,990.4,False,36.2,183,1.8
