,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:35:12.305000,GAS,10,,1.0,1.0,,,,,,,,,,,,,False,SOFT,1.0,True,AlphaTauri,0 days 00:33:25.335000,2020-09-13 13:13:25.607,124,,False,,True,False,,
1,0 days 00:35:22.569000,PER,11,0 days 00:01:57.098000,1.0,1.0,,,,44.285,33.087,,0 days 00:34:49.548000,0 days 00:35:22.742000,249.0,221.0,276.0,257.0,False,SOFT,4.0,False,Racing Point,0 days 00:33:25.335000,2020-09-13 13:13:25.607,124,7.0,False,,False,False,117.098,
2,0 days 00:37:47.958000,PER,11,0 days 00:02:25.389000,2.0,1.0,,,56.326,42.781,46.282,0 days 00:36:18.935000,0 days 00:37:01.716000,0 days 00:37:47.998000,118.0,88.0,259.0,281.0,True,SOFT,5.0,False,Racing Point,0 days 00:35:22.569000,2020-09-13 13:15:22.841,4,7.0,False,,False,False,145.389,145.389
3,0 days 00:40:05.151000,PER,11,0 days 00:02:17.193000,3.0,1.0,,,53.834,37.805,45.554,0 days 00:38:41.832000,0 days 00:39:19.637000,0 days 00:40:05.191000,196.0,220.0,258.0,271.0,True,SOFT,6.0,False,Racing Point,0 days 00:37:47.958000,2020-09-13 13:17:48.230,4,7.0,False,,False,False,137.193,137.193
4,0 days 00:42:20.093000,PER,11,0 days 00:02:14.942000,4.0,1.0,,,50.119,38.756,46.067,0 days 00:40:55.310000,0 days 00:41:34.066000,0 days 00:42:20.133000,129.0,216.0,244.0,,True,SOFT,7.0,False,Racing Point,0 days 00:40:05.151000,2020-09-13 13:20:05.423,4,7.0,False,,False,False,134.942,134.942
5,0 days 00:44:32.695000,PER,11,0 days 00:02:12.602000,5.0,1.0,,,51.43,36.715,44.457,0 days 00:43:11.563000,0 days 00:43:48.278000,0 days 00:44:32.735000,211.0,233.0,236.0,264.0,True,SOFT,8.0,False,Racing Point,0 days 00:42:20.093000,2020-09-13 13:22:20.365,4,7.0,False,,False,False,132.602,132.602
6,0 days 00:46:50.055000,PER,11,0 days 00:02:17.360000,6.0,1.0,,,51.703,39.583,46.074,0 days 00:45:24.438000,0 days 00:46:04.021000,0 days 00:46:50.095000,136.0,130.0,235.0,255.0,False,SOFT,9.0,False,Racing Point,0 days 00:44:32.695000,2020-09-13 13:24:32.967,41,7.0,False,,False,False,137.36,137.36
7,0 days 00:48:59.480000,PER,11,0 days 00:02:09.425000,7.0,1.0,,0 days 00:48:44.613000,46.124,33.06,50.241,0 days 00:47:36.219000,0 days 00:48:09.279000,0 days 00:48:59.520000,139.0,210.0,,283.0,False,SOFT,10.0,False,Racing Point,0 days 00:46:50.055000,2020-09-13 13:26:50.327,124,7.0,False,,False,False,129.425,129.425
8,0 days 01:15:20.341000,PER,11,,8.0,2.0,0 days 00:49:02.228000,0 days 00:51:21.421000,51.944,41.94,,0 days 00:49:51.502000,0 days 00:50:33.400000,,118.0,174.0,,,False,SOFT,11.0,False,Racing Point,0 days 00:48:59.480000,2020-09-13 13:28:59.752,451,8.0,False,,False,False,,
9,0 days 01:18:36.935000,PER,11,,9.0,3.0,0 days 01:15:22.970000,,53.921,47.486,95.309,0 days 01:16:14.499000,0 days 01:17:03.558000,0 days 01:18:37.167000,62.0,234.0,159.0,,False,SOFT,4.0,False,Racing Point,0 days 01:15:00.042000,2020-09-13 13:55:00.314,1,7.0,False,,False,False,,196.716
10,0 days 01:20:04.461000,PER,11,0 days 00:01:27.526000,10.0,3.0,,,34.036,23.708,29.782,0 days 01:19:11.011000,0 days 01:19:34.719000,0 days 01:20:04.501000,261.0,248.0,296.0,260.0,True,SOFT,5.0,False,Racing Point,0 days 01:18:36.935000,2020-09-13 13:58:37.207,1,5.0,False,,False,True,87.526,87.526
