,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
33,0 days 00:33:54.391000,30.1,38.9,993.6,False,45.5,31,2.0
33,0 days 00:33:54.391000,30.1,38.9,993.6,False,45.5,31,2.0
35,0 days 00:35:54.409000,30.3,39.4,993.6,False,45.5,355,3.4
37,0 days 00:37:54.410000,30.1,39.3,993.6,False,45.2,346,3.0
40,0 days 00:40:54.415000,30.1,39.5,993.6,False,45.3,1,2.7
42,0 days 00:42:54.416000,30.3,39.1,993.6,False,45.3,351,2.3
44,0 days 00:44:54.435000,30.4,38.1,993.6,False,45.2,348,2.3
46,0 days 00:46:54.466000,30.3,38.9,993.6,False,45.1,347,2.0
49,0 days 00:49:54.483000,30.4,38.2,993.5,False,45.5,333,2.4
75,0 days 01:15:54.571000,30.1,39.6,993.5,False,43.9,351,4.4
78,0 days 01:18:54.575000,30.1,40.4,993.6,False,44.1,11,3.3
80,0 days 01:20:54.575000,30.1,41.0,993.6,False,43.6,16,3.8
81,0 days 01:21:54.592000,30.1,40.2,993.7,False,43.6,26,2.4
82,0 days 01:22:54.608000,30.3,40.3,993.7,False,43.9,14,2.3
84,0 days 01:24:54.626000,30.0,40.4,993.6,False,43.8,14,2.3
85,0 days 01:25:54.651000,30.1,40.4,993.6,False,43.4,38,1.9
87,0 days 01:27:54.626000,30.1,40.8,993.6,False,43.5,16,1.6
88,0 days 01:28:54.628000,30.4,40.0,993.5,False,44.3,26,2.8
89,0 days 01:29:54.627000,30.2,39.7,993.5,False,44.3,51,2.7
91,0 days 01:31:54.632000,30.2,39.9,993.6,False,43.7,324,1.4
92,0 days 01:32:54.633000,30.3,40.1,993.7,False,44.0,9,1.8
94,0 days 01:34:54.651000,30.4,40.0,993.6,False,43.7,23,3.2
95,0 days 01:35:54.668000,30.4,39.5,993.6,False,43.6,47,1.2
97,0 days 01:37:54.672000,30.5,39.8,993.6,False,43.6,25,2.1
98,0 days 01:38:54.672000,30.4,40.0,993.6,False,43.0,23,2.8
99,0 days 01:39:54.688000,30.3,40.5,993.6,False,43.0,7,2.3
101,0 days 01:41:55.940000,30.4,39.8,993.6,False,43.3,19,2.6
102,0 days 01:42:54.729000,30.3,40.2,993.6,False,43.0,29,3.4
104,0 days 01:44:54.719000,30.0,40.3,993.4,False,42.8,9,3.8
105,0 days 01:45:54.724000,29.9,40.8,993.6,False,42.3,16,3.1
107,0 days 01:47:54.731000,30.0,40.3,993.6,False,42.6,25,3.6
108,0 days 01:48:54.722000,29.9,40.8,993.6,False,42.2,9,2.6
110,0 days 01:50:54.730000,30.2,40.6,993.5,False,42.5,17,2.0
111,0 days 01:51:54.729000,30.3,39.7,993.7,False,42.5,4,1.8
112,0 days 01:52:54.763000,30.2,40.4,993.6,False,42.5,22,2.3
