,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:35:42.193000,BOT,77,0 days 00:02:08.585000,1.0,1.0,,,,49.588,41.037,,0 days 00:35:01.191000,0 days 00:35:42.313000,250.0,165.0,97.0,313.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:33.451000,2020-09-27 11:13:33.505,124,2.0,False,,False,False,128.585,
1,0 days 00:38:49.070000,BOT,77,,2.0,1.0,,,87.574,52.269,47.027,0 days 00:37:09.809000,0 days 00:38:02.079000,0 days 00:38:49.206000,132.0,185.0,123.0,108.0,False,MEDIUM,5.0,False,Mercedes,0 days 00:35:42.193000,2020-09-27 11:15:42.247,4,2.0,False,,False,False,,186.87
2,0 days 00:41:41.309000,BOT,77,,3.0,1.0,,,70.875,57.114,44.258,0 days 00:39:59.984000,0 days 00:40:57.086000,0 days 00:41:41.483000,138.0,115.0,93.0,118.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:38:49.070000,2020-09-27 11:18:49.124,4,2.0,False,,False,False,,172.247
3,0 days 00:44:33.818000,BOT,77,,4.0,1.0,,,69.062,56.883,46.561,0 days 00:42:50.413000,0 days 00:43:47.292000,0 days 00:44:33.981000,121.0,102.0,113.0,179.0,False,MEDIUM,7.0,False,Mercedes,0 days 00:41:41.309000,2020-09-27 11:21:41.363,4,2.0,False,,False,False,,172.506
4,0 days 00:47:26.503000,BOT,77,,5.0,1.0,,,63.448,57.625,51.619,0 days 00:45:37.316000,0 days 00:46:34.946000,0 days 00:47:26.664000,136.0,115.0,164.0,155.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:44:33.818000,2020-09-27 11:24:33.872,41,2.0,False,,False,False,,172.692
5,0 days 00:49:07.205000,BOT,77,0 days 00:01:40.702000,6.0,1.0,,,35.87,34.884,29.948,0 days 00:48:02.408000,0 days 00:48:37.292000,0 days 00:49:07.240000,249.0,305.0,161.0,308.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:47:26.503000,2020-09-27 11:27:26.557,1,2.0,False,,False,True,100.702,100.702
6,0 days 00:50:48.685000,BOT,77,0 days 00:01:41.480000,7.0,1.0,,,36.081,35.157,30.242,0 days 00:49:43.321000,0 days 00:50:18.478000,0 days 00:50:48.720000,251.0,301.0,157.0,299.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:49:07.205000,2020-09-27 11:29:07.259,1,2.0,False,,False,True,101.48,101.48
7,0 days 00:52:29.864000,BOT,77,0 days 00:01:41.179000,8.0,1.0,,,35.857,35.041,30.281,0 days 00:51:24.577000,0 days 00:51:59.618000,0 days 00:52:29.899000,254.0,299.0,162.0,302.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:50:48.685000,2020-09-27 11:30:48.739,1,2.0,False,,False,True,101.179,101.179
8,0 days 00:54:11.205000,BOT,77,0 days 00:01:41.341000,9.0,1.0,,,36.06,35.108,30.173,0 days 00:53:05.959000,0 days 00:53:41.067000,0 days 00:54:11.240000,250.0,301.0,159.0,295.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:52:29.864000,2020-09-27 11:32:29.918,1,2.0,False,,False,True,101.341,101.34100000000001
9,0 days 00:55:52.636000,BOT,77,0 days 00:01:41.431000,10.0,1.0,,,36.018,35.105,30.308,0 days 00:54:47.258000,0 days 00:55:22.363000,0 days 00:55:52.671000,251.0,300.0,159.0,,False,MEDIUM,13.0,False,Mercedes,0 days 00:54:11.205000,2020-09-27 11:34:11.259,1,2.0,False,,False,True,101.431,101.43099999999998
10,0 days 00:57:33.873000,BOT,77,0 days 00:01:41.237000,11.0,1.0,,,35.939,35.076,30.222,0 days 00:56:28.610000,0 days 00:57:03.686000,0 days 00:57:33.908000,,302.0,162.0,299.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:55:52.636000,2020-09-27 11:35:52.690,1,2.0,False,,False,True,101.237,101.237
11,0 days 00:59:15.106000,BOT,77,0 days 00:01:41.233000,12.0,1.0,,,35.981,35.288,29.964,0 days 00:58:09.889000,0 days 00:58:45.177000,0 days 00:59:15.141000,255.0,302.0,163.0,,False,MEDIUM,15.0,False,Mercedes,0 days 00:57:33.873000,2020-09-27 11:37:33.927,1,2.0,False,,False,True,101.233,101.233
12,0 days 01:00:56.150000,BOT,77,0 days 00:01:41.044000,13.0,1.0,,,35.757,35.139,30.148,0 days 00:59:50.898000,0 days 01:00:26.037000,0 days 01:00:56.185000,253.0,301.0,161.0,303.0,False,MEDIUM,16.0,False,Mercedes,0 days 00:59:15.106000,2020-09-27 11:39:15.160,1,2.0,False,,False,True,101.044,101.044
13,0 days 01:02:36.457000,BOT,77,0 days 00:01:40.307000,14.0,1.0,,,35.642,34.768,29.897,0 days 01:01:31.827000,0 days 01:02:06.595000,0 days 01:02:36.492000,255.0,301.0,162.0,301.0,True,MEDIUM,17.0,False,Mercedes,0 days 01:00:56.150000,2020-09-27 11:40:56.204,1,2.0,False,,False,True,100.307,100.30699999999999
