,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:34:48.162000,HAM,44,0 days 00:01:38.260000,1.0,1.0,,,,39.888,30.581,,0 days 00:34:17.735000,0 days 00:34:48.359000,262.0,150.0,294.0,231.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:33:09.808000,2020-10-25 13:13:10.885,12,3.0,False,,False,False,98.26,
1,0 days 00:36:13.906000,HAM,44,0 days 00:01:25.744000,2.0,1.0,,,25.711,33.101,26.932,0 days 00:35:13.914000,0 days 00:35:47.015000,0 days 00:36:13.947000,268.0,183.0,296.0,305.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:34:48.162000,2020-10-25 13:14:49.239,1,3.0,False,,False,True,85.744,85.744
2,0 days 00:37:37.722000,HAM,44,0 days 00:01:23.816000,3.0,1.0,,,24.412,32.576,26.828,0 days 00:36:38.359000,0 days 00:37:10.935000,0 days 00:37:37.763000,270.0,185.0,303.0,310.0,True,MEDIUM,8.0,False,Mercedes,0 days 00:36:13.906000,2020-10-25 13:16:14.983,1,3.0,False,,False,True,83.816,83.816
3,0 days 00:39:00.948000,HAM,44,0 days 00:01:23.226000,4.0,1.0,,,24.092,32.324,26.81,0 days 00:38:01.855000,0 days 00:38:34.179000,0 days 00:39:00.989000,268.0,182.0,306.0,316.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:37:37.722000,2020-10-25 13:17:38.799,1,3.0,False,,False,True,83.226,83.226
4,0 days 00:40:23.944000,HAM,44,0 days 00:01:22.996000,5.0,1.0,,,24.205,32.114,26.677,0 days 00:39:25.194000,0 days 00:39:57.308000,0 days 00:40:23.985000,269.0,187.0,310.0,,True,MEDIUM,10.0,False,Mercedes,0 days 00:39:00.948000,2020-10-25 13:19:02.025,1,3.0,False,,False,True,82.996,82.996
5,0 days 00:41:47.886000,HAM,44,0 days 00:01:23.942000,6.0,1.0,,,24.647,32.216,27.079,0 days 00:40:48.632000,0 days 00:41:20.848000,0 days 00:41:47.927000,273.0,184.0,316.0,321.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:40:23.944000,2020-10-25 13:20:25.021,1,3.0,False,,False,True,83.942,83.94200000000001
6,0 days 00:43:09.926000,HAM,44,0 days 00:01:22.040000,7.0,1.0,,,23.681,31.641,26.718,0 days 00:42:11.608000,0 days 00:42:43.249000,0 days 00:43:09.967000,262.0,190.0,293.0,323.0,True,MEDIUM,12.0,False,Mercedes,0 days 00:41:47.886000,2020-10-25 13:21:48.963,1,2.0,False,,False,True,82.04,82.04
7,0 days 00:44:31.748000,HAM,44,0 days 00:01:21.822000,8.0,1.0,,,24.117,31.364,26.341,0 days 00:43:34.084000,0 days 00:44:05.448000,0 days 00:44:31.789000,265.0,190.0,294.0,294.0,True,MEDIUM,13.0,False,Mercedes,0 days 00:43:09.926000,2020-10-25 13:23:11.003,1,2.0,False,,False,True,81.822,81.822
8,0 days 00:45:53.540000,HAM,44,0 days 00:01:21.792000,9.0,1.0,,,23.792,31.408,26.592,0 days 00:44:55.581000,0 days 00:45:26.989000,0 days 00:45:53.581000,267.0,189.0,294.0,292.0,True,MEDIUM,14.0,False,Mercedes,0 days 00:44:31.748000,2020-10-25 13:24:32.825,1,2.0,False,,False,True,81.792,81.792
9,0 days 00:47:15.581000,HAM,44,0 days 00:01:22.041000,10.0,1.0,,,23.952,31.527,26.562,0 days 00:46:17.533000,0 days 00:46:49.060000,0 days 00:47:15.622000,265.0,186.0,293.0,296.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:45:53.540000,2020-10-25 13:25:54.617,1,2.0,False,,False,True,82.041,82.041
10,0 days 00:48:37.533000,HAM,44,0 days 00:01:21.952000,11.0,1.0,,,23.786,31.495,26.671,0 days 00:47:39.408000,0 days 00:48:10.903000,0 days 00:48:37.574000,,186.0,295.0,,False,MEDIUM,16.0,False,Mercedes,0 days 00:47:15.581000,2020-10-25 13:27:16.658,1,2.0,False,,False,True,81.952,81.952
11,0 days 00:49:59.473000,HAM,44,0 days 00:01:21.940000,12.0,1.0,,,23.763,31.548,26.629,0 days 00:49:01.337000,0 days 00:49:32.885000,0 days 00:49:59.514000,267.0,188.0,295.0,298.0,False,MEDIUM,17.0,False,Mercedes,0 days 00:48:37.533000,2020-10-25 13:28:38.610,1,2.0,False,,False,True,81.94,81.94
12,0 days 00:51:21.602000,HAM,44,0 days 00:01:22.129000,13.0,1.0,,,23.747,31.76,26.622,0 days 00:50:23.261000,0 days 00:50:55.021000,0 days 00:51:21.643000,263.0,186.0,294.0,,False,MEDIUM,18.0,False,Mercedes,0 days 00:49:59.473000,2020-10-25 13:30:00.550,1,2.0,False,,False,True,82.129,82.129
13,0 days 00:52:43.358000,HAM,44,0 days 00:01:21.756000,14.0,1.0,,,23.747,31.474,26.535,,0 days 00:52:16.864000,0 days 00:52:43.399000,266.0,186.0,294.0,293.0,True,MEDIUM,19.0,False,Mercedes,0 days 00:51:21.602000,2020-10-25 13:31:22.679,1,2.0,False,,False,True,81.756,81.756
14,0 days 00:54:04.779000,HAM,44,0 days 00:01:21.421000,15.0,1.0,,,23.598,31.404,26.419,0 days 00:53:06.997000,0 days 00:53:38.401000,0 days 00:54:04.820000,270.0,192.0,294.0,296.0,True,MEDIUM,20.0,False,Mercedes,0 days 00:52:43.358000,2020-10-25 13:32:44.435,1,2.0,False,,False,True,81.421,81.42099999999999
15,0 days 00:55:26.145000,HAM,44,0 days 00:01:21.366000,16.0,1.0,,,23.536,31.292,26.538,0 days 00:54:28.356000,0 days 00:54:59.648000,0 days 00:55:26.186000,,192.0,294.0,298.0,True,MEDIUM,21.0,False,Mercedes,0 days 00:54:04.779000,2020-10-25 13:34:05.856,1,2.0,False,,False,True,81.366,81.366
16,0 days 00:56:47.462000,HAM,44,0 days 00:01:21.317000,17.0,1.0,,,23.428,31.452,26.437,0 days 00:55:49.614000,0 days 00:56:21.066000,0 days 00:56:47.503000,268.0,191.0,294.0,299.0,True,MEDIUM,22.0,False,Mercedes,0 days 00:55:26.145000,2020-10-25 13:35:27.222,1,2.0,False,,False,True,81.317,81.31700000000001
