,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:35:47.424000,GAS,10,0 days 00:02:20.954000,1.0,1.0,,,,48.465,33.649,,0 days 00:35:13.839000,0 days 00:35:47.574000,177.0,260.0,194.0,192.0,False,WET,5.0,False,AlphaTauri,0 days 00:33:26.325000,2020-11-15 10:13:26.827,12,13.0,False,,False,False,140.954,
1,0 days 00:37:52.087000,GAS,10,0 days 00:02:04.663000,2.0,1.0,,,47.278,45.312,32.073,0 days 00:36:34.707000,0 days 00:37:20.019000,0 days 00:37:52.092000,212.0,265.0,198.0,206.0,True,WET,6.0,False,AlphaTauri,0 days 00:35:47.424000,2020-11-15 10:15:47.926,21,13.0,False,,False,True,124.663,124.66300000000001
2,0 days 00:39:53.488000,GAS,10,0 days 00:02:01.401000,3.0,1.0,,,45.688,44.278,31.435,0 days 00:38:37.780000,0 days 00:39:22.058000,0 days 00:39:53.493000,206.0,265.0,206.0,209.0,True,WET,7.0,False,AlphaTauri,0 days 00:37:52.087000,2020-11-15 10:17:52.589,1,13.0,False,,False,True,121.401,121.40100000000001
3,0 days 00:41:53.621000,GAS,10,0 days 00:02:00.133000,4.0,1.0,,,44.989,43.432,31.712,0 days 00:40:38.482000,0 days 00:41:21.914000,0 days 00:41:53.626000,216.0,268.0,204.0,197.0,True,WET,8.0,False,AlphaTauri,0 days 00:39:53.488000,2020-11-15 10:19:53.990,1,13.0,False,,False,True,120.133,120.133
4,0 days 00:43:51.906000,GAS,10,0 days 00:01:58.285000,5.0,1.0,,,44.292,42.664,31.329,0 days 00:42:37.918000,0 days 00:43:20.582000,0 days 00:43:51.911000,219.0,268.0,210.0,205.0,True,WET,9.0,False,AlphaTauri,0 days 00:41:53.621000,2020-11-15 10:21:54.123,1,13.0,False,,False,True,118.285,118.285
5,0 days 00:45:48.693000,GAS,10,0 days 00:01:56.787000,6.0,1.0,,,43.847,41.88,31.06,0 days 00:44:35.758000,0 days 00:45:17.638000,0 days 00:45:48.698000,227.0,271.0,209.0,220.0,True,WET,10.0,False,AlphaTauri,0 days 00:43:51.906000,2020-11-15 10:23:52.408,1,13.0,False,,False,True,116.787,116.787
6,0 days 00:47:44.833000,GAS,10,0 days 00:01:56.140000,7.0,1.0,,,43.666,41.42,31.054,0 days 00:46:32.364000,0 days 00:47:13.784000,0 days 00:47:44.838000,226.0,270.0,213.0,232.0,True,WET,11.0,False,AlphaTauri,0 days 00:45:48.693000,2020-11-15 10:25:49.195,1,13.0,False,,False,True,116.14,116.14
7,0 days 00:49:41.749000,GAS,10,0 days 00:01:56.916000,8.0,1.0,,,43.239,41.881,31.796,0 days 00:48:28.077000,0 days 00:49:09.958000,0 days 00:49:41.754000,212.0,273.0,211.0,237.0,False,WET,12.0,False,AlphaTauri,0 days 00:47:44.833000,2020-11-15 10:27:45.335,1,12.0,False,,False,True,116.916,116.916
8,0 days 00:51:34.504000,GAS,10,0 days 00:01:52.755000,9.0,1.0,,,42.229,40.164,30.362,0 days 00:50:23.983000,0 days 00:51:04.147000,0 days 00:51:34.509000,234.0,267.0,217.0,235.0,True,WET,13.0,False,AlphaTauri,0 days 00:49:41.749000,2020-11-15 10:29:42.251,1,9.0,False,,False,True,112.755,112.755
9,0 days 00:53:27.203000,GAS,10,0 days 00:01:52.699000,10.0,1.0,,0 days 00:53:26.681000,41.899,39.682,31.118,0 days 00:52:16.408000,0 days 00:52:56.090000,0 days 00:53:27.208000,235.0,270.0,,230.0,False,WET,14.0,False,AlphaTauri,0 days 00:51:34.504000,2020-11-15 10:31:35.006,1,9.0,False,,False,False,112.699,112.699
