,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
33,0 days 00:33:38.483000,25.4,66.0,1015.3,False,28.6,244,1.0
115,0 days 01:55:38.868000,25.0,68.7,1015.9,False,27.4,320,1.2
118,0 days 01:58:38.897000,25.0,69.8,1015.9,False,27.3,316,1.3
121,0 days 02:01:38.942000,25.0,71.7,1015.9,False,27.2,315,1.0
124,0 days 02:04:38.951000,25.0,73.5,1015.9,False,27.3,299,1.0
126,0 days 02:06:38.966000,25.0,74.1,1015.9,False,27.3,260,1.0
129,0 days 02:09:38.964000,25.0,73.7,1016.0,False,27.2,318,0.8
131,0 days 02:11:38.940000,24.9,73.4,1015.9,False,27.3,303,1.1
133,0 days 02:13:38.946000,24.9,73.3,1016.0,False,27.3,219,1.4
135,0 days 02:15:38.968000,25.0,72.7,1016.0,False,27.3,300,0.8
137,0 days 02:17:38.957000,25.1,72.3,1016.0,False,27.3,352,0.0
138,0 days 02:18:38.954000,25.0,72.3,1016.0,False,27.3,272,0.3
140,0 days 02:20:38.967000,25.0,72.0,1016.1,False,27.2,65,0.7
141,0 days 02:21:38.949000,25.1,71.6,1016.0,False,27.2,331,1.2
143,0 days 02:23:38.952000,25.0,71.3,1016.0,False,27.0,0,0.6
145,0 days 02:25:38.966000,25.0,71.0,1016.0,False,26.9,94,0.8
146,0 days 02:26:38.974000,25.0,70.8,1016.0,False,27.0,301,0.5
148,0 days 02:28:38.967000,25.0,70.3,1016.0,False,27.1,201,0.5
150,0 days 02:30:38.975000,25.0,70.2,1016.1,False,27.1,164,0.0
151,0 days 02:31:38.972000,25.0,70.0,1016.2,False,27.1,155,0.5
153,0 days 02:33:38.980000,25.1,69.7,1016.1,False,27.1,182,0.6
154,0 days 02:34:38.981000,25.0,69.9,1016.1,False,27.0,218,0.6
156,0 days 02:36:38.963000,25.0,70.0,1016.2,False,26.8,179,0.8
158,0 days 02:38:38.971000,24.9,70.3,1016.2,False,26.7,202,1.0
159,0 days 02:39:38.975000,24.9,70.6,1016.2,False,26.6,181,0.6
161,0 days 02:41:38.970000,24.9,71.4,1016.2,False,26.5,219,0.0
163,0 days 02:43:38.994000,24.9,72.9,1016.3,False,26.5,188,0.6
164,0 days 02:44:38.994000,24.7,73.4,1016.3,False,26.3,326,0.6
166,0 days 02:46:38.975000,24.7,74.3,1016.3,False,26.4,237,0.7
168,0 days 02:48:38.976000,24.6,74.3,1016.3,False,26.4,200,0.6
169,0 days 02:49:38.995000,24.6,74.1,1016.3,False,26.5,202,1.0
171,0 days 02:51:39.012000,24.6,73.5,1016.3,False,26.4,0,0.5
172,0 days 02:52:39.004000,24.6,73.3,1016.3,False,26.4,225,0.6
174,0 days 02:54:39.005000,24.5,72.5,1016.4,False,26.5,197,0.5
176,0 days 02:56:39.030000,24.6,71.6,1016.5,False,26.3,244,0.5
177,0 days 02:57:39.064000,24.6,71.6,1016.4,False,26.3,205,0.6
179,0 days 02:59:39.083000,24.6,71.3,1016.4,False,26.4,205,0.6
180,0 days 03:00:39.085000,24.7,71.3,1016.4,False,26.5,0,0.6
182,0 days 03:02:39.103000,24.8,71.0,1016.5,False,26.5,191,0.9
183,0 days 03:03:39.127000,24.8,70.9,1016.5,False,26.7,225,0.6
185,0 days 03:05:39.121000,24.8,71.2,1016.5,False,26.5,252,0.5
187,0 days 03:07:39.121000,24.8,71.2,1016.6,False,26.5,206,0.5
188,0 days 03:08:39.125000,24.8,71.2,1016.5,False,26.6,209,0.7
190,0 days 03:10:39.127000,25.0,71.9,1016.5,False,26.6,280,1.0
191,0 days 03:11:39.136000,24.9,71.8,1016.5,False,26.4,183,0.9
193,0 days 03:13:39.136000,24.8,72.6,1016.4,False,26.3,296,0.9
195,0 days 03:15:39.148000,24.7,73.5,1016.5,False,26.3,225,1.2
196,0 days 03:16:39.134000,24.7,73.7,1016.4,False,26.2,231,0.5
198,0 days 03:18:39.136000,24.7,74.3,1016.5,False,26.1,187,0.9
199,0 days 03:19:39.138000,24.6,74.0,1016.5,False,26.2,231,0.8
201,0 days 03:21:39.165000,24.7,74.2,1016.5,False,26.3,260,0.9
203,0 days 03:23:39.182000,24.7,74.3,1016.5,False,26.4,225,0.7
204,0 days 03:24:39.201000,24.7,74.7,1016.5,False,26.2,198,0.7
206,0 days 03:26:39.274000,24.6,75.2,1016.5,False,26.4,208,0.5
208,0 days 03:28:39.236000,24.6,75.1,1016.3,False,26.4,226,0.9
210,0 days 03:30:39.251000,24.6,74.9,1016.4,False,26.3,0,0.7
212,0 days 03:32:39.243000,24.5,75.3,1016.4,False,26.0,231,0.6
33,0 days 00:33:38.483000,25.4,66.0,1015.3,False,28.6,244,1.0
115,0 days 01:55:38.868000,25.0,68.7,1015.9,False,27.4,320,1.2
118,0 days 01:58:38.897000,25.0,69.8,1015.9,False,27.3,316,1.3
121,0 days 02:01:38.942000,25.0,71.7,1015.9,False,27.2,315,1.0
124,0 days 02:04:38.951000,25.0,73.5,1015.9,False,27.3,299,1.0
126,0 days 02:06:38.966000,25.0,74.1,1015.9,False,27.3,260,1.0
128,0 days 02:08:38.965000,25.0,73.7,1016.0,False,27.2,296,1.0
131,0 days 02:11:38.940000,24.9,73.4,1015.9,False,27.3,303,1.1
133,0 days 02:13:38.946000,24.9,73.3,1016.0,False,27.3,219,1.4
135,0 days 02:15:38.968000,25.0,72.7,1016.0,False,27.3,300,0.8
136,0 days 02:16:38.966000,25.0,72.7,1016.0,False,27.3,0,0.0
138,0 days 02:18:38.954000,25.0,72.3,1016.0,False,27.3,272,0.3
140,0 days 02:20:38.967000,25.0,72.0,1016.1,False,27.2,65,0.7
141,0 days 02:21:38.949000,25.1,71.6,1016.0,False,27.2,331,1.2
143,0 days 02:23:38.952000,25.0,71.3,1016.0,False,27.0,0,0.6
144,0 days 02:24:38.960000,24.9,71.3,1016.0,False,27.0,242,0.8
146,0 days 02:26:38.974000,25.0,70.8,1016.0,False,27.0,301,0.5
148,0 days 02:28:38.967000,25.0,70.3,1016.0,False,27.1,201,0.5
149,0 days 02:29:38.976000,25.0,70.2,1016.1,False,27.1,0,0.0
151,0 days 02:31:38.972000,25.0,70.0,1016.2,False,27.1,155,0.5
152,0 days 02:32:38.961000,25.0,69.9,1016.1,False,27.2,183,0.8
154,0 days 02:34:38.981000,25.0,69.9,1016.1,False,27.0,218,0.6
156,0 days 02:36:38.963000,25.0,70.0,1016.2,False,26.8,179,0.8
158,0 days 02:38:38.971000,24.9,70.3,1016.2,False,26.7,202,1.0
159,0 days 02:39:38.975000,24.9,70.6,1016.2,False,26.6,181,0.6
161,0 days 02:41:38.970000,24.9,71.4,1016.2,False,26.5,219,0.0
162,0 days 02:42:38.974000,24.9,72.3,1016.2,False,26.4,169,0.6
164,0 days 02:44:38.994000,24.7,73.4,1016.3,False,26.3,326,0.6
165,0 days 02:45:38.976000,24.7,74.0,1016.3,False,26.4,284,0.7
167,0 days 02:47:38.993000,24.7,74.4,1016.3,False,26.4,258,1.2
169,0 days 02:49:38.995000,24.6,74.1,1016.3,False,26.5,202,1.0
170,0 days 02:50:38.986000,24.7,73.9,1016.4,False,26.5,194,0.6
172,0 days 02:52:39.004000,24.6,73.3,1016.3,False,26.4,225,0.6
173,0 days 02:53:38.989000,24.5,72.8,1016.4,False,26.4,183,0.4
175,0 days 02:55:39.013000,24.5,72.0,1016.4,False,26.3,232,0.6
177,0 days 02:57:39.064000,24.6,71.6,1016.4,False,26.3,205,0.6
178,0 days 02:58:39.074000,24.6,71.2,1016.4,False,26.4,279,0.8
180,0 days 03:00:39.085000,24.7,71.3,1016.4,False,26.5,0,0.6
182,0 days 03:02:39.103000,24.8,71.0,1016.5,False,26.5,191,0.9
183,0 days 03:03:39.127000,24.8,70.9,1016.5,False,26.7,225,0.6
185,0 days 03:05:39.121000,24.8,71.2,1016.5,False,26.5,252,0.5
186,0 days 03:06:39.124000,24.8,71.1,1016.4,False,26.5,0,0.0
188,0 days 03:08:39.125000,24.8,71.2,1016.5,False,26.6,209,0.7
189,0 days 03:09:39.133000,24.9,71.4,1016.4,False,26.6,250,0.8
191,0 days 03:11:39.136000,24.9,71.8,1016.5,False,26.4,183,0.9
193,0 days 03:13:39.136000,24.8,72.6,1016.4,False,26.3,296,0.9
194,0 days 03:14:39.130000,24.7,73.2,1016.5,False,26.1,203,0.8
196,0 days 03:16:39.134000,24.7,73.7,1016.4,False,26.2,231,0.5
197,0 days 03:17:39.142000,24.7,74.0,1016.6,False,26.2,0,0.6
199,0 days 03:19:39.138000,24.6,74.0,1016.5,False,26.2,231,0.8
200,0 days 03:20:39.137000,24.7,74.1,1016.5,False,26.3,294,1.0
202,0 days 03:22:39.175000,24.7,74.2,1016.5,False,26.5,195,0.7
204,0 days 03:24:39.201000,24.7,74.7,1016.5,False,26.2,198,0.7
205,0 days 03:25:39.201000,24.6,75.0,1016.5,False,26.1,299,0.6
33,0 days 00:33:38.483000,25.4,66.0,1015.3,False,28.6,244,1.0
115,0 days 01:55:38.868000,25.0,68.7,1015.9,False,27.4,320,1.2
119,0 days 01:59:38.887000,25.0,70.3,1015.9,False,27.3,336,1.2
121,0 days 02:01:38.942000,25.0,71.7,1015.9,False,27.2,315,1.0
124,0 days 02:04:38.951000,25.0,73.5,1015.9,False,27.3,299,1.0
126,0 days 02:06:38.966000,25.0,74.1,1015.9,False,27.3,260,1.0
128,0 days 02:08:38.965000,25.0,73.7,1016.0,False,27.2,296,1.0
131,0 days 02:11:38.940000,24.9,73.4,1015.9,False,27.3,303,1.1
133,0 days 02:13:38.946000,24.9,73.3,1016.0,False,27.3,219,1.4
135,0 days 02:15:38.968000,25.0,72.7,1016.0,False,27.3,300,0.8
137,0 days 02:17:38.957000,25.1,72.3,1016.0,False,27.3,352,0.0
138,0 days 02:18:38.954000,25.0,72.3,1016.0,False,27.3,272,0.3
140,0 days 02:20:38.967000,25.0,72.0,1016.1,False,27.2,65,0.7
141,0 days 02:21:38.949000,25.1,71.6,1016.0,False,27.2,331,1.2
143,0 days 02:23:38.952000,25.0,71.3,1016.0,False,27.0,0,0.6
145,0 days 02:25:38.966000,25.0,71.0,1016.0,False,26.9,94,0.8
146,0 days 02:26:38.974000,25.0,70.8,1016.0,False,27.0,301,0.5
148,0 days 02:28:38.967000,25.0,70.3,1016.0,False,27.1,201,0.5
150,0 days 02:30:38.975000,25.0,70.2,1016.1,False,27.1,164,0.0
151,0 days 02:31:38.972000,25.0,70.0,1016.2,False,27.1,155,0.5
153,0 days 02:33:38.980000,25.1,69.7,1016.1,False,27.1,182,0.6
154,0 days 02:34:38.981000,25.0,69.9,1016.1,False,27.0,218,0.6
156,0 days 02:36:38.963000,25.0,70.0,1016.2,False,26.8,179,0.8
158,0 days 02:38:38.971000,24.9,70.3,1016.2,False,26.7,202,1.0
160,0 days 02:40:38.981000,24.9,71.0,1016.3,False,26.6,0,0.9
161,0 days 02:41:38.970000,24.9,71.4,1016.2,False,26.5,219,0.0
163,0 days 02:43:38.994000,24.9,72.9,1016.3,False,26.5,188,0.6
164,0 days 02:44:38.994000,24.7,73.4,1016.3,False,26.3,326,0.6
166,0 days 02:46:38.975000,24.7,74.3,1016.3,False,26.4,237,0.7
168,0 days 02:48:38.976000,24.6,74.3,1016.3,False,26.4,200,0.6
169,0 days 02:49:38.995000,24.6,74.1,1016.3,False,26.5,202,1.0
171,0 days 02:51:39.012000,24.6,73.5,1016.3,False,26.4,0,0.5
172,0 days 02:52:39.004000,24.6,73.3,1016.3,False,26.4,225,0.6
174,0 days 02:54:39.005000,24.5,72.5,1016.4,False,26.5,197,0.5
176,0 days 02:56:39.030000,24.6,71.6,1016.5,False,26.3,244,0.5
177,0 days 02:57:39.064000,24.6,71.6,1016.4,False,26.3,205,0.6
179,0 days 02:59:39.083000,24.6,71.3,1016.4,False,26.4,205,0.6
180,0 days 03:00:39.085000,24.7,71.3,1016.4,False,26.5,0,0.6
182,0 days 03:02:39.103000,24.8,71.0,1016.5,False,26.5,191,0.9
184,0 days 03:04:39.131000,24.7,71.1,1016.4,False,26.5,204,0.6
185,0 days 03:05:39.121000,24.8,71.2,1016.5,False,26.5,252,0.5
187,0 days 03:07:39.121000,24.8,71.2,1016.6,False,26.5,206,0.5
189,0 days 03:09:39.133000,24.9,71.4,1016.4,False,26.6,250,0.8
190,0 days 03:10:39.127000,25.0,71.9,1016.5,False,26.6,280,1.0
192,0 days 03:12:39.149000,24.9,72.3,1016.5,False,26.4,242,0.6
194,0 days 03:14:39.130000,24.7,73.2,1016.5,False,26.1,203,0.8
195,0 days 03:15:39.148000,24.7,73.5,1016.5,False,26.3,225,1.2
197,0 days 03:17:39.142000,24.7,74.0,1016.6,False,26.2,0,0.6
198,0 days 03:18:39.136000,24.7,74.3,1016.5,False,26.1,187,0.9
200,0 days 03:20:39.137000,24.7,74.1,1016.5,False,26.3,294,1.0
201,0 days 03:21:39.165000,24.7,74.2,1016.5,False,26.3,260,0.9
203,0 days 03:23:39.182000,24.7,74.3,1016.5,False,26.4,225,0.7
205,0 days 03:25:39.201000,24.6,75.0,1016.5,False,26.1,299,0.6
206,0 days 03:26:39.274000,24.6,75.2,1016.5,False,26.4,208,0.5
208,0 days 03:28:39.236000,24.6,75.1,1016.3,False,26.4,226,0.9
211,0 days 03:31:39.240000,24.5,75.2,1016.4,False,26.1,248,0.0
33,0 days 00:33:38.483000,25.4,66.0,1015.3,False,28.6,244,1.0
115,0 days 01:55:38.868000,25.0,68.7,1015.9,False,27.4,320,1.2
118,0 days 01:58:38.897000,25.0,69.8,1015.9,False,27.3,316,1.3
33,0 days 00:33:38.483000,25.4,66.0,1015.3,False,28.6,244,1.0
115,0 days 01:55:38.868000,25.0,68.7,1015.9,False,27.4,320,1.2
119,0 days 01:59:38.887000,25.0,70.3,1015.9,False,27.3,336,1.2
122,0 days 02:02:38.936000,25.1,72.3,1015.9,False,27.2,357,0.8
124,0 days 02:04:38.951000,25.0,73.5,1015.9,False,27.3,299,1.0
126,0 days 02:06:38.966000,25.0,74.1,1015.9,False,27.3,260,1.0
129,0 days 02:09:38.964000,25.0,73.7,1016.0,False,27.2,318,0.8
131,0 days 02:11:38.940000,24.9,73.4,1015.9,False,27.3,303,1.1
133,0 days 02:13:38.946000,24.9,73.3,1016.0,False,27.3,219,1.4
135,0 days 02:15:38.968000,25.0,72.7,1016.0,False,27.3,300,0.8
137,0 days 02:17:38.957000,25.1,72.3,1016.0,False,27.3,352,0.0
138,0 days 02:18:38.954000,25.0,72.3,1016.0,False,27.3,272,0.3
140,0 days 02:20:38.967000,25.0,72.0,1016.1,False,27.2,65,0.7
142,0 days 02:22:38.970000,25.0,71.4,1016.0,False,27.2,14,1.1
143,0 days 02:23:38.952000,25.0,71.3,1016.0,False,27.0,0,0.6
145,0 days 02:25:38.966000,25.0,71.0,1016.0,False,26.9,94,0.8
147,0 days 02:27:38.954000,25.0,70.8,1016.0,False,27.2,273,1.1
148,0 days 02:28:38.967000,25.0,70.3,1016.0,False,27.1,201,0.5
150,0 days 02:30:38.975000,25.0,70.2,1016.1,False,27.1,164,0.0
151,0 days 02:31:38.972000,25.0,70.0,1016.2,False,27.1,155,0.5
153,0 days 02:33:38.980000,25.1,69.7,1016.1,False,27.1,182,0.6
155,0 days 02:35:38.972000,25.0,70.2,1016.2,False,26.7,0,0.7
156,0 days 02:36:38.963000,25.0,70.0,1016.2,False,26.8,179,0.8
158,0 days 02:38:38.971000,24.9,70.3,1016.2,False,26.7,202,1.0
160,0 days 02:40:38.981000,24.9,71.0,1016.3,False,26.6,0,0.9
161,0 days 02:41:38.970000,24.9,71.4,1016.2,False,26.5,219,0.0
163,0 days 02:43:38.994000,24.9,72.9,1016.3,False,26.5,188,0.6
165,0 days 02:45:38.976000,24.7,74.0,1016.3,False,26.4,284,0.7
167,0 days 02:47:38.993000,24.7,74.4,1016.3,False,26.4,258,1.2
168,0 days 02:48:38.976000,24.6,74.3,1016.3,False,26.4,200,0.6
170,0 days 02:50:38.986000,24.7,73.9,1016.4,False,26.5,194,0.6
171,0 days 02:51:39.012000,24.6,73.5,1016.3,False,26.4,0,0.5
173,0 days 02:53:38.989000,24.5,72.8,1016.4,False,26.4,183,0.4
175,0 days 02:55:39.013000,24.5,72.0,1016.4,False,26.3,232,0.6
176,0 days 02:56:39.030000,24.6,71.6,1016.5,False,26.3,244,0.5
178,0 days 02:58:39.074000,24.6,71.2,1016.4,False,26.4,279,0.8
179,0 days 02:59:39.083000,24.6,71.3,1016.4,False,26.4,205,0.6
181,0 days 03:01:39.113000,24.7,71.0,1016.4,False,26.5,247,0.4
183,0 days 03:03:39.127000,24.8,70.9,1016.5,False,26.7,225,0.6
184,0 days 03:04:39.131000,24.7,71.1,1016.4,False,26.5,204,0.6
186,0 days 03:06:39.124000,24.8,71.1,1016.4,False,26.5,0,0.0
188,0 days 03:08:39.125000,24.8,71.2,1016.5,False,26.6,209,0.7
189,0 days 03:09:39.133000,24.9,71.4,1016.4,False,26.6,250,0.8
191,0 days 03:11:39.136000,24.9,71.8,1016.5,False,26.4,183,0.9
192,0 days 03:12:39.149000,24.9,72.3,1016.5,False,26.4,242,0.6
194,0 days 03:14:39.130000,24.7,73.2,1016.5,False,26.1,203,0.8
196,0 days 03:16:39.134000,24.7,73.7,1016.4,False,26.2,231,0.5
197,0 days 03:17:39.142000,24.7,74.0,1016.6,False,26.2,0,0.6
199,0 days 03:19:39.138000,24.6,74.0,1016.5,False,26.2,231,0.8
201,0 days 03:21:39.165000,24.7,74.2,1016.5,False,26.3,260,0.9
202,0 days 03:22:39.175000,24.7,74.2,1016.5,False,26.5,195,0.7
204,0 days 03:24:39.201000,24.7,74.7,1016.5,False,26.2,198,0.7
206,0 days 03:26:39.274000,24.6,75.2,1016.5,False,26.4,208,0.5
208,0 days 03:28:39.236000,24.6,75.1,1016.3,False,26.4,226,0.9
210,0 days 03:30:39.251000,24.6,74.9,1016.4,False,26.3,0,0.7
212,0 days 03:32:39.243000,24.5,75.3,1016.4,False,26.0,231,0.6
33,0 days 00:33:38.483000,25.4,66.0,1015.3,False,28.6,244,1.0
115,0 days 01:55:38.868000,25.0,68.7,1015.9,False,27.4,320,1.2
118,0 days 01:58:38.897000,25.0,69.8,1015.9,False,27.3,316,1.3
121,0 days 02:01:38.942000,25.0,71.7,1015.9,False,27.2,315,1.0
124,0 days 02:04:38.951000,25.0,73.5,1015.9,False,27.3,299,1.0
126,0 days 02:06:38.966000,25.0,74.1,1015.9,False,27.3,260,1.0
128,0 days 02:08:38.965000,25.0,73.7,1016.0,False,27.2,296,1.0
131,0 days 02:11:38.940000,24.9,73.4,1015.9,False,27.3,303,1.1
133,0 days 02:13:38.946000,24.9,73.3,1016.0,False,27.3,219,1.4
135,0 days 02:15:38.968000,25.0,72.7,1016.0,False,27.3,300,0.8
136,0 days 02:16:38.966000,25.0,72.7,1016.0,False,27.3,0,0.0
138,0 days 02:18:38.954000,25.0,72.3,1016.0,False,27.3,272,0.3
140,0 days 02:20:38.967000,25.0,72.0,1016.1,False,27.2,65,0.7
141,0 days 02:21:38.949000,25.1,71.6,1016.0,False,27.2,331,1.2
143,0 days 02:23:38.952000,25.0,71.3,1016.0,False,27.0,0,0.6
144,0 days 02:24:38.960000,24.9,71.3,1016.0,False,27.0,242,0.8
146,0 days 02:26:38.974000,25.0,70.8,1016.0,False,27.0,301,0.5
148,0 days 02:28:38.967000,25.0,70.3,1016.0,False,27.1,201,0.5
149,0 days 02:29:38.976000,25.0,70.2,1016.1,False,27.1,0,0.0
151,0 days 02:31:38.972000,25.0,70.0,1016.2,False,27.1,155,0.5
153,0 days 02:33:38.980000,25.1,69.7,1016.1,False,27.1,182,0.6
