,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:39:09.686000,HAM,44,0 days 00:01:59.538000,1.0,1.0,,,,54.367,32.463,,0 days 00:38:37.358000,0 days 00:39:09.824000,233.0,124.0,223.0,258.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:37:09.970000,2021-03-28 15:07:09.980,124,2.0,False,,False,False,119.538,
1,0 days 00:41:32.398000,HAM,44,0 days 00:02:22.712000,2.0,1.0,,,46.763,61.387,34.562,0 days 00:39:56.451000,0 days 00:40:57.838000,0 days 00:41:32.400000,142.0,172.0,229.0,246.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:39:09.686000,2021-03-28 15:09:09.696,4,2.0,False,,False,False,142.712,142.712
2,0 days 00:44:09.056000,HAM,44,,3.0,1.0,,,43.739,62.116,50.801,0 days 00:42:16.144000,0 days 00:43:18.265000,0 days 00:44:09.185000,138.0,117.0,167.0,153.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:41:32.398000,2021-03-28 15:11:32.408,41,2.0,False,,False,False,,156.656
3,0 days 00:45:53.988000,HAM,44,0 days 00:01:44.932000,4.0,1.0,,,32.339,41.826,30.767,0 days 00:44:41.397000,0 days 00:45:23.223000,0 days 00:45:53.990000,237.0,253.0,202.0,290.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:44:09.056000,2021-03-28 15:14:09.066,126,2.0,False,,False,False,104.932,104.93199999999999
4,0 days 00:47:39.127000,HAM,44,0 days 00:01:45.139000,5.0,1.0,,,39.813,41.41,23.916,0 days 00:46:33.803000,0 days 00:47:15.213000,0 days 00:47:39.129000,216.0,261.0,277.0,211.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:45:53.988000,2021-03-28 15:15:53.998,671,2.0,False,,False,False,105.139,105.139
5,0 days 00:49:15.296000,HAM,44,0 days 00:01:36.169000,6.0,1.0,,,30.755,41.6,23.814,0 days 00:48:09.884000,0 days 00:48:51.484000,0 days 00:49:15.298000,228.0,251.0,278.0,297.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:47:39.127000,2021-03-28 15:17:39.137,1,2.0,False,,False,True,96.169,96.16900000000001
6,0 days 00:50:51.419000,HAM,44,0 days 00:01:36.123000,7.0,1.0,,,30.775,41.68,23.668,0 days 00:49:46.073000,0 days 00:50:27.753000,0 days 00:50:51.421000,229.0,252.0,279.0,289.0,True,MEDIUM,10.0,False,Mercedes,0 days 00:49:15.296000,2021-03-28 15:19:15.306,1,2.0,False,,False,True,96.123,96.12299999999999
7,0 days 00:52:27.494000,HAM,44,0 days 00:01:36.075000,8.0,1.0,,,30.708,41.702,23.665,0 days 00:51:22.129000,0 days 00:52:03.831000,0 days 00:52:27.496000,230.0,248.0,277.0,287.0,True,MEDIUM,11.0,False,Mercedes,0 days 00:50:51.419000,2021-03-28 15:20:51.429,1,2.0,False,,False,True,96.075,96.07499999999999
8,0 days 00:54:03.642000,HAM,44,0 days 00:01:36.148000,9.0,1.0,,,30.802,41.648,23.698,0 days 00:52:58.298000,0 days 00:53:39.946000,0 days 00:54:03.644000,,252.0,278.0,288.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:52:27.494000,2021-03-28 15:22:27.504,1,2.0,False,,False,True,96.148,96.148
9,0 days 00:55:39.724000,HAM,44,0 days 00:01:36.082000,10.0,1.0,,,30.699,41.663,23.72,0 days 00:54:34.343000,0 days 00:55:16.006000,0 days 00:55:39.726000,,252.0,278.0,291.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:54:03.642000,2021-03-28 15:24:03.652,1,2.0,False,,False,True,96.082,96.082
10,0 days 00:57:15.867000,HAM,44,0 days 00:01:36.143000,11.0,1.0,,,30.677,41.585,23.881,0 days 00:56:10.403000,0 days 00:56:51.988000,0 days 00:57:15.869000,232.0,254.0,278.0,297.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:55:39.724000,2021-03-28 15:25:39.734,1,2.0,False,,False,True,96.143,96.143
11,0 days 00:58:52.374000,HAM,44,0 days 00:01:36.507000,12.0,1.0,,,30.763,41.935,23.809,0 days 00:57:46.632000,0 days 00:58:28.567000,0 days 00:58:52.376000,230.0,252.0,278.0,292.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:57:15.867000,2021-03-28 15:27:15.877,1,2.0,False,,False,True,96.507,96.507
12,0 days 01:00:31.298000,HAM,44,0 days 00:01:38.924000,13.0,1.0,,0 days 01:00:29.611000,30.77,41.776,26.378,0 days 00:59:23.146000,0 days 01:00:04.922000,0 days 01:00:31.300000,,253.0,,290.0,False,MEDIUM,16.0,False,Mercedes,0 days 00:58:52.374000,2021-03-28 15:28:52.384,1,2.0,False,,False,False,98.924,98.924
13,0 days 01:02:26.304000,HAM,44,0 days 00:01:55.006000,14.0,2.0,0 days 01:00:54.547000,,51.319,40.418,23.269,0 days 01:01:22.619000,0 days 01:02:03.037000,0 days 01:02:26.306000,233.0,257.0,280.0,221.0,False,HARD,1.0,True,Mercedes,0 days 01:00:31.298000,2021-03-28 15:30:31.308,1,4.0,False,,False,False,115.006,115.006
14,0 days 01:04:00.361000,HAM,44,0 days 00:01:34.057000,15.0,2.0,,,29.944,40.709,23.404,0 days 01:02:56.250000,0 days 01:03:36.959000,0 days 01:04:00.363000,,251.0,277.0,288.0,True,HARD,2.0,True,Mercedes,0 days 01:02:26.304000,2021-03-28 15:32:26.314,1,3.0,False,,False,True,94.057,94.057
15,0 days 01:05:35.465000,HAM,44,0 days 00:01:35.104000,16.0,2.0,,,30.504,41.102,23.498,0 days 01:04:30.867000,0 days 01:05:11.969000,0 days 01:05:35.467000,,249.0,275.0,282.0,False,HARD,3.0,True,Mercedes,0 days 01:04:00.361000,2021-03-28 15:34:00.371,1,3.0,False,,False,True,95.104,95.104
16,0 days 01:07:10.564000,HAM,44,0 days 00:01:35.099000,17.0,2.0,,,30.389,41.101,23.609,0 days 01:06:05.856000,0 days 01:06:46.957000,0 days 01:07:10.566000,,254.0,275.0,285.0,False,HARD,4.0,True,Mercedes,0 days 01:05:35.465000,2021-03-28 15:35:35.475,1,2.0,False,,False,True,95.099,95.09899999999999
17,0 days 01:08:45.830000,HAM,44,0 days 00:01:35.266000,18.0,2.0,,,30.555,41.271,23.44,0 days 01:07:41.121000,0 days 01:08:22.392000,0 days 01:08:45.832000,232.0,254.0,276.0,287.0,False,HARD,5.0,True,Mercedes,0 days 01:07:10.564000,2021-03-28 15:37:10.574,1,1.0,False,,False,True,95.266,95.26599999999999
18,0 days 01:10:21.176000,HAM,44,0 days 00:01:35.346000,19.0,2.0,,,30.557,41.238,23.551,0 days 01:09:16.389000,0 days 01:09:57.627000,0 days 01:10:21.178000,,254.0,276.0,281.0,False,HARD,6.0,True,Mercedes,0 days 01:08:45.830000,2021-03-28 15:38:45.840,1,1.0,False,,False,True,95.346,95.346
19,0 days 01:11:56.500000,HAM,44,0 days 00:01:35.324000,20.0,2.0,,,30.75,41.051,23.523,0 days 01:10:51.928000,0 days 01:11:32.979000,0 days 01:11:56.502000,233.0,255.0,277.0,286.0,False,HARD,7.0,True,Mercedes,0 days 01:10:21.176000,2021-03-28 15:40:21.186,1,1.0,False,,False,True,95.324,95.324
20,0 days 01:13:32.337000,HAM,44,0 days 00:01:35.837000,21.0,2.0,,,30.908,41.469,23.46,0 days 01:12:27.410000,0 days 01:13:08.879000,0 days 01:13:32.339000,230.0,253.0,278.0,283.0,False,HARD,8.0,True,Mercedes,0 days 01:11:56.500000,2021-03-28 15:41:56.510,1,1.0,False,,False,True,95.837,95.83700000000002
21,0 days 01:15:07.876000,HAM,44,0 days 00:01:35.539000,22.0,2.0,,,30.716,41.255,23.568,0 days 01:14:03.055000,0 days 01:14:44.310000,0 days 01:15:07.878000,231.0,253.0,277.0,286.0,False,HARD,9.0,True,Mercedes,0 days 01:13:32.337000,2021-03-28 15:43:32.347,1,1.0,False,,False,True,95.539,95.539
22,0 days 01:16:43.095000,HAM,44,0 days 00:01:35.219000,23.0,2.0,,,30.573,41.001,23.645,0 days 01:15:38.451000,0 days 01:16:19.452000,0 days 01:16:43.097000,232.0,258.0,277.0,281.0,False,HARD,10.0,True,Mercedes,0 days 01:15:07.876000,2021-03-28 15:45:07.886,1,1.0,False,,False,True,95.219,95.219
23,0 days 01:18:18.182000,HAM,44,0 days 00:01:35.087000,24.0,2.0,,,30.501,41.09,23.496,0 days 01:17:13.598000,0 days 01:17:54.688000,0 days 01:18:18.184000,231.0,258.0,278.0,290.0,False,HARD,11.0,True,Mercedes,0 days 01:16:43.095000,2021-03-28 15:46:43.105,1,1.0,False,,False,True,95.087,95.087
24,0 days 01:19:53.541000,HAM,44,0 days 00:01:35.359000,25.0,2.0,,,30.716,40.983,23.66,0 days 01:18:48.900000,0 days 01:19:29.883000,0 days 01:19:53.543000,230.0,256.0,277.0,286.0,False,HARD,12.0,True,Mercedes,0 days 01:18:18.182000,2021-03-28 15:48:18.192,1,1.0,False,,False,True,95.359,95.359
25,0 days 01:21:29.163000,HAM,44,0 days 00:01:35.622000,26.0,2.0,,,30.682,41.157,23.783,0 days 01:20:24.225000,0 days 01:21:05.382000,0 days 01:21:29.165000,231.0,257.0,277.0,282.0,False,HARD,13.0,True,Mercedes,0 days 01:19:53.541000,2021-03-28 15:49:53.551,1,1.0,False,,False,True,95.622,95.622
26,0 days 01:23:05.103000,HAM,44,0 days 00:01:35.940000,27.0,2.0,,,30.766,41.422,23.752,0 days 01:21:59.931000,0 days 01:22:41.353000,0 days 01:23:05.105000,,256.0,279.0,,False,HARD,14.0,True,Mercedes,0 days 01:21:29.163000,2021-03-28 15:51:29.173,1,1.0,False,,False,True,95.94,95.93999999999998
27,0 days 01:24:42.938000,HAM,44,0 days 00:01:37.835000,28.0,2.0,,0 days 01:24:41.240000,30.543,41.164,26.128,0 days 01:23:35.648000,0 days 01:24:16.812000,0 days 01:24:42.940000,232.0,255.0,,285.0,False,HARD,15.0,True,Mercedes,0 days 01:23:05.103000,2021-03-28 15:53:05.113,1,2.0,False,,False,False,97.835,97.835
28,0 days 01:26:38.132000,HAM,44,0 days 00:01:55.194000,29.0,3.0,0 days 01:25:05.375000,,50.613,41.312,23.269,0 days 01:25:33.553000,0 days 01:26:14.865000,0 days 01:26:38.134000,231.0,255.0,277.0,223.0,False,HARD,1.0,True,Mercedes,0 days 01:24:42.938000,2021-03-28 15:54:42.948,1,3.0,False,,False,False,115.194,115.19399999999999
29,0 days 01:28:12.497000,HAM,44,0 days 00:01:34.365000,30.0,3.0,,,30.213,40.895,23.257,0 days 01:27:08.347000,0 days 01:27:49.242000,0 days 01:28:12.499000,233.0,258.0,277.0,288.0,False,HARD,2.0,True,Mercedes,0 days 01:26:38.132000,2021-03-28 15:56:38.142,1,3.0,False,,False,True,94.365,94.36500000000001
30,0 days 01:29:47.802000,HAM,44,0 days 00:01:35.305000,31.0,3.0,,,30.947,41.186,23.172,0 days 01:28:43.446000,0 days 01:29:24.632000,0 days 01:29:47.804000,224.0,252.0,278.0,277.0,False,HARD,3.0,True,Mercedes,0 days 01:28:12.497000,2021-03-28 15:58:12.507,1,2.0,False,,False,True,95.305,95.30499999999999
31,0 days 01:31:22.531000,HAM,44,0 days 00:01:34.729000,32.0,3.0,,,30.24,41.061,23.428,0 days 01:30:18.044000,0 days 01:30:59.105000,0 days 01:31:22.533000,234.0,242.0,278.0,282.0,False,HARD,4.0,True,Mercedes,0 days 01:29:47.802000,2021-03-28 15:59:47.812,1,2.0,False,,False,True,94.729,94.729
32,0 days 01:32:57.572000,HAM,44,0 days 00:01:35.041000,33.0,3.0,,,30.362,41.264,23.415,0 days 01:31:52.895000,0 days 01:32:34.159000,0 days 01:32:57.574000,233.0,244.0,278.0,286.0,False,HARD,5.0,True,Mercedes,0 days 01:31:22.531000,2021-03-28 16:01:22.541,1,2.0,False,,False,True,95.041,95.041
33,0 days 01:34:32.237000,HAM,44,0 days 00:01:34.665000,34.0,3.0,,,30.259,41.084,23.322,0 days 01:33:27.833000,0 days 01:34:08.917000,0 days 01:34:32.239000,,249.0,278.0,,False,HARD,6.0,True,Mercedes,0 days 01:32:57.572000,2021-03-28 16:02:57.582,1,2.0,False,,False,True,94.665,94.665
34,0 days 01:36:06.982000,HAM,44,0 days 00:01:34.745000,35.0,3.0,,,30.578,40.845,23.322,0 days 01:35:02.817000,0 days 01:35:43.662000,0 days 01:36:06.984000,,256.0,278.0,283.0,False,HARD,7.0,True,Mercedes,0 days 01:34:32.237000,2021-03-28 16:04:32.247,1,2.0,False,,False,True,94.745,94.745
