,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:35:54.906000,GAS,10,0 days 00:01:55.240000,1.0,1.0,,,,44.998,25.941,,0 days 00:35:29.029000,0 days 00:35:55.108000,172.0,195.0,308.0,319.0,False,SOFT,6.0,False,AlphaTauri,0 days 00:33:59.522000,2021-06-06 12:03:59.531,1,5.0,False,,False,False,115.24,
1,0 days 00:37:43.937000,GAS,10,0 days 00:01:49.031000,2.0,1.0,,,39.182,44.378,25.471,0 days 00:36:34.118000,0 days 00:37:18.496000,0 days 00:37:43.967000,183.0,204.0,318.0,321.0,True,SOFT,7.0,False,AlphaTauri,0 days 00:35:54.906000,2021-06-06 12:05:54.915,1,5.0,False,,False,True,109.031,109.031
2,0 days 00:39:33.144000,GAS,10,0 days 00:01:49.207000,3.0,1.0,,,39.481,44.091,25.635,0 days 00:38:23.448000,0 days 00:39:07.539000,0 days 00:39:33.174000,185.0,203.0,317.0,315.0,False,SOFT,8.0,False,AlphaTauri,0 days 00:37:43.937000,2021-06-06 12:07:43.946,1,5.0,False,,False,True,109.207,109.20700000000001
3,0 days 00:41:21.082000,GAS,10,0 days 00:01:47.938000,4.0,1.0,,,38.632,43.688,25.618,0 days 00:40:11.806000,0 days 00:40:55.494000,0 days 00:41:21.112000,195.0,209.0,316.0,317.0,True,SOFT,9.0,False,AlphaTauri,0 days 00:39:33.144000,2021-06-06 12:09:33.153,12,5.0,False,,False,True,107.938,107.93799999999999
4,0 days 00:43:08.725000,GAS,10,0 days 00:01:47.643000,5.0,1.0,,,38.517,43.397,25.729,0 days 00:41:59.629000,0 days 00:42:43.026000,0 days 00:43:08.755000,204.0,216.0,311.0,315.0,True,SOFT,10.0,False,AlphaTauri,0 days 00:41:21.082000,2021-06-06 12:11:21.091,1,5.0,False,,False,True,107.643,107.643
5,0 days 00:44:56.640000,GAS,10,0 days 00:01:47.915000,6.0,1.0,,,38.422,43.534,25.959,0 days 00:43:47.177000,0 days 00:44:30.711000,0 days 00:44:56.670000,202.0,213.0,310.0,311.0,False,SOFT,11.0,False,AlphaTauri,0 days 00:43:08.725000,2021-06-06 12:13:08.734,1,5.0,False,,False,True,107.915,107.91499999999999
6,0 days 00:46:44.345000,GAS,10,0 days 00:01:47.705000,7.0,1.0,,,38.502,43.323,25.88,0 days 00:45:35.172000,0 days 00:46:18.495000,0 days 00:46:44.375000,,214.0,314.0,311.0,False,SOFT,12.0,False,AlphaTauri,0 days 00:44:56.640000,2021-06-06 12:14:56.649,1,5.0,False,,False,True,107.705,107.705
7,0 days 00:48:31.741000,GAS,10,0 days 00:01:47.396000,8.0,1.0,,,38.329,43.384,25.683,0 days 00:47:22.704000,0 days 00:48:06.088000,0 days 00:48:31.771000,207.0,209.0,316.0,315.0,True,SOFT,13.0,False,AlphaTauri,0 days 00:46:44.345000,2021-06-06 12:16:44.354,1,5.0,False,,False,True,107.396,107.39599999999999
8,0 days 00:50:19.151000,GAS,10,0 days 00:01:47.410000,9.0,1.0,,,38.432,43.242,25.736,0 days 00:49:10.203000,0 days 00:49:53.445000,0 days 00:50:19.181000,203.0,211.0,311.0,315.0,False,SOFT,14.0,False,AlphaTauri,0 days 00:48:31.741000,2021-06-06 12:18:31.750,1,4.0,False,,False,True,107.41,107.41000000000001
9,0 days 00:52:06.249000,GAS,10,0 days 00:01:47.098000,10.0,1.0,,,38.221,42.955,25.922,0 days 00:50:57.402000,0 days 00:51:40.357000,0 days 00:52:06.279000,206.0,221.0,307.0,308.0,True,SOFT,15.0,False,AlphaTauri,0 days 00:50:19.151000,2021-06-06 12:20:19.160,1,4.0,False,,False,True,107.098,107.09799999999998
