,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
34,0 days 00:34:04.952000,24.6,51.6,1015.1,False,40.2,251,0.1
36,0 days 00:36:04.955000,24.6,53.2,1015.0,False,40.4,261,0.8
38,0 days 00:38:04.958000,24.3,54.5,1015.1,False,40.4,252,0.3
40,0 days 00:40:04.949000,24.4,54.4,1015.0,False,40.8,6,0.3
42,0 days 00:42:04.939000,24.8,54.6,1015.0,False,40.9,237,0.4
44,0 days 00:44:04.952000,24.8,53.5,1014.9,False,41.0,278,0.5
45,0 days 00:45:04.960000,24.7,53.9,1015.0,False,41.0,225,0.4
47,0 days 00:47:04.950000,24.8,53.7,1015.0,False,41.2,257,0.4
49,0 days 00:49:04.951000,24.9,52.5,1014.9,False,41.2,220,0.5
51,0 days 00:51:04.949000,24.6,55.3,1014.9,False,40.9,252,0.2
53,0 days 00:53:04.948000,24.7,53.3,1014.8,False,41.4,326,0.3
54,0 days 00:54:04.965000,24.8,53.3,1014.8,False,41.4,326,0.3
56,0 days 00:56:04.994000,24.8,52.5,1014.8,False,41.8,214,0.3
58,0 days 00:58:05.011000,24.8,51.8,1014.9,False,42.2,348,0.3
60,0 days 01:00:05.028000,24.6,53.0,1014.8,False,42.0,85,0.3
62,0 days 01:02:05.075000,24.6,53.6,1014.8,False,40.9,235,0.2
64,0 days 01:04:05.076000,24.6,53.4,1014.9,False,39.9,0,0.3
65,0 days 01:05:05.077000,24.7,53.6,1014.9,False,39.5,39,0.3
67,0 days 01:07:05.076000,24.6,54.7,1014.8,False,39.6,297,0.4
69,0 days 01:09:05.083000,24.3,55.4,1014.8,False,39.2,74,0.6
71,0 days 01:11:05.073000,24.3,55.8,1014.7,False,39.1,188,0.2
73,0 days 01:13:05.075000,24.4,54.4,1014.6,False,39.5,116,0.3
74,0 days 01:14:05.079000,24.4,54.4,1014.6,False,39.5,116,0.3
76,0 days 01:16:05.076000,24.4,54.6,1014.6,False,39.1,76,0.2
78,0 days 01:18:05.075000,24.3,55.3,1014.4,False,37.9,116,0.4
80,0 days 01:20:05.084000,24.1,55.7,1014.7,False,38.3,66,0.3
81,0 days 01:21:05.085000,24.2,55.3,1014.7,False,38.2,23,0.3
83,0 days 01:23:05.082000,24.2,55.8,1014.5,False,38.4,112,0.3
85,0 days 01:25:05.077000,24.3,56.3,1014.5,False,38.1,51,0.5
87,0 days 01:27:05.077000,24.3,56.4,1014.4,False,38.0,324,0.4
89,0 days 01:29:05.091000,24.6,55.6,1014.5,False,38.4,267,0.2
91,0 days 01:31:05.105000,24.5,55.6,1014.4,False,38.5,84,0.4
94,0 days 01:34:05.122000,24.4,55.2,1014.4,False,38.9,227,0.1
97,0 days 01:37:05.169000,24.4,56.6,1014.5,False,38.2,36,0.2
99,0 days 01:39:05.353000,24.2,57.1,1014.4,False,38.0,231,0.2
102,0 days 01:42:05.383000,24.1,56.7,1014.5,False,37.3,297,0.3
104,0 days 01:44:05.424000,24.1,57.0,1014.6,False,37.3,244,0.2
106,0 days 01:46:05.410000,24.0,58.2,1014.5,False,36.9,282,0.2
108,0 days 01:48:05.432000,23.9,58.8,1014.6,False,36.4,0,0.3
110,0 days 01:50:05.435000,24.0,58.6,1014.6,False,37.4,266,0.3
111,0 days 01:51:05.431000,24.0,58.2,1014.6,False,37.1,263,0.3
