,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:04:16.945000,GAS,10,0 days 00:02:02.171000,1.0,1.0,0 days 01:02:22.702000,,,31.018,53.708,,0 days 01:03:23.315000,0 days 01:04:17.132000,303.0,302.0,310.0,272.0,False,HARD,1.0,True,AlphaTauri,0 days 01:02:14.632000,2021-09-12 13:03:16.241,1267,18.0,False,,False,False,122.171,
1,0 days 01:05:45.950000,GAS,10,0 days 00:01:29.005000,2.0,1.0,,,28.594,30.877,29.534,0 days 01:04:45.580000,0 days 01:05:16.457000,0 days 01:05:45.991000,308.0,316.0,320.0,319.0,True,HARD,2.0,True,AlphaTauri,0 days 01:04:16.945000,2021-09-12 13:05:18.554,1,18.0,False,,False,True,89.005,89.005
2,0 days 01:07:35.123000,GAS,10,0 days 00:01:49.173000,3.0,1.0,,0 days 01:07:31.414000,28.479,37.644,43.05,0 days 01:06:14.470000,0 days 01:06:52.114000,0 days 01:07:35.164000,273.0,255.0,,324.0,False,HARD,3.0,True,AlphaTauri,0 days 01:05:45.950000,2021-09-12 13:06:47.559,1,18.0,False,,False,False,109.173,109.17299999999999
3,0 days 01:04:05.126000,PER,11,0 days 00:01:50.352000,1.0,1.0,,,,31.553,46.71,,0 days 01:03:18.510000,0 days 01:04:05.310000,334.0,321.0,257.0,272.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:14.632000,2021-09-12 13:03:16.241,1267,7.0,False,,False,False,110.352,
4,0 days 01:05:32.732000,PER,11,0 days 00:01:27.606000,2.0,1.0,,,29.036,29.775,28.795,0 days 01:04:34.193000,0 days 01:05:03.968000,0 days 01:05:32.763000,307.0,320.0,313.0,287.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:04:05.126000,2021-09-12 13:05:06.735,71,7.0,False,,False,False,87.606,87.606
5,0 days 01:06:59.473000,PER,11,0 days 00:01:26.741000,3.0,1.0,,,28.242,29.581,28.918,0 days 01:06:01.005000,0 days 01:06:30.586000,0 days 01:06:59.504000,317.0,327.0,312.0,314.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:32.732000,2021-09-12 13:06:34.341,1,7.0,False,,False,True,86.741,86.741
6,0 days 01:08:26.475000,PER,11,0 days 00:01:27.002000,4.0,1.0,,,28.56,29.644,28.798,0 days 01:07:28.064000,0 days 01:07:57.708000,0 days 01:08:26.506000,319.0,320.0,312.0,301.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:59.473000,2021-09-12 13:08:01.082,1,7.0,False,,False,True,87.002,87.002
7,0 days 01:09:53.524000,PER,11,0 days 00:01:27.049000,5.0,1.0,,,28.274,29.633,29.142,0 days 01:08:54.780000,0 days 01:09:24.413000,0 days 01:09:53.555000,320.0,328.0,310.0,309.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:08:26.475000,2021-09-12 13:09:28.084,1,7.0,False,,False,True,87.049,87.04899999999999
8,0 days 01:11:20.543000,PER,11,0 days 00:01:27.019000,6.0,1.0,,,28.389,29.717,28.913,0 days 01:10:21.944000,0 days 01:10:51.661000,0 days 01:11:20.574000,317.0,320.0,312.0,305.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:09:53.524000,2021-09-12 13:10:55.133,1,7.0,False,,False,True,87.019,87.01899999999999
9,0 days 01:12:47.514000,PER,11,0 days 00:01:26.971000,7.0,1.0,,,28.33,29.727,28.914,0 days 01:11:48.904000,0 days 01:12:18.631000,0 days 01:12:47.545000,319.0,325.0,312.0,310.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:11:20.543000,2021-09-12 13:12:22.152,1,7.0,False,,False,True,86.971,86.971
10,0 days 01:14:14.337000,PER,11,0 days 00:01:26.823000,8.0,1.0,,,28.188,29.741,28.894,0 days 01:13:15.733000,0 days 01:13:45.474000,0 days 01:14:14.368000,317.0,325.0,313.0,340.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:12:47.514000,2021-09-12 13:13:49.123,1,7.0,False,,False,True,86.823,86.82300000000001
11,0 days 01:15:41.932000,PER,11,0 days 00:01:27.595000,9.0,1.0,,,28.309,30.394,28.892,0 days 01:14:42.677000,0 days 01:15:13.071000,0 days 01:15:41.963000,320.0,314.0,306.0,350.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:14:14.337000,2021-09-12 13:15:15.946,1,6.0,False,,False,True,87.595,87.595
12,0 days 01:17:08.555000,PER,11,0 days 00:01:26.623000,10.0,1.0,,,28.335,29.451,28.837,0 days 01:16:10.298000,0 days 01:16:39.749000,0 days 01:17:08.586000,309.0,313.0,308.0,316.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 01:15:41.932000,2021-09-12 13:16:43.541,1,6.0,False,,False,True,86.623,86.623
13,0 days 01:18:34.877000,PER,11,0 days 00:01:26.322000,11.0,1.0,,,28.197,29.313,28.812,0 days 01:17:36.783000,0 days 01:18:06.096000,0 days 01:18:34.908000,314.0,317.0,309.0,317.0,True,MEDIUM,11.0,True,Red Bull Racing,0 days 01:17:08.555000,2021-09-12 13:18:10.164,1,6.0,False,,False,True,86.322,86.322
14,0 days 01:20:01.264000,PER,11,0 days 00:01:26.387000,12.0,1.0,,,28.213,29.356,28.818,0 days 01:19:03.121000,0 days 01:19:32.477000,0 days 01:20:01.295000,,318.0,309.0,321.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:18:34.877000,2021-09-12 13:19:36.486,1,6.0,False,,False,True,86.387,86.387
15,0 days 01:21:27.793000,PER,11,0 days 00:01:26.529000,13.0,1.0,,,28.207,29.327,28.995,0 days 01:20:29.502000,0 days 01:20:58.829000,0 days 01:21:27.824000,316.0,319.0,309.0,318.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:20:01.264000,2021-09-12 13:21:02.873,1,6.0,False,,False,True,86.529,86.52900000000001
16,0 days 01:22:54.329000,PER,11,0 days 00:01:26.536000,14.0,1.0,,,28.262,29.362,28.912,0 days 01:21:56.086000,0 days 01:22:25.448000,0 days 01:22:54.360000,,319.0,309.0,320.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:21:27.793000,2021-09-12 13:22:29.402,1,6.0,False,,False,True,86.536,86.536
17,0 days 01:24:20.828000,PER,11,0 days 00:01:26.499000,15.0,1.0,,,28.159,29.365,28.975,0 days 01:23:22.519000,0 days 01:23:51.884000,0 days 01:24:20.859000,318.0,320.0,309.0,323.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:22:54.329000,2021-09-12 13:23:55.938,1,6.0,False,,False,True,86.499,86.499
18,0 days 01:25:47.774000,PER,11,0 days 00:01:26.946000,16.0,1.0,,,28.2,29.661,29.085,0 days 01:24:49.059000,0 days 01:25:18.720000,0 days 01:25:47.805000,,320.0,310.0,328.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:24:20.828000,2021-09-12 13:25:22.437,1,6.0,False,,False,True,86.946,86.946
19,0 days 01:27:14.629000,PER,11,0 days 00:01:26.855000,17.0,1.0,,,28.125,29.564,29.166,0 days 01:26:15.930000,0 days 01:26:45.494000,0 days 01:27:14.660000,317.0,319.0,309.0,324.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:25:47.774000,2021-09-12 13:26:49.383,1,6.0,False,,False,True,86.855,86.855
20,0 days 01:28:41.509000,PER,11,0 days 00:01:26.880000,18.0,1.0,,,28.267,29.498,29.115,0 days 01:27:42.927000,0 days 01:28:12.425000,0 days 01:28:41.540000,318.0,320.0,310.0,322.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:27:14.629000,2021-09-12 13:28:16.238,1,6.0,False,,False,True,86.88,86.88
21,0 days 01:30:08.368000,PER,11,0 days 00:01:26.859000,19.0,1.0,,,28.17,29.487,29.202,0 days 01:29:09.710000,0 days 01:29:39.197000,0 days 01:30:08.399000,,320.0,310.0,324.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:28:41.509000,2021-09-12 13:29:43.118,1,6.0,False,,False,True,86.859,86.859
22,0 days 01:31:35.250000,PER,11,0 days 00:01:26.882000,20.0,1.0,,,28.213,29.502,29.167,0 days 01:30:36.612000,0 days 01:31:06.114000,0 days 01:31:35.281000,316.0,319.0,308.0,,False,MEDIUM,20.0,True,Red Bull Racing,0 days 01:30:08.368000,2021-09-12 13:31:09.977,1,6.0,False,,False,True,86.882,86.882
23,0 days 01:33:02.627000,PER,11,0 days 00:01:27.377000,21.0,1.0,,,28.287,29.825,29.265,0 days 01:32:03.568000,0 days 01:32:33.393000,0 days 01:33:02.658000,318.0,319.0,309.0,326.0,False,MEDIUM,21.0,True,Red Bull Racing,0 days 01:31:35.250000,2021-09-12 13:32:36.859,1,6.0,False,,False,True,87.377,87.377
24,0 days 01:34:30.306000,PER,11,0 days 00:01:27.679000,22.0,1.0,,,28.78,29.719,29.18,0 days 01:33:31.438000,0 days 01:34:01.157000,0 days 01:34:30.337000,315.0,317.0,309.0,,False,MEDIUM,22.0,True,Red Bull Racing,0 days 01:33:02.627000,2021-09-12 13:34:04.236,1,6.0,False,,False,True,87.679,87.679
25,0 days 01:35:57.225000,PER,11,0 days 00:01:26.919000,23.0,1.0,,,28.335,29.579,29.005,0 days 01:34:58.672000,0 days 01:35:28.251000,0 days 01:35:57.256000,316.0,320.0,309.0,327.0,False,MEDIUM,23.0,True,Red Bull Racing,0 days 01:34:30.306000,2021-09-12 13:35:31.915,1,5.0,False,,False,True,86.919,86.919
26,0 days 01:37:24.482000,PER,11,0 days 00:01:27.257000,24.0,1.0,,,28.477,29.699,29.081,0 days 01:36:25.733000,0 days 01:36:55.432000,0 days 01:37:24.513000,,316.0,309.0,325.0,False,MEDIUM,24.0,True,Red Bull Racing,0 days 01:35:57.225000,2021-09-12 13:36:58.834,1,4.0,False,,False,True,87.257,87.257
27,0 days 01:38:51.755000,PER,11,0 days 00:01:27.273000,25.0,1.0,,,28.407,29.588,29.278,0 days 01:37:52.920000,0 days 01:38:22.508000,0 days 01:38:51.786000,318.0,319.0,306.0,324.0,False,MEDIUM,25.0,True,Red Bull Racing,0 days 01:37:24.482000,2021-09-12 13:38:26.091,1,3.0,False,,False,True,87.273,87.273
28,0 days 01:40:37.374000,PER,11,0 days 00:01:45.619000,26.0,1.0,,0 days 01:40:33.698000,28.252,37.119,40.248,0 days 01:39:20.038000,0 days 01:39:57.157000,0 days 01:40:37.405000,,207.0,,328.0,False,MEDIUM,26.0,True,Red Bull Racing,0 days 01:38:51.755000,2021-09-12 13:39:53.364,124,2.0,False,,False,False,105.619,105.619
29,0 days 01:43:21.899000,PER,11,,27.0,2.0,0 days 01:40:57.582000,,58.063,49.412,57.009,0 days 01:41:35.537000,0 days 01:42:24.921000,0 days 01:43:22.085000,177.0,166.0,83.0,223.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:40:37.374000,2021-09-12 13:41:38.983,4,4.0,False,,False,False,,164.48399999999998
30,0 days 01:45:57.938000,PER,11,,28.0,2.0,,,53.287,50.677,52.129,0 days 01:44:15.268000,0 days 01:45:05.923000,0 days 01:45:58.135000,120.0,193.0,242.0,140.0,False,HARD,2.0,True,Red Bull Racing,0 days 01:43:21.899000,2021-09-12 13:44:23.508,4,4.0,False,,False,False,,156.093
31,0 days 01:48:27.766000,PER,11,0 days 00:02:29.828000,29.0,2.0,,,47.906,56.299,45.623,0 days 01:46:45.875000,0 days 01:47:42.174000,0 days 01:48:27.797000,135.0,264.0,243.0,131.0,False,HARD,3.0,True,Red Bull Racing,0 days 01:45:57.938000,2021-09-12 13:46:59.547,4,4.0,False,,False,False,149.828,149.828
