,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:04:25.372000,GAS,10,0 days 00:01:36.603000,1.0,1.0,,,,30.171,30.449,,0 days 01:03:55.287000,0 days 01:04:25.503000,232.0,277.0,298.0,243.0,False,SOFT,4.0,False,AlphaTauri,0 days 01:02:48.573000,2021-11-21 14:03:48.583,1,3.0,False,,False,False,96.603,
1,0 days 01:05:55.829000,GAS,10,0 days 00:01:30.457000,2.0,1.0,,,29.906,30.181,30.37,0 days 01:04:55.286000,0 days 01:05:25.467000,0 days 01:05:55.837000,231.0,279.0,299.0,304.0,True,SOFT,5.0,False,AlphaTauri,0 days 01:04:25.372000,2021-11-21 14:05:25.382,1,3.0,False,,False,True,90.457,90.45700000000001
2,0 days 01:07:26.715000,GAS,10,0 days 00:01:30.886000,3.0,1.0,,,29.916,30.098,30.872,0 days 01:06:25.753000,0 days 01:06:55.851000,0 days 01:07:26.723000,233.0,279.0,297.0,305.0,False,SOFT,6.0,False,AlphaTauri,0 days 01:05:55.829000,2021-11-21 14:06:55.839,1,4.0,True,TRACK LIMITS AT TURN 16,False,True,90.886,90.886
3,0 days 01:08:57.975000,GAS,10,0 days 00:01:31.260000,4.0,1.0,,,30.788,30.19,30.282,0 days 01:07:57.511000,0 days 01:08:27.701000,0 days 01:08:57.983000,231.0,277.0,301.0,309.0,False,SOFT,7.0,False,AlphaTauri,0 days 01:07:26.715000,2021-11-21 14:08:26.725,1,4.0,True,TRACK LIMITS AT TURN 16,False,True,91.26,91.26
4,0 days 01:10:29.054000,GAS,10,0 days 00:01:31.079000,5.0,1.0,,,30.1,30.301,30.678,0 days 01:09:28.083000,0 days 01:09:58.384000,0 days 01:10:29.062000,228.0,276.0,298.0,,False,SOFT,8.0,False,AlphaTauri,0 days 01:08:57.975000,2021-11-21 14:09:57.985,1,4.0,False,,False,True,91.079,91.079
5,0 days 01:12:00.038000,GAS,10,0 days 00:01:30.984000,6.0,1.0,,,30.024,30.319,30.641,0 days 01:10:59.086000,0 days 01:11:29.405000,0 days 01:12:00.046000,229.0,277.0,298.0,305.0,False,SOFT,9.0,False,AlphaTauri,0 days 01:10:29.054000,2021-11-21 14:11:29.064,1,4.0,False,,False,True,90.984,90.98400000000001
6,0 days 01:13:31.261000,GAS,10,0 days 00:01:31.223000,7.0,1.0,,,30.177,30.409,30.637,0 days 01:12:30.223000,0 days 01:13:00.632000,0 days 01:13:31.269000,231.0,276.0,297.0,304.0,False,SOFT,10.0,False,AlphaTauri,0 days 01:12:00.038000,2021-11-21 14:13:00.048,1,4.0,False,,False,True,91.223,91.223
7,0 days 01:15:02.638000,GAS,10,0 days 00:01:31.377000,8.0,1.0,,,30.134,30.54,30.703,0 days 01:14:01.403000,0 days 01:14:31.943000,0 days 01:15:02.646000,230.0,275.0,295.0,303.0,False,SOFT,11.0,False,AlphaTauri,0 days 01:13:31.261000,2021-11-21 14:14:31.271,1,4.0,False,,False,True,91.377,91.377
8,0 days 01:16:33.599000,GAS,10,0 days 00:01:30.961000,9.0,1.0,,,30.125,30.365,30.471,0 days 01:15:32.771000,0 days 01:16:03.136000,0 days 01:16:33.607000,232.0,274.0,296.0,,False,SOFT,12.0,False,AlphaTauri,0 days 01:15:02.638000,2021-11-21 14:16:02.648,1,4.0,False,,False,True,90.961,90.961
9,0 days 01:18:04.653000,GAS,10,0 days 00:01:31.054000,10.0,1.0,,,30.169,30.359,30.526,0 days 01:17:03.776000,0 days 01:17:34.135000,0 days 01:18:04.661000,231.0,275.0,296.0,302.0,False,SOFT,13.0,False,AlphaTauri,0 days 01:16:33.599000,2021-11-21 14:17:33.609,1,4.0,False,,False,True,91.054,91.054
