,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:19.593000,GAS,10,0 days 00:01:41.926000,1.0,1.0,,,,31.107,30.024,,0 days 01:02:49.648000,0 days 01:03:19.753000,287.0,309.0,294.0,310.0,False,MEDIUM,8.0,False,AlphaTauri,0 days 01:01:37.514000,2021-12-05 17:33:44.732,1,8.0,False,,False,False,101.926,
1,0 days 01:04:56.085000,GAS,10,0 days 00:01:36.492000,2.0,1.0,,,36.118,30.641,29.733,0 days 01:03:55.748000,0 days 01:04:26.389000,0 days 01:04:56.122000,280.0,300.0,294.0,302.0,True,MEDIUM,9.0,False,AlphaTauri,0 days 01:03:19.593000,2021-12-05 17:35:26.811,1,8.0,False,,False,True,96.492,96.492
2,0 days 01:06:31.957000,GAS,10,0 days 00:01:35.872000,3.0,1.0,,,35.867,30.327,29.678,0 days 01:05:31.989000,0 days 01:06:02.316000,0 days 01:06:31.994000,,300.0,292.0,303.0,True,MEDIUM,10.0,False,AlphaTauri,0 days 01:04:56.085000,2021-12-05 17:37:03.303,1,8.0,False,,False,True,95.872,95.872
3,0 days 01:08:07.447000,GAS,10,0 days 00:01:35.490000,4.0,1.0,,,35.435,30.281,29.774,0 days 01:07:07.429000,0 days 01:07:37.710000,0 days 01:08:07.484000,,297.0,294.0,301.0,True,MEDIUM,11.0,False,AlphaTauri,0 days 01:06:31.957000,2021-12-05 17:38:39.175,1,8.0,False,,False,True,95.49,95.49000000000001
4,0 days 01:09:42.878000,GAS,10,0 days 00:01:35.431000,5.0,1.0,,,35.631,30.227,29.573,0 days 01:08:43.115000,0 days 01:09:13.342000,0 days 01:09:42.915000,278.0,298.0,292.0,301.0,True,MEDIUM,12.0,False,AlphaTauri,0 days 01:08:07.447000,2021-12-05 17:40:14.665,1,8.0,False,,False,True,95.431,95.43100000000001
5,0 days 01:11:18.154000,GAS,10,0 days 00:01:35.276000,6.0,1.0,,,35.616,30.126,29.534,0 days 01:10:18.531000,0 days 01:10:48.657000,0 days 01:11:18.191000,283.0,299.0,295.0,299.0,True,MEDIUM,13.0,False,AlphaTauri,0 days 01:09:42.878000,2021-12-05 17:41:50.096,1,8.0,False,,False,True,95.276,95.27600000000001
6,0 days 01:12:53.960000,GAS,10,0 days 00:01:35.806000,7.0,1.0,,,36.047,30.133,29.626,0 days 01:11:54.238000,0 days 01:12:24.371000,0 days 01:12:53.997000,271.0,297.0,293.0,299.0,False,MEDIUM,14.0,False,AlphaTauri,0 days 01:11:18.154000,2021-12-05 17:43:25.372,1,8.0,False,,False,True,95.806,95.806
7,0 days 01:14:30.769000,GAS,10,0 days 00:01:36.809000,8.0,1.0,,,36.701,30.365,29.743,0 days 01:13:30.698000,0 days 01:14:01.063000,0 days 01:14:30.806000,280.0,297.0,292.0,299.0,False,MEDIUM,15.0,False,AlphaTauri,0 days 01:12:53.960000,2021-12-05 17:45:01.178,1,9.0,False,,False,True,96.809,96.809
8,0 days 01:16:06.026000,GAS,10,0 days 00:01:35.257000,9.0,1.0,,,35.498,30.048,29.711,0 days 01:15:06.304000,0 days 01:15:36.352000,0 days 01:16:06.063000,282.0,298.0,291.0,300.0,True,MEDIUM,16.0,False,AlphaTauri,0 days 01:14:30.769000,2021-12-05 17:46:37.987,12,9.0,False,,False,True,95.257,95.25699999999999
9,0 days 01:18:10.310000,GAS,10,0 days 00:02:04.284000,10.0,1.0,,,47.781,37.69,38.813,0 days 01:16:53.844000,0 days 01:17:31.534000,0 days 01:18:10.347000,249.0,142.0,234.0,275.0,False,MEDIUM,17.0,False,AlphaTauri,0 days 01:16:06.026000,2021-12-05 17:48:13.244,24,9.0,False,,False,False,124.284,124.284
