,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
62,0 days 01:02:27.901000,26.6,44.0,1014.4,False,39.3,312,1.7
64,0 days 01:04:27.920000,26.6,43.0,1014.4,False,39.1,285,2.5
65,0 days 01:05:27.919000,26.6,43.0,1014.4,False,39.0,311,2.7
67,0 days 01:07:27.949000,26.5,43.0,1014.4,False,38.1,312,2.0
69,0 days 01:09:27.954000,26.5,44.0,1014.5,False,37.4,302,2.5
71,0 days 01:11:27.949000,26.3,44.0,1014.4,False,36.7,307,2.0
74,0 days 01:14:27.947000,26.1,45.0,1014.5,False,36.3,287,1.6
75,0 days 01:15:27.956000,26.2,45.0,1014.4,False,36.2,296,2.0
77,0 days 01:17:27.951000,26.4,44.0,1014.2,False,36.2,180,1.5
78,0 days 01:18:27.950000,26.6,44.0,1014.4,False,36.1,260,0.6
79,0 days 01:19:27.963000,26.6,45.0,1014.4,False,36.2,311,1.2
81,0 days 01:21:27.984000,26.6,44.0,1014.2,False,36.7,340,1.3
82,0 days 01:22:27.981000,26.6,44.0,1014.2,False,37.2,295,2.5
84,0 days 01:24:27.978000,26.7,43.0,1014.2,False,37.7,20,1.7
85,0 days 01:25:27.979000,26.9,44.0,1014.2,False,37.5,346,0.5
86,0 days 01:26:27.981000,26.9,43.0,1014.2,False,36.8,307,0.5
88,0 days 01:28:28.016000,27.1,43.0,1014.2,False,37.7,165,0.4
89,0 days 01:29:27.981000,27.1,42.0,1014.2,False,37.0,321,1.1
91,0 days 01:31:27.982000,26.8,44.0,1014.2,False,36.4,335,1.7
92,0 days 01:32:27.998000,26.7,44.0,1014.2,False,36.6,322,1.0
94,0 days 01:34:27.984000,26.6,44.0,1014.2,False,36.8,343,2.0
95,0 days 01:35:27.989000,26.8,44.0,1014.2,False,36.8,317,1.0
97,0 days 01:37:27.981000,27.1,43.0,1014.2,False,36.5,349,2.0
98,0 days 01:38:27.983000,27.0,43.0,1014.2,False,36.6,283,1.2
101,0 days 01:41:27.982000,27.2,43.0,1014.0,False,37.0,316,1.8
103,0 days 01:43:27.998000,27.2,43.0,1014.0,False,36.5,323,2.0
106,0 days 01:46:27.985000,27.0,43.0,1014.2,False,36.5,265,1.0
107,0 days 01:47:27.979000,27.0,42.0,1014.0,False,36.7,298,1.8
109,0 days 01:49:27.988000,27.0,42.0,1014.0,False,36.4,286,1.6
110,0 days 01:50:27.978000,27.0,42.0,1014.0,False,36.4,158,1.7
111,0 days 01:51:27.978000,27.0,42.0,1014.0,False,36.1,332,1.7
