,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:26.753000,VER,1,0 days 00:01:12.722000,1.0,1.0,,,,31.134,21.189,,0 days 01:03:05.635000,0 days 01:03:26.859000,292.0,228.0,268.0,291.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:13.798000,2022-07-10 13:03:13.807,1,1.0,False,,False,False,72.722,
1,0 days 01:04:37.126000,VER,1,0 days 00:01:10.373000,2.0,1.0,,,17.82,31.421,21.132,0 days 01:03:44.602000,0 days 01:04:16.023000,0 days 01:04:37.155000,287.0,226.0,269.0,284.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:26.753000,2022-07-10 13:04:26.762,1,1.0,False,,False,True,70.373,70.373
2,0 days 01:05:47.291000,VER,1,0 days 00:01:10.165000,3.0,1.0,,,17.693,31.281,21.191,0 days 01:04:54.848000,0 days 01:05:26.129000,0 days 01:05:47.320000,289.0,224.0,270.0,284.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:04:37.126000,2022-07-10 13:05:37.135,1,1.0,False,,False,True,70.165,70.165
3,0 days 01:06:57.419000,VER,1,0 days 00:01:10.128000,4.0,1.0,,,17.663,31.395,21.07,0 days 01:06:04.983000,0 days 01:06:36.378000,0 days 01:06:57.448000,288.0,224.0,271.0,285.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:05:47.291000,2022-07-10 13:06:47.300,1,1.0,False,,False,True,70.128,70.128
4,0 days 01:08:07.679000,VER,1,0 days 00:01:10.260000,5.0,1.0,,,17.751,31.249,21.26,0 days 01:07:15.199000,0 days 01:07:46.448000,0 days 01:08:07.708000,,223.0,269.0,285.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:06:57.419000,2022-07-10 13:07:57.428,1,1.0,False,,False,True,70.26,70.26
5,0 days 01:09:18.036000,VER,1,0 days 00:01:10.357000,6.0,1.0,,,17.807,31.295,21.255,0 days 01:08:25.515000,0 days 01:08:56.810000,0 days 01:09:18.065000,289.0,224.0,270.0,288.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:08:07.679000,2022-07-10 13:09:07.688,1,1.0,False,,False,True,70.357,70.357
6,0 days 01:10:28.595000,VER,1,0 days 00:01:10.559000,7.0,1.0,,,17.791,31.488,21.28,0 days 01:09:35.856000,0 days 01:10:07.344000,0 days 01:10:28.624000,290.0,224.0,270.0,289.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:18.036000,2022-07-10 13:10:18.045,1,1.0,False,,False,True,70.559,70.559
7,0 days 01:11:39.358000,VER,1,0 days 00:01:10.763000,8.0,1.0,,,17.757,31.575,21.431,0 days 01:10:46.381000,0 days 01:11:17.956000,0 days 01:11:39.387000,300.0,222.0,268.0,288.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:10:28.595000,2022-07-10 13:11:28.604,1,1.0,False,,False,True,70.763,70.763
8,0 days 01:12:50.205000,VER,1,0 days 00:01:10.847000,9.0,1.0,,,17.822,31.672,21.353,0 days 01:11:57.209000,0 days 01:12:28.881000,0 days 01:12:50.234000,295.0,223.0,269.0,286.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:11:39.358000,2022-07-10 13:12:39.367,1,1.0,False,,False,True,70.847,70.84700000000001
9,0 days 01:14:01.601000,VER,1,0 days 00:01:11.396000,10.0,1.0,,,17.806,32.182,21.408,0 days 01:13:08.040000,0 days 01:13:40.222000,0 days 01:14:01.630000,293.0,220.0,269.0,293.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:12:50.205000,2022-07-10 13:13:50.214,1,1.0,False,,False,True,71.396,71.396
10,0 days 01:15:12.519000,VER,1,0 days 00:01:10.918000,11.0,1.0,,,17.797,31.703,21.418,0 days 01:14:19.427000,0 days 01:14:51.130000,0 days 01:15:12.548000,294.0,222.0,269.0,288.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:14:01.601000,2022-07-10 13:15:01.610,1,1.0,False,,False,True,70.918,70.918
11,0 days 01:16:24.431000,VER,1,0 days 00:01:11.912000,12.0,1.0,,,17.948,32.426,21.538,0 days 01:15:30.496000,0 days 01:16:02.922000,0 days 01:16:24.460000,286.0,220.0,276.0,293.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:15:12.519000,2022-07-10 13:16:12.528,1,2.0,True,TRACK LIMITS AT TURN 9 LAP 12 ,False,True,71.912,71.912
12,0 days 01:17:38.625000,VER,1,0 days 00:01:14.194000,13.0,1.0,,0 days 01:17:35.323000,17.453,31.956,24.785,0 days 01:16:41.913000,0 days 01:17:13.869000,0 days 01:17:38.654000,314.0,225.0,,308.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:16:24.431000,2022-07-10 13:17:24.440,1,3.0,False,,False,False,74.194,74.194
13,0 days 01:19:06.511000,VER,1,0 days 00:01:27.886000,14.0,2.0,0 days 01:17:57.331000,,35.357,31.367,21.162,0 days 01:18:14.011000,0 days 01:18:45.378000,0 days 01:19:06.540000,287.0,226.0,277.0,290.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:17:38.625000,2022-07-10 13:18:38.634,1,7.0,False,,False,False,87.886,87.886
14,0 days 01:20:16.876000,VER,1,0 days 00:01:10.365000,15.0,2.0,,,17.406,31.222,21.737,0 days 01:19:23.946000,0 days 01:19:55.168000,0 days 01:20:16.905000,290.0,225.0,281.0,292.0,False,HARD,2.0,True,Red Bull Racing,0 days 01:19:06.511000,2022-07-10 13:20:06.520,1,6.0,False,,False,True,70.365,70.365
15,0 days 01:21:26.900000,VER,1,0 days 00:01:10.024000,16.0,2.0,,,17.661,31.153,21.21,0 days 01:20:34.566000,0 days 01:21:05.719000,0 days 01:21:26.929000,315.0,226.0,274.0,293.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:20:16.876000,2022-07-10 13:21:16.885,1,4.0,False,,False,True,70.024,70.024
16,0 days 01:22:37.261000,VER,1,0 days 00:01:10.361000,17.0,2.0,,,17.53,31.27,21.561,0 days 01:21:44.459000,0 days 01:22:15.729000,0 days 01:22:37.290000,292.0,224.0,277.0,313.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:21:26.900000,2022-07-10 13:22:26.909,1,4.0,False,,False,True,70.361,70.36099999999999
17,0 days 01:23:47.721000,VER,1,0 days 00:01:10.460000,18.0,2.0,,,17.621,31.622,21.217,0 days 01:22:54.911000,0 days 01:23:26.533000,0 days 01:23:47.750000,279.0,228.0,269.0,313.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:22:37.261000,2022-07-10 13:23:37.270,1,3.0,False,,False,True,70.46,70.46
18,0 days 01:24:57.616000,VER,1,0 days 00:01:09.895000,19.0,2.0,,,17.612,31.136,21.147,0 days 01:24:05.362000,0 days 01:24:36.498000,0 days 01:24:57.645000,287.0,225.0,269.0,291.0,True,HARD,6.0,True,Red Bull Racing,0 days 01:23:47.721000,2022-07-10 13:24:47.730,1,3.0,False,,False,True,69.895,69.895
19,0 days 01:26:07.511000,VER,1,0 days 00:01:09.895000,20.0,2.0,,,17.672,31.032,21.191,0 days 01:25:15.317000,0 days 01:25:46.349000,0 days 01:26:07.540000,289.0,230.0,268.0,294.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:24:57.616000,2022-07-10 13:25:57.625,1,3.0,False,,False,True,69.895,69.895
20,0 days 01:27:17.447000,VER,1,0 days 00:01:09.936000,21.0,2.0,,,17.643,31.116,21.177,0 days 01:26:25.183000,0 days 01:26:56.299000,0 days 01:27:17.476000,,228.0,269.0,293.0,False,HARD,8.0,True,Red Bull Racing,0 days 01:26:07.511000,2022-07-10 13:27:07.520,1,3.0,False,,False,True,69.936,69.936
21,0 days 01:28:27.293000,VER,1,0 days 00:01:09.846000,22.0,2.0,,,17.542,31.078,21.226,0 days 01:27:35.018000,0 days 01:28:06.096000,0 days 01:28:27.322000,291.0,229.0,268.0,295.0,True,HARD,9.0,True,Red Bull Racing,0 days 01:27:17.447000,2022-07-10 13:28:17.456,1,3.0,False,,False,True,69.846,69.846
22,0 days 01:29:37.396000,VER,1,0 days 00:01:10.103000,23.0,2.0,,,17.655,31.164,21.284,0 days 01:28:44.977000,0 days 01:29:16.141000,0 days 01:29:37.425000,,227.0,268.0,296.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:28:27.293000,2022-07-10 13:29:27.302,1,3.0,False,,False,True,70.103,70.10300000000001
23,0 days 01:30:47.853000,VER,1,0 days 00:01:10.457000,24.0,2.0,,,17.648,31.484,21.325,0 days 01:29:55.073000,0 days 01:30:26.557000,0 days 01:30:47.882000,290.0,227.0,267.0,291.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:29:37.396000,2022-07-10 13:30:37.405,1,3.0,True,TRACK LIMITS AT TURN 10 LAP 24 ,False,True,70.457,70.45700000000001
