,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:28.801000,VER,1,0 days 00:01:23.080000,1.0,1.0,,,,25.105,31.257,,0 days 01:02:57.649000,0 days 01:03:28.914000,250.0,267.0,274.0,300.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:05.478000,2023-06-18 18:03:05.484,1,1.0,False,,False,False,83.08,
1,0 days 01:04:46.876000,VER,1,0 days 00:01:18.075000,2.0,1.0,,,21.686,25.051,31.338,0 days 01:03:50.522000,0 days 01:04:15.573000,0 days 01:04:46.911000,243.0,270.0,275.0,301.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:28.801000,2023-06-18 18:04:28.807,1,1.0,False,,False,True,78.075,78.07499999999999
2,0 days 01:06:04.643000,VER,1,0 days 00:01:17.767000,3.0,1.0,,,21.626,24.909,31.232,0 days 01:05:08.537000,0 days 01:05:33.446000,0 days 01:06:04.678000,246.0,271.0,276.0,300.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:04:46.876000,2023-06-18 18:05:46.882,1,1.0,False,,False,True,77.767,77.767
3,0 days 01:07:21.846000,VER,1,0 days 00:01:17.203000,4.0,1.0,,,21.438,24.716,31.049,0 days 01:06:26.116000,0 days 01:06:50.832000,0 days 01:07:21.881000,250.0,269.0,276.0,301.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:04.643000,2023-06-18 18:07:04.649,1,1.0,False,,False,True,77.203,77.203
4,0 days 01:08:39.217000,VER,1,0 days 00:01:17.371000,5.0,1.0,,,21.493,24.718,31.16,0 days 01:07:43.374000,0 days 01:08:08.092000,0 days 01:08:39.252000,,268.0,275.0,302.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:07:21.846000,2023-06-18 18:08:21.852,1,1.0,False,,False,True,77.371,77.371
5,0 days 01:09:56.824000,VER,1,0 days 00:01:17.607000,6.0,1.0,,,21.609,24.763,31.235,0 days 01:09:00.861000,0 days 01:09:25.624000,0 days 01:09:56.859000,239.0,272.0,275.0,301.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:08:39.217000,2023-06-18 18:09:39.223,1,1.0,False,,False,True,77.607,77.607
6,0 days 01:11:14.389000,VER,1,0 days 00:01:17.565000,7.0,1.0,,,21.6,24.77,31.195,0 days 01:10:18.459000,0 days 01:10:43.229000,0 days 01:11:14.424000,238.0,272.0,276.0,300.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:56.824000,2023-06-18 18:10:56.830,12,1.0,False,,False,True,77.565,77.565
7,0 days 01:12:47.044000,VER,1,0 days 00:01:32.655000,8.0,1.0,,,28.067,33.169,31.419,0 days 01:11:42.491000,0 days 01:12:15.660000,0 days 01:12:47.079000,172.0,229.0,275.0,302.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:11:14.389000,2023-06-18 18:12:14.395,2671,1.0,False,,False,False,92.655,92.655
8,0 days 01:14:04.539000,VER,1,0 days 00:01:17.495000,9.0,1.0,,,21.715,24.787,30.993,0 days 01:13:08.794000,0 days 01:13:33.581000,0 days 01:14:04.574000,238.0,269.0,274.0,303.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:12:47.044000,2023-06-18 18:13:47.050,1,1.0,False,,False,True,77.495,77.49499999999999
9,0 days 01:15:21.898000,VER,1,0 days 00:01:17.359000,10.0,1.0,,,21.577,24.746,31.036,0 days 01:14:26.151000,0 days 01:14:50.897000,0 days 01:15:21.933000,239.0,269.0,276.0,302.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:14:04.539000,2023-06-18 18:15:04.545,1,1.0,False,,False,True,77.359,77.35900000000001
10,0 days 01:16:39.166000,VER,1,0 days 00:01:17.268000,11.0,1.0,,,21.555,24.68,31.033,0 days 01:15:43.488000,0 days 01:16:08.168000,0 days 01:16:39.201000,240.0,271.0,276.0,302.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:15:21.898000,2023-06-18 18:16:21.904,1,1.0,False,,False,True,77.268,77.268
11,0 days 01:18:12.358000,VER,1,0 days 00:01:33.192000,12.0,1.0,,0 days 01:17:50.274000,21.533,24.637,47.022,0 days 01:17:00.734000,0 days 01:17:25.371000,0 days 01:18:12.393000,,272.0,,302.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:16:39.166000,2023-06-18 18:17:39.172,124,1.0,False,,False,False,93.192,93.19200000000001
12,0 days 01:20:42.269000,VER,1,0 days 00:02:29.911000,13.0,2.0,0 days 01:18:13.899000,,42.511,56.572,50.828,0 days 01:18:54.904000,0 days 01:19:51.476000,0 days 01:20:42.304000,89.0,113.0,184.0,131.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:18:12.358000,2023-06-18 18:19:12.364,4,1.0,False,,False,False,149.911,149.911
