,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
62,0 days 01:02:09.328000,22.1,51.0,934.0,False,32.0,246,1.2
63,0 days 01:03:09.359000,22.2,51.0,933.9,False,32.1,232,1.2
65,0 days 01:05:09.356000,22.4,51.0,934.0,False,32.9,154,1.2
67,0 days 01:07:09.354000,22.6,49.0,934.0,False,33.3,0,0.5
69,0 days 01:09:09.618000,22.8,49.0,934.0,False,34.3,216,1.1
70,0 days 01:10:09.382000,22.9,50.0,934.0,False,33.8,80,1.0
71,0 days 01:11:09.616000,23.0,51.0,934.0,False,33.6,103,0.8
72,0 days 01:12:09.381000,23.0,50.0,934.0,False,33.4,0,1.1
73,0 days 01:13:09.629000,23.2,50.0,933.9,False,33.6,53,1.3
74,0 days 01:14:09.394000,23.2,49.0,933.9,False,33.6,71,1.2
76,0 days 01:16:09.407000,23.2,49.0,933.9,False,34.1,0,1.3
77,0 days 01:17:09.422000,23.2,49.0,934.0,False,34.1,81,0.8
78,0 days 01:18:09.593000,23.2,49.0,933.9,False,34.2,86,1.2
79,0 days 01:19:09.435000,23.1,48.0,934.0,False,34.5,161,0.8
80,0 days 01:20:09.434000,23.2,48.0,934.0,False,34.5,161,0.8
82,0 days 01:22:09.432000,23.0,49.0,934.0,False,34.1,284,0.6
83,0 days 01:23:09.447000,22.9,49.0,934.0,False,34.0,285,0.4
84,0 days 01:24:09.477000,22.9,49.0,934.0,False,32.9,330,0.8
86,0 days 01:26:09.522000,22.8,51.0,934.0,False,32.7,95,0.8
87,0 days 01:27:09.489000,22.8,51.0,934.0,False,32.4,73,0.8
88,0 days 01:28:09.488000,22.7,51.0,934.0,False,32.8,145,1.2
89,0 days 01:29:09.518000,22.8,51.0,934.0,False,32.8,325,1.0
90,0 days 01:30:09.517000,22.8,52.0,934.0,False,32.5,93,0.8
91,0 days 01:31:09.532000,22.7,51.0,934.0,False,32.6,86,1.0
93,0 days 01:33:09.561000,22.7,51.0,934.0,False,32.5,3,1.5
94,0 days 01:34:09.575000,22.7,51.0,934.0,False,32.5,0,0.8
95,0 days 01:35:09.574000,22.7,50.0,934.0,False,32.5,64,0.5
96,0 days 01:36:09.573000,22.6,51.0,934.0,False,32.2,47,0.8
98,0 days 01:38:09.571000,22.6,51.0,934.0,False,31.5,29,1.2
99,0 days 01:39:09.586000,22.6,52.0,934.0,False,31.9,112,1.2
100,0 days 01:40:09.569000,22.7,52.0,934.0,False,32.2,113,1.6
101,0 days 01:41:09.584000,22.7,53.0,934.0,False,32.2,94,1.1
102,0 days 01:42:09.583000,22.7,52.0,934.2,False,32.1,129,1.2
103,0 days 01:43:09.581000,22.6,53.0,934.0,False,31.9,94,1.2
104,0 days 01:44:09.596000,22.5,53.0,934.0,False,31.8,80,1.0
106,0 days 01:46:09.610000,22.5,53.0,934.0,False,31.7,167,1.7
