,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
63,0 days 01:03:23.614000,18.0,58.0,966.7,False,29.2,165,3.0
65,0 days 01:05:23.628000,18.0,60.0,966.7,False,28.7,132,2.9
67,0 days 01:07:23.658000,18.1,58.0,966.5,False,29.4,103,2.4
69,0 days 01:09:23.688000,18.1,57.0,966.5,False,30.1,235,1.7
70,0 days 01:10:23.687000,18.1,57.0,966.5,False,30.4,126,2.0
72,0 days 01:12:23.702000,18.1,57.0,966.5,False,31.4,95,1.5
74,0 days 01:14:23.700000,18.1,57.0,966.5,False,31.5,110,0.8
76,0 days 01:16:23.699000,18.1,58.0,966.5,False,30.6,112,1.2
78,0 days 01:18:23.698000,18.1,57.0,966.7,False,30.1,311,2.2
80,0 days 01:20:23.712000,18.2,58.0,966.7,False,29.6,168,1.7
82,0 days 01:22:23.726000,18.3,58.0,966.7,False,29.9,266,1.2
84,0 days 01:24:23.756000,18.2,60.0,966.7,False,29.2,159,2.5
85,0 days 01:25:23.787000,18.0,60.0,966.7,False,29.1,349,1.7
87,0 days 01:27:23.754000,18.0,60.0,966.9,False,28.4,305,1.0
89,0 days 01:29:23.784000,18.0,61.0,966.7,False,28.3,93,2.7
91,0 days 01:31:23.783000,18.2,61.0,966.7,False,28.3,55,1.0
93,0 days 01:33:23.828000,18.2,61.0,966.7,False,28.8,133,2.4
95,0 days 01:35:23.811000,18.2,61.0,966.7,False,28.3,144,1.0
97,0 days 01:37:23.826000,18.0,61.0,966.7,False,27.9,134,0.8
99,0 days 01:39:23.855000,17.9,62.0,966.7,True,27.5,37,0.3
101,0 days 01:41:23.838000,17.7,63.0,966.7,True,27.2,55,1.5
103,0 days 01:43:23.931000,17.5,65.0,966.9,True,26.0,123,1.5
104,0 days 01:44:23.852000,17.4,65.0,967.0,True,25.6,179,1.7
106,0 days 01:46:23.851000,17.1,66.0,967.0,True,25.1,84,1.7
108,0 days 01:48:23.849000,17.0,68.0,966.9,True,25.0,128,1.7
110,0 days 01:50:23.848000,16.9,69.0,966.9,False,25.0,103,1.1
112,0 days 01:52:23.847000,16.9,67.0,966.9,False,25.9,107,1.0
114,0 days 01:54:23.877000,17.0,69.0,966.7,False,26.9,106,0.8
116,0 days 01:56:23.844000,17.3,66.0,966.7,False,27.9,78,1.6
117,0 days 01:57:23.859000,17.4,66.0,966.7,False,29.3,94,1.0
119,0 days 01:59:23.858000,17.6,66.0,966.7,False,30.3,146,1.1
121,0 days 02:01:23.857000,18.0,63.0,966.7,False,31.0,178,1.7
123,0 days 02:03:23.886000,18.3,61.0,966.7,False,31.1,122,2.7
125,0 days 02:05:23.885000,18.5,62.0,966.7,False,30.0,68,1.3
127,0 days 02:07:23.853000,18.4,61.0,966.7,False,29.3,65,0.6
129,0 days 02:09:23.867000,18.5,60.0,966.7,False,30.1,77,1.0
131,0 days 02:11:23.881000,18.8,59.0,966.7,False,30.7,106,1.3
133,0 days 02:13:23.895000,18.8,60.0,966.7,False,29.1,141,1.7
134,0 days 02:14:23.879000,18.8,60.0,966.7,False,29.1,203,2.0
136,0 days 02:16:23.909000,18.8,62.0,966.5,False,28.8,94,1.7
138,0 days 02:18:23.923000,18.9,62.0,966.7,False,29.0,149,1.5
140,0 days 02:20:23.922000,19.0,60.0,966.7,False,30.0,89,1.5
142,0 days 02:22:23.905000,19.2,59.0,966.7,False,29.3,119,2.2
144,0 days 02:24:23.919000,18.8,61.0,966.7,False,28.4,156,1.2
63,0 days 01:03:23.614000,18.0,58.0,966.7,False,29.2,165,3.0
65,0 days 01:05:23.628000,18.0,60.0,966.7,False,28.7,132,2.9
67,0 days 01:07:23.658000,18.1,58.0,966.5,False,29.4,103,2.4
68,0 days 01:08:23.673000,18.1,58.0,966.5,False,30.1,306,2.0
70,0 days 01:10:23.687000,18.1,57.0,966.5,False,30.4,126,2.0
72,0 days 01:12:23.702000,18.1,57.0,966.5,False,31.4,95,1.5
74,0 days 01:14:23.700000,18.1,57.0,966.5,False,31.5,110,0.8
76,0 days 01:16:23.699000,18.1,58.0,966.5,False,30.6,112,1.2
78,0 days 01:18:23.698000,18.1,57.0,966.7,False,30.1,311,2.2
80,0 days 01:20:23.712000,18.2,58.0,966.7,False,29.6,168,1.7
82,0 days 01:22:23.726000,18.3,58.0,966.7,False,29.9,266,1.2
83,0 days 01:23:23.741000,18.1,60.0,966.7,False,29.5,128,1.2
85,0 days 01:25:23.787000,18.0,60.0,966.7,False,29.1,349,1.7
87,0 days 01:27:23.754000,18.0,60.0,966.9,False,28.4,305,1.0
89,0 days 01:29:23.784000,18.0,61.0,966.7,False,28.3,93,2.7
91,0 days 01:31:23.783000,18.2,61.0,966.7,False,28.3,55,1.0
93,0 days 01:33:23.828000,18.2,61.0,966.7,False,28.8,133,2.4
95,0 days 01:35:23.811000,18.2,61.0,966.7,False,28.3,144,1.0
97,0 days 01:37:23.826000,18.0,61.0,966.7,False,27.9,134,0.8
99,0 days 01:39:23.855000,17.9,62.0,966.7,True,27.5,37,0.3
101,0 days 01:41:23.838000,17.7,63.0,966.7,True,27.2,55,1.5
103,0 days 01:43:23.931000,17.5,65.0,966.9,True,26.0,123,1.5
105,0 days 01:45:23.851000,17.3,65.0,966.9,True,25.3,336,1.3
106,0 days 01:46:23.851000,17.1,66.0,967.0,True,25.1,84,1.7
108,0 days 01:48:23.849000,17.0,68.0,966.9,True,25.0,128,1.7
110,0 days 01:50:23.848000,16.9,69.0,966.9,False,25.0,103,1.1
112,0 days 01:52:23.847000,16.9,67.0,966.9,False,25.9,107,1.0
114,0 days 01:54:23.877000,17.0,69.0,966.7,False,26.9,106,0.8
116,0 days 01:56:23.844000,17.3,66.0,966.7,False,27.9,78,1.6
118,0 days 01:58:23.874000,17.6,66.0,966.7,False,29.5,171,1.8
120,0 days 02:00:23.857000,17.7,65.0,966.7,False,30.6,164,1.6
122,0 days 02:02:23.856000,18.1,62.0,966.7,False,31.0,135,2.4
123,0 days 02:03:23.886000,18.3,61.0,966.7,False,31.1,122,2.7
125,0 days 02:05:23.885000,18.5,62.0,966.7,False,30.0,68,1.3
127,0 days 02:07:23.853000,18.4,61.0,966.7,False,29.3,65,0.6
129,0 days 02:09:23.867000,18.5,60.0,966.7,False,30.1,77,1.0
131,0 days 02:11:23.881000,18.8,59.0,966.7,False,30.7,106,1.3
133,0 days 02:13:23.895000,18.8,60.0,966.7,False,29.1,141,1.7
135,0 days 02:15:23.941000,18.7,62.0,966.5,False,28.8,223,2.5
136,0 days 02:16:23.909000,18.8,62.0,966.5,False,28.8,94,1.7
138,0 days 02:18:23.923000,18.9,62.0,966.7,False,29.0,149,1.5
140,0 days 02:20:23.922000,19.0,60.0,966.7,False,30.0,89,1.5
142,0 days 02:22:23.905000,19.2,59.0,966.7,False,29.3,119,2.2
144,0 days 02:24:23.919000,18.8,61.0,966.7,False,28.4,156,1.2
63,0 days 01:03:23.614000,18.0,58.0,966.7,False,29.2,165,3.0
65,0 days 01:05:23.628000,18.0,60.0,966.7,False,28.7,132,2.9
67,0 days 01:07:23.658000,18.1,58.0,966.5,False,29.4,103,2.4
69,0 days 01:09:23.688000,18.1,57.0,966.5,False,30.1,235,1.7
70,0 days 01:10:23.687000,18.1,57.0,966.5,False,30.4,126,2.0
72,0 days 01:12:23.702000,18.1,57.0,966.5,False,31.4,95,1.5
74,0 days 01:14:23.700000,18.1,57.0,966.5,False,31.5,110,0.8
76,0 days 01:16:23.699000,18.1,58.0,966.5,False,30.6,112,1.2
78,0 days 01:18:23.698000,18.1,57.0,966.7,False,30.1,311,2.2
80,0 days 01:20:23.712000,18.2,58.0,966.7,False,29.6,168,1.7
82,0 days 01:22:23.726000,18.3,58.0,966.7,False,29.9,266,1.2
84,0 days 01:24:23.756000,18.2,60.0,966.7,False,29.2,159,2.5
85,0 days 01:25:23.787000,18.0,60.0,966.7,False,29.1,349,1.7
87,0 days 01:27:23.754000,18.0,60.0,966.9,False,28.4,305,1.0
90,0 days 01:30:23.783000,18.0,61.0,966.7,False,28.3,111,1.5
91,0 days 01:31:23.783000,18.2,61.0,966.7,False,28.3,55,1.0
93,0 days 01:33:23.828000,18.2,61.0,966.7,False,28.8,133,2.4
95,0 days 01:35:23.811000,18.2,61.0,966.7,False,28.3,144,1.0
97,0 days 01:37:23.826000,18.0,61.0,966.7,False,27.9,134,0.8
99,0 days 01:39:23.855000,17.9,62.0,966.7,True,27.5,37,0.3
101,0 days 01:41:23.838000,17.7,63.0,966.7,True,27.2,55,1.5
103,0 days 01:43:23.931000,17.5,65.0,966.9,True,26.0,123,1.5
105,0 days 01:45:23.851000,17.3,65.0,966.9,True,25.3,336,1.3
107,0 days 01:47:23.850000,17.1,67.0,966.9,True,25.0,140,2.2
108,0 days 01:48:23.849000,17.0,68.0,966.9,True,25.0,128,1.7
110,0 days 01:50:23.848000,16.9,69.0,966.9,False,25.0,103,1.1
112,0 days 01:52:23.847000,16.9,67.0,966.9,False,25.9,107,1.0
114,0 days 01:54:23.877000,17.0,69.0,966.7,False,26.9,106,0.8
116,0 days 01:56:23.844000,17.3,66.0,966.7,False,27.9,78,1.6
118,0 days 01:58:23.874000,17.6,66.0,966.7,False,29.5,171,1.8
120,0 days 02:00:23.857000,17.7,65.0,966.7,False,30.6,164,1.6
122,0 days 02:02:23.856000,18.1,62.0,966.7,False,31.0,135,2.4
124,0 days 02:04:23.870000,18.4,61.0,966.7,False,31.0,355,2.0
125,0 days 02:05:23.885000,18.5,62.0,966.7,False,30.0,68,1.3
127,0 days 02:07:23.853000,18.4,61.0,966.7,False,29.3,65,0.6
129,0 days 02:09:23.867000,18.5,60.0,966.7,False,30.1,77,1.0
131,0 days 02:11:23.881000,18.8,59.0,966.7,False,30.7,106,1.3
133,0 days 02:13:23.895000,18.8,60.0,966.7,False,29.1,141,1.7
135,0 days 02:15:23.941000,18.7,62.0,966.5,False,28.8,223,2.5
137,0 days 02:17:23.908000,18.8,61.0,966.7,False,28.8,111,1.6
138,0 days 02:18:23.923000,18.9,62.0,966.7,False,29.0,149,1.5
140,0 days 02:20:23.922000,19.0,60.0,966.7,False,30.0,89,1.5
142,0 days 02:22:23.905000,19.2,59.0,966.7,False,29.3,119,2.2
144,0 days 02:24:23.919000,18.8,61.0,966.7,False,28.4,156,1.2
63,0 days 01:03:23.614000,18.0,58.0,966.7,False,29.2,165,3.0
65,0 days 01:05:23.628000,18.0,60.0,966.7,False,28.7,132,2.9
67,0 days 01:07:23.658000,18.1,58.0,966.5,False,29.4,103,2.4
69,0 days 01:09:23.688000,18.1,57.0,966.5,False,30.1,235,1.7
70,0 days 01:10:23.687000,18.1,57.0,966.5,False,30.4,126,2.0
72,0 days 01:12:23.702000,18.1,57.0,966.5,False,31.4,95,1.5
74,0 days 01:14:23.700000,18.1,57.0,966.5,False,31.5,110,0.8
76,0 days 01:16:23.699000,18.1,58.0,966.5,False,30.6,112,1.2
