,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
62,0 days 01:02:57.682000,20.6,58.0,928.0,False,47.8,181,1.1
64,0 days 01:04:57.694000,20.6,60.0,928.0,False,47.1,178,1.2
90,0 days 01:30:57.894000,20.7,55.0,927.9,False,49.2,198,2.2
92,0 days 01:32:57.909000,20.8,56.0,927.9,False,48.7,98,1.7
94,0 days 01:34:57.923000,21.0,55.0,927.7,False,50.2,180,0.8
95,0 days 01:35:57.922000,20.9,55.0,927.9,False,49.8,186,1.1
96,0 days 01:36:57.921000,21.0,57.0,927.9,False,49.8,307,1.2
98,0 days 01:38:57.920000,21.1,58.0,927.9,False,49.7,204,1.8
99,0 days 01:39:57.919000,21.1,58.0,927.9,False,49.3,175,1.7
100,0 days 01:40:57.919000,21.0,58.0,927.7,False,49.4,263,1.0
102,0 days 01:42:57.917000,20.9,58.0,927.5,False,49.2,291,1.5
103,0 days 01:43:57.917000,20.8,57.0,927.7,False,48.9,152,1.7
104,0 days 01:44:57.932000,20.8,55.0,927.7,False,49.1,181,1.3
105,0 days 01:45:57.931000,20.6,56.0,927.7,False,48.8,159,1.8
107,0 days 01:47:57.945000,20.6,56.0,927.7,False,48.9,189,0.4
108,0 days 01:48:57.944000,20.8,55.0,927.9,False,48.9,194,1.7
109,0 days 01:49:57.944000,20.9,55.0,927.7,False,49.0,176,2.2
110,0 days 01:50:57.959000,21.0,56.0,927.7,False,48.7,170,2.2
112,0 days 01:52:57.973000,20.9,57.0,927.7,False,48.8,197,1.5
113,0 days 01:53:57.972000,20.8,57.0,927.9,False,48.9,166,0.8
114,0 days 01:54:57.971000,20.6,58.0,927.9,False,48.9,190,2.5
115,0 days 01:55:57.986000,20.5,59.0,927.7,False,48.3,198,1.3
117,0 days 01:57:57.985000,20.4,59.0,927.7,False,48.3,175,1.5
118,0 days 01:58:57.969000,20.5,59.0,927.7,False,48.5,195,1.5
119,0 days 01:59:57.984000,20.5,58.0,927.7,False,48.1,155,1.2
121,0 days 02:01:57.982000,20.5,58.0,927.7,False,47.8,200,0.6
122,0 days 02:02:57.982000,20.5,57.0,927.9,False,48.4,190,0.6
123,0 days 02:03:57.996000,20.6,57.0,927.7,False,48.7,196,1.1
125,0 days 02:05:57.995000,20.5,57.0,927.7,False,48.8,154,1.2
126,0 days 02:06:58.010000,20.4,57.0,927.7,False,48.4,174,1.1
