,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:15:48.731000,VER,1,0 days 00:01:45.670000,1.0,1.0,,,,33.497,38.249,,0 days 00:15:10.604000,0 days 00:15:48.822000,176.0,204.0,297.0,278.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:14:02.793000,2023-11-19 06:04:05.010,126,1.0,False,,False,False,105.67,
1,0 days 00:18:01.742000,VER,1,0 days 00:02:13.011000,2.0,1.0,,,39.773,44.45,48.788,0 days 00:16:28.595000,0 days 00:17:13.045000,0 days 00:18:01.833000,158.0,186.0,295.0,197.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:15:48.731000,2023-11-19 06:05:50.948,671,1.0,False,,False,False,133.011,133.01100000000002
2,0 days 00:19:51.730000,VER,1,0 days 00:01:49.988000,3.0,1.0,,,29.413,33.294,47.281,0 days 00:18:31.246000,0 days 00:19:04.540000,0 days 00:19:51.821000,176.0,203.0,188.0,279.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:18:01.742000,2023-11-19 06:08:03.959,124,1.0,False,,False,False,109.988,109.988
3,0 days 00:22:57.526000,VER,1,,4.0,1.0,,,42.603,65.458,77.77,0 days 00:20:34.504000,0 days 00:21:39.847000,0 days 00:22:57.799000,135.0,85.0,169.0,109.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:19:51.730000,2023-11-19 06:09:53.947,4,1.0,False,,False,False,,185.83100000000002
4,0 days 00:25:45.176000,VER,1,,5.0,1.0,,,46.136,58.36,63.062,0 days 00:23:43.845000,0 days 00:24:42.234000,0 days 00:25:45.405000,138.0,172.0,142.0,129.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:22:57.526000,2023-11-19 06:12:59.743,4,1.0,False,,False,False,,167.558
5,0 days 00:28:26.574000,VER,1,,6.0,1.0,,,42.228,48.874,70.412,0 days 00:26:27.529000,0 days 00:27:16.388000,0 days 00:28:26.840000,142.0,177.0,312.0,108.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:25:45.176000,2023-11-19 06:15:47.393,41,1.0,False,,False,False,,161.514
6,0 days 00:30:07.359000,VER,1,0 days 00:01:40.785000,7.0,1.0,,,29.256,33.44,38.089,0 days 00:28:55.921000,0 days 00:29:29.361000,0 days 00:30:07.450000,174.0,205.0,309.0,285.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 00:28:26.574000,2023-11-19 06:18:28.791,1,1.0,False,,False,True,100.785,100.785
7,0 days 00:31:47.501000,VER,1,0 days 00:01:40.142000,8.0,1.0,,,29.033,33.306,37.803,0 days 00:30:36.483000,0 days 00:31:09.789000,0 days 00:31:47.592000,176.0,206.0,311.0,293.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 00:30:07.359000,2023-11-19 06:20:09.576,1,1.0,False,,False,True,100.142,100.142
8,0 days 00:33:27.170000,VER,1,0 days 00:01:39.669000,9.0,1.0,,,28.653,33.163,37.853,0 days 00:32:16.245000,0 days 00:32:49.408000,0 days 00:33:27.261000,177.0,205.0,309.0,293.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 00:31:47.501000,2023-11-19 06:21:49.718,1,1.0,False,,False,True,99.669,99.669
9,0 days 00:35:06.654000,VER,1,0 days 00:01:39.484000,10.0,1.0,,,28.549,33.175,37.76,0 days 00:33:55.810000,0 days 00:34:28.985000,0 days 00:35:06.745000,,206.0,310.0,297.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 00:33:27.170000,2023-11-19 06:23:29.387,1,1.0,False,,False,True,99.484,99.484
