,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:04:51.506000,VER,1,0 days 00:02:10.735000,1.0,1.0,,0 days 01:04:49.856000,,64.045,31.458,,0 days 01:04:20.107000,0 days 01:04:51.657000,278.0,214.0,,184.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:40.422000,2024-04-07 05:03:42.056,125,1.0,False,,False,False,130.735,
1,0 days 01:33:22.630000,VER,1,,2.0,2.0,0 days 01:31:05.329000,,,56.617,39.032,,0 days 01:32:43.657000,0 days 01:33:22.813000,179.0,245.0,48.0,126.0,False,MEDIUM,2.0,False,Red Bull Racing,0 days 01:30:58.774000,2024-04-07 05:32:00.408,1,1.0,False,,False,False,,
2,0 days 01:36:15.449000,VER,1,,3.0,2.0,,,,42.768,18.603,,0 days 01:35:57.085000,0 days 01:36:15.756000,279.0,291.0,253.0,285.0,False,MEDIUM,3.0,False,Red Bull Racing,0 days 01:33:22.630000,2024-04-07 05:34:24.264,1,1.0,False,,False,False,,
3,0 days 01:37:51.921000,VER,1,0 days 00:01:36.472000,4.0,2.0,,,34.772,43.042,18.658,0 days 01:36:50.280000,0 days 01:37:33.322000,0 days 01:37:51.980000,278.0,292.0,252.0,284.0,True,MEDIUM,4.0,False,Red Bull Racing,0 days 01:36:15.449000,2024-04-07 05:37:17.083,1,1.0,False,,False,True,96.472,96.472
4,0 days 01:39:28.358000,VER,1,0 days 00:01:36.437000,5.0,2.0,,,34.69,43.035,18.712,0 days 01:38:26.670000,0 days 01:39:09.705000,0 days 01:39:28.417000,279.0,293.0,253.0,286.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 01:37:51.921000,2024-04-07 05:38:53.555,1,1.0,False,,False,True,96.437,96.437
5,0 days 01:41:05.213000,VER,1,0 days 00:01:36.855000,6.0,2.0,,,34.965,43.196,18.694,0 days 01:40:03.382000,0 days 01:40:46.578000,0 days 01:41:05.272000,278.0,293.0,253.0,286.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 01:39:28.358000,2024-04-07 05:40:29.992,1,1.0,False,,False,True,96.855,96.855
6,0 days 01:42:42.183000,VER,1,0 days 00:01:36.970000,7.0,2.0,,,34.987,43.3,18.683,0 days 01:41:40.259000,0 days 01:42:23.559000,0 days 01:42:42.242000,,293.0,253.0,284.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 01:41:05.213000,2024-04-07 05:42:06.847,1,1.0,False,,False,True,96.97,96.97
7,0 days 01:44:19.512000,VER,1,0 days 00:01:37.329000,8.0,2.0,,,35.112,43.412,18.805,0 days 01:43:17.354000,0 days 01:44:00.766000,0 days 01:44:19.571000,,293.0,253.0,287.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:42:42.183000,2024-04-07 05:43:43.817,1,1.0,False,,False,True,97.329,97.32900000000001
8,0 days 01:45:56.690000,VER,1,0 days 00:01:37.178000,9.0,2.0,,,35.132,43.298,18.748,0 days 01:44:54.703000,0 days 01:45:38.001000,0 days 01:45:56.749000,,293.0,252.0,288.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:44:19.512000,2024-04-07 05:45:21.146,1,1.0,False,,False,True,97.178,97.17800000000001
9,0 days 01:47:34.280000,VER,1,0 days 00:01:37.590000,10.0,2.0,,,35.45,43.353,18.787,0 days 01:46:32.199000,0 days 01:47:15.552000,0 days 01:47:34.339000,277.0,292.0,252.0,286.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:45:56.690000,2024-04-07 05:46:58.324,1,1.0,False,,False,True,97.59,97.59
10,0 days 01:49:12.054000,VER,1,0 days 00:01:37.774000,11.0,2.0,,,35.32,43.622,18.832,0 days 01:48:09.659000,0 days 01:48:53.281000,0 days 01:49:12.113000,276.0,293.0,252.0,287.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:47:34.280000,2024-04-07 05:48:35.914,1,1.0,False,,False,True,97.774,97.774
11,0 days 01:50:49.807000,VER,1,0 days 00:01:37.753000,12.0,2.0,,,35.415,43.468,18.87,0 days 01:49:47.528000,0 days 01:50:30.996000,0 days 01:50:49.866000,278.0,292.0,252.0,285.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:49:12.054000,2024-04-07 05:50:13.688,1,1.0,False,,False,True,97.753,97.75300000000001
12,0 days 01:52:27.534000,VER,1,0 days 00:01:37.727000,13.0,2.0,,,35.365,43.511,18.851,0 days 01:51:25.231000,0 days 01:52:08.742000,0 days 01:52:27.593000,,292.0,253.0,288.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:50:49.807000,2024-04-07 05:51:51.441,1,1.0,False,,False,True,97.727,97.727
13,0 days 01:54:05.444000,VER,1,0 days 00:01:37.910000,14.0,2.0,,,35.432,43.612,18.866,0 days 01:53:03.025000,0 days 01:53:46.637000,0 days 01:54:05.503000,,291.0,253.0,286.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:52:27.534000,2024-04-07 05:53:29.168,1,1.0,False,,False,True,97.91,97.91000000000001
14,0 days 01:55:43.298000,VER,1,0 days 00:01:37.854000,15.0,2.0,,,35.465,43.565,18.824,0 days 01:54:40.968000,0 days 01:55:24.533000,0 days 01:55:43.357000,,292.0,253.0,285.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:54:05.444000,2024-04-07 05:55:07.078,1,1.0,False,,False,True,97.854,97.854
