,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:56:59.731000,VER,1,0 days 00:01:22.881000,1.0,1.0,,,,27.949,27.0,,0 days 00:56:32.802000,0 days 00:56:59.922000,215.0,250.0,277.0,280.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:55:36.608000,2024-05-19 13:03:16.594,1,1.0,False,,False,False,82.881,
1,0 days 00:58:20.327000,VER,1,0 days 00:01:20.596000,2.0,1.0,,,25.604,27.925,27.067,0 days 00:57:25.376000,0 days 00:57:53.301000,0 days 00:58:20.368000,218.0,251.0,276.0,281.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:56:59.731000,2024-05-19 13:04:39.717,1,1.0,False,,False,True,80.596,80.596
2,0 days 00:59:41.199000,VER,1,0 days 00:01:20.872000,3.0,1.0,,,25.743,28.104,27.025,0 days 00:58:46.111000,0 days 00:59:14.215000,0 days 00:59:41.240000,216.0,250.0,276.0,281.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:58:20.327000,2024-05-19 13:06:00.313,1,1.0,False,,False,True,80.872,80.87199999999999
3,0 days 01:01:01.870000,VER,1,0 days 00:01:20.671000,4.0,1.0,,,25.651,27.991,27.029,0 days 01:00:06.891000,0 days 01:00:34.882000,0 days 01:01:01.911000,215.0,251.0,276.0,281.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:59:41.199000,2024-05-19 13:07:21.185,1,1.0,False,,False,True,80.671,80.67099999999999
4,0 days 01:02:22.604000,VER,1,0 days 00:01:20.734000,5.0,1.0,,,25.602,28.041,27.091,0 days 01:01:27.513000,0 days 01:01:55.554000,0 days 01:02:22.645000,,251.0,276.0,282.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:01:01.870000,2024-05-19 13:08:41.856,1,1.0,False,,False,True,80.734,80.73400000000001
5,0 days 01:03:43.472000,VER,1,0 days 00:01:20.868000,6.0,1.0,,,25.697,28.085,27.086,0 days 01:02:48.342000,0 days 01:03:16.427000,0 days 01:03:43.513000,212.0,252.0,276.0,284.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:02:22.604000,2024-05-19 13:10:02.590,1,1.0,False,,False,True,80.868,80.868
6,0 days 01:05:04.340000,VER,1,0 days 00:01:20.868000,7.0,1.0,,,25.734,28.186,26.948,0 days 01:04:09.247000,0 days 01:04:37.433000,0 days 01:05:04.381000,214.0,250.0,276.0,284.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:03:43.472000,2024-05-19 13:11:23.458,1,1.0,False,,False,True,80.868,80.868
7,0 days 01:06:25.102000,VER,1,0 days 00:01:20.762000,8.0,1.0,,,25.71,28.135,26.917,0 days 01:05:30.091000,0 days 01:05:58.226000,0 days 01:06:25.143000,215.0,252.0,276.0,286.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:05:04.340000,2024-05-19 13:12:44.326,1,1.0,False,,False,True,80.762,80.762
8,0 days 01:07:45.645000,VER,1,0 days 00:01:20.543000,9.0,1.0,,,25.629,27.978,26.936,0 days 01:06:50.772000,0 days 01:07:18.750000,0 days 01:07:45.686000,219.0,255.0,277.0,287.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:06:25.102000,2024-05-19 13:14:05.088,1,1.0,False,,False,True,80.543,80.543
9,0 days 01:09:06.738000,VER,1,0 days 00:01:21.093000,10.0,1.0,,,25.633,28.203,27.257,0 days 01:08:11.319000,0 days 01:08:39.522000,0 days 01:09:06.779000,218.0,251.0,276.0,283.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:07:45.645000,2024-05-19 13:15:25.631,1,1.0,False,,False,True,81.093,81.093
10,0 days 01:10:27.623000,VER,1,0 days 00:01:20.885000,11.0,1.0,,,25.704,28.03,27.151,0 days 01:09:32.483000,0 days 01:10:00.513000,0 days 01:10:27.664000,,255.0,277.0,289.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:09:06.738000,2024-05-19 13:16:46.724,1,1.0,True,TRACK LIMITS AT TURN 17 LAP 11 ,False,True,80.885,80.885
11,0 days 01:11:48.910000,VER,1,0 days 00:01:21.287000,12.0,1.0,,,25.804,28.255,27.228,0 days 01:10:53.468000,0 days 01:11:21.723000,0 days 01:11:48.951000,216.0,251.0,276.0,287.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:10:27.623000,2024-05-19 13:18:07.609,1,1.0,False,,False,True,81.287,81.287
