,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:36:02.319000,LEC,16,0 days 00:40:56.330000,1.0,1.0,,0 days 00:56:45.433000,,46.389,,,0 days 00:56:17.802000,,197.0,80.0,,270.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:55:05.680000,2024-05-26 13:03:11.069,1254,1.0,False,,False,False,2456.33,
1,0 days 01:39:00.140000,LEC,16,,2.0,2.0,0 days 01:36:03.182000,,26.854,41.743,,0 days 01:36:29.220000,0 days 01:37:11.027000,,173.0,137.0,2.0,241.0,False,HARD,1.0,True,Ferrari,0 days 01:35:54.733000,2024-05-26 13:44:00.122,14,1.0,False,,False,False,,
2,0 days 01:40:24.764000,LEC,16,0 days 00:01:24.624000,3.0,2.0,,,24.007,38.235,22.382,0 days 01:39:24.207000,0 days 01:40:02.442000,0 days 01:40:24.824000,199.0,167.0,250.0,269.0,True,HARD,2.0,True,Ferrari,0 days 01:39:00.140000,2024-05-26 13:47:05.529,1,1.0,False,,False,True,84.624,84.62400000000001
3,0 days 01:41:47.389000,LEC,16,0 days 00:01:22.625000,4.0,2.0,,,21.892,38.779,21.954,0 days 01:40:46.716000,0 days 01:41:25.495000,0 days 01:41:47.449000,192.0,173.0,252.0,269.0,True,HARD,3.0,True,Ferrari,0 days 01:40:24.764000,2024-05-26 13:48:30.153,1,1.0,False,,False,True,82.625,82.625
4,0 days 01:43:09.184000,LEC,16,0 days 00:01:21.795000,5.0,2.0,,,21.314,38.513,21.968,0 days 01:42:08.763000,0 days 01:42:47.276000,0 days 01:43:09.244000,196.0,175.0,253.0,271.0,True,HARD,4.0,True,Ferrari,0 days 01:41:47.389000,2024-05-26 13:49:52.778,1,1.0,False,,False,True,81.795,81.795
5,0 days 01:44:30.329000,LEC,16,0 days 00:01:21.145000,6.0,2.0,,,21.568,38.168,21.409,0 days 01:43:30.812000,0 days 01:44:08.980000,0 days 01:44:30.389000,190.0,179.0,252.0,271.0,True,HARD,5.0,True,Ferrari,0 days 01:43:09.184000,2024-05-26 13:51:14.573,1,1.0,False,,False,True,81.145,81.14500000000001
6,0 days 01:45:51.309000,LEC,16,0 days 00:01:20.980000,7.0,2.0,,,21.37,38.056,21.554,0 days 01:44:51.759000,0 days 01:45:29.815000,0 days 01:45:51.369000,193.0,175.0,253.0,271.0,True,HARD,6.0,True,Ferrari,0 days 01:44:30.329000,2024-05-26 13:52:35.718,1,1.0,False,,False,True,80.98,80.98
7,0 days 01:47:12.339000,LEC,16,0 days 00:01:21.030000,8.0,2.0,,,21.25,38.171,21.609,0 days 01:46:12.619000,0 days 01:46:50.790000,0 days 01:47:12.399000,190.0,178.0,252.0,270.0,False,HARD,7.0,True,Ferrari,0 days 01:45:51.309000,2024-05-26 13:53:56.698,1,1.0,False,,False,True,81.03,81.03
8,0 days 01:48:32.453000,LEC,16,0 days 00:01:20.114000,9.0,2.0,,,21.092,37.612,21.41,0 days 01:47:33.491000,0 days 01:48:11.103000,0 days 01:48:32.513000,197.0,177.0,252.0,271.0,True,HARD,8.0,True,Ferrari,0 days 01:47:12.339000,2024-05-26 13:55:17.728,1,1.0,False,,False,True,80.114,80.114
9,0 days 01:49:53.228000,LEC,16,0 days 00:01:20.775000,10.0,2.0,,,21.036,37.886,21.853,0 days 01:48:53.549000,0 days 01:49:31.435000,0 days 01:49:53.288000,196.0,175.0,252.0,271.0,False,HARD,9.0,True,Ferrari,0 days 01:48:32.453000,2024-05-26 13:56:37.842,1,1.0,False,,False,True,80.775,80.775
10,0 days 01:51:14.274000,LEC,16,0 days 00:01:21.046000,11.0,2.0,,,21.279,38.236,21.531,0 days 01:50:14.567000,0 days 01:50:52.803000,0 days 01:51:14.334000,192.0,178.0,253.0,271.0,False,HARD,10.0,True,Ferrari,0 days 01:49:53.228000,2024-05-26 13:57:58.617,1,1.0,False,,False,True,81.046,81.04599999999999
11,0 days 01:52:34.526000,LEC,16,0 days 00:01:20.252000,12.0,2.0,,,20.949,37.73,21.573,0 days 01:51:35.283000,0 days 01:52:13.013000,0 days 01:52:34.586000,196.0,176.0,252.0,271.0,False,HARD,11.0,True,Ferrari,0 days 01:51:14.274000,2024-05-26 13:59:19.663,1,1.0,False,,False,True,80.252,80.25200000000001
12,0 days 01:53:53.543000,LEC,16,0 days 00:01:19.017000,13.0,2.0,,,20.818,36.898,21.301,0 days 01:52:55.404000,0 days 01:53:32.302000,0 days 01:53:53.603000,200.0,180.0,253.0,272.0,True,HARD,12.0,True,Ferrari,0 days 01:52:34.526000,2024-05-26 14:00:39.915,1,1.0,False,,False,True,79.017,79.01700000000001
13,0 days 01:55:13.456000,LEC,16,0 days 00:01:19.913000,14.0,2.0,,,20.847,38.003,21.063,0 days 01:54:14.450000,0 days 01:54:52.453000,0 days 01:55:13.516000,198.0,182.0,253.0,270.0,False,HARD,13.0,True,Ferrari,0 days 01:53:53.543000,2024-05-26 14:01:58.932,1,1.0,False,,False,True,79.913,79.913
14,0 days 01:56:33.294000,LEC,16,0 days 00:01:19.838000,15.0,2.0,,,20.763,37.77,21.305,0 days 01:55:34.279000,0 days 01:56:12.049000,0 days 01:56:33.354000,202.0,180.0,252.0,272.0,False,HARD,14.0,True,Ferrari,0 days 01:55:13.456000,2024-05-26 14:03:18.845,1,1.0,False,,False,True,79.838,79.838
15,0 days 01:57:53.450000,LEC,16,0 days 00:01:20.156000,16.0,2.0,,,21.139,37.516,21.501,0 days 01:56:54.493000,0 days 01:57:32.009000,0 days 01:57:53.510000,195.0,177.0,253.0,272.0,False,HARD,15.0,True,Ferrari,0 days 01:56:33.294000,2024-05-26 14:04:38.683,1,1.0,False,,False,True,80.156,80.156
16,0 days 01:59:13.729000,LEC,16,0 days 00:01:20.279000,17.0,2.0,,,20.925,37.498,21.856,0 days 01:58:14.435000,0 days 01:58:51.933000,0 days 01:59:13.789000,202.0,175.0,253.0,273.0,False,HARD,16.0,True,Ferrari,0 days 01:57:53.450000,2024-05-26 14:05:58.839,1,1.0,False,,False,True,80.279,80.279
17,0 days 02:00:33.309000,LEC,16,0 days 00:01:19.580000,18.0,2.0,,,20.612,37.578,21.39,0 days 01:59:34.401000,0 days 02:00:11.979000,0 days 02:00:33.369000,199.0,181.0,254.0,273.0,False,HARD,17.0,True,Ferrari,0 days 01:59:13.729000,2024-05-26 14:07:19.118,1,1.0,False,,False,True,79.58,79.58
18,0 days 02:01:52.151000,LEC,16,0 days 00:01:18.842000,19.0,2.0,,,20.806,36.89,21.146,0 days 02:00:54.175000,0 days 02:01:31.065000,0 days 02:01:52.211000,202.0,179.0,253.0,273.0,True,HARD,18.0,True,Ferrari,0 days 02:00:33.309000,2024-05-26 14:08:38.698,1,1.0,False,,False,True,78.842,78.842
19,0 days 02:03:10.875000,LEC,16,0 days 00:01:18.724000,20.0,2.0,,,20.573,37.018,21.133,0 days 02:02:12.784000,0 days 02:02:49.802000,0 days 02:03:10.935000,197.0,180.0,254.0,272.0,True,HARD,19.0,True,Ferrari,0 days 02:01:52.151000,2024-05-26 14:09:57.540,1,1.0,False,,False,True,78.724,78.724
20,0 days 02:04:29.347000,LEC,16,0 days 00:01:18.472000,21.0,2.0,,,20.609,36.874,20.989,0 days 02:03:31.544000,0 days 02:04:08.418000,0 days 02:04:29.407000,199.0,184.0,254.0,272.0,True,HARD,20.0,True,Ferrari,0 days 02:03:10.875000,2024-05-26 14:11:16.264,1,1.0,False,,False,True,78.472,78.47200000000001
21,0 days 02:05:47.967000,LEC,16,0 days 00:01:18.620000,22.0,2.0,,,20.591,37.004,21.025,0 days 02:04:49.998000,0 days 02:05:27.002000,0 days 02:05:48.027000,201.0,184.0,255.0,272.0,False,HARD,21.0,True,Ferrari,0 days 02:04:29.347000,2024-05-26 14:12:34.736,1,1.0,False,,False,True,78.62,78.62
22,0 days 02:07:06.425000,LEC,16,0 days 00:01:18.458000,23.0,2.0,,,20.638,36.755,21.065,0 days 02:06:08.665000,0 days 02:06:45.420000,0 days 02:07:06.485000,202.0,184.0,254.0,273.0,True,HARD,22.0,True,Ferrari,0 days 02:05:47.967000,2024-05-26 14:13:53.356,1,1.0,False,,False,True,78.458,78.458
23,0 days 02:08:25.150000,LEC,16,0 days 00:01:18.725000,24.0,2.0,,,20.436,37.261,21.028,0 days 02:07:26.921000,0 days 02:08:04.182000,0 days 02:08:25.210000,,182.0,254.0,273.0,False,HARD,23.0,True,Ferrari,0 days 02:07:06.425000,2024-05-26 14:15:11.814,1,1.0,False,,False,True,78.725,78.725
24,0 days 02:09:44.123000,LEC,16,0 days 00:01:18.973000,25.0,2.0,,,20.408,37.435,21.13,0 days 02:08:45.618000,0 days 02:09:23.053000,0 days 02:09:44.183000,203.0,181.0,254.0,273.0,False,HARD,24.0,True,Ferrari,0 days 02:08:25.150000,2024-05-26 14:16:30.539,1,1.0,False,,False,True,78.973,78.973
25,0 days 02:11:02.568000,LEC,16,0 days 00:01:18.445000,26.0,2.0,,,20.305,37.048,21.092,0 days 02:10:04.488000,0 days 02:10:41.536000,0 days 02:11:02.628000,204.0,185.0,254.0,273.0,True,HARD,25.0,True,Ferrari,0 days 02:09:44.123000,2024-05-26 14:17:49.512,1,1.0,False,,False,True,78.445,78.445
26,0 days 02:12:20.919000,LEC,16,0 days 00:01:18.351000,27.0,2.0,,,20.507,36.769,21.075,0 days 02:11:23.135000,0 days 02:11:59.904000,0 days 02:12:20.979000,201.0,182.0,255.0,275.0,True,HARD,26.0,True,Ferrari,0 days 02:11:02.568000,2024-05-26 14:19:07.957,1,1.0,False,,False,True,78.351,78.351
27,0 days 02:13:39.629000,LEC,16,0 days 00:01:18.710000,28.0,2.0,,,20.535,37.208,20.967,0 days 02:12:41.514000,0 days 02:13:18.722000,0 days 02:13:39.689000,194.0,185.0,255.0,274.0,False,HARD,27.0,True,Ferrari,0 days 02:12:20.919000,2024-05-26 14:20:26.308,1,1.0,False,,False,True,78.71,78.71
28,0 days 02:14:58.682000,LEC,16,0 days 00:01:19.053000,29.0,2.0,,,20.429,37.312,21.312,0 days 02:14:00.118000,0 days 02:14:37.430000,0 days 02:14:58.742000,200.0,176.0,255.0,275.0,False,HARD,28.0,True,Ferrari,0 days 02:13:39.629000,2024-05-26 14:21:45.018,1,1.0,False,,False,True,79.053,79.053
29,0 days 02:16:18.617000,LEC,16,0 days 00:01:19.935000,30.0,2.0,,,21.091,37.38,21.464,0 days 02:15:19.833000,0 days 02:15:57.213000,0 days 02:16:18.677000,194.0,180.0,255.0,275.0,False,HARD,29.0,True,Ferrari,0 days 02:14:58.682000,2024-05-26 14:23:04.071,1,1.0,False,,False,True,79.935,79.935
30,0 days 02:17:37.010000,LEC,16,0 days 00:01:18.393000,31.0,2.0,,,20.706,36.687,21.0,0 days 02:16:39.383000,0 days 02:17:16.070000,0 days 02:17:37.070000,197.0,185.0,256.0,276.0,False,HARD,30.0,True,Ferrari,0 days 02:16:18.617000,2024-05-26 14:24:24.006,1,1.0,False,,False,True,78.393,78.393
31,0 days 02:18:56.135000,LEC,16,0 days 00:01:19.125000,32.0,2.0,,,20.483,37.216,21.426,0 days 02:17:57.553000,0 days 02:18:34.769000,0 days 02:18:56.195000,196.0,178.0,255.0,275.0,False,HARD,31.0,True,Ferrari,0 days 02:17:37.010000,2024-05-26 14:25:42.399,1,1.0,False,,False,True,79.125,79.125
32,0 days 02:20:14.629000,LEC,16,0 days 00:01:18.494000,33.0,2.0,,,20.51,36.916,21.068,0 days 02:19:16.705000,0 days 02:19:53.621000,0 days 02:20:14.689000,202.0,185.0,256.0,277.0,False,HARD,32.0,True,Ferrari,0 days 02:18:56.135000,2024-05-26 14:27:01.524,1,1.0,False,,False,True,78.494,78.494
33,0 days 02:21:33.948000,LEC,16,0 days 00:01:19.319000,34.0,2.0,,,20.412,37.589,21.318,0 days 02:20:35.101000,0 days 02:21:12.690000,0 days 02:21:34.008000,199.0,181.0,255.0,276.0,False,HARD,33.0,True,Ferrari,0 days 02:20:14.629000,2024-05-26 14:28:20.018,1,1.0,False,,False,True,79.319,79.319
