,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:59:51.778000,HAM,44,0 days 00:01:36.034000,1.0,1.0,,,,37.703,25.484,,0 days 00:59:26.446000,0 days 00:59:51.913000,299.0,257.0,244.0,299.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:58:15.512000,2024-07-07 14:03:12.541,1,2.0,False,,False,False,96.034,
1,0 days 01:01:23.198000,HAM,44,0 days 00:01:31.420000,2.0,1.0,,,29.249,37.314,24.857,0 days 01:00:21.055000,0 days 01:00:58.369000,0 days 01:01:23.226000,313.0,258.0,246.0,319.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:59:51.778000,2024-07-07 14:04:48.807,1,2.0,False,,False,True,91.42,91.42
2,0 days 01:02:54.914000,HAM,44,0 days 00:01:31.716000,3.0,1.0,,,29.287,37.133,25.296,0 days 01:01:52.513000,0 days 01:02:29.646000,0 days 01:02:54.942000,307.0,257.0,246.0,294.0,False,MEDIUM,3.0,True,Mercedes,0 days 01:01:23.198000,2024-07-07 14:06:20.227,1,2.0,False,,False,True,91.716,91.71600000000001
3,0 days 01:04:26.902000,HAM,44,0 days 00:01:31.988000,4.0,1.0,,,29.554,37.258,25.176,0 days 01:03:24.496000,0 days 01:04:01.754000,0 days 01:04:26.930000,291.0,257.0,246.0,295.0,False,MEDIUM,4.0,True,Mercedes,0 days 01:02:54.914000,2024-07-07 14:07:51.943,1,2.0,False,,False,True,91.988,91.988
4,0 days 01:05:58.579000,HAM,44,0 days 00:01:31.677000,5.0,1.0,,,29.469,37.231,24.977,0 days 01:04:56.399000,0 days 01:05:33.630000,0 days 01:05:58.607000,295.0,258.0,246.0,297.0,False,MEDIUM,5.0,True,Mercedes,0 days 01:04:26.902000,2024-07-07 14:09:23.931,1,2.0,False,,False,True,91.677,91.677
5,0 days 01:07:30.325000,HAM,44,0 days 00:01:31.746000,6.0,1.0,,,29.486,37.195,25.065,0 days 01:06:28.093000,0 days 01:07:05.288000,0 days 01:07:30.353000,296.0,257.0,246.0,299.0,False,MEDIUM,6.0,True,Mercedes,0 days 01:05:58.579000,2024-07-07 14:10:55.608,1,2.0,False,,False,True,91.746,91.746
6,0 days 01:09:02,HAM,44,0 days 00:01:31.675000,7.0,1.0,,,29.518,37.064,25.093,0 days 01:07:59.871000,0 days 01:08:36.935000,0 days 01:09:02.028000,295.0,258.0,246.0,296.0,False,MEDIUM,7.0,True,Mercedes,0 days 01:07:30.325000,2024-07-07 14:12:27.354,1,2.0,False,,False,True,91.675,91.675
7,0 days 01:10:33.760000,HAM,44,0 days 00:01:31.760000,8.0,1.0,,,29.475,37.201,25.084,0 days 01:09:31.503000,0 days 01:10:08.704000,0 days 01:10:33.788000,296.0,257.0,245.0,298.0,False,MEDIUM,8.0,True,Mercedes,0 days 01:09:02,2024-07-07 14:13:59.029,1,2.0,False,,False,True,91.76,91.76
8,0 days 01:12:05.324000,HAM,44,0 days 00:01:31.564000,9.0,1.0,,,29.496,36.954,25.114,0 days 01:11:03.284000,0 days 01:11:40.238000,0 days 01:12:05.352000,294.0,258.0,245.0,294.0,False,MEDIUM,9.0,True,Mercedes,0 days 01:10:33.760000,2024-07-07 14:15:30.789,1,2.0,False,,False,True,91.564,91.56400000000001
9,0 days 01:13:36.839000,HAM,44,0 days 00:01:31.515000,10.0,1.0,,,29.484,36.923,25.108,0 days 01:12:34.836000,0 days 01:13:11.759000,0 days 01:13:36.867000,295.0,258.0,246.0,297.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:12:05.324000,2024-07-07 14:17:02.353,1,2.0,False,,False,True,91.515,91.51500000000001
10,0 days 01:15:08.326000,HAM,44,0 days 00:01:31.487000,11.0,1.0,,,29.412,37.003,25.072,0 days 01:14:06.279000,0 days 01:14:43.282000,0 days 01:15:08.354000,298.0,258.0,246.0,300.0,False,MEDIUM,11.0,True,Mercedes,0 days 01:13:36.839000,2024-07-07 14:18:33.868,1,2.0,False,,False,True,91.487,91.487
