,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:56:31.948000,PIA,81,0 days 00:01:26.746000,1.0,1.0,,,,29.625,23.513,,0 days 00:56:08.587000,0 days 00:56:32.061000,270.0,240.0,243.0,244.0,False,MEDIUM,1.0,True,McLaren,0 days 00:55:04.938000,2024-07-21 13:02:58.551,1,1.0,False,,False,False,86.746,
1,0 days 00:57:55.986000,PIA,81,0 days 00:01:24.038000,2.0,1.0,,,29.924,30.425,23.689,0 days 00:57:01.888000,0 days 00:57:32.313000,0 days 00:57:56.002000,264.0,231.0,244.0,285.0,True,MEDIUM,2.0,True,McLaren,0 days 00:56:31.948000,2024-07-21 13:04:25.561,1,1.0,False,,False,True,84.038,84.03800000000001
2,0 days 00:59:20.387000,PIA,81,0 days 00:01:24.401000,3.0,1.0,,,30.303,30.297,23.801,0 days 00:58:26.305000,0 days 00:58:56.602000,0 days 00:59:20.403000,259.0,233.0,244.0,283.0,False,MEDIUM,3.0,True,McLaren,0 days 00:57:55.986000,2024-07-21 13:05:49.599,1,1.0,False,,False,True,84.401,84.401
3,0 days 01:00:44.502000,PIA,81,0 days 00:01:24.115000,4.0,1.0,,,30.145,30.338,23.632,0 days 00:59:50.548000,0 days 01:00:20.886000,0 days 01:00:44.518000,270.0,233.0,244.0,284.0,False,MEDIUM,4.0,True,McLaren,0 days 00:59:20.387000,2024-07-21 13:07:14.000,1,1.0,False,,False,True,84.115,84.11500000000001
4,0 days 01:02:08.298000,PIA,81,0 days 00:01:23.796000,5.0,1.0,,,30.091,30.157,23.548,0 days 01:01:14.609000,0 days 01:01:44.766000,0 days 01:02:08.314000,267.0,235.0,244.0,,True,MEDIUM,5.0,True,McLaren,0 days 01:00:44.502000,2024-07-21 13:08:38.115,1,1.0,False,,False,True,83.796,83.796
5,0 days 01:03:32.144000,PIA,81,0 days 00:01:23.846000,6.0,1.0,,,30.008,30.248,23.59,0 days 01:02:38.322000,0 days 01:03:08.570000,0 days 01:03:32.160000,266.0,235.0,244.0,,False,MEDIUM,6.0,True,McLaren,0 days 01:02:08.298000,2024-07-21 13:10:01.911,1,1.0,False,,False,True,83.846,83.846
6,0 days 01:04:56.254000,PIA,81,0 days 00:01:24.110000,7.0,1.0,,,30.163,30.201,23.746,0 days 01:04:02.323000,0 days 01:04:32.524000,0 days 01:04:56.270000,268.0,235.0,243.0,,False,MEDIUM,7.0,True,McLaren,0 days 01:03:32.144000,2024-07-21 13:11:25.757,1,1.0,False,,False,True,84.11,84.11
7,0 days 01:06:20.146000,PIA,81,0 days 00:01:23.892000,8.0,1.0,,,30.068,30.192,23.632,0 days 01:05:26.338000,0 days 01:05:56.530000,0 days 01:06:20.162000,269.0,236.0,245.0,285.0,False,MEDIUM,8.0,True,McLaren,0 days 01:04:56.254000,2024-07-21 13:12:49.867,1,1.0,False,,False,True,83.892,83.89200000000001
8,0 days 01:07:44.352000,PIA,81,0 days 00:01:24.206000,9.0,1.0,,,30.054,30.348,23.804,0 days 01:06:50.216000,0 days 01:07:20.564000,0 days 01:07:44.368000,267.0,236.0,244.0,,False,MEDIUM,9.0,True,McLaren,0 days 01:06:20.146000,2024-07-21 13:14:13.759,1,1.0,False,,False,True,84.206,84.206
9,0 days 01:09:08.609000,PIA,81,0 days 00:01:24.257000,10.0,1.0,,,30.286,30.286,23.685,0 days 01:08:14.654000,0 days 01:08:44.940000,0 days 01:09:08.625000,269.0,237.0,244.0,284.0,False,MEDIUM,10.0,True,McLaren,0 days 01:07:44.352000,2024-07-21 13:15:37.965,1,1.0,False,,False,True,84.257,84.257
