,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:57:07.735000,HAM,44,0 days 00:01:52.700000,1.0,1.0,,,,49.406,29.478,,0 days 00:56:38.468000,0 days 00:57:07.904000,326.0,204.0,218.0,309.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:55:14.764000,2024-07-28 13:03:52.742,1,2.0,False,,False,False,112.7,
1,0 days 00:58:57.584000,HAM,44,0 days 00:01:49.849000,2.0,1.0,,,31.284,49.211,29.354,0 days 00:57:39.019000,0 days 00:58:28.230000,0 days 00:58:57.584000,329.0,202.0,220.0,307.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:57:07.735000,2024-07-28 13:05:45.713,1,2.0,False,,False,True,109.849,109.849
2,0 days 01:00:46.693000,HAM,44,0 days 00:01:49.109000,3.0,1.0,,,31.215,48.486,29.408,0 days 00:59:28.799000,0 days 01:00:17.285000,0 days 01:00:46.693000,326.0,204.0,216.0,310.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:58:57.584000,2024-07-28 13:07:35.562,1,1.0,False,,False,True,109.109,109.109
3,0 days 01:02:36.501000,HAM,44,0 days 00:01:49.808000,4.0,1.0,,,31.754,48.605,29.449,0 days 01:01:18.447000,0 days 01:02:07.052000,0 days 01:02:36.501000,305.0,203.0,216.0,305.0,False,MEDIUM,4.0,True,Mercedes,0 days 01:00:46.693000,2024-07-28 13:09:24.671,1,1.0,False,,False,True,109.808,109.80799999999999
4,0 days 01:04:25.877000,HAM,44,0 days 00:01:49.376000,5.0,1.0,,,31.592,48.32,29.464,0 days 01:03:08.093000,0 days 01:03:56.413000,0 days 01:04:25.877000,307.0,201.0,215.0,307.0,False,MEDIUM,5.0,True,Mercedes,0 days 01:02:36.501000,2024-07-28 13:11:14.479,1,1.0,False,,False,True,109.376,109.376
5,0 days 01:06:15.277000,HAM,44,0 days 00:01:49.400000,6.0,1.0,,,31.618,48.355,29.427,0 days 01:04:57.495000,0 days 01:05:45.850000,0 days 01:06:15.277000,308.0,204.0,214.0,,False,MEDIUM,6.0,True,Mercedes,0 days 01:04:25.877000,2024-07-28 13:13:03.855,1,1.0,False,,False,True,109.4,109.4
6,0 days 01:08:04.634000,HAM,44,0 days 00:01:49.357000,7.0,1.0,,,31.662,48.124,29.571,0 days 01:06:46.939000,0 days 01:07:35.063000,0 days 01:08:04.634000,309.0,202.0,214.0,306.0,False,MEDIUM,7.0,True,Mercedes,0 days 01:06:15.277000,2024-07-28 13:14:53.255,1,1.0,False,,False,True,109.357,109.357
7,0 days 01:09:54.300000,HAM,44,0 days 00:01:49.666000,8.0,1.0,,,31.646,48.515,29.505,0 days 01:08:36.280000,0 days 01:09:24.795000,0 days 01:09:54.300000,,200.0,215.0,,False,MEDIUM,8.0,True,Mercedes,0 days 01:08:04.634000,2024-07-28 13:16:42.612,1,1.0,False,,False,True,109.666,109.666
8,0 days 01:11:44.004000,HAM,44,0 days 00:01:49.704000,9.0,1.0,,,31.616,48.572,29.516,0 days 01:10:25.916000,0 days 01:11:14.488000,0 days 01:11:44.004000,,200.0,214.0,307.0,False,MEDIUM,9.0,True,Mercedes,0 days 01:09:54.300000,2024-07-28 13:18:32.278,1,1.0,False,,False,True,109.704,109.70400000000001
9,0 days 01:13:33.955000,HAM,44,0 days 00:01:49.951000,10.0,1.0,,,31.625,48.752,29.574,0 days 01:12:15.629000,0 days 01:13:04.381000,0 days 01:13:33.955000,,200.0,215.0,,False,MEDIUM,10.0,True,Mercedes,0 days 01:11:44.004000,2024-07-28 13:20:21.982,1,1.0,False,,False,True,109.951,109.95100000000001
10,0 days 01:15:28.283000,HAM,44,0 days 00:01:54.328000,11.0,1.0,,0 days 01:15:24.524000,31.618,48.726,33.984,0 days 01:14:05.573000,0 days 01:14:54.299000,0 days 01:15:28.283000,311.0,202.0,,306.0,False,MEDIUM,11.0,True,Mercedes,0 days 01:13:33.955000,2024-07-28 13:22:11.933,1,2.0,False,,False,False,114.328,114.328
11,0 days 01:17:33.075000,HAM,44,0 days 00:02:04.792000,12.0,2.0,0 days 01:15:47.722000,,46.008,49.504,29.28,0 days 01:16:14.291000,0 days 01:17:03.795000,0 days 01:17:33.075000,326.0,195.0,221.0,309.0,False,HARD,1.0,True,Mercedes,0 days 01:15:28.283000,2024-07-28 13:24:06.261,1,5.0,False,,False,False,124.792,124.792
