,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:35:41.185000,GAS,10,0 days 00:01:59.301000,1.0,1.0,,,,53.392,29.654,,0 days 00:35:11.651000,0 days 00:35:41.416000,338.0,194.0,221.0,275.0,False,HARD,1.0,True,AlphaTauri,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,10.0,False,,False,False,119.301,
1,0 days 00:37:33.594000,GAS,10,0 days 00:01:52.409000,2.0,1.0,,,31.997,50.699,29.713,0 days 00:36:13.185000,0 days 00:37:03.884000,0 days 00:37:33.597000,322.0,190.0,218.0,291.0,True,HARD,2.0,True,AlphaTauri,0 days 00:35:41.185000,2020-08-30 13:15:41.249,1,9.0,False,,False,True,112.409,112.40899999999999
2,0 days 00:39:24.962000,GAS,10,0 days 00:01:51.368000,3.0,1.0,,,30.935,50.68,29.753,0 days 00:38:04.532000,0 days 00:38:55.212000,0 days 00:39:24.965000,347.0,198.0,218.0,318.0,True,HARD,3.0,True,AlphaTauri,0 days 00:37:33.594000,2020-08-30 13:17:33.658,1,8.0,False,,False,True,111.368,111.368
3,0 days 00:41:16.865000,GAS,10,0 days 00:01:51.903000,4.0,1.0,,,31.226,50.977,29.7,0 days 00:39:56.191000,0 days 00:40:47.168000,0 days 00:41:16.868000,331.0,196.0,218.0,313.0,False,HARD,4.0,True,AlphaTauri,0 days 00:39:24.962000,2020-08-30 13:19:25.026,1,8.0,False,,False,True,111.903,111.903
4,0 days 00:43:08.668000,GAS,10,0 days 00:01:51.803000,5.0,1.0,,,31.11,50.726,29.967,0 days 00:41:47.978000,0 days 00:42:38.704000,0 days 00:43:08.671000,341.0,185.0,218.0,316.0,False,HARD,5.0,True,AlphaTauri,0 days 00:41:16.865000,2020-08-30 13:21:16.929,1,8.0,True,TRACK LIMITS AT TURN 9,False,True,111.803,111.803
5,0 days 00:45:00.297000,GAS,10,0 days 00:01:51.629000,6.0,1.0,,,31.221,50.652,29.756,0 days 00:43:39.892000,0 days 00:44:30.544000,0 days 00:45:00.300000,328.0,196.0,218.0,315.0,False,HARD,6.0,True,AlphaTauri,0 days 00:43:08.668000,2020-08-30 13:23:08.732,1,8.0,False,,False,True,111.629,111.629
6,0 days 00:46:52.070000,GAS,10,0 days 00:01:51.773000,7.0,1.0,,,31.214,50.766,29.793,0 days 00:45:31.514000,0 days 00:46:22.280000,0 days 00:46:52.073000,335.0,197.0,218.0,,False,HARD,7.0,True,AlphaTauri,0 days 00:45:00.297000,2020-08-30 13:25:00.361,1,8.0,False,,False,True,111.773,111.773
7,0 days 00:48:43.985000,GAS,10,0 days 00:01:51.915000,8.0,1.0,,,30.924,51.182,29.809,0 days 00:47:22.997000,0 days 00:48:14.179000,0 days 00:48:43.988000,345.0,195.0,217.0,316.0,False,HARD,8.0,True,AlphaTauri,0 days 00:46:52.070000,2020-08-30 13:26:52.134,1,8.0,False,,False,True,111.915,111.91499999999999
8,0 days 00:50:35.664000,GAS,10,0 days 00:01:51.679000,9.0,1.0,,,31.283,50.607,29.789,0 days 00:49:15.271000,0 days 00:50:05.878000,0 days 00:50:35.667000,331.0,197.0,215.0,314.0,False,HARD,9.0,True,AlphaTauri,0 days 00:48:43.985000,2020-08-30 13:28:44.049,1,8.0,False,,False,True,111.679,111.679
9,0 days 00:52:28.653000,GAS,10,0 days 00:01:52.989000,10.0,1.0,,,31.709,50.035,31.245,0 days 00:51:07.376000,0 days 00:51:57.411000,0 days 00:52:28.656000,315.0,194.0,157.0,311.0,False,HARD,10.0,True,AlphaTauri,0 days 00:50:35.664000,2020-08-30 13:30:35.728,124,8.0,False,,False,False,112.989,112.989
10,0 days 00:55:00.183000,GAS,10,,11.0,1.0,,,49.969,66.284,35.178,0 days 00:53:18.807000,0 days 00:54:25.008000,0 days 00:55:00.263000,200.0,159.0,202.0,152.0,False,HARD,11.0,True,AlphaTauri,0 days 00:52:28.653000,2020-08-30 13:32:28.717,4,7.0,False,,False,False,,151.431
11,0 days 00:57:50.722000,GAS,10,,12.0,1.0,,,43.694,80.797,46.024,0 days 00:55:43.904000,0 days 00:57:04.720000,0 days 00:57:50.798000,142.0,127.0,143.0,215.0,False,HARD,12.0,True,AlphaTauri,0 days 00:55:00.183000,2020-08-30 13:35:00.247,4,4.0,False,,False,False,,170.515
12,0 days 01:00:49.646000,GAS,10,,13.0,1.0,,,44.69,84.637,49.689,0 days 00:58:35.323000,0 days 00:59:59.999000,0 days 01:00:49.850000,256.0,131.0,105.0,246.0,False,HARD,13.0,True,AlphaTauri,0 days 00:57:50.722000,2020-08-30 13:37:50.786,4,4.0,False,,False,False,,179.016
13,0 days 01:03:33.235000,GAS,10,,14.0,1.0,,,45.68,71.383,46.561,0 days 01:01:35.354000,0 days 01:02:46.746000,0 days 01:03:33.415000,273.0,172.0,220.0,273.0,False,HARD,14.0,True,AlphaTauri,0 days 01:00:49.646000,2020-08-30 13:40:49.710,41,4.0,False,,False,False,,163.624
14,0 days 01:05:24.866000,GAS,10,0 days 00:01:51.631000,15.0,1.0,,,31.121,50.812,29.698,0 days 01:04:04.359000,0 days 01:04:55.171000,0 days 01:05:24.869000,338.0,197.0,218.0,316.0,False,HARD,15.0,True,AlphaTauri,0 days 01:03:33.235000,2020-08-30 13:43:33.299,1,4.0,False,,False,True,111.631,111.631
15,0 days 01:07:15.180000,GAS,10,0 days 00:01:50.314000,16.0,1.0,,,31.511,49.286,29.517,0 days 01:05:56.380000,0 days 01:06:45.666000,0 days 01:07:15.183000,315.0,199.0,219.0,312.0,True,HARD,16.0,True,AlphaTauri,0 days 01:05:24.866000,2020-08-30 13:45:24.930,1,4.0,False,,False,True,110.314,110.314
16,0 days 01:09:05.523000,GAS,10,0 days 00:01:50.343000,17.0,1.0,,,31.576,49.123,29.644,0 days 01:07:46.759000,0 days 01:08:35.882000,0 days 01:09:05.526000,314.0,195.0,219.0,311.0,False,HARD,17.0,True,AlphaTauri,0 days 01:07:15.180000,2020-08-30 13:47:15.244,1,4.0,False,,False,True,110.343,110.34299999999999
17,0 days 01:10:55.818000,GAS,10,0 days 00:01:50.295000,18.0,1.0,,,31.539,49.102,29.654,0 days 01:09:37.065000,0 days 01:10:26.167000,0 days 01:10:55.821000,,196.0,218.0,310.0,True,HARD,18.0,True,AlphaTauri,0 days 01:09:05.523000,2020-08-30 13:49:05.587,1,4.0,False,,False,True,110.295,110.29499999999999
18,0 days 01:12:46.598000,GAS,10,0 days 00:01:50.780000,19.0,1.0,,,31.635,49.499,29.646,0 days 01:11:27.456000,0 days 01:12:16.955000,0 days 01:12:46.601000,312.0,198.0,219.0,,False,HARD,19.0,True,AlphaTauri,0 days 01:10:55.818000,2020-08-30 13:50:55.882,1,4.0,False,,False,True,110.78,110.78
19,0 days 01:14:37.173000,GAS,10,0 days 00:01:50.575000,20.0,1.0,,,31.573,49.372,29.63,0 days 01:13:18.174000,0 days 01:14:07.546000,0 days 01:14:37.176000,311.0,198.0,219.0,309.0,False,HARD,20.0,True,AlphaTauri,0 days 01:12:46.598000,2020-08-30 13:52:46.662,1,4.0,False,,False,True,110.575,110.57499999999999
20,0 days 01:16:28.871000,GAS,10,0 days 00:01:51.698000,21.0,1.0,,,31.553,50.596,29.549,0 days 01:15:08.729000,0 days 01:15:59.325000,0 days 01:16:28.874000,320.0,196.0,219.0,,False,HARD,21.0,True,AlphaTauri,0 days 01:14:37.173000,2020-08-30 13:54:37.237,1,5.0,False,,False,True,111.698,111.69800000000001
