,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:01:44.036000,GAS,10,0 days 00:01:43.776000,1.0,1.0,,,,42.142,25.042,,0 days 00:01:19.108000,0 days 00:01:44.179000,259.0,218.0,250.0,296.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:00:07.171000,2020-10-11 12:13:21.762,,13.0,False,,False,False,103.776,
1,0 days 00:03:21.947000,GAS,10,0 days 00:01:37.911000,2.0,1.0,,,32.788,40.608,24.515,0 days 00:02:16.824000,0 days 00:02:57.432000,0 days 00:03:21.947000,252.0,222.0,245.0,293.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:01:44.036000,2020-10-11 12:14:58.627,1,14.0,False,,False,True,97.911,97.91099999999999
2,0 days 00:04:57.437000,GAS,10,0 days 00:01:35.490000,3.0,1.0,,,31.382,39.811,24.297,0 days 00:03:53.329000,0 days 00:04:33.140000,0 days 00:04:57.437000,258.0,221.0,247.0,293.0,True,MEDIUM,3.0,True,AlphaTauri,0 days 00:03:21.947000,2020-10-11 12:16:36.538,1,14.0,False,,False,True,95.49,95.49
3,0 days 00:06:31.932000,GAS,10,0 days 00:01:34.495000,4.0,1.0,,,31.024,39.478,23.993,0 days 00:05:28.461000,0 days 00:06:07.939000,0 days 00:06:31.932000,,221.0,245.0,296.0,True,MEDIUM,4.0,True,AlphaTauri,0 days 00:04:57.437000,2020-10-11 12:18:12.028,1,14.0,False,,False,True,94.495,94.495
4,0 days 00:08:06.099000,GAS,10,0 days 00:01:34.167000,5.0,1.0,,,30.961,39.289,23.917,0 days 00:07:02.893000,0 days 00:07:42.182000,0 days 00:08:06.099000,259.0,222.0,249.0,312.0,True,MEDIUM,5.0,True,AlphaTauri,0 days 00:06:31.932000,2020-10-11 12:19:46.523,1,14.0,False,,False,True,94.167,94.167
5,0 days 00:09:40.492000,GAS,10,0 days 00:01:34.393000,6.0,1.0,,,31.007,39.372,24.014,0 days 00:08:37.106000,0 days 00:09:16.478000,0 days 00:09:40.492000,258.0,218.0,253.0,313.0,False,MEDIUM,6.0,True,AlphaTauri,0 days 00:08:06.099000,2020-10-11 12:21:20.690,1,14.0,False,,False,True,94.393,94.393
6,0 days 00:11:14.825000,GAS,10,0 days 00:01:34.333000,7.0,1.0,,,31.068,39.47,23.795,0 days 00:10:11.560000,0 days 00:10:51.030000,0 days 00:11:14.825000,256.0,223.0,254.0,314.0,False,MEDIUM,7.0,True,AlphaTauri,0 days 00:09:40.492000,2020-10-11 12:22:55.083,1,14.0,False,,False,True,94.333,94.333
7,0 days 00:12:49.542000,GAS,10,0 days 00:01:34.717000,8.0,1.0,,,31.191,39.574,23.952,0 days 00:11:46.016000,0 days 00:12:25.590000,0 days 00:12:49.542000,255.0,221.0,253.0,317.0,False,MEDIUM,8.0,True,AlphaTauri,0 days 00:11:14.825000,2020-10-11 12:24:29.416,1,13.0,False,,False,True,94.717,94.717
8,0 days 00:14:24.261000,GAS,10,0 days 00:01:34.719000,9.0,1.0,,,31.03,39.697,23.992,0 days 00:13:20.572000,0 days 00:14:00.269000,0 days 00:14:24.261000,259.0,220.0,253.0,315.0,False,MEDIUM,9.0,True,AlphaTauri,0 days 00:12:49.542000,2020-10-11 12:26:04.133,1,13.0,False,,False,True,94.719,94.71900000000001
9,0 days 00:15:59.078000,GAS,10,0 days 00:01:34.817000,10.0,1.0,,,31.365,39.486,23.966,0 days 00:14:55.626000,0 days 00:15:35.112000,0 days 00:15:59.078000,,221.0,253.0,314.0,False,MEDIUM,10.0,True,AlphaTauri,0 days 00:14:24.261000,2020-10-11 12:27:38.852,1,13.0,False,,False,True,94.817,94.81700000000001
