,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
33,0 days 00:33:41.120000,30.4,46.0,1012.5,False,41.1,34,0.5
36,0 days 00:36:41.152000,30.4,45.7,1012.6,False,40.7,46,0.0
39,0 days 00:39:41.173000,30.5,45.0,1012.7,False,40.5,11,0.7
42,0 days 00:42:41.173000,30.5,45.8,1012.8,False,40.3,0,0.5
44,0 days 00:44:41.176000,30.5,45.6,1012.7,False,40.4,0,0.4
47,0 days 00:47:41.196000,30.1,46.5,1012.8,False,39.9,260,0.7
49,0 days 00:49:41.213000,29.3,49.5,1012.8,False,40.0,256,3.0
51,0 days 00:51:41.230000,29.0,49.8,1012.9,False,40.2,278,1.6
52,0 days 00:52:41.231000,28.9,50.6,1012.9,False,40.2,252,2.1
54,0 days 00:54:41.242000,28.9,49.5,1012.9,False,40.9,233,2.1
56,0 days 00:56:41.234000,29.0,50.2,1012.9,False,40.9,265,1.2
57,0 days 00:57:41.250000,28.9,50.7,1012.9,False,41.1,250,2.3
59,0 days 00:59:41.253000,28.7,51.5,1013.0,False,40.6,276,2.1
61,0 days 01:01:41.276000,28.2,52.8,1012.9,False,40.7,271,2.8
62,0 days 01:02:41.270000,28.0,53.6,1013.0,False,40.8,300,2.6
64,0 days 01:04:41.273000,27.9,53.7,1012.9,False,40.8,282,1.1
66,0 days 01:06:41.275000,28.3,53.3,1012.9,False,40.7,277,1.3
67,0 days 01:07:41.270000,28.5,52.8,1012.9,False,41.4,314,1.2
69,0 days 01:09:41.272000,28.3,52.8,1013.0,False,40.6,0,1.0
71,0 days 01:11:41.274000,28.4,52.2,1013.0,False,40.8,296,2.2
72,0 days 01:12:41.277000,28.3,52.0,1012.9,False,41.2,317,1.8
74,0 days 01:14:41.280000,28.5,52.2,1012.9,False,40.8,297,0.6
76,0 days 01:16:41.290000,28.8,51.9,1013.0,False,40.7,266,0.4
77,0 days 01:17:41.292000,28.9,50.9,1012.9,False,40.9,279,0.6
79,0 days 01:19:41.292000,28.5,52.4,1012.9,False,40.6,195,1.3
81,0 days 01:21:41.316000,28.9,50.5,1012.9,False,40.6,314,0.8
82,0 days 01:22:41.318000,28.8,51.0,1013.0,False,40.6,288,1.4
84,0 days 01:24:41.340000,29.0,50.1,1013.0,False,41.0,310,0.7
86,0 days 01:26:41.338000,29.1,49.0,1013.0,False,40.2,294,1.6
88,0 days 01:28:41.356000,28.8,50.2,1013.0,False,39.8,262,1.2
89,0 days 01:29:41.374000,28.8,51.4,1013.1,False,39.6,241,1.5
91,0 days 01:31:41.387000,28.3,52.5,1013.2,False,39.4,255,2.3
93,0 days 01:33:41.420000,28.0,53.2,1013.0,False,39.3,256,1.9
94,0 days 01:34:41.432000,28.2,52.6,1013.2,False,39.7,240,2.6
96,0 days 01:36:41.426000,28.3,52.0,1013.1,False,39.8,240,2.2
98,0 days 01:38:41.430000,27.8,53.8,1013.1,False,39.3,252,3.2
99,0 days 01:39:41.427000,27.7,54.5,1013.1,False,39.2,279,2.8
101,0 days 01:41:41.427000,28.0,53.9,1013.1,False,39.6,247,1.9
102,0 days 01:42:41.441000,28.3,53.3,1013.1,False,39.8,263,2.4
104,0 days 01:44:41.433000,28.2,54.0,1013.1,False,40.2,305,2.0
106,0 days 01:46:41.448000,28.3,53.5,1013.2,False,39.7,228,1.5
