,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:35:12.805000,VER,33,0 days 00:01:46.339000,1.0,1.0,,,,29.563,44.929,,0 days 00:34:28.003000,0 days 00:35:12.978000,111.0,275.0,293.0,304.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:33:26.312000,2021-06-20 13:03:26.320,1,2.0,False,,False,False,106.339,
1,0 days 00:36:52.418000,VER,33,0 days 00:01:39.613000,2.0,1.0,,,25.323,29.545,44.745,0 days 00:35:38.134000,0 days 00:36:07.679000,0 days 00:36:52.424000,108.0,274.0,293.0,300.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:35:12.805000,2021-06-20 13:05:12.813,1,2.0,False,,False,True,99.613,99.613
2,0 days 00:38:31.989000,VER,33,0 days 00:01:39.571000,3.0,1.0,,,25.417,29.755,44.399,0 days 00:37:17.841000,0 days 00:37:47.596000,0 days 00:38:31.995000,106.0,273.0,294.0,299.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:36:52.418000,2021-06-20 13:06:52.426,1,2.0,False,,False,True,99.571,99.571
3,0 days 00:40:12.013000,VER,33,0 days 00:01:40.024000,4.0,1.0,,,25.489,29.675,44.86,0 days 00:38:57.484000,0 days 00:39:27.159000,0 days 00:40:12.019000,,274.0,294.0,296.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:38:31.989000,2021-06-20 13:08:31.997,1,2.0,False,,False,True,100.024,100.024
4,0 days 00:41:51.421000,VER,33,0 days 00:01:39.408000,5.0,1.0,,,25.362,29.678,44.368,0 days 00:40:37.381000,0 days 00:41:07.059000,0 days 00:41:51.427000,107.0,277.0,294.0,297.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 00:40:12.013000,2021-06-20 13:10:12.021,1,2.0,False,,False,True,99.408,99.408
5,0 days 00:43:30.148000,VER,33,0 days 00:01:38.727000,6.0,1.0,,,25.092,29.444,44.191,0 days 00:42:16.519000,0 days 00:42:45.963000,0 days 00:43:30.154000,101.0,277.0,294.0,303.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 00:41:51.421000,2021-06-20 13:11:51.429,1,2.0,False,,False,True,98.727,98.727
6,0 days 00:45:09.578000,VER,33,0 days 00:01:39.430000,7.0,1.0,,,25.114,29.546,44.77,0 days 00:43:55.268000,0 days 00:44:24.814000,0 days 00:45:09.584000,108.0,273.0,293.0,300.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:43:30.148000,2021-06-20 13:13:30.156,1,2.0,False,,False,True,99.43,99.43
7,0 days 00:46:48.637000,VER,33,0 days 00:01:39.059000,8.0,1.0,,,25.185,29.68,44.194,0 days 00:45:34.769000,0 days 00:46:04.449000,0 days 00:46:48.643000,106.0,275.0,293.0,297.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:45:09.578000,2021-06-20 13:15:09.586,1,2.0,False,,False,True,99.059,99.059
8,0 days 00:48:27.759000,VER,33,0 days 00:01:39.122000,9.0,1.0,,,25.138,29.609,44.375,0 days 00:47:13.781000,0 days 00:47:43.390000,0 days 00:48:27.765000,,277.0,293.0,300.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:46:48.637000,2021-06-20 13:16:48.645,1,2.0,False,,False,True,99.122,99.122
9,0 days 00:50:06.709000,VER,33,0 days 00:01:38.950000,10.0,1.0,,,25.213,29.475,44.262,0 days 00:48:52.978000,0 days 00:49:22.453000,0 days 00:50:06.715000,107.0,277.0,295.0,303.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:48:27.759000,2021-06-20 13:18:27.767,1,2.0,False,,False,True,98.95,98.95
10,0 days 00:51:45.923000,VER,33,0 days 00:01:39.214000,11.0,1.0,,,25.393,29.588,44.233,0 days 00:50:32.108000,0 days 00:51:01.696000,0 days 00:51:45.929000,104.0,277.0,292.0,301.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 00:50:06.709000,2021-06-20 13:20:06.717,1,2.0,False,,False,True,99.214,99.214
11,0 days 00:53:25.230000,VER,33,0 days 00:01:39.307000,12.0,1.0,,,25.513,29.606,44.188,0 days 00:52:11.442000,0 days 00:52:41.048000,0 days 00:53:25.236000,99.0,278.0,292.0,301.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 00:51:45.923000,2021-06-20 13:21:45.931,1,2.0,False,,False,True,99.307,99.307
12,0 days 00:55:04.444000,VER,33,0 days 00:01:39.214000,13.0,1.0,,,25.408,29.617,44.189,0 days 00:53:50.644000,0 days 00:54:20.261000,0 days 00:55:04.450000,101.0,276.0,295.0,302.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 00:53:25.230000,2021-06-20 13:23:25.238,1,2.0,False,,False,True,99.214,99.214
13,0 days 00:56:43.459000,VER,33,0 days 00:01:39.015000,14.0,1.0,,,25.203,29.548,44.264,0 days 00:55:29.653000,0 days 00:55:59.201000,0 days 00:56:43.465000,103.0,276.0,294.0,300.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 00:55:04.444000,2021-06-20 13:25:04.452,1,2.0,False,,False,True,99.015,99.015
14,0 days 00:58:23.756000,VER,33,0 days 00:01:40.297000,15.0,1.0,,,25.841,29.729,44.727,0 days 00:57:09.306000,0 days 00:57:39.035000,0 days 00:58:23.762000,104.0,277.0,294.0,303.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 00:56:43.459000,2021-06-20 13:26:43.467,1,2.0,False,,False,True,100.297,100.297
15,0 days 01:00:02.955000,VER,33,0 days 00:01:39.199000,16.0,1.0,,,25.117,29.553,44.529,0 days 00:58:48.879000,0 days 00:59:18.432000,0 days 01:00:02.961000,106.0,275.0,293.0,299.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 00:58:23.756000,2021-06-20 13:28:23.764,1,2.0,False,,False,True,99.199,99.19900000000001
16,0 days 01:01:42.201000,VER,33,0 days 00:01:39.246000,17.0,1.0,,,25.417,29.65,44.179,0 days 01:00:28.378000,0 days 01:00:58.028000,0 days 01:01:42.207000,101.0,277.0,295.0,301.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:00:02.955000,2021-06-20 13:30:02.963,1,2.0,False,,False,True,99.246,99.24600000000001
