,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
62,0 days 01:02:55.504000,20.7,31.3,784.3,False,47.5,355,0.6
63,0 days 01:03:55.505000,20.8,31.3,784.5,False,47.5,0,0.4
66,0 days 01:06:55.504000,21.2,31.2,784.4,False,47.8,256,0.2
68,0 days 01:08:55.522000,21.2,30.5,784.3,False,47.9,238,0.4
70,0 days 01:10:55.519000,21.1,32.0,784.3,False,47.2,211,0.2
71,0 days 01:11:55.521000,21.2,31.0,784.3,False,47.2,263,0.5
73,0 days 01:13:55.538000,21.3,30.8,784.3,False,47.4,310,0.3
74,0 days 01:14:55.552000,21.3,31.1,784.2,False,47.4,209,0.3
75,0 days 01:15:55.555000,21.2,31.8,784.2,False,47.1,250,0.4
77,0 days 01:17:55.552000,21.2,31.6,784.2,False,47.1,123,0.1
78,0 days 01:18:55.552000,21.2,31.9,784.1,False,47.2,166,0.3
79,0 days 01:19:55.554000,21.2,31.9,784.2,False,47.4,56,0.7
81,0 days 01:21:55.569000,21.1,32.1,784.1,False,47.3,216,0.5
82,0 days 01:22:55.572000,21.2,31.6,784.1,False,48.0,135,0.3
83,0 days 01:23:55.598000,21.3,31.6,784.0,False,48.1,195,0.3
85,0 days 01:25:55.605000,21.4,32.4,784.0,False,48.2,144,0.4
86,0 days 01:26:55.597000,21.5,31.5,784.1,False,48.2,150,0.5
87,0 days 01:27:55.628000,21.3,31.5,784.0,False,48.2,235,0.4
89,0 days 01:29:55.633000,21.4,31.0,784.0,False,48.1,109,0.2
90,0 days 01:30:55.629000,21.4,30.8,784.0,False,48.4,133,0.4
91,0 days 01:31:55.627000,21.2,31.8,784.0,False,48.4,131,0.4
93,0 days 01:33:55.631000,21.2,32.0,783.9,False,48.2,119,0.3
94,0 days 01:34:55.631000,21.2,32.6,783.8,False,48.3,108,0.7
96,0 days 01:36:55.629000,21.2,32.6,783.8,False,48.4,112,0.8
97,0 days 01:37:55.634000,21.3,32.1,783.8,False,48.6,95,0.6
98,0 days 01:38:55.633000,21.2,32.4,783.7,False,48.2,121,0.3
100,0 days 01:40:55.654000,21.5,32.0,783.8,False,48.4,110,0.6
101,0 days 01:41:55.633000,21.6,31.7,783.8,False,48.5,23,0.5
102,0 days 01:42:55.635000,21.6,31.1,783.7,False,48.8,134,0.2
104,0 days 01:44:55.633000,21.5,31.6,783.7,False,48.4,8,0.4
105,0 days 01:45:55.644000,21.4,31.7,783.8,False,48.5,16,0.3
106,0 days 01:46:55.644000,21.4,31.7,783.9,False,48.5,79,0.4
108,0 days 01:48:55.642000,21.7,31.3,783.8,False,48.6,0,0.5
109,0 days 01:49:55.630000,21.8,30.9,783.7,False,48.6,114,0.4
111,0 days 01:51:55.638000,21.6,31.4,783.7,False,48.7,149,0.1
112,0 days 01:52:55.631000,21.6,30.5,783.7,False,48.8,259,0.5
113,0 days 01:53:55.633000,21.6,30.7,783.7,False,48.6,203,0.3
115,0 days 01:55:55.632000,21.8,31.5,783.7,False,48.3,89,0.0
116,0 days 01:56:55.632000,21.7,31.3,783.6,False,48.3,285,0.1
118,0 days 01:58:55.633000,21.9,30.8,783.5,False,48.6,346,0.4
119,0 days 01:59:55.630000,22.0,30.7,783.5,False,48.5,316,0.3
120,0 days 02:00:55.633000,21.9,30.6,783.5,False,48.5,292,0.3
122,0 days 02:02:55.632000,22.0,29.8,783.5,False,48.9,285,0.4
123,0 days 02:03:55.643000,22.0,30.0,783.5,False,48.7,265,0.6
124,0 days 02:04:55.633000,22.0,30.1,783.4,False,48.4,270,0.6
126,0 days 02:06:55.634000,22.2,30.1,783.6,False,48.4,86,0.4
127,0 days 02:07:55.634000,22.2,30.4,783.5,False,48.4,275,0.2
128,0 days 02:08:55.659000,22.3,29.9,783.5,False,48.5,0,0.5
130,0 days 02:10:55.631000,22.7,29.6,783.5,False,48.5,245,0.3
131,0 days 02:11:55.659000,22.7,29.2,783.4,False,48.7,151,0.3
132,0 days 02:12:55.643000,22.7,29.2,783.4,False,48.7,151,0.3
134,0 days 02:14:55.629000,22.8,29.2,783.4,False,49.1,150,0.2
135,0 days 02:15:55.631000,22.7,29.2,783.4,False,48.7,134,0.2
136,0 days 02:16:55.630000,22.6,29.2,783.4,False,48.7,134,0.2
138,0 days 02:18:55.634000,22.6,28.2,783.3,False,48.4,134,0.2
139,0 days 02:19:55.633000,22.7,28.2,783.3,False,48.5,104,0.1
140,0 days 02:20:55.654000,22.7,27.4,783.3,False,48.5,52,0.4
