,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
63,0 days 01:03:35.869000,26.4,75.3,1012.0,False,30.9,101,0.7
64,0 days 01:04:35.881000,26.3,75.4,1012.0,False,30.6,103,0.3
66,0 days 01:06:35.869000,26.4,75.4,1012.1,False,30.8,109,0.3
67,0 days 01:07:35.880000,26.4,75.4,1012.0,False,30.4,132,0.4
69,0 days 01:09:35.880000,26.3,75.1,1012.1,False,30.6,146,0.5
70,0 days 01:10:35.879000,26.3,75.3,1012.0,False,30.4,121,0.4
72,0 days 01:12:35.877000,26.3,75.6,1012.0,False,30.4,110,0.4
73,0 days 01:13:35.886000,26.3,75.3,1012.0,False,30.5,110,0.3
75,0 days 01:15:35.878000,26.3,75.7,1012.1,False,30.3,121,0.5
76,0 days 01:16:35.877000,26.3,75.7,1012.2,False,30.4,89,0.6
78,0 days 01:18:35.893000,26.3,75.9,1012.1,False,30.2,146,0.5
79,0 days 01:19:35.910000,26.3,75.9,1012.1,False,30.4,98,0.3
81,0 days 01:21:35.924000,26.3,76.1,1012.1,False,30.4,107,0.7
83,0 days 01:23:35.925000,26.3,76.3,1012.1,False,30.1,135,0.6
84,0 days 01:24:35.924000,26.3,76.3,1012.2,False,30.1,32,0.3
86,0 days 01:26:35.929000,26.2,76.4,1012.3,False,30.0,143,0.4
87,0 days 01:27:35.928000,26.2,76.6,1012.3,False,30.1,0,0.4
89,0 days 01:29:35.924000,26.2,76.9,1012.3,False,30.1,100,0.5
90,0 days 01:30:35.927000,26.2,77.1,1012.4,False,30.0,95,0.4
92,0 days 01:32:35.926000,26.2,77.6,1012.4,False,29.8,182,0.5
93,0 days 01:33:35.936000,26.2,77.6,1012.4,False,29.8,98,0.2
95,0 days 01:35:35.924000,26.2,78.0,1012.3,False,29.8,95,0.2
96,0 days 01:36:35.946000,26.2,78.2,1012.3,False,29.7,105,0.3
98,0 days 01:38:35.955000,26.1,78.7,1012.4,False,29.6,107,0.3
99,0 days 01:39:35.975000,26.1,78.8,1012.4,False,29.6,104,0.4
101,0 days 01:41:35.986000,26.1,79.0,1012.4,False,29.5,111,0.5
102,0 days 01:42:35.989000,26.1,79.0,1012.4,False,29.7,194,0.3
104,0 days 01:44:36.003000,26.1,79.1,1012.6,False,29.7,111,0.3
