,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:04:31.941000,HAM,44,0 days 00:01:49.826000,1.0,1.0,,,,38.273,31.585,,0 days 01:04:00.538000,0 days 01:04:32.092000,256.0,307.0,159.0,234.0,False,MEDIUM,1.0,True,Mercedes,0 days 01:02:41.933000,2021-09-26 12:03:43.826,1,7.0,False,,False,False,109.826,
1,0 days 01:06:13.975000,HAM,44,0 days 00:01:42.034000,2.0,1.0,,,36.785,35.382,29.867,0 days 01:05:08.764000,0 days 01:05:44.146000,0 days 01:06:14.013000,253.0,290.0,161.0,285.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:04:31.941000,2021-09-26 12:05:33.834,12,6.0,False,,False,True,102.034,102.034
2,0 days 01:07:56.075000,HAM,44,0 days 00:01:42.100000,3.0,1.0,,,36.105,35.536,30.459,0 days 01:06:50.118000,0 days 01:07:25.654000,0 days 01:07:56.113000,239.0,311.0,159.0,288.0,False,MEDIUM,3.0,True,Mercedes,0 days 01:06:13.975000,2021-09-26 12:07:15.868,1,6.0,False,,False,True,102.1,102.1
3,0 days 01:09:38.809000,HAM,44,0 days 00:01:42.734000,4.0,1.0,,,36.097,35.595,31.042,0 days 01:08:32.210000,0 days 01:09:07.805000,0 days 01:09:38.847000,237.0,311.0,157.0,301.0,False,MEDIUM,4.0,True,Mercedes,0 days 01:07:56.075000,2021-09-26 12:08:57.968,1,6.0,False,,False,True,102.734,102.73400000000001
4,0 days 01:11:21.527000,HAM,44,0 days 00:01:42.718000,5.0,1.0,,,36.28,35.707,30.731,0 days 01:10:15.127000,0 days 01:10:50.834000,0 days 01:11:21.565000,230.0,308.0,155.0,297.0,False,MEDIUM,5.0,True,Mercedes,0 days 01:09:38.809000,2021-09-26 12:10:40.702,1,6.0,False,,False,True,102.718,102.71799999999999
5,0 days 01:13:03.941000,HAM,44,0 days 00:01:42.414000,6.0,1.0,,,36.22,35.372,30.822,0 days 01:11:57.785000,0 days 01:12:33.157000,0 days 01:13:03.979000,246.0,319.0,160.0,296.0,False,MEDIUM,6.0,True,Mercedes,0 days 01:11:21.527000,2021-09-26 12:12:23.420,1,6.0,False,,False,True,102.414,102.414
6,0 days 01:14:46.241000,HAM,44,0 days 00:01:42.300000,7.0,1.0,,,36.197,35.442,30.661,0 days 01:13:40.176000,0 days 01:14:15.618000,0 days 01:14:46.279000,236.0,317.0,157.0,301.0,False,MEDIUM,7.0,True,Mercedes,0 days 01:13:03.941000,2021-09-26 12:14:05.834,1,6.0,False,,False,True,102.3,102.30000000000001
7,0 days 01:16:28.317000,HAM,44,0 days 00:01:42.076000,8.0,1.0,,,36.056,35.462,30.558,0 days 01:15:22.335000,0 days 01:15:57.797000,0 days 01:16:28.355000,243.0,318.0,155.0,,False,MEDIUM,8.0,True,Mercedes,0 days 01:14:46.241000,2021-09-26 12:15:48.134,1,6.0,False,,False,True,102.076,102.076
8,0 days 01:18:10.451000,HAM,44,0 days 00:01:42.134000,9.0,1.0,,,36.219,35.306,30.609,0 days 01:17:04.574000,0 days 01:17:39.880000,0 days 01:18:10.489000,245.0,318.0,152.0,303.0,False,MEDIUM,9.0,True,Mercedes,0 days 01:16:28.317000,2021-09-26 12:17:30.210,1,6.0,False,,False,True,102.134,102.13400000000001
9,0 days 01:19:52.662000,HAM,44,0 days 00:01:42.211000,10.0,1.0,,,36.094,35.436,30.681,0 days 01:18:46.583000,0 days 01:19:22.019000,0 days 01:19:52.700000,246.0,319.0,155.0,297.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:18:10.451000,2021-09-26 12:19:12.344,1,6.0,False,,False,True,102.211,102.211
10,0 days 01:21:35.010000,HAM,44,0 days 00:01:42.348000,11.0,1.0,,,36.134,35.477,30.737,0 days 01:20:28.834000,0 days 01:21:04.311000,0 days 01:21:35.048000,241.0,316.0,157.0,305.0,False,MEDIUM,11.0,True,Mercedes,0 days 01:19:52.662000,2021-09-26 12:20:54.555,1,6.0,False,,False,True,102.348,102.34799999999998
11,0 days 01:23:17.273000,HAM,44,0 days 00:01:42.263000,12.0,1.0,,,36.107,35.632,30.524,0 days 01:22:11.155000,0 days 01:22:46.787000,0 days 01:23:17.311000,244.0,317.0,157.0,318.0,False,MEDIUM,12.0,True,Mercedes,0 days 01:21:35.010000,2021-09-26 12:22:36.903,1,5.0,False,,False,True,102.263,102.263
12,0 days 01:24:59.226000,HAM,44,0 days 00:01:41.953000,13.0,1.0,,,36.109,35.358,30.486,0 days 01:23:53.420000,0 days 01:24:28.778000,0 days 01:24:59.264000,250.0,309.0,156.0,308.0,True,MEDIUM,13.0,True,Mercedes,0 days 01:23:17.273000,2021-09-26 12:24:19.166,1,4.0,False,,False,True,101.953,101.953
13,0 days 01:26:41.168000,HAM,44,0 days 00:01:41.942000,14.0,1.0,,,36.379,35.334,30.229,0 days 01:25:35.643000,0 days 01:26:10.977000,0 days 01:26:41.206000,249.0,308.0,156.0,310.0,True,MEDIUM,14.0,True,Mercedes,0 days 01:24:59.226000,2021-09-26 12:26:01.119,1,4.0,False,,False,True,101.942,101.942
14,0 days 01:28:22.602000,HAM,44,0 days 00:01:41.434000,15.0,1.0,,,36.31,35.002,30.122,0 days 01:27:17.516000,0 days 01:27:52.518000,0 days 01:28:22.640000,253.0,308.0,159.0,294.0,True,MEDIUM,15.0,True,Mercedes,0 days 01:26:41.168000,2021-09-26 12:27:43.061,1,3.0,False,,False,True,101.434,101.43400000000001
15,0 days 01:30:04.093000,HAM,44,0 days 00:01:41.491000,16.0,1.0,,,35.997,35.432,30.062,0 days 01:28:58.637000,0 days 01:29:34.069000,0 days 01:30:04.131000,256.0,310.0,152.0,310.0,False,MEDIUM,16.0,True,Mercedes,0 days 01:28:22.602000,2021-09-26 12:29:24.495,1,3.0,False,,False,True,101.491,101.491
16,0 days 01:31:45.645000,HAM,44,0 days 00:01:41.552000,17.0,1.0,,,36.115,35.139,30.298,0 days 01:30:40.246000,0 days 01:31:15.385000,0 days 01:31:45.683000,250.0,306.0,160.0,314.0,False,MEDIUM,17.0,True,Mercedes,0 days 01:30:04.093000,2021-09-26 12:31:05.986,1,3.0,False,,False,True,101.552,101.552
17,0 days 01:33:27.123000,HAM,44,0 days 00:01:41.478000,18.0,1.0,,,36.105,35.173,30.2,0 days 01:32:21.788000,0 days 01:32:56.961000,0 days 01:33:27.161000,249.0,308.0,158.0,315.0,False,MEDIUM,18.0,True,Mercedes,0 days 01:31:45.645000,2021-09-26 12:32:47.538,1,3.0,False,,False,True,101.478,101.478
18,0 days 01:35:08.765000,HAM,44,0 days 00:01:41.642000,19.0,1.0,,,36.211,35.144,30.287,0 days 01:34:03.372000,0 days 01:34:38.516000,0 days 01:35:08.803000,256.0,310.0,159.0,312.0,False,MEDIUM,19.0,True,Mercedes,0 days 01:33:27.123000,2021-09-26 12:34:29.016,1,3.0,False,,False,True,101.642,101.642
19,0 days 01:36:50.564000,HAM,44,0 days 00:01:41.799000,20.0,1.0,,,36.28,35.231,30.288,0 days 01:35:45.083000,0 days 01:36:20.314000,0 days 01:36:50.602000,252.0,310.0,155.0,314.0,False,MEDIUM,20.0,True,Mercedes,0 days 01:35:08.765000,2021-09-26 12:36:10.658,1,3.0,False,,False,True,101.799,101.79899999999999
20,0 days 01:38:32.351000,HAM,44,0 days 00:01:41.787000,21.0,1.0,,,36.199,35.299,30.289,0 days 01:37:26.801000,0 days 01:38:02.100000,0 days 01:38:32.389000,251.0,307.0,154.0,320.0,False,MEDIUM,21.0,True,Mercedes,0 days 01:36:50.564000,2021-09-26 12:37:52.457,1,3.0,False,,False,True,101.787,101.78699999999999
21,0 days 01:40:13.732000,HAM,44,0 days 00:01:41.381000,22.0,1.0,,,36.178,35.096,30.107,0 days 01:39:08.567000,0 days 01:39:43.663000,0 days 01:40:13.770000,255.0,310.0,163.0,295.0,True,MEDIUM,22.0,True,Mercedes,0 days 01:38:32.351000,2021-09-26 12:39:34.244,1,2.0,False,,False,True,101.381,101.381
22,0 days 01:41:54.013000,HAM,44,0 days 00:01:40.281000,23.0,1.0,,,36.044,34.986,29.251,0 days 01:40:49.814000,0 days 01:41:24.800000,0 days 01:41:54.051000,258.0,284.0,163.0,290.0,True,MEDIUM,23.0,True,Mercedes,0 days 01:40:13.732000,2021-09-26 12:41:15.625,1,2.0,False,,False,True,100.281,100.281
23,0 days 01:43:33.921000,HAM,44,0 days 00:01:39.908000,24.0,1.0,,,35.997,34.676,29.235,0 days 01:42:30.048000,0 days 01:43:04.724000,0 days 01:43:33.959000,,285.0,161.0,,True,MEDIUM,24.0,True,Mercedes,0 days 01:41:54.013000,2021-09-26 12:42:55.906,1,2.0,False,,False,True,99.908,99.908
24,0 days 01:45:13.972000,HAM,44,0 days 00:01:40.051000,25.0,1.0,,,36.129,34.732,29.19,0 days 01:44:10.088000,0 days 01:44:44.820000,0 days 01:45:14.010000,257.0,283.0,160.0,292.0,False,MEDIUM,25.0,True,Mercedes,0 days 01:43:33.921000,2021-09-26 12:44:35.814,1,2.0,False,,False,True,100.051,100.05099999999999
25,0 days 01:46:59.723000,HAM,44,0 days 00:01:45.751000,26.0,1.0,,0 days 01:46:51.444000,36.933,34.794,34.024,0 days 01:45:50.943000,0 days 01:46:25.737000,0 days 01:46:59.761000,256.0,286.0,,291.0,False,MEDIUM,26.0,True,Mercedes,0 days 01:45:13.972000,2021-09-26 12:46:15.865,1,4.0,False,,False,False,105.751,105.751
26,0 days 01:48:58.731000,HAM,44,0 days 00:01:59.008000,27.0,2.0,0 days 01:47:21.377000,,56.591,33.913,28.504,0 days 01:47:56.352000,0 days 01:48:30.265000,0 days 01:48:58.769000,258.0,294.0,168.0,291.0,False,HARD,1.0,True,Mercedes,0 days 01:46:59.723000,2021-09-26 12:48:01.616,1,9.0,False,,False,False,119.008,119.008
27,0 days 01:50:39.202000,HAM,44,0 days 00:01:40.471000,28.0,2.0,,,35.275,34.499,30.697,0 days 01:49:34.044000,0 days 01:50:08.543000,0 days 01:50:39.240000,253.0,325.0,161.0,312.0,False,HARD,2.0,True,Mercedes,0 days 01:48:58.731000,2021-09-26 12:50:00.624,1,8.0,False,,False,True,100.471,100.471
28,0 days 01:52:18.046000,HAM,44,0 days 00:01:38.844000,29.0,2.0,,,35.257,34.097,29.49,0 days 01:51:14.497000,0 days 01:51:48.594000,0 days 01:52:18.084000,257.0,296.0,159.0,333.0,True,HARD,3.0,True,Mercedes,0 days 01:50:39.202000,2021-09-26 12:51:41.095,1,7.0,False,,False,True,98.844,98.844
29,0 days 01:53:56.290000,HAM,44,0 days 00:01:38.244000,30.0,2.0,,,35.247,34.544,28.453,0 days 01:52:53.331000,0 days 01:53:27.875000,0 days 01:53:56.328000,,318.0,169.0,,True,HARD,4.0,True,Mercedes,0 days 01:52:18.046000,2021-09-26 12:53:19.939,1,5.0,False,,False,True,98.244,98.244
30,0 days 01:55:34.299000,HAM,44,0 days 00:01:38.009000,31.0,2.0,,,35.617,34.078,28.314,0 days 01:54:31.945000,0 days 01:55:06.023000,0 days 01:55:34.337000,,287.0,169.0,289.0,True,HARD,5.0,True,Mercedes,0 days 01:53:56.290000,2021-09-26 12:54:58.183,1,5.0,False,,False,True,98.009,98.00899999999999
31,0 days 01:57:12.433000,HAM,44,0 days 00:01:38.134000,32.0,2.0,,,35.626,34.047,28.461,0 days 01:56:09.963000,0 days 01:56:44.010000,0 days 01:57:12.471000,,286.0,168.0,291.0,False,HARD,6.0,True,Mercedes,0 days 01:55:34.299000,2021-09-26 12:56:36.192,1,5.0,False,,False,True,98.134,98.134
32,0 days 01:58:50.749000,HAM,44,0 days 00:01:38.316000,33.0,2.0,,,35.705,34.136,28.475,0 days 01:57:48.176000,0 days 01:58:22.312000,0 days 01:58:50.787000,256.0,283.0,169.0,290.0,False,HARD,7.0,True,Mercedes,0 days 01:57:12.433000,2021-09-26 12:58:14.326,1,5.0,False,,False,True,98.316,98.316
33,0 days 02:00:28.756000,HAM,44,0 days 00:01:38.007000,34.0,2.0,,,35.651,33.846,28.51,0 days 01:59:26.438000,0 days 02:00:00.284000,0 days 02:00:28.794000,260.0,293.0,167.0,,True,HARD,8.0,True,Mercedes,0 days 01:58:50.749000,2021-09-26 12:59:52.642,1,5.0,False,,False,True,98.007,98.007
34,0 days 02:02:06.956000,HAM,44,0 days 00:01:38.200000,35.0,2.0,,,35.455,34.063,28.682,0 days 02:01:04.249000,0 days 02:01:38.312000,0 days 02:02:06.994000,259.0,319.0,167.0,300.0,False,HARD,9.0,True,Mercedes,0 days 02:00:28.756000,2021-09-26 13:01:30.649,1,4.0,False,,False,True,98.2,98.2
35,0 days 02:03:45.229000,HAM,44,0 days 00:01:38.273000,36.0,2.0,,,35.588,34.121,28.564,0 days 02:02:42.582000,0 days 02:03:16.703000,0 days 02:03:45.267000,252.0,286.0,165.0,291.0,False,HARD,10.0,True,Mercedes,0 days 02:02:06.956000,2021-09-26 13:03:08.849,1,3.0,False,,False,True,98.273,98.273
36,0 days 02:05:22.999000,HAM,44,0 days 00:01:37.770000,37.0,2.0,,,35.467,33.897,28.406,0 days 02:04:20.734000,0 days 02:04:54.631000,0 days 02:05:23.037000,261.0,291.0,166.0,296.0,True,HARD,11.0,True,Mercedes,0 days 02:03:45.229000,2021-09-26 13:04:47.122,1,2.0,False,,False,True,97.77,97.77000000000001
37,0 days 02:07:00.688000,HAM,44,0 days 00:01:37.689000,38.0,2.0,,,35.432,33.738,28.519,0 days 02:05:58.469000,0 days 02:06:32.207000,0 days 02:07:00.726000,260.0,292.0,164.0,,True,HARD,12.0,True,Mercedes,0 days 02:05:22.999000,2021-09-26 13:06:24.892,1,2.0,False,,False,True,97.689,97.689
38,0 days 02:08:38.407000,HAM,44,0 days 00:01:37.719000,39.0,2.0,,,35.492,33.714,28.513,0 days 02:07:36.218000,0 days 02:08:09.932000,0 days 02:08:38.445000,264.0,298.0,161.0,,False,HARD,13.0,True,Mercedes,0 days 02:07:00.688000,2021-09-26 13:08:02.581,1,2.0,False,,False,True,97.719,97.719
39,0 days 02:10:16.015000,HAM,44,0 days 00:01:37.608000,40.0,2.0,,,35.483,33.711,28.414,0 days 02:09:13.928000,0 days 02:09:47.639000,0 days 02:10:16.053000,,292.0,161.0,297.0,True,HARD,14.0,True,Mercedes,0 days 02:08:38.407000,2021-09-26 13:09:40.300,1,2.0,False,,False,True,97.608,97.60799999999999
40,0 days 02:11:53.847000,HAM,44,0 days 00:01:37.832000,41.0,2.0,,,35.399,33.82,28.613,0 days 02:10:51.452000,0 days 02:11:25.272000,0 days 02:11:53.885000,263.0,292.0,165.0,,False,HARD,15.0,True,Mercedes,0 days 02:10:16.015000,2021-09-26 13:11:17.908,1,2.0,False,,False,True,97.832,97.832
41,0 days 02:13:31.525000,HAM,44,0 days 00:01:37.678000,42.0,2.0,,,35.391,33.808,28.479,0 days 02:12:29.276000,0 days 02:13:03.084000,0 days 02:13:31.563000,262.0,291.0,164.0,293.0,False,HARD,16.0,True,Mercedes,0 days 02:11:53.847000,2021-09-26 13:12:55.740,1,2.0,False,,False,True,97.678,97.678
42,0 days 02:15:09.100000,HAM,44,0 days 00:01:37.575000,43.0,2.0,,,35.255,33.742,28.578,0 days 02:14:06.818000,0 days 02:14:40.560000,0 days 02:15:09.138000,263.0,292.0,165.0,297.0,True,HARD,17.0,True,Mercedes,0 days 02:13:31.525000,2021-09-26 13:14:33.418,1,2.0,False,,False,True,97.575,97.575
43,0 days 02:16:46.889000,HAM,44,0 days 00:01:37.789000,44.0,2.0,,,35.177,33.803,28.809,0 days 02:15:44.315000,0 days 02:16:18.118000,0 days 02:16:46.927000,261.0,295.0,162.0,301.0,False,HARD,18.0,True,Mercedes,0 days 02:15:09.100000,2021-09-26 13:16:10.993,1,2.0,False,,False,True,97.789,97.78899999999999
44,0 days 02:18:24.981000,HAM,44,0 days 00:01:38.092000,45.0,2.0,,,35.338,33.872,28.882,0 days 02:17:22.265000,0 days 02:17:56.137000,0 days 02:18:25.019000,258.0,294.0,163.0,298.0,False,HARD,19.0,True,Mercedes,0 days 02:16:46.889000,2021-09-26 13:17:48.782,1,2.0,False,,False,True,98.092,98.09200000000001
45,0 days 02:20:03.923000,HAM,44,0 days 00:01:38.942000,46.0,2.0,,,35.421,34.746,28.775,0 days 02:19:00.440000,0 days 02:19:35.186000,0 days 02:20:03.961000,242.0,294.0,162.0,297.0,False,HARD,20.0,True,Mercedes,0 days 02:18:24.981000,2021-09-26 13:19:26.874,1,2.0,False,,False,True,98.942,98.94200000000001
46,0 days 02:21:46.535000,HAM,44,0 days 00:01:42.612000,47.0,2.0,,,35.607,37.453,29.552,0 days 02:20:39.568000,0 days 02:21:17.021000,0 days 02:21:46.573000,215.0,318.0,160.0,298.0,False,HARD,21.0,True,Mercedes,0 days 02:20:03.923000,2021-09-26 13:21:05.816,1,2.0,False,,False,True,102.612,102.612
47,0 days 02:23:42.265000,HAM,44,0 days 00:01:55.730000,48.0,2.0,,,38.142,44.2,33.388,0 days 02:22:24.715000,0 days 02:23:08.915000,0 days 02:23:42.303000,183.0,258.0,164.0,244.0,False,HARD,22.0,True,Mercedes,0 days 02:21:46.535000,2021-09-26 13:22:48.428,12,2.0,False,,False,True,115.73,115.73000000000002
48,0 days 02:25:39.144000,HAM,44,0 days 00:01:56.879000,49.0,2.0,,0 days 02:25:30.666000,37.695,43.48,35.704,0 days 02:24:19.998000,0 days 02:25:03.478000,0 days 02:25:39.182000,189.0,295.0,,254.0,False,HARD,23.0,True,Mercedes,0 days 02:23:42.265000,2021-09-26 13:24:44.158,12,2.0,False,,False,False,116.879,116.87899999999999
49,0 days 02:27:45.460000,HAM,44,0 days 00:02:06.316000,50.0,3.0,0 days 02:26:00.701000,,56.972,38.328,31.016,0 days 02:26:36.154000,0 days 02:27:14.482000,0 days 02:27:45.498000,205.0,292.0,146.0,277.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 02:25:39.144000,2021-09-26 13:26:41.037,1,2.0,False,,False,False,126.316,126.316
50,0 days 02:29:38.992000,HAM,44,0 days 00:01:53.532000,51.0,3.0,,,39.164,41.092,33.276,0 days 02:28:24.662000,0 days 02:29:05.754000,0 days 02:29:39.030000,162.0,297.0,145.0,272.0,False,INTERMEDIATE,2.0,True,Mercedes,0 days 02:27:45.460000,2021-09-26 13:28:47.353,12,1.0,False,,False,True,113.532,113.53200000000001
51,0 days 02:31:31.651000,HAM,44,0 days 00:01:52.659000,52.0,3.0,,,39.793,39.803,33.063,0 days 02:30:18.823000,0 days 02:30:58.626000,0 days 02:31:31.689000,187.0,296.0,149.0,242.0,False,INTERMEDIATE,3.0,True,Mercedes,0 days 02:29:38.992000,2021-09-26 13:30:40.885,12,1.0,False,,False,True,112.659,112.659
52,0 days 02:33:23.116000,HAM,44,0 days 00:01:51.465000,53.0,3.0,,,39.081,39.394,32.99,0 days 02:32:10.770000,0 days 02:32:50.164000,0 days 02:33:23.154000,190.0,299.0,136.0,254.0,False,INTERMEDIATE,4.0,True,Mercedes,0 days 02:31:31.651000,2021-09-26 13:32:33.544,1,1.0,False,,False,True,111.465,111.465
53,0 days 01:04:37.083000,VER,33,0 days 00:01:54.968000,1.0,1.0,,,,38.679,32.889,,0 days 01:04:04.272000,0 days 01:04:37.224000,216.0,309.0,161.0,212.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:02:41.933000,2021-09-26 12:03:43.826,1,17.0,False,,False,False,114.968,
54,0 days 01:06:22.473000,VER,33,0 days 00:01:45.390000,2.0,1.0,,,37.347,36.882,31.161,0 days 01:05:14.430000,0 days 01:05:51.312000,0 days 01:06:22.473000,217.0,314.0,157.0,285.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:04:37.083000,2021-09-26 12:05:38.976,12,16.0,False,,False,True,105.39,105.39
55,0 days 01:08:06.437000,VER,33,0 days 00:01:43.964000,3.0,1.0,,,36.596,35.848,31.52,0 days 01:06:59.069000,0 days 01:07:34.917000,0 days 01:08:06.437000,238.0,320.0,155.0,304.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:06:22.473000,2021-09-26 12:07:24.366,1,16.0,False,,False,True,103.964,103.96399999999998
56,0 days 01:09:48.251000,VER,33,0 days 00:01:41.814000,4.0,1.0,,,36.152,35.47,30.192,0 days 01:08:42.589000,0 days 01:09:18.059000,0 days 01:09:48.251000,240.0,314.0,158.0,300.0,True,HARD,4.0,True,Red Bull Racing,0 days 01:08:06.437000,2021-09-26 12:09:08.330,1,15.0,False,,False,True,101.814,101.814
57,0 days 01:11:30.331000,VER,33,0 days 00:01:42.080000,5.0,1.0,,,36.066,35.193,30.821,0 days 01:10:24.317000,0 days 01:10:59.510000,0 days 01:11:30.331000,242.0,322.0,157.0,309.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:09:48.251000,2021-09-26 12:10:50.144,1,15.0,False,,False,True,102.08,102.08
58,0 days 01:13:12.852000,VER,33,0 days 00:01:42.521000,6.0,1.0,,,36.061,35.512,30.948,0 days 01:12:06.392000,0 days 01:12:41.904000,0 days 01:13:12.852000,238.0,339.0,157.0,306.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:11:30.331000,2021-09-26 12:12:32.224,1,14.0,False,,False,True,102.521,102.52100000000002
59,0 days 01:14:55.236000,VER,33,0 days 00:01:42.384000,7.0,1.0,,,35.856,35.459,31.069,0 days 01:13:48.708000,0 days 01:14:24.167000,0 days 01:14:55.236000,240.0,323.0,158.0,307.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:13:12.852000,2021-09-26 12:14:14.745,1,14.0,False,,False,True,102.384,102.384
60,0 days 01:16:36.939000,VER,33,0 days 00:01:41.703000,8.0,1.0,,,36.159,35.329,30.215,0 days 01:15:31.395000,0 days 01:16:06.724000,0 days 01:16:36.939000,245.0,320.0,161.0,310.0,True,HARD,8.0,True,Red Bull Racing,0 days 01:14:55.236000,2021-09-26 12:15:57.129,1,13.0,False,,False,True,101.703,101.703
61,0 days 01:18:18.891000,VER,33,0 days 00:01:41.952000,9.0,1.0,,,35.985,35.161,30.806,0 days 01:17:12.924000,0 days 01:17:48.085000,0 days 01:18:18.891000,246.0,323.0,153.0,298.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:16:36.939000,2021-09-26 12:17:38.832,1,13.0,False,,False,True,101.952,101.952
62,0 days 01:20:01.943000,VER,33,0 days 00:01:43.052000,10.0,1.0,,,36.103,36.44,30.509,0 days 01:18:54.994000,0 days 01:19:31.434000,0 days 01:20:01.943000,233.0,313.0,156.0,316.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:18:18.891000,2021-09-26 12:19:20.784,1,12.0,False,,False,True,103.052,103.052
63,0 days 01:21:43.991000,VER,33,0 days 00:01:42.048000,11.0,1.0,,,36.299,35.371,30.378,0 days 01:20:38.242000,0 days 01:21:13.613000,0 days 01:21:43.991000,247.0,299.0,159.0,301.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:20:01.943000,2021-09-26 12:21:03.836,1,12.0,False,,False,True,102.048,102.048
64,0 days 01:23:26.291000,VER,33,0 days 00:01:42.300000,12.0,1.0,,,36.241,35.177,30.882,0 days 01:22:20.232000,0 days 01:22:55.409000,0 days 01:23:26.291000,245.0,316.0,158.0,304.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:21:43.991000,2021-09-26 12:22:45.884,1,12.0,False,,False,True,102.3,102.30000000000001
