,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:34:18.599000,VER,33,0 days 00:01:12.767000,1.0,1.0,,,,31.042,21.337,,0 days 00:33:57.327000,0 days 00:34:18.809000,288.0,230.0,267.0,287.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:33:05.677000,2021-06-27 13:03:05.722,12,1.0,False,,False,False,72.767,
1,0 days 00:35:28.630000,VER,33,0 days 00:01:10.031000,2.0,1.0,,,17.733,31.027,21.271,0 days 00:34:36.349000,0 days 00:35:07.376000,0 days 00:35:28.647000,289.0,231.0,267.0,287.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:34:18.599000,2021-06-27 13:04:18.644,1,1.0,False,,False,True,70.031,70.031
2,0 days 00:36:38.464000,VER,33,0 days 00:01:09.834000,3.0,1.0,,,17.716,30.903,21.215,0 days 00:35:46.363000,0 days 00:36:17.266000,0 days 00:36:38.481000,291.0,230.0,270.0,291.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 00:35:28.630000,2021-06-27 13:05:28.675,1,1.0,False,,False,True,69.834,69.834
3,0 days 00:37:48.070000,VER,33,0 days 00:01:09.606000,4.0,1.0,,,17.59,30.84,21.176,0 days 00:36:56.071000,0 days 00:37:26.911000,0 days 00:37:48.087000,292.0,231.0,271.0,292.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 00:36:38.464000,2021-06-27 13:06:38.509,1,1.0,False,,False,True,69.606,69.606
4,0 days 00:38:57.736000,VER,33,0 days 00:01:09.666000,5.0,1.0,,,17.569,30.815,21.282,0 days 00:38:05.656000,0 days 00:38:36.471000,0 days 00:38:57.753000,293.0,230.0,271.0,292.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:37:48.070000,2021-06-27 13:07:48.115,1,1.0,False,,False,True,69.666,69.666
5,0 days 00:40:07.591000,VER,33,0 days 00:01:09.855000,6.0,1.0,,,17.66,30.998,21.197,0 days 00:39:15.413000,0 days 00:39:46.411000,0 days 00:40:07.608000,295.0,229.0,270.0,290.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:38:57.736000,2021-06-27 13:08:57.781,1,1.0,False,,False,True,69.855,69.855
6,0 days 00:41:17.463000,VER,33,0 days 00:01:09.872000,7.0,1.0,,,17.657,30.998,21.217,0 days 00:40:25.265000,0 days 00:40:56.263000,0 days 00:41:17.480000,297.0,231.0,268.0,289.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:40:07.591000,2021-06-27 13:10:07.636,1,1.0,False,,False,True,69.872,69.872
7,0 days 00:42:27.348000,VER,33,0 days 00:01:09.885000,8.0,1.0,,,17.682,31.006,21.197,0 days 00:41:35.162000,0 days 00:42:06.168000,0 days 00:42:27.365000,294.0,232.0,269.0,291.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:41:17.463000,2021-06-27 13:11:17.508,1,1.0,False,,False,True,69.885,69.885
8,0 days 00:43:37.095000,VER,33,0 days 00:01:09.747000,9.0,1.0,,,17.65,30.925,21.172,0 days 00:42:45.015000,0 days 00:43:15.940000,0 days 00:43:37.112000,295.0,231.0,269.0,291.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 00:42:27.348000,2021-06-27 13:12:27.393,1,1.0,False,,False,True,69.747,69.747
9,0 days 00:44:46.982000,VER,33,0 days 00:01:09.887000,10.0,1.0,,,17.66,30.984,21.243,0 days 00:43:54.772000,0 days 00:44:25.756000,0 days 00:44:46.999000,293.0,232.0,269.0,290.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 00:43:37.095000,2021-06-27 13:13:37.140,1,1.0,False,,False,True,69.887,69.887
10,0 days 00:45:56.883000,VER,33,0 days 00:01:09.901000,11.0,1.0,,,17.712,30.972,21.217,0 days 00:45:04.711000,0 days 00:45:35.683000,0 days 00:45:56.900000,295.0,232.0,269.0,290.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 00:44:46.982000,2021-06-27 13:14:47.027,1,1.0,False,,False,True,69.901,69.901
11,0 days 00:47:06.771000,VER,33,0 days 00:01:09.888000,12.0,1.0,,,17.668,30.926,21.294,0 days 00:46:14.568000,0 days 00:46:45.494000,0 days 00:47:06.788000,293.0,232.0,269.0,290.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 00:45:56.883000,2021-06-27 13:15:56.928,1,1.0,False,,False,True,69.888,69.88799999999999
12,0 days 00:48:16.518000,VER,33,0 days 00:01:09.747000,13.0,1.0,,,17.688,30.975,21.084,0 days 00:47:24.476000,0 days 00:47:55.451000,0 days 00:48:16.535000,294.0,232.0,271.0,290.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 00:47:06.771000,2021-06-27 13:17:06.816,1,1.0,False,,False,True,69.747,69.747
13,0 days 00:49:26.129000,VER,33,0 days 00:01:09.611000,14.0,1.0,,,17.584,30.837,21.19,0 days 00:48:34.119000,0 days 00:49:04.956000,0 days 00:49:26.146000,296.0,232.0,270.0,291.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 00:48:16.518000,2021-06-27 13:18:16.563,1,1.0,False,,False,True,69.611,69.611
14,0 days 00:50:35.842000,VER,33,0 days 00:01:09.713000,15.0,1.0,,,17.608,30.969,21.136,0 days 00:49:43.754000,0 days 00:50:14.723000,0 days 00:50:35.859000,294.0,231.0,270.0,292.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 00:49:26.129000,2021-06-27 13:19:26.174,1,1.0,False,,False,True,69.713,69.713
15,0 days 00:51:45.494000,VER,33,0 days 00:01:09.652000,16.0,1.0,,,17.565,30.921,21.166,0 days 00:50:53.424000,0 days 00:51:24.345000,0 days 00:51:45.511000,,232.0,270.0,291.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 00:50:35.842000,2021-06-27 13:20:35.887,1,1.0,False,,False,True,69.652,69.652
16,0 days 00:52:55.231000,VER,33,0 days 00:01:09.737000,17.0,1.0,,,17.573,30.955,21.209,0 days 00:52:03.084000,0 days 00:52:34.039000,0 days 00:52:55.248000,295.0,232.0,271.0,292.0,False,MEDIUM,22.0,False,Red Bull Racing,0 days 00:51:45.494000,2021-06-27 13:21:45.539,1,1.0,False,,False,True,69.737,69.737
17,0 days 00:54:05.056000,VER,33,0 days 00:01:09.825000,18.0,1.0,,,17.651,31.015,21.159,0 days 00:53:12.899000,0 days 00:53:43.914000,0 days 00:54:05.073000,,231.0,271.0,292.0,False,MEDIUM,23.0,False,Red Bull Racing,0 days 00:52:55.231000,2021-06-27 13:22:55.276,1,1.0,False,,False,True,69.825,69.82499999999999
18,0 days 00:55:15.070000,VER,33,0 days 00:01:10.014000,19.0,1.0,,,17.602,31.166,21.246,0 days 00:54:22.675000,0 days 00:54:53.841000,0 days 00:55:15.087000,,232.0,270.0,291.0,False,MEDIUM,24.0,False,Red Bull Racing,0 days 00:54:05.056000,2021-06-27 13:24:05.101,1,1.0,False,,False,True,70.014,70.014
19,0 days 00:56:24.968000,VER,33,0 days 00:01:09.898000,20.0,1.0,,,17.554,31.094,21.25,0 days 00:55:32.641000,0 days 00:56:03.735000,0 days 00:56:24.985000,,232.0,271.0,291.0,False,MEDIUM,25.0,False,Red Bull Racing,0 days 00:55:15.070000,2021-06-27 13:25:15.115,1,1.0,False,,False,True,69.898,69.898
20,0 days 00:57:34.553000,VER,33,0 days 00:01:09.585000,21.0,1.0,,,17.488,30.934,21.163,0 days 00:56:42.473000,0 days 00:57:13.407000,0 days 00:57:34.570000,297.0,231.0,272.0,291.0,True,MEDIUM,26.0,False,Red Bull Racing,0 days 00:56:24.968000,2021-06-27 13:26:25.013,1,1.0,False,,False,True,69.585,69.585
21,0 days 00:58:44.117000,VER,33,0 days 00:01:09.564000,22.0,1.0,,,17.463,30.962,21.139,0 days 00:57:52.033000,0 days 00:58:22.995000,0 days 00:58:44.134000,,229.0,273.0,289.0,True,MEDIUM,27.0,False,Red Bull Racing,0 days 00:57:34.553000,2021-06-27 13:27:34.598,1,1.0,False,,False,True,69.564,69.564
