,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
62,0 days 01:02:18.594000,22.8,61.9,927.0,False,52.1,164,0.5
63,0 days 01:03:18.593000,22.8,61.9,927.0,False,52.1,164,0.5
65,0 days 01:05:18.584000,23.1,61.6,927.0,False,51.7,193,0.8
66,0 days 01:06:18.603000,23.1,62.9,927.0,False,51.9,339,0.5
67,0 days 01:07:18.602000,23.0,62.9,927.0,False,51.9,339,0.5
68,0 days 01:08:18.625000,23.0,61.9,926.8,False,51.9,156,0.5
70,0 days 01:10:18.621000,22.9,61.6,927.0,False,51.4,212,0.5
72,0 days 01:12:18.617000,22.8,61.5,927.1,False,51.5,175,0.4
74,0 days 01:14:18.619000,22.8,61.2,927.0,False,51.8,198,0.2
77,0 days 01:17:18.619000,22.7,60.2,926.9,False,52.3,239,0.4
78,0 days 01:18:18.617000,22.7,60.2,926.9,False,52.3,239,0.4
79,0 days 01:19:18.617000,22.7,60.7,926.9,False,51.2,1,0.3
81,0 days 01:21:18.616000,22.7,62.1,927.1,False,50.0,251,0.4
82,0 days 01:22:18.618000,22.6,62.1,927.1,False,50.0,251,0.4
84,0 days 01:24:18.634000,22.7,63.0,927.0,False,50.2,206,0.3
85,0 days 01:25:18.638000,22.7,62.4,927.0,False,50.4,137,0.3
86,0 days 01:26:18.638000,22.6,62.1,927.2,False,50.5,40,0.4
87,0 days 01:27:18.645000,22.6,62.7,927.0,False,50.2,181,0.5
89,0 days 01:29:18.682000,22.7,63.0,927.1,False,50.2,199,0.4
90,0 days 01:30:18.700000,22.6,62.9,927.1,False,49.8,152,0.5
91,0 days 01:31:18.694000,22.6,63.0,927.1,False,49.6,151,0.3
92,0 days 01:32:18.712000,22.8,63.0,927.1,False,49.6,151,0.3
94,0 days 01:34:18.713000,22.9,62.8,927.1,False,49.6,147,0.5
95,0 days 01:35:18.711000,22.8,62.2,927.1,False,49.1,173,0.4
96,0 days 01:36:18.727000,22.9,62.2,927.1,False,49.1,173,0.4
97,0 days 01:37:18.749000,23.0,61.5,927.0,False,49.2,182,0.2
99,0 days 01:39:18.742000,23.0,61.0,927.0,False,49.2,169,0.5
100,0 days 01:40:18.754000,23.1,61.3,927.0,False,49.0,196,0.5
101,0 days 01:41:18.744000,23.1,61.3,927.0,False,49.0,196,0.5
103,0 days 01:43:18.744000,23.2,62.0,926.9,False,49.3,169,0.3
104,0 days 01:44:18.760000,23.3,60.6,927.0,False,50.8,160,0.3
105,0 days 01:45:18.738000,23.3,60.6,927.0,False,50.8,160,0.3
107,0 days 01:47:18.745000,23.0,61.6,926.9,False,51.7,229,0.4
108,0 days 01:48:18.743000,23.1,61.1,927.0,False,50.7,172,0.3
109,0 days 01:49:18.741000,23.1,60.3,926.9,False,51.2,148,0.3
110,0 days 01:50:18.742000,23.2,60.5,926.9,False,51.2,207,0.3
111,0 days 01:51:18.742000,23.2,60.7,927.0,False,51.3,161,0.4
113,0 days 01:53:18.741000,23.1,59.9,926.9,False,51.3,184,0.4
114,0 days 01:54:18.742000,23.2,59.4,926.9,False,51.0,253,0.5
115,0 days 01:55:18.743000,23.2,59.5,927.0,False,51.0,185,0.7
116,0 days 01:56:18.742000,23.2,58.9,926.9,False,50.4,238,0.3
118,0 days 01:58:18.744000,23.2,58.7,927.0,False,50.4,198,0.6
119,0 days 01:59:18.743000,23.1,59.2,927.0,False,50.7,196,0.6
120,0 days 02:00:18.746000,23.0,60.2,926.9,False,49.6,184,0.7
122,0 days 02:02:18.744000,22.9,61.4,926.7,False,49.3,184,0.5
123,0 days 02:03:18.753000,22.9,60.9,926.9,False,49.7,152,0.4
124,0 days 02:04:18.781000,22.9,59.1,926.8,False,49.8,167,0.3
125,0 days 02:05:18.743000,22.9,59.6,926.9,False,49.6,123,0.3
126,0 days 02:06:18.744000,23.0,58.8,926.8,False,49.6,150,0.2
128,0 days 02:08:18.743000,23.2,58.7,926.8,False,50.1,180,0.3
129,0 days 02:09:18.744000,23.2,59.6,926.8,False,49.7,170,0.4
130,0 days 02:10:18.746000,23.2,59.6,926.8,False,49.7,170,0.4
131,0 days 02:11:18.741000,23.3,60.8,926.8,False,48.6,175,0.3
133,0 days 02:13:18.759000,23.2,62.4,926.8,False,48.3,192,0.7
134,0 days 02:14:18.743000,22.9,61.7,926.7,False,48.3,192,0.3
135,0 days 02:15:18.742000,22.9,60.8,926.8,False,48.5,144,0.5
136,0 days 02:16:18.744000,22.8,61.4,926.8,False,48.5,179,0.4
137,0 days 02:17:18.743000,22.8,62.0,926.8,False,47.8,173,0.4
139,0 days 02:19:18.743000,22.8,61.7,926.9,False,47.8,192,0.4
140,0 days 02:20:18.750000,22.8,62.0,926.8,False,47.0,157,0.4
141,0 days 02:21:18.744000,22.8,62.0,926.8,False,47.0,157,0.4
142,0 days 02:22:18.742000,22.9,62.4,926.8,False,47.0,164,0.4
143,0 days 02:23:18.745000,22.9,63.3,926.8,False,47.0,192,0.5
145,0 days 02:25:18.747000,22.6,64.2,926.8,False,46.7,157,0.2
146,0 days 02:26:18.745000,22.8,64.1,926.8,False,46.4,173,0.3
147,0 days 02:27:18.744000,22.8,63.5,926.7,False,46.3,231,0.5
148,0 days 02:28:18.742000,22.8,63.5,926.7,False,46.3,231,0.5
150,0 days 02:30:18.742000,22.8,63.0,926.7,False,46.1,178,0.3
151,0 days 02:31:18.743000,22.8,62.7,926.7,False,46.0,182,0.4
152,0 days 02:32:18.744000,22.7,62.8,926.7,False,45.5,197,0.4
153,0 days 02:33:18.744000,22.7,63.2,926.6,False,44.6,184,0.5
62,0 days 01:02:18.594000,22.8,61.9,927.0,False,52.1,164,0.5
63,0 days 01:03:18.593000,22.8,61.9,927.0,False,52.1,164,0.5
65,0 days 01:05:18.584000,23.1,61.6,927.0,False,51.7,193,0.8
66,0 days 01:06:18.603000,23.1,62.9,927.0,False,51.9,339,0.5
67,0 days 01:07:18.602000,23.0,62.9,927.0,False,51.9,339,0.5
68,0 days 01:08:18.625000,23.0,61.9,926.8,False,51.9,156,0.5
70,0 days 01:10:18.621000,22.9,61.6,927.0,False,51.4,212,0.5
72,0 days 01:12:18.617000,22.8,61.5,927.1,False,51.5,175,0.4
74,0 days 01:14:18.619000,22.8,61.2,927.0,False,51.8,198,0.2
77,0 days 01:17:18.619000,22.7,60.2,926.9,False,52.3,239,0.4
78,0 days 01:18:18.617000,22.7,60.2,926.9,False,52.3,239,0.4
79,0 days 01:19:18.617000,22.7,60.7,926.9,False,51.2,1,0.3
81,0 days 01:21:18.616000,22.7,62.1,927.1,False,50.0,251,0.4
82,0 days 01:22:18.618000,22.6,62.1,927.1,False,50.0,251,0.4
84,0 days 01:24:18.634000,22.7,63.0,927.0,False,50.2,206,0.3
85,0 days 01:25:18.638000,22.7,62.4,927.0,False,50.4,137,0.3
86,0 days 01:26:18.638000,22.6,62.1,927.2,False,50.5,40,0.4
87,0 days 01:27:18.645000,22.6,62.7,927.0,False,50.2,181,0.5
89,0 days 01:29:18.682000,22.7,63.0,927.1,False,50.2,199,0.4
90,0 days 01:30:18.700000,22.6,62.9,927.1,False,49.8,152,0.5
91,0 days 01:31:18.694000,22.6,63.0,927.1,False,49.6,151,0.3
92,0 days 01:32:18.712000,22.8,63.0,927.1,False,49.6,151,0.3
94,0 days 01:34:18.713000,22.9,62.8,927.1,False,49.6,147,0.5
95,0 days 01:35:18.711000,22.8,62.2,927.1,False,49.1,173,0.4
96,0 days 01:36:18.727000,22.9,62.2,927.1,False,49.1,173,0.4
97,0 days 01:37:18.749000,23.0,61.5,927.0,False,49.2,182,0.2
99,0 days 01:39:18.742000,23.0,61.0,927.0,False,49.2,169,0.5
100,0 days 01:40:18.754000,23.1,61.3,927.0,False,49.0,196,0.5
101,0 days 01:41:18.744000,23.1,61.3,927.0,False,49.0,196,0.5
103,0 days 01:43:18.744000,23.2,62.0,926.9,False,49.3,169,0.3
104,0 days 01:44:18.760000,23.3,60.6,927.0,False,50.8,160,0.3
105,0 days 01:45:18.738000,23.3,60.6,927.0,False,50.8,160,0.3
107,0 days 01:47:18.745000,23.0,61.6,926.9,False,51.7,229,0.4
108,0 days 01:48:18.743000,23.1,61.1,927.0,False,50.7,172,0.3
109,0 days 01:49:18.741000,23.1,60.3,926.9,False,51.2,148,0.3
110,0 days 01:50:18.742000,23.2,60.5,926.9,False,51.2,207,0.3
111,0 days 01:51:18.742000,23.2,60.7,927.0,False,51.3,161,0.4
113,0 days 01:53:18.741000,23.1,59.9,926.9,False,51.3,184,0.4
114,0 days 01:54:18.742000,23.2,59.4,926.9,False,51.0,253,0.5
115,0 days 01:55:18.743000,23.2,59.5,927.0,False,51.0,185,0.7
116,0 days 01:56:18.742000,23.2,58.9,926.9,False,50.4,238,0.3
118,0 days 01:58:18.744000,23.2,58.7,927.0,False,50.4,198,0.6
119,0 days 01:59:18.743000,23.1,59.2,927.0,False,50.7,196,0.6
120,0 days 02:00:18.746000,23.0,60.2,926.9,False,49.6,184,0.7
122,0 days 02:02:18.744000,22.9,61.4,926.7,False,49.3,184,0.5
123,0 days 02:03:18.753000,22.9,60.9,926.9,False,49.7,152,0.4
124,0 days 02:04:18.781000,22.9,59.1,926.8,False,49.8,167,0.3
125,0 days 02:05:18.743000,22.9,59.6,926.9,False,49.6,123,0.3
126,0 days 02:06:18.744000,23.0,58.8,926.8,False,49.6,150,0.2
128,0 days 02:08:18.743000,23.2,58.7,926.8,False,50.1,180,0.3
129,0 days 02:09:18.744000,23.2,59.6,926.8,False,49.7,170,0.4
130,0 days 02:10:18.746000,23.2,59.6,926.8,False,49.7,170,0.4
131,0 days 02:11:18.741000,23.3,60.8,926.8,False,48.6,175,0.3
133,0 days 02:13:18.759000,23.2,62.4,926.8,False,48.3,192,0.7
134,0 days 02:14:18.743000,22.9,61.7,926.7,False,48.3,192,0.3
135,0 days 02:15:18.742000,22.9,60.8,926.8,False,48.5,144,0.5
136,0 days 02:16:18.744000,22.8,61.4,926.8,False,48.5,179,0.4
137,0 days 02:17:18.743000,22.8,62.0,926.8,False,47.8,173,0.4
139,0 days 02:19:18.743000,22.8,61.7,926.9,False,47.8,192,0.4
140,0 days 02:20:18.750000,22.8,62.0,926.8,False,47.0,157,0.4
141,0 days 02:21:18.744000,22.8,62.0,926.8,False,47.0,157,0.4
142,0 days 02:22:18.742000,22.9,62.4,926.8,False,47.0,164,0.4
143,0 days 02:23:18.745000,22.9,63.3,926.8,False,47.0,192,0.5
145,0 days 02:25:18.747000,22.6,64.2,926.8,False,46.7,157,0.2
146,0 days 02:26:18.745000,22.8,64.1,926.8,False,46.4,173,0.3
147,0 days 02:27:18.744000,22.8,63.5,926.7,False,46.3,231,0.5
148,0 days 02:28:18.742000,22.8,63.5,926.7,False,46.3,231,0.5
150,0 days 02:30:18.742000,22.8,63.0,926.7,False,46.1,178,0.3
151,0 days 02:31:18.743000,22.8,62.7,926.7,False,46.0,182,0.4
152,0 days 02:32:18.744000,22.7,62.8,926.7,False,45.5,197,0.4
153,0 days 02:33:18.744000,22.7,63.2,926.6,False,44.6,184,0.5
62,0 days 01:02:18.594000,22.8,61.9,927.0,False,52.1,164,0.5
63,0 days 01:03:18.593000,22.8,61.9,927.0,False,52.1,164,0.5
65,0 days 01:05:18.584000,23.1,61.6,927.0,False,51.7,193,0.8
66,0 days 01:06:18.603000,23.1,62.9,927.0,False,51.9,339,0.5
67,0 days 01:07:18.602000,23.0,62.9,927.0,False,51.9,339,0.5
68,0 days 01:08:18.625000,23.0,61.9,926.8,False,51.9,156,0.5
70,0 days 01:10:18.621000,22.9,61.6,927.0,False,51.4,212,0.5
72,0 days 01:12:18.617000,22.8,61.5,927.1,False,51.5,175,0.4
74,0 days 01:14:18.619000,22.8,61.2,927.0,False,51.8,198,0.2
77,0 days 01:17:18.619000,22.7,60.2,926.9,False,52.3,239,0.4
78,0 days 01:18:18.617000,22.7,60.2,926.9,False,52.3,239,0.4
79,0 days 01:19:18.617000,22.7,60.7,926.9,False,51.2,1,0.3
81,0 days 01:21:18.616000,22.7,62.1,927.1,False,50.0,251,0.4
82,0 days 01:22:18.618000,22.6,62.1,927.1,False,50.0,251,0.4
84,0 days 01:24:18.634000,22.7,63.0,927.0,False,50.2,206,0.3
85,0 days 01:25:18.638000,22.7,62.4,927.0,False,50.4,137,0.3
86,0 days 01:26:18.638000,22.6,62.1,927.2,False,50.5,40,0.4
87,0 days 01:27:18.645000,22.6,62.7,927.0,False,50.2,181,0.5
89,0 days 01:29:18.682000,22.7,63.0,927.1,False,50.2,199,0.4
90,0 days 01:30:18.700000,22.6,62.9,927.1,False,49.8,152,0.5
91,0 days 01:31:18.694000,22.6,63.0,927.1,False,49.6,151,0.3
92,0 days 01:32:18.712000,22.8,63.0,927.1,False,49.6,151,0.3
94,0 days 01:34:18.713000,22.9,62.8,927.1,False,49.6,147,0.5
95,0 days 01:35:18.711000,22.8,62.2,927.1,False,49.1,173,0.4
96,0 days 01:36:18.727000,22.9,62.2,927.1,False,49.1,173,0.4
97,0 days 01:37:18.749000,23.0,61.5,927.0,False,49.2,182,0.2
99,0 days 01:39:18.742000,23.0,61.0,927.0,False,49.2,169,0.5
100,0 days 01:40:18.754000,23.1,61.3,927.0,False,49.0,196,0.5
101,0 days 01:41:18.744000,23.1,61.3,927.0,False,49.0,196,0.5
102,0 days 01:42:18.747000,23.2,62.0,926.9,False,49.3,169,0.3
104,0 days 01:44:18.760000,23.3,60.6,927.0,False,50.8,160,0.3
105,0 days 01:45:18.738000,23.3,60.6,927.0,False,50.8,160,0.3
107,0 days 01:47:18.745000,23.0,61.6,926.9,False,51.7,229,0.4
108,0 days 01:48:18.743000,23.1,61.1,927.0,False,50.7,172,0.3
109,0 days 01:49:18.741000,23.1,60.3,926.9,False,51.2,148,0.3
110,0 days 01:50:18.742000,23.2,60.5,926.9,False,51.2,207,0.3
112,0 days 01:52:18.744000,23.2,60.7,927.0,False,51.3,161,0.4
113,0 days 01:53:18.741000,23.1,59.9,926.9,False,51.3,184,0.4
114,0 days 01:54:18.742000,23.2,59.4,926.9,False,51.0,253,0.5
115,0 days 01:55:18.743000,23.2,59.5,927.0,False,51.0,185,0.7
116,0 days 01:56:18.742000,23.2,58.9,926.9,False,50.4,238,0.3
118,0 days 01:58:18.744000,23.2,58.7,927.0,False,50.4,198,0.6
119,0 days 01:59:18.743000,23.1,59.2,927.0,False,50.7,196,0.6
120,0 days 02:00:18.746000,23.0,60.2,926.9,False,49.6,184,0.7
122,0 days 02:02:18.744000,22.9,61.4,926.7,False,49.3,184,0.5
123,0 days 02:03:18.753000,22.9,60.9,926.9,False,49.7,152,0.4
124,0 days 02:04:18.781000,22.9,59.1,926.8,False,49.8,167,0.3
125,0 days 02:05:18.743000,22.9,59.6,926.9,False,49.6,123,0.3
127,0 days 02:07:18.742000,23.0,57.9,926.7,False,49.8,175,0.3
128,0 days 02:08:18.743000,23.2,58.7,926.8,False,50.1,180,0.3
129,0 days 02:09:18.744000,23.2,59.6,926.8,False,49.7,170,0.4
130,0 days 02:10:18.746000,23.2,59.6,926.8,False,49.7,170,0.4
131,0 days 02:11:18.741000,23.3,60.8,926.8,False,48.6,175,0.3
133,0 days 02:13:18.759000,23.2,62.4,926.8,False,48.3,192,0.7
134,0 days 02:14:18.743000,22.9,61.7,926.7,False,48.3,192,0.3
135,0 days 02:15:18.742000,22.9,60.8,926.8,False,48.5,144,0.5
136,0 days 02:16:18.744000,22.8,61.4,926.8,False,48.5,179,0.4
138,0 days 02:18:18.744000,22.7,61.4,926.8,False,47.8,165,0.3
139,0 days 02:19:18.743000,22.8,61.7,926.9,False,47.8,192,0.4
140,0 days 02:20:18.750000,22.8,62.0,926.8,False,47.0,157,0.4
141,0 days 02:21:18.744000,22.8,62.0,926.8,False,47.0,157,0.4
142,0 days 02:22:18.742000,22.9,62.4,926.8,False,47.0,164,0.4
144,0 days 02:24:18.743000,22.9,64.2,926.8,False,46.7,157,0.2
145,0 days 02:25:18.747000,22.6,64.2,926.8,False,46.7,157,0.2
146,0 days 02:26:18.745000,22.8,64.1,926.8,False,46.4,173,0.3
147,0 days 02:27:18.744000,22.8,63.5,926.7,False,46.3,231,0.5
149,0 days 02:29:18.743000,22.8,63.2,926.7,False,46.3,169,0.4
150,0 days 02:30:18.742000,22.8,63.0,926.7,False,46.1,178,0.3
151,0 days 02:31:18.743000,22.8,62.7,926.7,False,46.0,182,0.4
152,0 days 02:32:18.744000,22.7,62.8,926.7,False,45.5,197,0.4
153,0 days 02:33:18.744000,22.7,63.2,926.6,False,44.6,184,0.5
62,0 days 01:02:18.594000,22.8,61.9,927.0,False,52.1,164,0.5
63,0 days 01:03:18.593000,22.8,61.9,927.0,False,52.1,164,0.5
65,0 days 01:05:18.584000,23.1,61.6,927.0,False,51.7,193,0.8
66,0 days 01:06:18.603000,23.1,62.9,927.0,False,51.9,339,0.5
67,0 days 01:07:18.602000,23.0,62.9,927.0,False,51.9,339,0.5
68,0 days 01:08:18.625000,23.0,61.9,926.8,False,51.9,156,0.5
70,0 days 01:10:18.621000,22.9,61.6,927.0,False,51.4,212,0.5
72,0 days 01:12:18.617000,22.8,61.5,927.1,False,51.5,175,0.4
74,0 days 01:14:18.619000,22.8,61.2,927.0,False,51.8,198,0.2
77,0 days 01:17:18.619000,22.7,60.2,926.9,False,52.3,239,0.4
78,0 days 01:18:18.617000,22.7,60.2,926.9,False,52.3,239,0.4
79,0 days 01:19:18.617000,22.7,60.7,926.9,False,51.2,1,0.3
81,0 days 01:21:18.616000,22.7,62.1,927.1,False,50.0,251,0.4
82,0 days 01:22:18.618000,22.6,62.1,927.1,False,50.0,251,0.4
84,0 days 01:24:18.634000,22.7,63.0,927.0,False,50.2,206,0.3
85,0 days 01:25:18.638000,22.7,62.4,927.0,False,50.4,137,0.3
86,0 days 01:26:18.638000,22.6,62.1,927.2,False,50.5,40,0.4
87,0 days 01:27:18.645000,22.6,62.7,927.0,False,50.2,181,0.5
89,0 days 01:29:18.682000,22.7,63.0,927.1,False,50.2,199,0.4
90,0 days 01:30:18.700000,22.6,62.9,927.1,False,49.8,152,0.5
91,0 days 01:31:18.694000,22.6,63.0,927.1,False,49.6,151,0.3
92,0 days 01:32:18.712000,22.8,63.0,927.1,False,49.6,151,0.3
94,0 days 01:34:18.713000,22.9,62.8,927.1,False,49.6,147,0.5
95,0 days 01:35:18.711000,22.8,62.2,927.1,False,49.1,173,0.4
96,0 days 01:36:18.727000,22.9,62.2,927.1,False,49.1,173,0.4
97,0 days 01:37:18.749000,23.0,61.5,927.0,False,49.2,182,0.2
99,0 days 01:39:18.742000,23.0,61.0,927.0,False,49.2,169,0.5
100,0 days 01:40:18.754000,23.1,61.3,927.0,False,49.0,196,0.5
101,0 days 01:41:18.744000,23.1,61.3,927.0,False,49.0,196,0.5
103,0 days 01:43:18.744000,23.2,62.0,926.9,False,49.3,169,0.3
104,0 days 01:44:18.760000,23.3,60.6,927.0,False,50.8,160,0.3
105,0 days 01:45:18.738000,23.3,60.6,927.0,False,50.8,160,0.3
107,0 days 01:47:18.745000,23.0,61.6,926.9,False,51.7,229,0.4
108,0 days 01:48:18.743000,23.1,61.1,927.0,False,50.7,172,0.3
109,0 days 01:49:18.741000,23.1,60.3,926.9,False,51.2,148,0.3
110,0 days 01:50:18.742000,23.2,60.5,926.9,False,51.2,207,0.3
112,0 days 01:52:18.744000,23.2,60.7,927.0,False,51.3,161,0.4
113,0 days 01:53:18.741000,23.1,59.9,926.9,False,51.3,184,0.4
114,0 days 01:54:18.742000,23.2,59.4,926.9,False,51.0,253,0.5
115,0 days 01:55:18.743000,23.2,59.5,927.0,False,51.0,185,0.7
117,0 days 01:57:18.746000,23.2,58.6,926.9,False,50.4,160,0.3
118,0 days 01:58:18.744000,23.2,58.7,927.0,False,50.4,198,0.6
119,0 days 01:59:18.743000,23.1,59.2,927.0,False,50.7,196,0.6
121,0 days 02:01:18.742000,22.9,60.1,926.9,False,49.6,207,0.6
122,0 days 02:02:18.744000,22.9,61.4,926.7,False,49.3,184,0.5
123,0 days 02:03:18.753000,22.9,60.9,926.9,False,49.7,152,0.4
124,0 days 02:04:18.781000,22.9,59.1,926.8,False,49.8,167,0.3
125,0 days 02:05:18.743000,22.9,59.6,926.9,False,49.6,123,0.3
127,0 days 02:07:18.742000,23.0,57.9,926.7,False,49.8,175,0.3
128,0 days 02:08:18.743000,23.2,58.7,926.8,False,50.1,180,0.3
129,0 days 02:09:18.744000,23.2,59.6,926.8,False,49.7,170,0.4
130,0 days 02:10:18.746000,23.2,59.6,926.8,False,49.7,170,0.4
132,0 days 02:12:18.743000,23.2,60.6,926.8,False,48.6,164,0.5
133,0 days 02:13:18.759000,23.2,62.4,926.8,False,48.3,192,0.7
134,0 days 02:14:18.743000,22.9,61.7,926.7,False,48.3,192,0.3
135,0 days 02:15:18.742000,22.9,60.8,926.8,False,48.5,144,0.5
136,0 days 02:16:18.744000,22.8,61.4,926.8,False,48.5,179,0.4
138,0 days 02:18:18.744000,22.7,61.4,926.8,False,47.8,165,0.3
139,0 days 02:19:18.743000,22.8,61.7,926.9,False,47.8,192,0.4
140,0 days 02:20:18.750000,22.8,62.0,926.8,False,47.0,157,0.4
141,0 days 02:21:18.744000,22.8,62.0,926.8,False,47.0,157,0.4
142,0 days 02:22:18.742000,22.9,62.4,926.8,False,47.0,164,0.4
144,0 days 02:24:18.743000,22.9,64.2,926.8,False,46.7,157,0.2
145,0 days 02:25:18.747000,22.6,64.2,926.8,False,46.7,157,0.2
146,0 days 02:26:18.745000,22.8,64.1,926.8,False,46.4,173,0.3
147,0 days 02:27:18.744000,22.8,63.5,926.7,False,46.3,231,0.5
149,0 days 02:29:18.743000,22.8,63.2,926.7,False,46.3,169,0.4
150,0 days 02:30:18.742000,22.8,63.0,926.7,False,46.1,178,0.3
151,0 days 02:31:18.743000,22.8,62.7,926.7,False,46.0,182,0.4
152,0 days 02:32:18.744000,22.7,62.8,926.7,False,45.5,197,0.4
154,0 days 02:34:18.741000,22.6,63.7,926.6,False,43.9,181,0.5
62,0 days 01:02:18.594000,22.8,61.9,927.0,False,52.1,164,0.5
63,0 days 01:03:18.593000,22.8,61.9,927.0,False,52.1,164,0.5
65,0 days 01:05:18.584000,23.1,61.6,927.0,False,51.7,193,0.8
66,0 days 01:06:18.603000,23.1,62.9,927.0,False,51.9,339,0.5
67,0 days 01:07:18.602000,23.0,62.9,927.0,False,51.9,339,0.5
68,0 days 01:08:18.625000,23.0,61.9,926.8,False,51.9,156,0.5
70,0 days 01:10:18.621000,22.9,61.6,927.0,False,51.4,212,0.5
72,0 days 01:12:18.617000,22.8,61.5,927.1,False,51.5,175,0.4
74,0 days 01:14:18.619000,22.8,61.2,927.0,False,51.8,198,0.2
77,0 days 01:17:18.619000,22.7,60.2,926.9,False,52.3,239,0.4
78,0 days 01:18:18.617000,22.7,60.2,926.9,False,52.3,239,0.4
79,0 days 01:19:18.617000,22.7,60.7,926.9,False,51.2,1,0.3
81,0 days 01:21:18.616000,22.7,62.1,927.1,False,50.0,251,0.4
82,0 days 01:22:18.618000,22.6,62.1,927.1,False,50.0,251,0.4
84,0 days 01:24:18.634000,22.7,63.0,927.0,False,50.2,206,0.3
85,0 days 01:25:18.638000,22.7,62.4,927.0,False,50.4,137,0.3
86,0 days 01:26:18.638000,22.6,62.1,927.2,False,50.5,40,0.4
87,0 days 01:27:18.645000,22.6,62.7,927.0,False,50.2,181,0.5
89,0 days 01:29:18.682000,22.7,63.0,927.1,False,50.2,199,0.4
90,0 days 01:30:18.700000,22.6,62.9,927.1,False,49.8,152,0.5
91,0 days 01:31:18.694000,22.6,63.0,927.1,False,49.6,151,0.3
93,0 days 01:33:18.718000,22.8,62.8,927.1,False,49.6,147,0.5
94,0 days 01:34:18.713000,22.9,62.8,927.1,False,49.6,147,0.5
95,0 days 01:35:18.711000,22.8,62.2,927.1,False,49.1,173,0.4
96,0 days 01:36:18.727000,22.9,62.2,927.1,False,49.1,173,0.4
98,0 days 01:38:18.742000,23.0,61.0,927.0,False,49.2,169,0.5
99,0 days 01:39:18.742000,23.0,61.0,927.0,False,49.2,169,0.5
100,0 days 01:40:18.754000,23.1,61.3,927.0,False,49.0,196,0.5
102,0 days 01:42:18.747000,23.2,62.0,926.9,False,49.3,169,0.3
103,0 days 01:43:18.744000,23.2,62.0,926.9,False,49.3,169,0.3
104,0 days 01:44:18.760000,23.3,60.6,927.0,False,50.8,160,0.3
106,0 days 01:46:18.741000,23.1,61.6,926.9,False,51.7,229,0.4
107,0 days 01:47:18.745000,23.0,61.6,926.9,False,51.7,229,0.4
108,0 days 01:48:18.743000,23.1,61.1,927.0,False,50.7,172,0.3
109,0 days 01:49:18.741000,23.1,60.3,926.9,False,51.2,148,0.3
111,0 days 01:51:18.742000,23.2,60.7,927.0,False,51.3,161,0.4
112,0 days 01:52:18.744000,23.2,60.7,927.0,False,51.3,161,0.4
113,0 days 01:53:18.741000,23.1,59.9,926.9,False,51.3,184,0.4
114,0 days 01:54:18.742000,23.2,59.4,926.9,False,51.0,253,0.5
116,0 days 01:56:18.742000,23.2,58.9,926.9,False,50.4,238,0.3
117,0 days 01:57:18.746000,23.2,58.6,926.9,False,50.4,160,0.3
118,0 days 01:58:18.744000,23.2,58.7,927.0,False,50.4,198,0.6
119,0 days 01:59:18.743000,23.1,59.2,927.0,False,50.7,196,0.6
121,0 days 02:01:18.742000,22.9,60.1,926.9,False,49.6,207,0.6
122,0 days 02:02:18.744000,22.9,61.4,926.7,False,49.3,184,0.5
123,0 days 02:03:18.753000,22.9,60.9,926.9,False,49.7,152,0.4
124,0 days 02:04:18.781000,22.9,59.1,926.8,False,49.8,167,0.3
125,0 days 02:05:18.743000,22.9,59.6,926.9,False,49.6,123,0.3
127,0 days 02:07:18.742000,23.0,57.9,926.7,False,49.8,175,0.3
128,0 days 02:08:18.743000,23.2,58.7,926.8,False,50.1,180,0.3
129,0 days 02:09:18.744000,23.2,59.6,926.8,False,49.7,170,0.4
130,0 days 02:10:18.746000,23.2,59.6,926.8,False,49.7,170,0.4
132,0 days 02:12:18.743000,23.2,60.6,926.8,False,48.6,164,0.5
133,0 days 02:13:18.759000,23.2,62.4,926.8,False,48.3,192,0.7
135,0 days 02:15:18.742000,22.9,60.8,926.8,False,48.5,144,0.5
136,0 days 02:16:18.744000,22.8,61.4,926.8,False,48.5,179,0.4
137,0 days 02:17:18.743000,22.8,62.0,926.8,False,47.8,173,0.4
138,0 days 02:18:18.744000,22.7,61.4,926.8,False,47.8,165,0.3
139,0 days 02:19:18.743000,22.8,61.7,926.9,False,47.8,192,0.4
141,0 days 02:21:18.744000,22.8,62.0,926.8,False,47.0,157,0.4
142,0 days 02:22:18.742000,22.9,62.4,926.8,False,47.0,164,0.4
143,0 days 02:23:18.745000,22.9,63.3,926.8,False,47.0,192,0.5
144,0 days 02:24:18.743000,22.9,64.2,926.8,False,46.7,157,0.2
