,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:57.244000,BOT,77,0 days 00:01:35.354000,1.0,1.0,,,,33.213,25.635,,0 days 01:03:31.701000,0 days 01:03:57.437000,276.0,284.0,236.0,293.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 01:02:21.737000,2021-10-10 12:03:21.750,12,1.0,False,,False,False,95.354,
1,0 days 01:05:31.603000,BOT,77,0 days 00:01:34.359000,2.0,1.0,,,35.419,33.085,25.855,0 days 01:04:32.730000,0 days 01:05:05.815000,0 days 01:05:31.670000,270.0,286.0,237.0,288.0,True,INTERMEDIATE,2.0,True,Mercedes,0 days 01:03:57.244000,2021-10-10 12:04:57.257,12,1.0,False,,False,True,94.359,94.359
2,0 days 01:07:06.096000,BOT,77,0 days 00:01:34.493000,3.0,1.0,,,35.257,33.369,25.867,0 days 01:06:06.927000,0 days 01:06:40.296000,0 days 01:07:06.163000,273.0,285.0,236.0,299.0,False,INTERMEDIATE,3.0,True,Mercedes,0 days 01:05:31.603000,2021-10-10 12:06:31.616,1,1.0,False,,False,True,94.493,94.49300000000001
3,0 days 01:08:40.750000,BOT,77,0 days 00:01:34.654000,4.0,1.0,,,35.146,33.521,25.987,0 days 01:07:41.309000,0 days 01:08:14.830000,0 days 01:08:40.817000,275.0,286.0,237.0,289.0,False,INTERMEDIATE,4.0,True,Mercedes,0 days 01:07:06.096000,2021-10-10 12:08:06.109,1,1.0,False,,False,True,94.654,94.654
4,0 days 01:10:15.466000,BOT,77,0 days 00:01:34.716000,5.0,1.0,,,35.03,33.798,25.888,0 days 01:09:15.847000,0 days 01:09:49.645000,0 days 01:10:15.533000,270.0,284.0,236.0,296.0,False,INTERMEDIATE,5.0,True,Mercedes,0 days 01:08:40.750000,2021-10-10 12:09:40.763,1,1.0,False,,False,True,94.716,94.71600000000001
5,0 days 01:11:50.317000,BOT,77,0 days 00:01:34.851000,6.0,1.0,,,35.121,33.717,26.013,0 days 01:10:50.654000,0 days 01:11:24.371000,0 days 01:11:50.384000,273.0,285.0,236.0,295.0,False,INTERMEDIATE,6.0,True,Mercedes,0 days 01:10:15.466000,2021-10-10 12:11:15.479,1,1.0,False,,False,True,94.851,94.851
6,0 days 01:13:24.964000,BOT,77,0 days 00:01:34.647000,7.0,1.0,,,35.193,33.518,25.936,0 days 01:12:25.577000,0 days 01:12:59.095000,0 days 01:13:25.031000,274.0,284.0,236.0,295.0,False,INTERMEDIATE,7.0,True,Mercedes,0 days 01:11:50.317000,2021-10-10 12:12:50.330,1,1.0,False,,False,True,94.647,94.64699999999999
7,0 days 01:14:59.724000,BOT,77,0 days 00:01:34.760000,8.0,1.0,,,35.28,33.465,26.015,0 days 01:14:00.311000,0 days 01:14:33.776000,0 days 01:14:59.791000,275.0,285.0,235.0,296.0,False,INTERMEDIATE,8.0,True,Mercedes,0 days 01:13:24.964000,2021-10-10 12:14:24.977,1,1.0,False,,False,True,94.76,94.76
8,0 days 01:16:34.095000,BOT,77,0 days 00:01:34.371000,9.0,1.0,,,35.109,33.448,25.814,0 days 01:15:34.900000,0 days 01:16:08.348000,0 days 01:16:34.162000,272.0,285.0,236.0,297.0,False,INTERMEDIATE,9.0,True,Mercedes,0 days 01:14:59.724000,2021-10-10 12:15:59.737,1,1.0,False,,False,True,94.371,94.37100000000001
9,0 days 01:18:08.657000,BOT,77,0 days 00:01:34.562000,10.0,1.0,,,35.044,33.636,25.882,0 days 01:17:09.206000,0 days 01:17:42.842000,0 days 01:18:08.724000,274.0,285.0,236.0,293.0,False,INTERMEDIATE,10.0,True,Mercedes,0 days 01:16:34.095000,2021-10-10 12:17:34.108,1,1.0,False,,False,True,94.562,94.56200000000001
10,0 days 01:19:42.938000,BOT,77,0 days 00:01:34.281000,11.0,1.0,,,34.951,33.467,25.863,0 days 01:18:43.675000,0 days 01:19:17.142000,0 days 01:19:43.005000,272.0,285.0,236.0,293.0,True,INTERMEDIATE,11.0,True,Mercedes,0 days 01:18:08.657000,2021-10-10 12:19:08.670,1,1.0,False,,False,True,94.281,94.281
11,0 days 01:21:16.901000,BOT,77,0 days 00:01:33.963000,12.0,1.0,,,34.915,33.273,25.775,0 days 01:20:17.920000,0 days 01:20:51.193000,0 days 01:21:16.968000,274.0,286.0,236.0,296.0,True,INTERMEDIATE,12.0,True,Mercedes,0 days 01:19:42.938000,2021-10-10 12:20:42.951,1,1.0,False,,False,True,93.963,93.963
12,0 days 01:22:50.580000,BOT,77,0 days 00:01:33.679000,13.0,1.0,,,34.669,33.153,25.857,0 days 01:21:51.637000,0 days 01:22:24.790000,0 days 01:22:50.647000,,285.0,236.0,293.0,True,INTERMEDIATE,13.0,True,Mercedes,0 days 01:21:16.901000,2021-10-10 12:22:16.914,1,1.0,False,,False,True,93.679,93.679
13,0 days 01:24:24.271000,BOT,77,0 days 00:01:33.691000,14.0,1.0,,,34.88,33.168,25.643,0 days 01:23:25.527000,0 days 01:23:58.695000,0 days 01:24:24.338000,275.0,286.0,237.0,299.0,False,INTERMEDIATE,14.0,True,Mercedes,0 days 01:22:50.580000,2021-10-10 12:23:50.593,1,1.0,False,,False,True,93.691,93.691
