,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
63,0 days 01:03:45.923000,25.9,57.0,1010.2,False,47.6,120,1.1
65,0 days 01:05:45.920000,25.9,56.0,1010.0,False,48.5,256,1.2
66,0 days 01:06:46.773000,25.8,56.0,1010.0,False,48.5,256,1.2
68,0 days 01:08:45.924000,25.2,56.0,1010.0,False,48.5,256,1.2
70,0 days 01:10:45.953000,25.7,60.0,1010.2,False,47.4,282,1.7
72,0 days 01:12:45.971000,25.6,60.0,1009.9,False,47.7,287,1.7
74,0 days 01:14:45.971000,25.4,60.0,1010.0,False,46.9,271,1.7
75,0 days 01:15:45.995000,25.5,60.0,1010.2,False,46.9,285,2.0
77,0 days 01:17:45.985000,25.7,61.0,1010.0,False,47.0,314,1.8
79,0 days 01:19:46.007000,25.7,60.0,1010.0,False,46.7,308,1.0
81,0 days 01:21:46.008000,25.5,61.0,1010.0,False,47.2,286,1.0
83,0 days 01:23:46.014000,25.4,61.0,1010.0,False,47.2,271,1.6
85,0 days 01:25:46.016000,25.3,60.0,1010.0,False,47.2,286,1.8
87,0 days 01:27:46.006000,25.5,60.0,1009.9,False,47.2,235,1.2
89,0 days 01:29:46.004000,25.6,61.0,1009.9,False,47.2,283,1.5
91,0 days 01:31:46.011000,25.6,61.0,1009.9,False,46.8,356,1.6
92,0 days 01:32:46.008000,25.6,62.0,1009.9,False,46.5,188,1.2
94,0 days 01:34:46.006000,25.8,61.0,1009.9,False,46.5,268,1.2
96,0 days 01:36:46.008000,25.8,60.0,1009.9,False,46.5,284,1.2
98,0 days 01:38:46.012000,25.5,61.0,1009.7,False,46.5,305,1.7
100,0 days 01:40:46.018000,25.4,62.0,1009.9,False,46.1,356,1.2
102,0 days 01:42:46.042000,25.6,60.0,1009.5,False,45.6,277,1.3
104,0 days 01:44:46.053000,25.4,61.0,1009.7,False,45.3,257,1.6
105,0 days 01:45:46.068000,25.4,61.0,1009.7,False,45.7,232,1.6
107,0 days 01:47:46.071000,25.6,62.0,1009.7,False,45.7,277,1.6
109,0 days 01:49:46.092000,25.3,62.0,1009.5,False,45.8,246,1.7
111,0 days 01:51:46.101000,25.2,63.0,1009.5,False,45.7,290,1.7
112,0 days 01:52:46.098000,25.1,64.0,1009.5,False,46.1,205,2.0
114,0 days 01:54:46.117000,25.2,64.0,1009.5,False,45.8,285,2.5
116,0 days 01:56:46.129000,25.2,64.0,1009.5,False,45.3,275,2.5
118,0 days 01:58:46.144000,25.2,64.0,1009.5,False,45.5,285,2.0
