,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
62,0 days 01:03:03.464000,23.9,25.0,1010.2,False,29.1,20,0.5
64,0 days 01:05:03.470000,23.8,26.0,1010.4,False,29.0,357,0.5
65,0 days 01:06:03.471000,23.8,27.0,1010.4,False,29.0,12,0.5
67,0 days 01:08:03.471000,23.8,29.0,1010.4,False,28.7,12,0.4
69,0 days 01:10:03.471000,23.8,33.0,1010.4,False,28.5,316,0.4
70,0 days 01:11:03.469000,23.7,33.0,1010.4,False,28.3,314,0.2
72,0 days 01:13:03.484000,23.6,34.0,1010.4,False,28.3,37,0.1
74,0 days 01:15:03.469000,23.5,35.0,1010.4,False,28.1,204,0.3
75,0 days 01:16:03.471000,23.5,36.0,1010.4,False,28.1,339,0.1
77,0 days 01:18:03.471000,23.3,36.0,1010.2,False,28.0,50,0.2
79,0 days 01:20:03.485000,23.3,36.0,1010.4,False,28.0,36,0.2
80,0 days 01:21:03.501000,23.3,37.0,1010.4,False,27.9,258,0.1
82,0 days 01:23:03.516000,23.1,37.0,1010.4,False,27.8,242,0.2
83,0 days 01:24:03.523000,23.1,37.0,1010.5,False,27.8,8,0.1
85,0 days 01:26:03.548000,23.2,38.0,1010.5,False,27.8,31,0.2
87,0 days 01:28:03.563000,23.1,38.0,1010.5,False,27.7,54,0.2
89,0 days 01:30:03.563000,23.0,38.0,1010.5,False,27.8,65,0.1
90,0 days 01:31:03.570000,22.9,38.0,1010.5,False,27.8,1,0.2
92,0 days 01:33:03.595000,22.8,38.0,1010.5,False,27.9,69,0.3
94,0 days 01:35:03.583000,22.7,38.0,1010.4,False,27.7,78,0.4
95,0 days 01:36:03.595000,22.7,37.0,1010.5,False,27.6,16,0.4
97,0 days 01:38:03.595000,22.8,37.0,1010.4,False,27.5,18,0.3
99,0 days 01:40:03.595000,22.8,36.0,1010.5,False,27.5,7,0.3
100,0 days 01:41:03.596000,22.8,36.0,1010.5,False,27.5,40,0.2
102,0 days 01:43:03.598000,22.8,36.0,1010.5,False,27.4,0,0.2
103,0 days 01:44:03.598000,22.8,36.0,1010.5,False,27.4,22,0.1
105,0 days 01:46:03.594000,22.8,36.0,1010.5,False,27.4,11,0.3
107,0 days 01:48:03.595000,22.8,36.0,1010.5,False,27.4,277,0.3
108,0 days 01:49:03.599000,22.9,36.0,1010.5,False,27.4,277,0.3
110,0 days 01:51:03.616000,22.9,36.0,1010.4,False,27.3,6,0.2
