,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:37.385000,VER,1,0 days 00:01:23.396000,1.0,1.0,,,,25.32,31.346,,0 days 01:03:06.137000,0 days 01:03:37.509000,243.0,269.0,276.0,306.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:13.737000,2022-06-19 18:03:13.750,1,1.0,False,,False,False,83.396,
1,0 days 01:04:56.345000,VER,1,0 days 00:01:18.960000,2.0,1.0,,,22.137,25.309,31.514,0 days 01:03:59.561000,0 days 01:04:24.870000,0 days 01:04:56.384000,244.0,271.0,278.0,306.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:37.385000,2022-06-19 18:04:37.398,1,1.0,False,,False,True,78.96,78.96
2,0 days 01:06:15.163000,VER,1,0 days 00:01:18.818000,3.0,1.0,,,22.112,25.39,31.316,0 days 01:05:18.496000,0 days 01:05:43.886000,0 days 01:06:15.202000,239.0,271.0,277.0,307.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:04:56.345000,2022-06-19 18:05:56.358,1,1.0,False,,False,True,78.818,78.818
3,0 days 01:07:33.556000,VER,1,0 days 00:01:18.393000,4.0,1.0,,,21.98,25.135,31.278,0 days 01:06:37.182000,0 days 01:07:02.317000,0 days 01:07:33.595000,240.0,272.0,277.0,307.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:15.163000,2022-06-19 18:07:15.176,1,1.0,False,,False,True,78.393,78.393
4,0 days 01:08:51.849000,VER,1,0 days 00:01:18.293000,5.0,1.0,,,21.83,25.2,31.263,0 days 01:07:55.425000,0 days 01:08:20.625000,0 days 01:08:51.888000,,272.0,278.0,304.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:07:33.556000,2022-06-19 18:08:33.569,1,1.0,False,,False,True,78.293,78.293
5,0 days 01:10:10.124000,VER,1,0 days 00:01:18.275000,6.0,1.0,,,22.04,25.039,31.196,0 days 01:09:13.928000,0 days 01:09:38.967000,0 days 01:10:10.163000,,272.0,278.0,306.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:08:51.849000,2022-06-19 18:09:51.862,1,1.0,False,,False,True,78.275,78.275
6,0 days 01:11:27.952000,VER,1,0 days 00:01:17.828000,7.0,1.0,,,21.671,24.985,31.172,0 days 01:10:31.834000,0 days 01:10:56.819000,0 days 01:11:27.991000,,271.0,277.0,309.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:10:10.124000,2022-06-19 18:11:10.137,1,1.0,False,,False,True,77.828,77.828
7,0 days 01:12:45.709000,VER,1,0 days 00:01:17.757000,8.0,1.0,,,21.774,24.91,31.073,0 days 01:11:49.765000,0 days 01:12:14.675000,0 days 01:12:45.748000,241.0,272.0,280.0,309.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:11:27.952000,2022-06-19 18:12:27.965,1,1.0,False,,False,True,77.757,77.757
8,0 days 01:14:38.551000,VER,1,0 days 00:01:52.842000,9.0,1.0,,0 days 01:14:15.857000,21.827,34.68,56.335,0 days 01:13:07.575000,0 days 01:13:42.255000,0 days 01:14:38.590000,,204.0,,186.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:12:45.709000,2022-06-19 18:13:45.722,126,3.0,False,,False,False,112.842,112.84200000000001
9,0 days 01:16:23.198000,VER,1,0 days 00:01:44.647000,10.0,2.0,0 days 01:14:40.101000,,30.729,34.611,39.307,0 days 01:15:09.319000,0 days 01:15:43.930000,0 days 01:16:23.237000,172.0,247.0,276.0,273.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:14:38.551000,2022-06-19 18:15:38.564,671,3.0,False,,False,False,104.647,104.647
