,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
62,0 days 01:02:27.235000,22.4,77.0,1017.0,False,32.1,139,1.1
63,0 days 01:03:27.235000,22.4,78.0,1017.0,False,32.1,22,0.8
65,0 days 01:05:27.263000,22.4,78.0,1017.2,False,32.0,205,0.5
66,0 days 01:06:27.266000,22.4,77.0,1017.2,False,32.4,178,0.8
67,0 days 01:07:27.272000,22.4,78.0,1017.0,False,32.4,104,1.6
68,0 days 01:08:27.264000,22.4,77.0,1017.2,False,32.5,97,1.3
70,0 days 01:10:27.264000,22.4,77.0,1017.2,False,33.2,240,1.1
71,0 days 01:11:27.319000,22.5,77.0,1017.2,False,33.2,73,2.0
72,0 days 01:12:27.267000,22.5,77.0,1017.2,False,33.2,87,1.0
74,0 days 01:14:27.297000,22.6,77.0,1017.0,False,33.6,96,1.0
75,0 days 01:15:27.312000,22.5,76.0,1017.0,False,33.6,0,1.5
76,0 days 01:16:27.314000,22.4,77.0,1017.2,False,33.4,128,1.6
77,0 days 01:17:27.315000,22.4,77.0,1017.2,False,33.1,105,1.7
79,0 days 01:19:27.311000,22.4,77.0,1017.2,False,33.0,224,2.0
80,0 days 01:20:27.326000,22.5,77.0,1017.2,False,33.0,176,0.8
81,0 days 01:21:27.329000,22.5,77.0,1017.2,False,33.2,174,1.2
82,0 days 01:22:27.351000,22.5,78.0,1017.2,False,33.2,135,1.1
84,0 days 01:24:27.377000,22.5,76.0,1017.0,False,33.4,181,1.7
85,0 days 01:25:27.397000,22.6,76.0,1017.2,False,33.4,227,1.1
87,0 days 01:27:27.390000,22.6,76.0,1017.2,False,33.5,226,0.8
88,0 days 01:28:27.392000,22.5,75.0,1017.2,False,32.9,95,0.8
89,0 days 01:29:27.406000,22.6,76.0,1017.2,False,32.6,181,1.2
90,0 days 01:30:27.420000,22.6,76.0,1017.2,False,32.6,248,0.8
92,0 days 01:32:27.449000,22.5,76.0,1017.2,False,32.8,82,1.0
93,0 days 01:33:27.438000,22.5,76.0,1017.2,False,32.8,103,1.3
94,0 days 01:34:27.437000,22.7,76.0,1017.2,False,32.9,210,1.0
96,0 days 01:36:27.437000,22.6,77.0,1017.2,False,32.8,109,1.3
97,0 days 01:37:27.437000,22.6,77.0,1017.2,False,32.9,116,1.2
98,0 days 01:38:27.438000,22.7,77.0,1017.2,False,33.2,206,1.0
99,0 days 01:39:27.442000,22.7,77.0,1017.2,False,33.6,147,1.2
101,0 days 01:41:27.437000,22.7,77.0,1017.2,False,33.0,176,1.2
102,0 days 01:42:27.444000,22.8,77.0,1017.2,False,33.3,181,1.5
103,0 days 01:43:27.438000,22.8,77.0,1017.2,False,33.4,257,0.8
104,0 days 01:44:27.438000,22.8,77.0,1017.2,False,33.4,142,0.6
106,0 days 01:46:27.453000,22.7,77.0,1017.2,False,33.0,190,1.3
107,0 days 01:47:27.476000,22.7,77.0,1017.4,False,33.4,129,0.8
108,0 days 01:48:27.484000,22.7,77.0,1017.2,False,33.2,5,0.8
109,0 days 01:49:27.502000,22.6,77.0,1017.2,False,33.2,52,1.6
111,0 days 01:51:27.516000,22.5,78.0,1017.2,False,33.2,173,0.8
112,0 days 01:52:27.514000,22.6,78.0,1017.2,False,32.9,198,0.8
113,0 days 01:53:27.520000,22.6,77.0,1017.2,False,33.7,142,1.1
115,0 days 01:55:27.516000,22.8,76.0,1017.2,False,33.4,112,0.8
116,0 days 01:56:27.518000,22.8,76.0,1017.2,False,33.3,0,1.6
117,0 days 01:57:27.512000,22.7,76.0,1017.2,False,33.3,131,0.8
118,0 days 01:58:27.515000,22.8,76.0,1017.2,False,33.1,52,1.7
120,0 days 02:00:27.516000,22.7,76.0,1017.2,False,32.9,195,0.8
