,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
34,0 days 00:42:48.390000,30.3,44.0,968.0,False,51.1,308,1.2
36,0 days 00:44:48.388000,30.5,44.0,968.0,False,52.3,150,1.3
38,0 days 00:46:48.390000,30.3,47.0,968.0,False,52.2,109,2.7
39,0 days 00:47:48.395000,30.3,47.0,968.0,False,52.2,27,3.0
41,0 days 00:49:48.389000,30.3,46.0,968.0,False,52.2,165,1.8
43,0 days 00:51:48.394000,30.4,47.0,968.0,False,54.1,113,2.7
44,0 days 00:52:48.390000,30.4,45.0,968.0,False,54.4,147,2.4
46,0 days 00:54:48.393000,30.3,46.0,968.0,False,54.0,8,2.2
48,0 days 00:56:48.390000,30.6,46.0,967.9,False,54.1,154,2.2
49,0 days 00:57:48.391000,30.6,46.0,968.0,False,54.1,136,4.0
51,0 days 00:59:48.390000,30.5,47.0,968.0,False,53.8,61,2.5
53,0 days 01:01:48.391000,30.3,47.0,968.0,False,54.6,147,2.0
54,0 days 01:02:48.389000,30.3,46.0,968.0,False,55.5,161,2.7
56,0 days 01:04:48.391000,30.1,47.0,968.0,False,54.8,131,2.2
58,0 days 01:06:48.404000,30.2,47.0,968.0,False,55.0,110,2.0
59,0 days 01:07:48.389000,30.3,47.0,968.0,False,55.1,165,2.5
61,0 days 01:09:48.406000,30.4,47.0,968.0,False,55.2,154,2.4
63,0 days 01:11:48.412000,30.3,48.0,968.0,False,54.9,97,3.5
65,0 days 01:13:48.437000,30.1,47.0,968.0,False,55.4,139,2.7
67,0 days 01:15:48.436000,30.2,48.0,967.9,False,55.5,164,3.5
70,0 days 01:18:48.435000,30.3,47.0,968.0,False,55.9,149,2.4
72,0 days 01:20:48.457000,30.5,48.0,968.0,False,55.9,103,1.8
73,0 days 01:21:48.456000,30.5,48.0,967.9,False,55.6,73,1.7
75,0 days 01:23:48.484000,30.4,47.0,967.7,False,55.6,154,1.7
76,0 days 01:24:48.503000,30.6,46.0,967.9,False,56.5,148,1.3
78,0 days 01:26:48.521000,30.4,47.0,967.9,False,56.2,26,1.7
80,0 days 01:28:48.520000,30.4,48.0,967.7,False,55.8,152,2.7
81,0 days 01:29:48.518000,30.2,48.0,967.7,False,55.6,101,2.7
83,0 days 01:31:48.519000,30.1,50.0,967.9,False,55.4,119,2.9
85,0 days 01:33:48.516000,29.9,51.0,967.7,False,55.8,150,2.9
86,0 days 01:34:48.519000,29.9,51.0,967.9,False,56.1,33,2.0
88,0 days 01:36:48.514000,29.9,51.0,967.9,False,57.1,178,1.8
90,0 days 01:38:48.514000,30.1,49.0,967.7,False,57.2,120,2.9
91,0 days 01:39:48.517000,30.1,49.0,967.9,False,56.3,44,1.8
93,0 days 01:41:48.523000,30.4,48.0,967.7,False,55.9,66,2.2
94,0 days 01:42:48.516000,30.4,49.0,967.7,False,56.3,55,1.6
96,0 days 01:44:48.519000,30.3,49.0,967.7,False,56.7,0,1.0
98,0 days 01:46:48.518000,30.2,48.0,967.7,False,56.2,101,2.2
99,0 days 01:47:48.519000,30.1,49.0,967.7,False,56.0,99,2.2
101,0 days 01:49:48.517000,30.0,49.0,967.7,False,55.2,172,2.0
103,0 days 01:51:48.520000,30.1,50.0,967.7,False,55.0,83,2.0
104,0 days 01:52:48.520000,30.0,51.0,967.7,False,55.0,73,3.2
106,0 days 01:54:48.517000,29.9,52.0,967.7,False,55.6,201,1.8
107,0 days 01:55:48.518000,29.9,52.0,967.7,False,55.6,124,2.0
109,0 days 01:57:48.519000,29.8,52.0,967.7,False,56.4,88,1.8
111,0 days 01:59:48.517000,29.6,52.0,967.7,False,56.1,80,2.5
112,0 days 02:00:48.518000,29.5,54.0,967.7,False,55.7,89,2.7
114,0 days 02:02:48.523000,29.9,55.0,967.7,False,55.6,147,1.8
116,0 days 02:04:48.540000,29.9,54.0,967.7,False,56.9,67,1.2
117,0 days 02:05:48.539000,29.8,54.0,967.7,False,56.3,249,1.6
119,0 days 02:07:48.549000,29.7,54.0,967.7,False,55.9,110,0.8
121,0 days 02:09:48.575000,29.6,54.0,967.7,False,55.9,285,0.8
123,0 days 02:11:48.566000,29.5,54.0,967.5,False,55.2,151,2.2
34,0 days 00:42:48.390000,30.3,44.0,968.0,False,51.1,308,1.2
36,0 days 00:44:48.388000,30.5,44.0,968.0,False,52.3,150,1.3
38,0 days 00:46:48.390000,30.3,47.0,968.0,False,52.2,109,2.7
40,0 days 00:48:48.390000,30.3,47.0,968.0,False,52.2,38,1.7
41,0 days 00:49:48.389000,30.3,46.0,968.0,False,52.2,165,1.8
43,0 days 00:51:48.394000,30.4,47.0,968.0,False,54.1,113,2.7
45,0 days 00:53:48.387000,30.3,45.0,968.0,False,54.0,130,2.4
46,0 days 00:54:48.393000,30.3,46.0,968.0,False,54.0,8,2.2
48,0 days 00:56:48.390000,30.6,46.0,967.9,False,54.1,154,2.2
50,0 days 00:58:48.391000,30.6,47.0,968.0,False,54.1,166,2.5
51,0 days 00:59:48.390000,30.5,47.0,968.0,False,53.8,61,2.5
53,0 days 01:01:48.391000,30.3,47.0,968.0,False,54.6,147,2.0
55,0 days 01:03:48.407000,30.1,46.0,967.9,False,55.4,158,2.9
56,0 days 01:04:48.391000,30.1,47.0,968.0,False,54.8,131,2.2
58,0 days 01:06:48.404000,30.2,47.0,968.0,False,55.0,110,2.0
60,0 days 01:08:48.394000,30.4,46.0,967.9,False,55.3,120,3.5
62,0 days 01:10:48.432000,30.4,47.0,968.0,False,54.9,110,3.0
63,0 days 01:11:48.412000,30.3,48.0,968.0,False,54.9,97,3.5
65,0 days 01:13:48.437000,30.1,47.0,968.0,False,55.4,139,2.7
68,0 days 01:16:48.435000,30.2,48.0,967.9,False,55.5,147,2.9
70,0 days 01:18:48.435000,30.3,47.0,968.0,False,55.9,149,2.4
72,0 days 01:20:48.457000,30.5,48.0,968.0,False,55.9,103,1.8
73,0 days 01:21:48.456000,30.5,48.0,967.9,False,55.6,73,1.7
75,0 days 01:23:48.484000,30.4,47.0,967.7,False,55.6,154,1.7
77,0 days 01:25:48.506000,30.6,46.0,967.9,False,56.2,129,2.0
78,0 days 01:26:48.521000,30.4,47.0,967.9,False,56.2,26,1.7
80,0 days 01:28:48.520000,30.4,48.0,967.7,False,55.8,152,2.7
82,0 days 01:30:48.532000,30.1,49.0,967.9,False,55.4,143,3.7
83,0 days 01:31:48.519000,30.1,50.0,967.9,False,55.4,119,2.9
85,0 days 01:33:48.516000,29.9,51.0,967.7,False,55.8,150,2.9
87,0 days 01:35:48.517000,29.9,51.0,967.9,False,56.7,101,2.2
88,0 days 01:36:48.514000,29.9,51.0,967.9,False,57.1,178,1.8
90,0 days 01:38:48.514000,30.1,49.0,967.7,False,57.2,120,2.9
92,0 days 01:40:48.515000,30.2,48.0,967.7,False,55.9,103,1.5
93,0 days 01:41:48.523000,30.4,48.0,967.7,False,55.9,66,2.2
95,0 days 01:43:48.515000,30.3,49.0,967.7,False,56.1,13,2.0
97,0 days 01:45:48.517000,30.1,48.0,967.9,False,56.2,88,1.0
98,0 days 01:46:48.518000,30.2,48.0,967.7,False,56.2,101,2.2
100,0 days 01:48:48.516000,30.0,49.0,967.7,False,56.0,155,2.0
102,0 days 01:50:48.517000,30.0,50.0,967.7,False,55.1,134,1.7
103,0 days 01:51:48.520000,30.1,50.0,967.7,False,55.0,83,2.0
105,0 days 01:53:48.517000,29.9,51.0,967.7,False,55.1,108,2.2
107,0 days 01:55:48.518000,29.9,52.0,967.7,False,55.6,124,2.0
108,0 days 01:56:48.520000,29.8,51.0,967.7,False,56.4,109,2.9
110,0 days 01:58:48.520000,29.7,52.0,967.7,False,56.4,132,2.5
112,0 days 02:00:48.518000,29.5,54.0,967.7,False,55.7,89,2.7
113,0 days 02:01:48.521000,29.6,55.0,967.5,False,55.6,21,2.0
115,0 days 02:03:48.518000,29.9,54.0,967.7,False,56.8,49,2.0
117,0 days 02:05:48.539000,29.8,54.0,967.7,False,56.3,249,1.6
119,0 days 02:07:48.549000,29.7,54.0,967.7,False,55.9,110,0.8
121,0 days 02:09:48.575000,29.6,54.0,967.7,False,55.9,285,0.8
122,0 days 02:10:48.564000,29.6,54.0,967.7,False,56.1,130,1.3
124,0 days 02:12:48.591000,29.4,54.0,967.5,False,55.8,101,1.3
34,0 days 00:42:48.390000,30.3,44.0,968.0,False,51.1,308,1.2
36,0 days 00:44:48.388000,30.5,44.0,968.0,False,52.3,150,1.3
38,0 days 00:46:48.390000,30.3,47.0,968.0,False,52.2,109,2.7
39,0 days 00:47:48.395000,30.3,47.0,968.0,False,52.2,27,3.0
41,0 days 00:49:48.389000,30.3,46.0,968.0,False,52.2,165,1.8
43,0 days 00:51:48.394000,30.4,47.0,968.0,False,54.1,113,2.7
44,0 days 00:52:48.390000,30.4,45.0,968.0,False,54.4,147,2.4
46,0 days 00:54:48.393000,30.3,46.0,968.0,False,54.0,8,2.2
48,0 days 00:56:48.390000,30.6,46.0,967.9,False,54.1,154,2.2
49,0 days 00:57:48.391000,30.6,46.0,968.0,False,54.1,136,4.0
51,0 days 00:59:48.390000,30.5,47.0,968.0,False,53.8,61,2.5
53,0 days 01:01:48.391000,30.3,47.0,968.0,False,54.6,147,2.0
54,0 days 01:02:48.389000,30.3,46.0,968.0,False,55.5,161,2.7
56,0 days 01:04:48.391000,30.1,47.0,968.0,False,54.8,131,2.2
58,0 days 01:06:48.404000,30.2,47.0,968.0,False,55.0,110,2.0
59,0 days 01:07:48.389000,30.3,47.0,968.0,False,55.1,165,2.5
