,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:04:37.899000,VER,1,0 days 00:02:02.046000,1.0,1.0,,,,49.014,31.876,,0 days 01:04:06.098000,0 days 01:04:38.022000,252.0,282.0,148.0,219.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 01:02:35.625000,2022-10-09 05:03:35.902,124,1.0,False,,False,False,122.046,
1,0 days 01:07:41.258000,VER,1,,2.0,1.0,,0 days 01:07:39.541000,58.131,85.451,39.787,0 days 01:05:36.202000,0 days 01:07:01.546000,0 days 01:07:41.476000,140.0,214.0,,141.0,False,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 01:04:37.899000,2022-10-09 05:05:38.176,45,1.0,False,,False,False,,183.369
2,0 days 03:16:55.042000,VER,1,,3.0,2.0,0 days 03:14:06.948000,,,73.921,32.369,,0 days 03:16:22.748000,0 days 03:16:55.169000,138.0,223.0,192.0,159.0,False,WET,1.0,True,Red Bull Racing,0 days 03:14:00.147000,2022-10-09 07:15:00.424,1,1.0,False,,False,False,,
3,0 days 03:19:40.753000,VER,1,,4.0,2.0,,,63.741,71.392,30.571,0 days 03:17:58.876000,0 days 03:19:10.283000,0 days 03:19:40.828000,155.0,211.0,206.0,146.0,False,WET,2.0,True,Red Bull Racing,0 days 03:16:55.042000,2022-10-09 07:17:55.319,1,1.0,False,,False,False,,165.70399999999998
4,0 days 03:22:44.098000,VER,1,,5.0,2.0,,,62.043,84.968,36.379,0 days 03:20:42.859000,0 days 03:22:07.935000,0 days 03:22:44.271000,151.0,104.0,241.0,100.0,False,WET,3.0,True,Red Bull Racing,0 days 03:19:40.753000,2022-10-09 07:20:41.030,1,1.0,False,,False,False,,183.39
5,0 days 03:24:34.859000,VER,1,0 days 00:01:50.761000,6.0,2.0,,,40.046,49.014,21.701,0 days 03:23:24.219000,0 days 03:24:13.233000,0 days 03:24:34.934000,259.0,284.0,241.0,253.0,True,WET,4.0,True,Red Bull Racing,0 days 03:22:44.098000,2022-10-09 07:23:44.375,1,1.0,False,,False,True,110.761,110.761
6,0 days 03:26:27.724000,VER,1,0 days 00:01:52.865000,7.0,2.0,,0 days 03:26:26.364000,39.707,49.161,23.997,0 days 03:25:14.641000,0 days 03:26:03.802000,0 days 03:26:27.799000,262.0,286.0,,254.0,False,WET,5.0,True,Red Bull Racing,0 days 03:24:34.859000,2022-10-09 07:25:35.136,1,1.0,False,,False,False,112.865,112.865
7,0 days 03:28:38.349000,VER,1,0 days 00:02:10.625000,8.0,3.0,0 days 03:26:51.019000,,61.116,47.751,21.758,0 days 03:27:28.915000,0 days 03:28:16.666000,0 days 03:28:38.424000,268.0,292.0,247.0,251.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 03:26:27.724000,2022-10-09 07:27:28.001,1,4.0,False,,False,False,130.625,130.625
8,0 days 03:30:23.497000,VER,1,0 days 00:01:45.148000,9.0,3.0,,,37.744,46.952,20.452,0 days 03:29:16.168000,0 days 03:30:03.120000,0 days 03:30:23.572000,269.0,289.0,246.0,272.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 03:28:38.349000,2022-10-09 07:29:38.626,1,1.0,False,,False,True,105.148,105.148
9,0 days 03:32:08.408000,VER,1,0 days 00:01:44.911000,10.0,3.0,,,37.845,46.812,20.254,0 days 03:31:01.417000,0 days 03:31:48.229000,0 days 03:32:08.483000,271.0,291.0,247.0,277.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 03:30:23.497000,2022-10-09 07:31:23.774,1,1.0,False,,False,True,104.911,104.911
10,0 days 03:33:53.419000,VER,1,0 days 00:01:45.011000,11.0,3.0,,,37.76,46.858,20.393,0 days 03:32:46.243000,0 days 03:33:33.101000,0 days 03:33:53.494000,,291.0,247.0,276.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 03:32:08.408000,2022-10-09 07:33:08.685,1,1.0,False,,False,True,105.011,105.011
11,0 days 03:35:38.822000,VER,1,0 days 00:01:45.403000,12.0,3.0,,,37.983,47.051,20.369,0 days 03:34:31.477000,0 days 03:35:18.528000,0 days 03:35:38.897000,,291.0,247.0,277.0,False,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 03:33:53.419000,2022-10-09 07:34:53.696,1,1.0,False,,False,True,105.403,105.40299999999999
12,0 days 03:37:24.624000,VER,1,0 days 00:01:45.802000,13.0,3.0,,,38.087,47.19,20.525,0 days 03:36:16.984000,0 days 03:37:04.174000,0 days 03:37:24.699000,,291.0,247.0,278.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 03:35:38.822000,2022-10-09 07:36:39.099,1,1.0,False,,False,True,105.802,105.80199999999999
13,0 days 03:39:11.437000,VER,1,0 days 00:01:46.813000,14.0,3.0,,,38.833,47.451,20.529,0 days 03:38:03.532000,0 days 03:38:50.983000,0 days 03:39:11.512000,270.0,292.0,248.0,275.0,False,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 03:37:24.624000,2022-10-09 07:38:24.901,1,1.0,False,,False,True,106.813,106.81299999999999
14,0 days 03:40:58.785000,VER,1,0 days 00:01:47.348000,15.0,3.0,,,39.017,47.755,20.576,0 days 03:39:50.529000,0 days 03:40:38.284000,0 days 03:40:58.860000,,292.0,248.0,270.0,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 03:39:11.437000,2022-10-09 07:40:11.714,1,1.0,False,,False,True,107.348,107.34800000000001
15,0 days 03:42:46.301000,VER,1,0 days 00:01:47.516000,16.0,3.0,,,39.144,47.793,20.579,0 days 03:41:38.004000,0 days 03:42:25.797000,0 days 03:42:46.376000,,292.0,248.0,274.0,False,INTERMEDIATE,9.0,True,Red Bull Racing,0 days 03:40:58.785000,2022-10-09 07:41:59.062,1,1.0,False,,False,True,107.516,107.51599999999999
16,0 days 03:44:33.717000,VER,1,0 days 00:01:47.416000,17.0,3.0,,,39.138,47.726,20.552,0 days 03:43:25.514000,0 days 03:44:13.240000,0 days 03:44:33.792000,271.0,292.0,247.0,274.0,False,INTERMEDIATE,10.0,True,Red Bull Racing,0 days 03:42:46.301000,2022-10-09 07:43:46.578,1,1.0,False,,False,True,107.416,107.416
