,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:32.254000,VER,1,0 days 00:01:25.253000,1.0,1.0,,,,32.168,21.194,,0 days 01:03:11.139000,0 days 01:03:32.348000,282.0,276.0,243.0,309.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:02:06.736000,2022-10-30 20:03:06.747,1,1.0,False,,False,False,85.253,
1,0 days 01:04:55.501000,VER,1,0 days 00:01:23.247000,2.0,1.0,,,29.506,32.501,21.24,0 days 01:04:01.775000,0 days 01:04:34.276000,0 days 01:04:55.516000,277.0,278.0,243.0,323.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:03:32.254000,2022-10-30 20:04:32.265,1,1.0,False,,False,True,83.247,83.247
2,0 days 01:06:18.580000,VER,1,0 days 00:01:23.079000,3.0,1.0,,,29.441,32.347,21.291,0 days 01:05:24.957000,0 days 01:05:57.304000,0 days 01:06:18.595000,274.0,276.0,243.0,,True,SOFT,6.0,False,Red Bull Racing,0 days 01:04:55.501000,2022-10-30 20:05:55.512,1,1.0,False,,False,True,83.079,83.079
3,0 days 01:07:42.146000,VER,1,0 days 00:01:23.566000,4.0,1.0,,,29.61,32.502,21.454,0 days 01:06:48.205000,0 days 01:07:20.707000,0 days 01:07:42.161000,277.0,275.0,243.0,324.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:06:18.580000,2022-10-30 20:07:18.591,1,1.0,False,,False,True,83.566,83.566
4,0 days 01:09:05.372000,VER,1,0 days 00:01:23.226000,5.0,1.0,,,29.522,32.386,21.318,0 days 01:08:11.683000,0 days 01:08:44.069000,0 days 01:09:05.387000,281.0,277.0,243.0,,False,SOFT,8.0,False,Red Bull Racing,0 days 01:07:42.146000,2022-10-30 20:08:42.157,1,1.0,False,,False,True,83.226,83.226
5,0 days 01:10:28.666000,VER,1,0 days 00:01:23.294000,6.0,1.0,,,29.673,32.209,21.412,0 days 01:09:35.060000,0 days 01:10:07.269000,0 days 01:10:28.681000,280.0,276.0,242.0,316.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:09:05.372000,2022-10-30 20:10:05.383,1,1.0,False,,False,True,83.294,83.29400000000001
6,0 days 01:11:51.781000,VER,1,0 days 00:01:23.115000,7.0,1.0,,,29.521,32.183,21.411,0 days 01:10:58.202000,0 days 01:11:30.385000,0 days 01:11:51.796000,281.0,276.0,242.0,323.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:10:28.666000,2022-10-30 20:11:28.677,1,1.0,False,,False,True,83.115,83.11500000000001
7,0 days 01:13:15.073000,VER,1,0 days 00:01:23.292000,8.0,1.0,,,29.577,32.221,21.494,0 days 01:12:21.373000,0 days 01:12:53.594000,0 days 01:13:15.088000,,276.0,242.0,321.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:11:51.781000,2022-10-30 20:12:51.792,1,1.0,False,,False,True,83.292,83.292
8,0 days 01:14:38.319000,VER,1,0 days 00:01:23.246000,9.0,1.0,,,29.558,32.243,21.445,0 days 01:13:44.646000,0 days 01:14:16.889000,0 days 01:14:38.334000,,275.0,242.0,322.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:13:15.073000,2022-10-30 20:14:15.084,1,1.0,False,,False,True,83.246,83.24600000000001
9,0 days 01:16:01.576000,VER,1,0 days 00:01:23.257000,10.0,1.0,,,29.483,32.321,21.453,0 days 01:15:07.817000,0 days 01:15:40.138000,0 days 01:16:01.591000,280.0,276.0,242.0,323.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:14:38.319000,2022-10-30 20:15:38.330,1,1.0,False,,False,True,83.257,83.257
