,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
62,0 days 01:02:31.021000,30.2,64.0,1009.7,False,39.0,156,2.5
64,0 days 01:04:31.039000,30.2,63.0,1009.4,False,39.7,150,1.6
65,0 days 01:05:31.048000,30.4,62.0,1009.5,False,40.4,140,1.7
67,0 days 01:07:31.041000,31.0,61.0,1009.2,False,44.0,94,2.5
69,0 days 01:09:31.047000,31.4,59.0,1009.4,False,46.5,139,2.2
70,0 days 01:10:31.045000,31.3,60.0,1009.2,False,46.4,142,2.0
72,0 days 01:12:31.038000,31.4,61.0,1009.4,False,46.0,89,1.5
73,0 days 01:13:31.038000,31.5,60.0,1009.4,False,46.3,182,1.2
75,0 days 01:15:31.038000,31.7,59.0,1009.2,False,46.7,104,2.7
76,0 days 01:16:31.038000,31.6,60.0,1009.2,False,46.7,163,1.7
78,0 days 01:18:31.039000,31.3,60.0,1009.2,False,45.0,110,2.4
80,0 days 01:20:31.037000,31.0,61.0,1009.2,False,44.9,148,2.0
81,0 days 01:21:31.038000,30.9,60.0,1009.2,False,45.6,99,2.7
83,0 days 01:23:31.042000,30.6,61.0,1009.2,False,45.2,155,2.2
84,0 days 01:24:31.038000,30.5,60.0,1009.2,False,45.2,181,2.5
86,0 days 01:26:31.059000,30.2,61.0,1009.2,False,45.1,133,2.2
87,0 days 01:27:31.098000,30.0,62.0,1009.2,False,44.8,151,2.7
89,0 days 01:29:31.082000,30.2,62.0,1009.2,False,45.3,165,2.2
91,0 days 01:31:31.086000,30.1,62.0,1009.2,False,43.3,128,2.2
92,0 days 01:32:31.085000,30.0,62.0,1009.2,False,42.9,155,2.2
94,0 days 01:34:31.095000,29.8,64.0,1009.4,False,42.6,136,2.5
95,0 days 01:35:31.089000,29.7,64.0,1009.2,False,42.3,106,2.4
97,0 days 01:37:31.086000,29.7,64.0,1009.4,False,42.4,153,3.4
98,0 days 01:38:31.114000,29.8,63.0,1009.0,False,42.1,154,2.7
100,0 days 01:40:31.100000,30.0,63.0,1009.2,False,42.1,100,3.5
101,0 days 01:41:31.116000,30.0,64.0,1009.2,False,42.5,149,3.7
103,0 days 01:43:31.131000,30.1,64.0,1009.2,False,44.1,104,1.8
105,0 days 01:45:31.131000,30.2,63.0,1009.0,False,44.5,164,3.4
106,0 days 01:46:31.135000,30.3,62.0,1009.2,False,46.4,177,4.1
108,0 days 01:48:31.158000,30.0,63.0,1009.0,False,45.6,171,4.6
110,0 days 01:50:31.152000,29.9,63.0,1009.0,False,43.8,114,5.0
111,0 days 01:51:31.167000,29.8,63.0,1009.2,False,43.8,176,3.2
113,0 days 01:53:31.155000,29.8,63.0,1009.0,False,44.3,167,2.7
114,0 days 01:54:31.168000,29.9,64.0,1009.2,False,44.3,128,3.7
