,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
128,0 days 02:08:18.612000,26.8,82.0,1008.0,False,30.1,25,0.8
130,0 days 02:10:18.664000,26.8,82.0,1008.0,False,29.5,121,0.6
133,0 days 02:13:18.658000,26.9,83.0,1008.0,False,29.8,132,1.3
135,0 days 02:15:18.660000,26.8,83.0,1007.9,False,29.6,123,0.6
137,0 days 02:17:18.661000,26.9,83.0,1008.0,False,29.4,51,1.2
139,0 days 02:19:18.677000,26.9,83.0,1008.0,False,29.4,111,1.7
141,0 days 02:21:18.705000,26.9,83.0,1008.0,False,29.6,139,2.2
143,0 days 02:23:18.726000,27.1,83.0,1008.0,False,29.4,149,1.8
145,0 days 02:25:18.740000,27.1,83.0,1008.0,False,28.8,185,1.6
148,0 days 02:28:18.728000,27.2,83.0,1008.0,False,29.0,36,0.6
151,0 days 02:31:18.730000,27.1,83.0,1008.0,False,29.0,102,0.8
153,0 days 02:33:18.739000,27.1,84.0,1008.0,False,29.4,0,0.3
155,0 days 02:35:18.743000,27.2,84.0,1008.0,False,29.4,141,1.6
157,0 days 02:37:18.737000,27.3,83.0,1008.2,False,29.1,120,1.3
159,0 days 02:39:18.739000,27.3,84.0,1008.2,False,29.1,147,1.6
161,0 days 02:41:18.738000,27.3,84.0,1008.2,False,28.7,161,1.7
163,0 days 02:43:18.739000,27.3,84.0,1008.2,False,29.0,161,1.7
165,0 days 02:45:18.738000,27.3,84.0,1008.2,False,28.8,165,2.2
167,0 days 02:47:18.737000,27.3,84.0,1008.4,False,28.6,167,1.2
169,0 days 02:49:18.740000,27.3,84.0,1008.4,False,27.8,164,1.6
171,0 days 02:51:18.743000,27.3,85.0,1008.4,False,27.6,191,1.2
173,0 days 02:53:18.740000,27.2,86.0,1008.5,False,27.5,166,1.2
175,0 days 02:55:18.740000,27.3,86.0,1008.5,False,27.8,148,1.2
177,0 days 02:57:18.771000,27.3,86.0,1008.5,False,27.6,166,0.6
179,0 days 02:59:18.789000,27.2,87.0,1008.5,False,27.6,0,0.6
181,0 days 03:01:18.807000,27.2,87.0,1008.5,False,27.6,183,1.1
184,0 days 03:04:18.799000,27.1,88.0,1008.5,False,27.3,0,1.2
186,0 days 03:06:18.803000,27.2,88.0,1008.5,False,27.3,177,0.6
188,0 days 03:08:18.824000,27.1,88.0,1008.5,False,27.3,193,0.5
191,0 days 03:11:18.852000,27.1,89.0,1008.5,False,27.5,135,0.5
193,0 days 03:13:18.869000,27.1,89.0,1008.7,False,27.9,0,1.2
195,0 days 03:15:18.870000,27.1,89.0,1008.7,False,27.6,328,0.8
197,0 days 03:17:18.903000,27.1,89.0,1008.7,False,27.9,219,1.0
199,0 days 03:19:18.913000,27.1,89.0,1008.7,False,28.0,157,1.7
201,0 days 03:21:18.921000,27.1,89.0,1008.7,False,28.5,137,1.0
203,0 days 03:23:18.917000,27.1,89.0,1008.7,False,28.2,272,0.6
206,0 days 03:26:18.912000,27.2,89.0,1008.7,False,28.4,105,0.4
208,0 days 03:28:18.922000,27.2,89.0,1008.9,False,29.0,319,0.0
211,0 days 03:31:18.932000,27.0,89.0,1009.0,False,28.8,121,0.5
