,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
63,0 days 01:03:06.222000,27.1,49.0,1014.7,False,33.6,345,2.0
64,0 days 01:04:06.221000,27.0,49.0,1014.7,False,33.6,263,2.4
66,0 days 01:06:06.220000,27.1,49.0,1014.9,False,33.7,344,1.7
67,0 days 01:07:06.219000,27.0,50.0,1014.9,False,33.7,313,2.2
69,0 days 01:09:06.218000,27.0,50.0,1014.7,False,33.1,273,2.4
70,0 days 01:10:06.217000,27.0,50.0,1014.9,False,33.0,275,2.5
72,0 days 01:12:06.216000,27.0,51.0,1014.9,False,33.2,276,2.0
73,0 days 01:13:06.231000,27.0,50.0,1015.0,False,33.1,289,2.0
75,0 days 01:15:06.261000,26.9,51.0,1014.9,False,32.8,278,2.0
76,0 days 01:16:06.276000,26.9,51.0,1014.9,False,32.7,256,2.0
78,0 days 01:18:06.306000,26.9,52.0,1014.9,False,32.9,273,2.0
79,0 days 01:19:06.321000,26.9,52.0,1014.9,False,32.8,265,2.2
81,0 days 01:21:06.335000,26.8,53.0,1015.0,False,32.5,324,2.0
82,0 days 01:22:06.350000,26.8,53.0,1015.0,False,32.5,258,1.7
84,0 days 01:24:06.348000,26.8,54.0,1015.0,False,32.5,291,1.8
85,0 days 01:25:06.348000,26.8,54.0,1015.0,False,32.3,255,2.0
87,0 days 01:27:06.362000,26.7,53.0,1015.0,False,32.3,259,1.7
89,0 days 01:29:06.361000,26.7,52.0,1015.0,False,32.6,338,1.7
90,0 days 01:30:06.360000,26.7,52.0,1015.0,False,32.6,256,1.5
92,0 days 01:32:06.390000,26.7,52.0,1015.2,False,32.6,294,1.7
93,0 days 01:33:06.358000,26.7,51.0,1015.2,False,32.6,293,1.8
95,0 days 01:35:06.388000,26.7,53.0,1015.2,False,32.4,341,1.7
96,0 days 01:36:06.387000,26.7,51.0,1015.2,False,32.1,264,1.2
98,0 days 01:38:06.417000,26.7,53.0,1015.2,False,32.1,331,1.7
99,0 days 01:39:06.416000,26.7,52.0,1015.2,False,31.9,261,1.5
