,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:04:22.976000,VER,1,0 days 00:01:59.857000,1.0,1.0,,0 days 01:04:20.007000,,60.96,35.62,,0 days 01:03:47.462000,0 days 01:04:23.022000,294.0,178.0,,207.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:02:22.839000,2023-11-05 17:03:22.842,124,1.0,False,,False,False,119.857,
1,0 days 01:06:46.332000,VER,1,0 days 00:02:23.356000,2.0,2.0,0 days 01:04:38.647000,0 days 01:06:43.349000,44.083,63.234,36.039,0 days 01:05:07.084000,0 days 01:06:10.318000,0 days 01:06:46.357000,152.0,164.0,,,False,SOFT,5.0,False,Red Bull Racing,0 days 01:04:22.976000,2023-11-05 17:05:22.979,45,1.0,False,,False,False,143.356,143.356
2,0 days 01:32:11.454000,VER,1,,3.0,3.0,0 days 01:30:05.989000,,,49.786,49.011,,0 days 01:31:22.613000,0 days 01:32:11.565000,271.0,218.0,71.0,,False,SOFT,4.0,False,Red Bull Racing,0 days 01:30:00.364000,2023-11-05 17:31:00.367,1,1.0,False,,False,False,,
3,0 days 01:34:24.124000,VER,1,0 days 00:02:12.670000,4.0,3.0,,,76.382,38.838,17.45,0 days 01:33:27.861000,0 days 01:34:06.699000,0 days 01:34:24.149000,287.0,239.0,294.0,208.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:32:11.454000,2023-11-05 17:33:11.457,1,1.0,False,,False,True,132.67,132.67
4,0 days 01:35:39.869000,VER,1,0 days 00:01:15.745000,5.0,3.0,,,19.651,38.648,17.446,0 days 01:34:43.800000,0 days 01:35:22.448000,0 days 01:35:39.894000,298.0,238.0,295.0,277.0,True,SOFT,6.0,False,Red Bull Racing,0 days 01:34:24.124000,2023-11-05 17:35:24.127,1,1.0,False,,False,True,75.745,75.745
5,0 days 01:36:55.416000,VER,1,0 days 00:01:15.547000,6.0,3.0,,,19.715,38.471,17.361,0 days 01:35:59.609000,0 days 01:36:38.080000,0 days 01:36:55.441000,299.0,241.0,296.0,275.0,True,SOFT,7.0,False,Red Bull Racing,0 days 01:35:39.869000,2023-11-05 17:36:39.872,1,1.0,False,,False,True,75.547,75.547
6,0 days 01:38:11.007000,VER,1,0 days 00:01:15.591000,7.0,3.0,,,19.596,38.586,17.409,0 days 01:37:15.037000,0 days 01:37:53.623000,0 days 01:38:11.032000,,244.0,296.0,284.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:36:55.416000,2023-11-05 17:37:55.419,1,1.0,False,,False,True,75.591,75.59100000000001
7,0 days 01:39:26.871000,VER,1,0 days 00:01:15.864000,8.0,3.0,,,19.615,38.746,17.503,0 days 01:38:30.647000,0 days 01:39:09.393000,0 days 01:39:26.896000,297.0,242.0,295.0,298.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:38:11.007000,2023-11-05 17:39:11.010,1,1.0,False,,False,True,75.864,75.864
8,0 days 01:40:43.040000,VER,1,0 days 00:01:16.169000,9.0,3.0,,,19.722,38.984,17.463,0 days 01:39:46.618000,0 days 01:40:25.602000,0 days 01:40:43.065000,293.0,243.0,298.0,275.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:39:26.871000,2023-11-05 17:40:26.874,1,1.0,False,,False,True,76.169,76.16900000000001
9,0 days 01:41:59.029000,VER,1,0 days 00:01:15.989000,10.0,3.0,,,19.626,38.882,17.481,0 days 01:41:02.691000,0 days 01:41:41.573000,0 days 01:41:59.054000,297.0,241.0,298.0,283.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:40:43.040000,2023-11-05 17:41:43.043,1,1.0,False,,False,True,75.989,75.989
10,0 days 01:43:15.301000,VER,1,0 days 00:01:16.272000,11.0,3.0,,,19.709,39.073,17.49,0 days 01:42:18.763000,0 days 01:42:57.836000,0 days 01:43:15.326000,,241.0,298.0,279.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:41:59.029000,2023-11-05 17:42:59.032,1,1.0,False,,False,True,76.272,76.27199999999999
11,0 days 01:44:31.180000,VER,1,0 days 00:01:15.879000,12.0,3.0,,,19.615,38.779,17.485,0 days 01:43:34.941000,0 days 01:44:13.720000,0 days 01:44:31.205000,299.0,245.0,297.0,288.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:43:15.301000,2023-11-05 17:44:15.304,1,1.0,False,,False,True,75.879,75.879
12,0 days 01:45:47.479000,VER,1,0 days 00:01:16.299000,13.0,3.0,,,19.715,38.924,17.66,0 days 01:44:50.920000,0 days 01:45:29.844000,0 days 01:45:47.504000,,242.0,298.0,283.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:44:31.180000,2023-11-05 17:45:31.183,1,1.0,False,,False,True,76.299,76.29899999999999
13,0 days 01:47:03.559000,VER,1,0 days 00:01:16.080000,14.0,3.0,,,19.631,38.941,17.508,0 days 01:46:07.135000,0 days 01:46:46.076000,0 days 01:47:03.584000,,243.0,298.0,287.0,False,SOFT,15.0,False,Red Bull Racing,0 days 01:45:47.479000,2023-11-05 17:46:47.482,1,1.0,False,,False,True,76.08,76.08
14,0 days 01:48:19.967000,VER,1,0 days 00:01:16.408000,15.0,3.0,,,19.694,39.078,17.636,0 days 01:47:23.278000,0 days 01:48:02.356000,0 days 01:48:19.992000,,241.0,297.0,285.0,False,SOFT,16.0,False,Red Bull Racing,0 days 01:47:03.559000,2023-11-05 17:48:03.562,1,1.0,False,,False,True,76.408,76.408
15,0 days 01:49:36.272000,VER,1,0 days 00:01:16.305000,16.0,3.0,,,19.643,38.976,17.686,0 days 01:48:39.635000,0 days 01:49:18.611000,0 days 01:49:36.297000,301.0,244.0,295.0,281.0,False,SOFT,17.0,False,Red Bull Racing,0 days 01:48:19.967000,2023-11-05 17:49:19.970,1,1.0,False,,False,True,76.305,76.305
16,0 days 01:50:52.442000,VER,1,0 days 00:01:16.170000,17.0,3.0,,,19.691,38.843,17.636,0 days 01:49:55.988000,0 days 01:50:34.831000,0 days 01:50:52.467000,300.0,246.0,297.0,284.0,False,SOFT,18.0,False,Red Bull Racing,0 days 01:49:36.272000,2023-11-05 17:50:36.275,1,1.0,False,,False,True,76.17,76.17
17,0 days 01:52:08.783000,VER,1,0 days 00:01:16.341000,18.0,3.0,,,19.717,38.977,17.647,0 days 01:51:12.184000,0 days 01:51:51.161000,0 days 01:52:08.808000,299.0,243.0,297.0,,False,SOFT,19.0,False,Red Bull Racing,0 days 01:50:52.442000,2023-11-05 17:51:52.445,1,1.0,False,,False,True,76.341,76.341
