,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:04:25,VER,1,0 days 00:01:45.537000,1.0,1.0,,,,41.862,34.041,,0 days 01:03:51.122000,0 days 01:04:25.106000,194.0,176.0,199.0,297.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:39.217000,2023-10-22 19:03:41.450,1,5.0,False,,False,False,105.537,
1,0 days 01:06:08.009000,VER,1,0 days 00:01:43.009000,2.0,1.0,,,28.137,41.118,33.754,0 days 01:04:53.173000,0 days 01:05:34.291000,0 days 01:06:08.045000,205.0,174.0,198.0,286.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:04:25,2023-10-22 19:05:27.233,1,5.0,False,,False,True,103.009,103.00899999999999
2,0 days 01:07:50.709000,VER,1,0 days 00:01:42.700000,3.0,1.0,,,28.03,40.871,33.799,0 days 01:06:36.075000,0 days 01:07:16.946000,0 days 01:07:50.745000,206.0,170.0,198.0,287.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:06:08.009000,2023-10-22 19:07:10.242,1,5.0,False,,False,True,102.7,102.70000000000002
3,0 days 01:09:33.332000,VER,1,0 days 00:01:42.623000,4.0,1.0,,,27.874,41.035,33.714,0 days 01:08:18.619000,0 days 01:08:59.654000,0 days 01:09:33.368000,203.0,172.0,198.0,293.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:07:50.709000,2023-10-22 19:08:52.942,1,5.0,False,,False,True,102.623,102.62299999999999
4,0 days 01:11:15.483000,VER,1,0 days 00:01:42.151000,5.0,1.0,,,27.76,40.607,33.784,0 days 01:10:01.128000,0 days 01:10:41.735000,0 days 01:11:15.519000,204.0,169.0,197.0,324.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:09:33.332000,2023-10-22 19:10:35.565,1,4.0,False,,False,True,102.151,102.15100000000001
5,0 days 01:12:58.340000,VER,1,0 days 00:01:42.857000,6.0,1.0,,,27.833,41.23,33.794,0 days 01:11:43.352000,0 days 01:12:24.582000,0 days 01:12:58.376000,210.0,169.0,197.0,288.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:11:15.483000,2023-10-22 19:12:17.716,1,4.0,False,,False,True,102.857,102.85699999999999
6,0 days 01:14:41.157000,VER,1,0 days 00:01:42.817000,7.0,1.0,,,27.578,41.194,34.045,0 days 01:13:25.954000,0 days 01:14:07.148000,0 days 01:14:41.193000,,176.0,197.0,290.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:12:58.340000,2023-10-22 19:14:00.573,1,4.0,False,,False,True,102.817,102.81700000000001
7,0 days 01:16:23.755000,VER,1,0 days 00:01:42.598000,8.0,1.0,,,27.671,40.66,34.267,0 days 01:15:08.864000,0 days 01:15:49.524000,0 days 01:16:23.791000,208.0,174.0,199.0,309.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:14:41.157000,2023-10-22 19:15:43.390,1,4.0,False,,False,True,102.598,102.59799999999998
8,0 days 01:18:06.724000,VER,1,0 days 00:01:42.969000,9.0,1.0,,,27.713,41.147,34.109,0 days 01:16:51.504000,0 days 01:17:32.651000,0 days 01:18:06.760000,202.0,174.0,198.0,312.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:16:23.755000,2023-10-22 19:17:25.988,1,4.0,False,,False,True,102.969,102.969
9,0 days 01:19:49.465000,VER,1,0 days 00:01:42.741000,10.0,1.0,,,27.577,41.127,34.037,0 days 01:18:34.337000,0 days 01:19:15.464000,0 days 01:19:49.501000,207.0,174.0,199.0,309.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:18:06.724000,2023-10-22 19:19:08.957,1,4.0,False,,False,True,102.741,102.74100000000001
