,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:58:10.830000,VER,1,0 days 00:01:55.490000,1.0,1.0,,,,44.61,25.791,,0 days 00:57:45.169000,0 days 00:58:11.002000,182.0,209.0,315.0,319.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:56:15.070000,2024-09-15 11:04:10.845,1,5.0,False,,False,False,115.49,
1,0 days 01:00:00.462000,VER,1,0 days 00:01:49.632000,2.0,1.0,,,39.449,44.481,25.702,0 days 00:58:50.309000,0 days 00:59:34.790000,0 days 01:00:00.492000,194.0,209.0,323.0,319.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:58:10.830000,2024-09-15 11:06:06.605,1,5.0,False,,False,True,109.632,109.632
2,0 days 01:01:49.592000,VER,1,0 days 00:01:49.130000,3.0,1.0,,,39.118,44.415,25.597,0 days 01:00:39.610000,0 days 01:01:24.025000,0 days 01:01:49.622000,191.0,206.0,318.0,321.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:00:00.462000,2024-09-15 11:07:56.237,1,5.0,False,,False,True,109.13,109.13
3,0 days 01:03:39.200000,VER,1,0 days 00:01:49.608000,4.0,1.0,,,39.046,44.387,26.175,0 days 01:02:28.668000,0 days 01:03:13.055000,0 days 01:03:39.230000,200.0,210.0,317.0,321.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:01:49.592000,2024-09-15 11:09:45.367,1,5.0,False,,False,True,109.608,109.60799999999999
4,0 days 01:05:28.445000,VER,1,0 days 00:01:49.245000,5.0,1.0,,,39.312,44.211,25.722,0 days 01:04:18.542000,0 days 01:05:02.753000,0 days 01:05:28.475000,199.0,205.0,320.0,320.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:03:39.200000,2024-09-15 11:11:34.975,1,5.0,False,,False,True,109.245,109.245
5,0 days 01:07:17.240000,VER,1,0 days 00:01:48.795000,6.0,1.0,,,38.883,44.254,25.658,0 days 01:06:07.358000,0 days 01:06:51.612000,0 days 01:07:17.270000,,211.0,320.0,318.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:05:28.445000,2024-09-15 11:13:24.220,1,5.0,False,,False,True,108.795,108.795
6,0 days 01:09:06.037000,VER,1,0 days 00:01:48.797000,7.0,1.0,,,38.936,44.131,25.73,0 days 01:07:56.206000,0 days 01:08:40.337000,0 days 01:09:06.067000,197.0,214.0,319.0,319.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:07:17.240000,2024-09-15 11:15:13.015,1,5.0,False,,False,True,108.797,108.79700000000001
7,0 days 01:10:54.680000,VER,1,0 days 00:01:48.643000,8.0,1.0,,,38.88,44.103,25.66,0 days 01:09:44.947000,0 days 01:10:29.050000,0 days 01:10:54.710000,201.0,215.0,320.0,318.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:09:06.037000,2024-09-15 11:17:01.812,1,5.0,False,,False,True,108.643,108.643
8,0 days 01:12:43.128000,VER,1,0 days 00:01:48.448000,9.0,1.0,,,38.68,44.085,25.683,0 days 01:11:33.390000,0 days 01:12:17.475000,0 days 01:12:43.158000,207.0,209.0,319.0,318.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:10:54.680000,2024-09-15 11:18:50.455,1,5.0,False,,False,True,108.448,108.44800000000001
9,0 days 01:14:32.576000,VER,1,0 days 00:01:49.448000,10.0,1.0,,,38.989,44.635,25.824,0 days 01:13:22.147000,0 days 01:14:06.782000,0 days 01:14:32.606000,200.0,208.0,318.0,317.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:12:43.128000,2024-09-15 11:20:38.903,1,5.0,False,,False,True,109.448,109.448
10,0 days 01:16:22.221000,VER,1,0 days 00:01:49.645000,11.0,1.0,,,39.235,44.447,25.963,0 days 01:15:11.841000,0 days 01:15:56.288000,0 days 01:16:22.251000,198.0,213.0,314.0,318.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:14:32.576000,2024-09-15 11:22:28.351,1,5.0,False,,False,True,109.645,109.64500000000001
11,0 days 01:18:16.732000,VER,1,0 days 00:01:54.511000,12.0,1.0,,0 days 01:18:15.554000,39.506,45.125,29.88,0 days 01:17:01.757000,0 days 01:17:46.882000,0 days 01:18:16.762000,196.0,210.0,,315.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:16:22.221000,2024-09-15 11:24:17.996,1,5.0,False,,False,False,114.511,114.511
12,0 days 01:20:23.218000,VER,1,0 days 00:02:06.486000,13.0,2.0,0 days 01:18:36.601000,,56.262,44.841,25.383,0 days 01:19:13.024000,0 days 01:19:57.865000,0 days 01:20:23.248000,189.0,200.0,340.0,326.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:18:16.732000,2024-09-15 11:26:12.507,1,9.0,False,,False,False,126.486,126.486
13,0 days 01:22:11.487000,VER,1,0 days 00:01:48.269000,14.0,2.0,,,38.439,44.264,25.566,0 days 01:21:01.687000,0 days 01:21:45.951000,0 days 01:22:11.517000,194.0,197.0,340.0,322.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:20:23.218000,2024-09-15 11:28:18.993,1,8.0,False,,False,True,108.269,108.269
14,0 days 01:23:59.299000,VER,1,0 days 00:01:47.812000,15.0,2.0,,,38.535,43.701,25.576,0 days 01:22:50.052000,0 days 01:23:33.753000,0 days 01:23:59.329000,196.0,214.0,341.0,322.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:22:11.487000,2024-09-15 11:30:07.262,1,7.0,False,,False,True,107.812,107.81199999999998
15,0 days 01:25:47.431000,VER,1,0 days 00:01:48.132000,16.0,2.0,,,38.592,43.793,25.747,0 days 01:24:37.921000,0 days 01:25:21.714000,0 days 01:25:47.461000,197.0,215.0,320.0,315.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:23:59.299000,2024-09-15 11:31:55.074,1,7.0,False,,False,True,108.132,108.13199999999999
