,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:58:10.045000,RUS,63,0 days 00:01:43.267000,1.0,1.0,,,,33.383,37.566,,0 days 00:57:33.060000,0 days 00:58:10.705000,173.0,206.0,305.0,307.0,False,MEDIUM,2.0,False,Mercedes,0 days 00:56:26.961000,2024-11-24 06:03:40.011,1,1.0,False,,False,False,103.267,
1,0 days 00:59:49.122000,RUS,63,0 days 00:01:39.077000,2.0,1.0,,,28.738,33.235,37.104,0 days 00:58:38.841000,0 days 00:59:12.076000,0 days 00:59:49.180000,175.0,205.0,317.0,318.0,True,MEDIUM,3.0,False,Mercedes,0 days 00:58:10.045000,2024-11-24 06:05:23.095,1,1.0,False,,False,True,99.077,99.077
2,0 days 01:01:27.986000,RUS,63,0 days 00:01:38.864000,3.0,1.0,,,28.368,33.152,37.344,0 days 01:00:17.548000,0 days 01:00:50.700000,0 days 01:01:28.044000,178.0,207.0,312.0,320.0,True,MEDIUM,4.0,False,Mercedes,0 days 00:59:49.122000,2024-11-24 06:07:02.172,1,1.0,False,,False,True,98.864,98.864
3,0 days 01:03:06.734000,RUS,63,0 days 00:01:38.748000,4.0,1.0,,,28.229,32.97,37.549,0 days 01:01:56.273000,0 days 01:02:29.243000,0 days 01:03:06.792000,179.0,206.0,312.0,300.0,True,MEDIUM,5.0,False,Mercedes,0 days 01:01:27.986000,2024-11-24 06:08:41.036,1,1.0,False,,False,True,98.748,98.74799999999999
4,0 days 01:04:44.870000,RUS,63,0 days 00:01:38.136000,5.0,1.0,,,28.341,32.594,37.201,0 days 01:03:35.133000,0 days 01:04:07.727000,0 days 01:04:44.928000,180.0,206.0,308.0,315.0,True,MEDIUM,6.0,False,Mercedes,0 days 01:03:06.734000,2024-11-24 06:10:19.784,1,1.0,False,,False,True,98.136,98.136
5,0 days 01:06:23.200000,RUS,63,0 days 00:01:38.330000,6.0,1.0,,,28.217,33.033,37.08,0 days 01:05:13.145000,0 days 01:05:46.178000,0 days 01:06:23.258000,177.0,206.0,312.0,321.0,False,MEDIUM,7.0,False,Mercedes,0 days 01:04:44.870000,2024-11-24 06:11:57.920,1,1.0,False,,False,True,98.33,98.33
6,0 days 01:08:01.698000,RUS,63,0 days 00:01:38.498000,7.0,1.0,,,28.127,33.232,37.139,0 days 01:06:51.385000,0 days 01:07:24.617000,0 days 01:08:01.756000,178.0,205.0,312.0,321.0,False,MEDIUM,8.0,False,Mercedes,0 days 01:06:23.200000,2024-11-24 06:13:36.250,1,1.0,False,,False,True,98.498,98.49799999999999
7,0 days 01:09:40.051000,RUS,63,0 days 00:01:38.353000,8.0,1.0,,,28.106,33.174,37.073,0 days 01:08:29.862000,0 days 01:09:03.036000,0 days 01:09:40.109000,177.0,204.0,318.0,323.0,False,MEDIUM,9.0,False,Mercedes,0 days 01:08:01.698000,2024-11-24 06:15:14.748,1,1.0,False,,False,True,98.353,98.35300000000001
8,0 days 01:11:18.802000,RUS,63,0 days 00:01:38.751000,9.0,1.0,,,28.174,33.293,37.284,0 days 01:10:08.283000,0 days 01:10:41.576000,0 days 01:11:18.860000,178.0,205.0,310.0,321.0,False,MEDIUM,10.0,False,Mercedes,0 days 01:09:40.051000,2024-11-24 06:16:53.101,1,1.0,False,,False,True,98.751,98.751
9,0 days 01:12:57.483000,RUS,63,0 days 00:01:38.681000,10.0,1.0,,,28.296,33.247,37.138,0 days 01:11:47.156000,0 days 01:12:20.403000,0 days 01:12:57.541000,177.0,205.0,314.0,321.0,False,MEDIUM,11.0,False,Mercedes,0 days 01:11:18.802000,2024-11-24 06:18:31.852,1,1.0,False,,False,True,98.681,98.681
