,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
71,0 days 01:11:28.860000,30.2,33.0,943.4,False,47.8,207,0.9
73,0 days 01:13:28.877000,30.4,32.0,943.4,False,49.7,0,1.0
75,0 days 01:15:28.888000,30.6,32.0,943.4,False,49.2,336,1.5
76,0 days 01:16:28.969000,30.7,32.0,943.3,False,49.6,68,0.8
78,0 days 01:18:28.902000,30.8,32.0,943.3,False,49.8,43,0.6
79,0 days 01:19:28.920000,30.7,32.0,943.2,False,49.7,40,1.4
80,0 days 01:20:28.920000,30.6,32.0,943.3,False,50.3,61,1.9
81,0 days 01:21:28.942000,30.6,32.0,943.2,False,50.4,59,2.1
82,0 days 01:22:28.938000,30.6,32.0,943.3,False,50.3,40,2.2
83,0 days 01:23:28.930000,30.7,31.0,943.2,False,50.3,66,3.1
85,0 days 01:25:28.962000,30.6,31.0,943.2,False,49.2,45,2.4
86,0 days 01:26:28.966000,30.6,32.0,943.4,False,49.1,65,2.1
87,0 days 01:27:28.980000,30.5,31.0,943.2,False,49.2,82,2.1
88,0 days 01:28:29.004000,30.4,32.0,943.3,False,49.9,67,2.7
89,0 days 01:29:28.993000,30.4,31.0,943.2,False,49.5,72,3.1
90,0 days 01:30:28.991000,30.4,32.0,943.3,False,49.5,63,2.1
92,0 days 01:32:28.992000,30.5,31.0,943.1,False,49.6,43,1.9
93,0 days 01:33:28.994000,30.6,30.0,943.1,False,49.7,49,1.9
94,0 days 01:34:29.006000,30.6,31.0,943.1,False,49.4,79,2.5
95,0 days 01:35:28.993000,30.6,32.0,943.1,False,49.4,61,2.2
96,0 days 01:36:28.996000,30.6,31.0,943.1,False,49.0,34,1.8
98,0 days 01:38:28.997000,30.6,31.0,943.2,False,49.3,63,1.6
99,0 days 01:39:29.004000,30.7,31.0,943.2,False,49.3,47,1.9
100,0 days 01:40:28.988000,30.6,31.0,943.1,False,49.3,50,1.8
101,0 days 01:41:28.994000,30.6,31.0,943.0,False,49.6,23,1.9
103,0 days 01:43:28.994000,30.5,31.0,943.2,False,49.1,67,1.3
104,0 days 01:44:29.002000,30.5,31.0,943.1,False,49.1,72,1.9
105,0 days 01:45:28.996000,30.6,31.0,943.1,False,48.8,88,2.4
106,0 days 01:46:29.004000,30.6,31.0,943.0,False,49.7,63,1.5
107,0 days 01:47:29.004000,30.6,31.0,943.1,False,49.4,66,3.2
108,0 days 01:48:28.998000,30.6,31.0,943.2,False,48.8,44,2.5
109,0 days 01:49:28.998000,30.5,31.0,943.0,False,48.8,65,2.0
111,0 days 01:51:29.004000,30.6,32.0,943.0,False,48.7,53,2.2
112,0 days 01:52:28.998000,30.6,32.0,943.1,False,48.8,40,2.2
113,0 days 01:53:29.005000,30.5,31.0,943.0,False,48.5,20,2.0
114,0 days 01:54:29.012000,30.4,32.0,943.1,False,48.5,65,1.6
115,0 days 01:55:29.014000,30.5,32.0,943.0,False,48.4,24,1.7
116,0 days 01:56:29.002000,30.5,31.0,942.9,False,48.4,353,1.2
118,0 days 01:58:29.002000,30.4,32.0,942.9,False,48.3,15,1.1
119,0 days 01:59:29,30.5,31.0,943.1,False,48.7,359,0.8
120,0 days 02:00:29.015000,30.8,31.0,942.9,False,49.3,35,0.7
121,0 days 02:01:29.025000,30.9,30.0,943.0,False,48.6,43,3.3
122,0 days 02:02:29.016000,30.9,31.0,943.0,False,48.4,5,2.7
123,0 days 02:03:29.010000,30.8,32.0,943.0,False,48.4,68,1.1
125,0 days 02:05:29.017000,31.0,31.0,942.9,False,49.3,43,1.2
126,0 days 02:06:29.017000,31.1,31.0,942.9,False,49.1,28,2.1
127,0 days 02:07:29.018000,31.2,30.0,942.9,False,49.1,51,2.8
128,0 days 02:08:29.028000,31.2,30.0,942.9,False,48.9,54,2.5
129,0 days 02:09:29.029000,31.3,31.0,942.8,False,48.0,57,1.8
130,0 days 02:10:29.037000,31.3,32.0,942.9,False,48.2,55,0.8
132,0 days 02:12:29.019000,31.1,31.0,942.7,False,48.9,48,3.2
133,0 days 02:13:29.025000,31.1,31.0,942.7,False,48.7,46,2.0
134,0 days 02:14:29.030000,31.1,31.0,942.8,False,48.7,60,2.8
135,0 days 02:15:29.015000,31.1,31.0,942.9,False,48.7,49,2.5
137,0 days 02:17:29.020000,31.0,31.0,942.7,False,48.4,41,2.2
