,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
58,0 days 00:58:34.628000,23.3,30.0,1019.1,False,49.7,2,0.7
59,0 days 00:59:34.613000,23.4,30.0,1019.1,False,50.0,104,0.5
61,0 days 01:01:34.614000,23.6,29.0,1019.0,False,50.2,353,0.9
62,0 days 01:02:34.627000,23.6,29.0,1019.1,False,50.2,343,1.6
63,0 days 01:03:34.627000,23.7,28.0,1019.1,False,50.3,158,1.4
64,0 days 01:04:34.628000,23.9,28.0,1019.1,False,50.1,103,0.8
66,0 days 01:06:34.629000,24.0,27.0,1019.0,False,49.9,19,1.3
67,0 days 01:07:34.629000,23.9,26.0,1019.0,False,49.9,354,2.2
68,0 days 01:08:34.630000,23.8,26.0,1019.0,False,49.9,4,2.9
69,0 days 01:09:34.630000,23.6,26.0,1019.0,False,49.9,4,2.9
71,0 days 01:11:34.622000,23.8,27.0,1019.1,False,50.3,202,1.5
72,0 days 01:12:34.622000,23.7,26.0,1019.1,False,50.2,262,2.0
74,0 days 01:14:34.639000,23.8,26.0,1019.0,False,50.1,159,1.6
75,0 days 01:15:34.624000,23.7,26.0,1019.1,False,50.1,239,1.9
76,0 days 01:16:34.640000,23.8,29.0,1019.0,False,50.0,292,0.9
77,0 days 01:17:34.628000,23.8,29.0,1019.0,False,50.0,124,0.9
79,0 days 01:19:34.644000,23.8,27.0,1019.1,False,49.8,106,1.1
80,0 days 01:20:34.629000,23.7,29.0,1019.0,False,50.0,326,1.9
81,0 days 01:21:34.630000,23.8,28.0,1019.0,False,50.2,32,0.8
83,0 days 01:23:34.631000,23.8,28.0,1019.0,False,49.7,324,1.1
84,0 days 01:24:34.648000,23.9,27.0,1019.0,False,49.7,0,0.5
85,0 days 01:25:34.666000,24.0,29.0,1018.9,False,49.4,151,0.8
86,0 days 01:26:34.645000,24.0,29.0,1018.9,False,49.4,151,0.8
88,0 days 01:28:34.646000,23.9,30.0,1018.9,False,49.6,0,1.1
89,0 days 01:29:34.643000,24.0,29.0,1019.1,False,49.6,166,0.9
90,0 days 01:30:34.641000,24.1,30.0,1019.1,False,49.7,230,2.0
91,0 days 01:31:34.641000,24.1,29.0,1019.0,False,49.9,10,0.7
93,0 days 01:33:34.651000,24.3,29.0,1018.9,False,49.9,197,0.8
94,0 days 01:34:34.655000,24.4,28.0,1018.9,False,50.0,123,0.8
95,0 days 01:35:34.674000,24.4,29.0,1019.1,False,49.8,327,0.7
96,0 days 01:36:34.691000,24.5,29.0,1018.9,False,49.6,335,0.8
98,0 days 01:38:34.707000,24.5,29.0,1018.9,False,49.8,357,0.7
99,0 days 01:39:34.708000,24.6,28.0,1019.0,False,49.7,252,0.8
100,0 days 01:40:34.739000,24.6,28.0,1018.9,False,49.7,0,0.6
101,0 days 01:41:34.733000,24.6,28.0,1019.0,False,49.8,159,0.5
103,0 days 01:43:34.741000,24.5,28.0,1018.9,False,50.1,180,0.9
104,0 days 01:44:34.741000,24.5,28.0,1018.9,False,49.9,0,0.9
106,0 days 01:46:34.773000,24.7,28.0,1018.9,False,49.8,167,0.7
107,0 days 01:47:34.789000,24.7,27.0,1018.9,False,49.9,163,1.5
108,0 days 01:48:34.774000,24.7,28.0,1018.8,False,50.0,160,1.4
109,0 days 01:49:34.787000,24.6,28.0,1018.9,False,50.3,140,2.0
111,0 days 01:51:34.804000,24.6,28.0,1018.8,False,49.9,183,1.2
112,0 days 01:52:34.820000,24.8,27.0,1018.9,False,49.9,284,1.6
113,0 days 01:53:34.821000,25.1,28.0,1018.9,False,50.2,188,1.1
114,0 days 01:54:34.808000,25.2,27.0,1018.9,False,49.8,338,0.8
116,0 days 01:56:34.837000,25.1,30.0,1018.9,False,49.6,353,1.5
117,0 days 01:57:34.829000,25.0,28.0,1018.9,False,49.9,0,0.7
118,0 days 01:58:34.829000,24.9,27.0,1019.0,False,49.9,44,0.9
119,0 days 01:59:34.830000,25.0,27.0,1018.8,False,49.9,178,0.9
121,0 days 02:01:34.830000,25.1,28.0,1018.8,False,50.0,61,0.9
122,0 days 02:02:34.847000,25.1,28.0,1018.9,False,49.8,359,1.0
123,0 days 02:03:34.850000,25.1,28.0,1018.8,False,49.8,337,0.8
124,0 days 02:04:34.866000,25.1,27.0,1018.8,False,49.3,176,1.1
126,0 days 02:06:34.883000,25.2,29.0,1018.8,False,49.9,336,0.6
127,0 days 02:07:34.883000,25.3,27.0,1018.8,False,49.6,162,1.1
128,0 days 02:08:34.899000,25.4,29.0,1018.8,False,49.7,215,1.1
129,0 days 02:09:34.900000,25.6,27.0,1018.8,False,49.7,91,0.5
131,0 days 02:11:34.926000,25.5,26.0,1018.7,False,49.2,343,0.9
132,0 days 02:12:34.926000,25.4,26.0,1018.9,False,49.2,0,0.7
133,0 days 02:13:34.927000,25.2,27.0,1018.8,False,49.4,338,1.1
134,0 days 02:14:34.928000,25.1,27.0,1018.8,False,49.4,216,0.6
136,0 days 02:16:34.929000,24.9,27.0,1018.7,False,49.5,4,1.3
137,0 days 02:17:34.929000,25.0,27.0,1018.8,False,49.5,197,0.8
138,0 days 02:18:34.930000,25.1,26.0,1018.8,False,49.6,139,1.0
139,0 days 02:19:34.930000,25.1,27.0,1018.9,False,49.6,168,0.8
