,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:57:22.345000,VER,1,0 days 00:01:22.992000,1.0,1.0,,,,27.908,27.148,,0 days 00:56:55.319000,0 days 00:57:22.553000,223.0,253.0,271.0,284.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:55:59.147000,2025-05-18 13:03:33.062,1,1.0,False,,False,False,82.992,
1,0 days 00:58:43.476000,VER,1,0 days 00:01:21.131000,2.0,1.0,,,26.069,28.244,26.818,0 days 00:57:48.432000,0 days 00:58:16.676000,0 days 00:58:43.494000,218.0,254.0,271.0,282.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:57:22.345000,2025-05-18 13:04:56.260,1,1.0,False,,False,True,81.131,81.131
2,0 days 01:00:04.734000,VER,1,0 days 00:01:21.258000,3.0,1.0,,,26.064,28.332,26.862,0 days 00:59:09.558000,0 days 00:59:37.890000,0 days 01:00:04.752000,,256.0,270.0,285.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:58:43.476000,2025-05-18 13:06:17.391,1,1.0,False,,False,True,81.258,81.258
3,0 days 01:01:25.952000,VER,1,0 days 00:01:21.218000,4.0,1.0,,,26.005,28.236,26.977,0 days 01:00:30.757000,0 days 01:00:58.993000,0 days 01:01:25.970000,219.0,256.0,271.0,286.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:00:04.734000,2025-05-18 13:07:38.649,1,1.0,False,,False,True,81.218,81.218
4,0 days 01:02:47.180000,VER,1,0 days 00:01:21.228000,5.0,1.0,,,26.032,28.192,27.004,0 days 01:01:52.002000,0 days 01:02:20.194000,0 days 01:02:47.198000,218.0,255.0,272.0,284.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:01:25.952000,2025-05-18 13:08:59.867,1,1.0,False,,False,True,81.228,81.22800000000001
5,0 days 01:04:08.157000,VER,1,0 days 00:01:20.977000,6.0,1.0,,,25.832,28.253,26.892,0 days 01:03:13.030000,0 days 01:03:41.283000,0 days 01:04:08.175000,219.0,256.0,270.0,285.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:02:47.180000,2025-05-18 13:10:21.095,1,1.0,False,,False,True,80.977,80.977
6,0 days 01:05:29.653000,VER,1,0 days 00:01:21.496000,7.0,1.0,,,26.129,28.213,27.154,0 days 01:04:34.304000,0 days 01:05:02.517000,0 days 01:05:29.671000,,256.0,270.0,282.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:04:08.157000,2025-05-18 13:11:42.072,1,1.0,False,,False,True,81.496,81.496
7,0 days 01:06:50.859000,VER,1,0 days 00:01:21.206000,8.0,1.0,,,25.941,28.294,26.971,0 days 01:05:55.612000,0 days 01:06:23.906000,0 days 01:06:50.877000,,256.0,272.0,283.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:05:29.653000,2025-05-18 13:13:03.568,1,1.0,False,,False,True,81.206,81.206
8,0 days 01:08:12.053000,VER,1,0 days 00:01:21.194000,9.0,1.0,,,25.92,28.216,27.058,0 days 01:07:16.797000,0 days 01:07:45.013000,0 days 01:08:12.071000,,255.0,271.0,283.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:06:50.859000,2025-05-18 13:14:24.774,1,1.0,False,,False,True,81.194,81.194
9,0 days 01:09:33.310000,VER,1,0 days 00:01:21.257000,10.0,1.0,,,25.969,28.27,27.018,0 days 01:08:38.040000,0 days 01:09:06.310000,0 days 01:09:33.328000,,257.0,272.0,286.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:08:12.053000,2025-05-18 13:15:45.968,1,1.0,False,,False,True,81.257,81.257
10,0 days 01:10:54.599000,VER,1,0 days 00:01:21.289000,11.0,1.0,,,25.949,28.178,27.162,0 days 01:09:59.277000,0 days 01:10:27.455000,0 days 01:10:54.617000,,257.0,269.0,285.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:09:33.310000,2025-05-18 13:17:07.225,1,1.0,False,,False,True,81.289,81.289
11,0 days 01:12:16.109000,VER,1,0 days 00:01:21.510000,12.0,1.0,,,26.025,28.331,27.154,0 days 01:11:20.642000,0 days 01:11:48.973000,0 days 01:12:16.127000,217.0,257.0,270.0,284.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:10:54.599000,2025-05-18 13:18:28.514,1,1.0,False,,False,True,81.51,81.50999999999999
12,0 days 01:13:37.544000,VER,1,0 days 00:01:21.435000,13.0,1.0,,,25.951,28.336,27.148,0 days 01:12:42.078000,0 days 01:13:10.414000,0 days 01:13:37.562000,,257.0,271.0,286.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:12:16.109000,2025-05-18 13:19:50.024,1,1.0,False,,False,True,81.435,81.435
13,0 days 01:14:58.946000,VER,1,0 days 00:01:21.402000,14.0,1.0,,,25.887,28.363,27.152,0 days 01:14:03.449000,0 days 01:14:31.812000,0 days 01:14:58.964000,,255.0,272.0,286.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:13:37.544000,2025-05-18 13:21:11.459,1,1.0,False,,False,True,81.402,81.402
14,0 days 01:16:20.177000,VER,1,0 days 00:01:21.231000,15.0,1.0,,,25.844,28.255,27.132,0 days 01:15:24.808000,0 days 01:15:53.063000,0 days 01:16:20.195000,219.0,257.0,272.0,287.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:14:58.946000,2025-05-18 13:22:32.861,1,1.0,False,,False,True,81.231,81.23100000000001
15,0 days 01:17:41.453000,VER,1,0 days 00:01:21.276000,16.0,1.0,,,25.803,28.346,27.127,0 days 01:16:45.998000,0 days 01:17:14.344000,0 days 01:17:41.471000,218.0,256.0,273.0,288.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:16:20.177000,2025-05-18 13:23:54.092,1,1.0,False,,False,True,81.276,81.276
16,0 days 01:19:02.477000,VER,1,0 days 00:01:21.024000,17.0,1.0,,,25.73,28.149,27.145,0 days 01:18:07.201000,0 days 01:18:35.350000,0 days 01:19:02.495000,216.0,258.0,272.0,287.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:17:41.453000,2025-05-18 13:25:15.368,1,1.0,False,,False,True,81.024,81.024
17,0 days 01:20:23.333000,VER,1,0 days 00:01:20.856000,18.0,1.0,,,25.47,28.194,27.192,0 days 01:19:27.965000,0 days 01:19:56.159000,0 days 01:20:23.351000,219.0,256.0,271.0,288.0,True,MEDIUM,18.0,True,Red Bull Racing,0 days 01:19:02.477000,2025-05-18 13:26:36.392,1,1.0,False,,False,True,80.856,80.856
