,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:58:51.257000,VER,1,0 days 00:01:35.669000,1.0,,,,,34.681,26.31,,0 days 00:58:25.009000,0 days 00:58:51.397000,213.0,184.0,272.0,302.0,False,nan,,True,Red Bull Racing,0 days 00:57:15.384000,2025-05-04 20:03:42.225,12,1.0,False,,False,False,95.669,
1,0 days 01:00:42.385000,VER,1,0 days 00:01:51.128000,2.0,,,,31.426,47.94,31.762,0 days 00:59:22.712000,0 days 01:00:10.652000,0 days 01:00:42.414000,208.0,130.0,216.0,257.0,True,nan,,True,Red Bull Racing,0 days 00:58:51.257000,2025-05-04 20:05:18.098,126,1.0,False,,False,False,111.128,111.128
2,0 days 01:02:48.331000,VER,1,0 days 00:02:05.946000,3.0,,,,43.901,48.777,33.268,0 days 01:01:26.315000,0 days 01:02:15.092000,0 days 01:02:48.360000,143.0,178.0,263.0,195.0,False,nan,,True,Red Bull Racing,0 days 01:00:42.385000,2025-05-04 20:07:09.226,671,1.0,False,,False,False,125.946,125.946
3,0 days 01:04:20.900000,VER,1,0 days 00:01:32.569000,4.0,,,,31.185,35.126,26.258,0 days 01:03:19.545000,0 days 01:03:54.671000,0 days 01:04:20.929000,204.0,183.0,274.0,303.0,True,nan,,True,Red Bull Racing,0 days 01:02:48.331000,2025-05-04 20:09:15.172,1,1.0,False,,False,True,92.569,92.56899999999999
4,0 days 01:05:53.033000,VER,1,0 days 00:01:32.133000,5.0,,,,31.182,34.799,26.152,0 days 01:04:52.111000,0 days 01:05:26.910000,0 days 01:05:53.062000,206.0,184.0,274.0,304.0,True,nan,,True,Red Bull Racing,0 days 01:04:20.900000,2025-05-04 20:10:47.741,1,1.0,False,,False,True,92.133,92.133
5,0 days 01:07:25.129000,VER,1,0 days 00:01:32.096000,6.0,,,,31.075,34.815,26.206,0 days 01:06:24.137000,0 days 01:06:58.952000,0 days 01:07:25.158000,,184.0,274.0,305.0,True,nan,,True,Red Bull Racing,0 days 01:05:53.033000,2025-05-04 20:12:19.874,1,1.0,False,,False,True,92.096,92.096
6,0 days 01:08:57.212000,VER,1,0 days 00:01:32.083000,7.0,,,,31.076,34.867,26.14,0 days 01:07:56.234000,0 days 01:08:31.101000,0 days 01:08:57.241000,,184.0,274.0,306.0,True,nan,,True,Red Bull Racing,0 days 01:07:25.129000,2025-05-04 20:13:51.970,1,1.0,False,,False,True,92.083,92.083
7,0 days 01:10:29.795000,VER,1,0 days 00:01:32.583000,8.0,,,,31.42,35.021,26.142,0 days 01:09:28.661000,0 days 01:10:03.682000,0 days 01:10:29.824000,208.0,184.0,274.0,307.0,False,nan,,True,Red Bull Racing,0 days 01:08:57.212000,2025-05-04 20:15:24.053,1,1.0,False,,False,True,92.583,92.583
8,0 days 01:12:02.201000,VER,1,0 days 00:01:32.406000,9.0,,,,31.176,34.998,26.232,0 days 01:11:01,0 days 01:11:35.998000,0 days 01:12:02.230000,,183.0,275.0,306.0,False,nan,,True,Red Bull Racing,0 days 01:10:29.795000,2025-05-04 20:16:56.636,1,1.0,False,,False,True,92.406,92.40599999999999
9,0 days 01:13:34.593000,VER,1,0 days 00:01:32.392000,10.0,,,,30.922,35.089,26.381,0 days 01:12:33.152000,0 days 01:13:08.241000,0 days 01:13:34.622000,209.0,183.0,274.0,306.0,False,nan,,True,Red Bull Racing,0 days 01:12:02.201000,2025-05-04 20:18:29.042,1,1.0,False,,False,True,92.392,92.392
10,0 days 01:15:07.188000,VER,1,0 days 00:01:32.595000,11.0,,,,31.315,35.014,26.266,0 days 01:14:05.937000,0 days 01:14:40.951000,0 days 01:15:07.217000,208.0,183.0,274.0,306.0,False,nan,,True,Red Bull Racing,0 days 01:13:34.593000,2025-05-04 20:20:01.434,1,1.0,False,,False,True,92.595,92.595
11,0 days 01:16:39.424000,VER,1,0 days 00:01:32.236000,12.0,,,,30.879,35.08,26.277,0 days 01:15:38.096000,0 days 01:16:13.176000,0 days 01:16:39.453000,209.0,183.0,275.0,305.0,False,nan,,True,Red Bull Racing,0 days 01:15:07.188000,2025-05-04 20:21:34.029,1,1.0,False,,False,True,92.236,92.236
12,0 days 01:18:11.696000,VER,1,0 days 00:01:32.272000,13.0,,,,30.973,35.031,26.268,0 days 01:17:10.426000,0 days 01:17:45.457000,0 days 01:18:11.725000,208.0,183.0,276.0,314.0,False,nan,,True,Red Bull Racing,0 days 01:16:39.424000,2025-05-04 20:23:06.265,1,1.0,False,,False,True,92.272,92.27199999999999
13,0 days 01:19:46.423000,VER,1,0 days 00:01:34.727000,14.0,,,,33.18,35.275,26.272,0 days 01:18:44.905000,0 days 01:19:20.180000,0 days 01:19:46.452000,207.0,183.0,277.0,316.0,False,nan,,True,Red Bull Racing,0 days 01:18:11.696000,2025-05-04 20:24:38.537,1,2.0,False,,False,True,94.727,94.727
14,0 days 01:21:20.159000,VER,1,0 days 00:01:33.736000,15.0,,,,32.111,35.324,26.301,0 days 01:20:18.563000,0 days 01:20:53.887000,0 days 01:21:20.188000,205.0,182.0,276.0,310.0,False,nan,,True,Red Bull Racing,0 days 01:19:46.423000,2025-05-04 20:26:13.264,1,2.0,False,,False,True,93.736,93.736
15,0 days 01:22:53.337000,VER,1,0 days 00:01:33.178000,16.0,,,,31.413,35.507,26.258,0 days 01:21:51.601000,0 days 01:22:27.108000,0 days 01:22:53.366000,208.0,182.0,277.0,310.0,False,nan,,True,Red Bull Racing,0 days 01:21:20.159000,2025-05-04 20:27:47.000,1,2.0,False,,False,True,93.178,93.178
16,0 days 01:24:28.194000,VER,1,0 days 00:01:34.857000,17.0,,,,31.316,37.421,26.12,0 days 01:23:24.682000,0 days 01:24:02.103000,0 days 01:24:28.223000,206.0,181.0,277.0,332.0,False,nan,,True,Red Bull Racing,0 days 01:22:53.337000,2025-05-04 20:29:20.178,1,2.0,True,TRACK LIMITS AT TURN 11 LAP 17 ,False,True,94.857,94.857
17,0 days 01:26:01.447000,VER,1,0 days 00:01:33.253000,18.0,,,,31.311,36.003,25.939,0 days 01:24:59.534000,0 days 01:25:35.537000,0 days 01:26:01.476000,208.0,182.0,282.0,330.0,False,nan,,True,Red Bull Racing,0 days 01:24:28.194000,2025-05-04 20:30:55.035,1,3.0,False,,False,True,93.253,93.25299999999999
18,0 days 01:27:34.271000,VER,1,0 days 00:01:32.824000,19.0,,,,31.438,35.239,26.147,0 days 01:26:32.914000,0 days 01:27:08.153000,0 days 01:27:34.300000,,183.0,278.0,311.0,False,nan,,True,Red Bull Racing,0 days 01:26:01.447000,2025-05-04 20:32:28.288,1,3.0,False,,False,True,92.824,92.82399999999998
19,0 days 01:29:07.555000,VER,1,0 days 00:01:33.284000,20.0,,,,31.207,35.936,26.141,0 days 01:28:05.507000,0 days 01:28:41.443000,0 days 01:29:07.584000,205.0,183.0,277.0,309.0,False,nan,,True,Red Bull Racing,0 days 01:27:34.271000,2025-05-04 20:34:01.112,1,3.0,False,,False,True,93.284,93.28399999999999
20,0 days 01:30:40.248000,VER,1,0 days 00:01:32.693000,21.0,,,,31.131,35.377,26.185,0 days 01:29:38.715000,0 days 01:30:14.092000,0 days 01:30:40.277000,208.0,184.0,278.0,310.0,False,nan,,True,Red Bull Racing,0 days 01:29:07.555000,2025-05-04 20:35:34.396,1,3.0,False,,False,True,92.693,92.69300000000001
21,0 days 01:32:12.720000,VER,1,0 days 00:01:32.472000,22.0,,,,31.083,35.251,26.138,0 days 01:31:11.360000,0 days 01:31:46.611000,0 days 01:32:12.749000,209.0,184.0,277.0,309.0,False,nan,,True,Red Bull Racing,0 days 01:30:40.248000,2025-05-04 20:37:07.089,1,3.0,False,,False,True,92.472,92.47200000000001
