,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:57:36.090000,VER,1,0 days 00:01:27.020000,1.0,1.0,,,,38.394,21.759,,0 days 00:57:14.559000,0 days 00:57:36.213000,170.0,178.0,253.0,258.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:56:08.809000,2025-05-25 13:03:09.195,12,4.0,False,,False,False,87.02,
1,0 days 00:59:22.408000,VER,1,0 days 00:01:46.318000,2.0,1.0,,,34.949,45.145,26.224,0 days 00:58:11.074000,0 days 00:58:56.219000,0 days 00:59:22.443000,83.0,167.0,229.0,254.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:57:36.090000,2025-05-25 13:04:36.476,16,4.0,False,,False,False,106.318,106.318
2,0 days 01:01:11.223000,VER,1,0 days 00:01:48.815000,3.0,1.0,,,32.11,47.43,29.275,0 days 00:59:54.553000,0 days 01:00:41.983000,0 days 01:01:11.258000,159.0,100.0,226.0,257.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:59:22.408000,2025-05-25 13:06:22.794,6,4.0,False,,False,False,108.815,108.815
3,0 days 01:02:51.513000,VER,1,0 days 00:01:40.290000,4.0,1.0,,,31.006,47.889,21.395,0 days 01:01:42.264000,0 days 01:02:30.153000,0 days 01:02:51.548000,136.0,170.0,262.0,253.0,True,HARD,4.0,True,Red Bull Racing,0 days 01:01:11.223000,2025-05-25 13:08:11.609,671,4.0,False,,False,False,100.29,100.29
4,0 days 01:04:12.313000,VER,1,0 days 00:01:20.800000,5.0,1.0,,,21.744,37.485,21.571,0 days 01:03:13.292000,0 days 01:03:50.777000,0 days 01:04:12.348000,177.0,173.0,254.0,262.0,True,HARD,5.0,True,Red Bull Racing,0 days 01:02:51.513000,2025-05-25 13:09:51.899,1,4.0,False,,False,True,80.8,80.8
5,0 days 01:05:32.324000,VER,1,0 days 00:01:20.011000,6.0,1.0,,,21.37,37.325,21.316,0 days 01:04:33.718000,0 days 01:05:11.043000,0 days 01:05:32.359000,182.0,181.0,254.0,265.0,True,HARD,6.0,True,Red Bull Racing,0 days 01:04:12.313000,2025-05-25 13:11:12.699,1,4.0,False,,False,True,80.011,80.01100000000001
6,0 days 01:06:51.292000,VER,1,0 days 00:01:18.968000,7.0,1.0,,,21.25,37.105,20.613,0 days 01:05:53.609000,0 days 01:06:30.714000,0 days 01:06:51.327000,184.0,188.0,255.0,258.0,True,HARD,7.0,True,Red Bull Racing,0 days 01:05:32.324000,2025-05-25 13:12:32.710,1,4.0,False,,False,True,78.968,78.96799999999999
7,0 days 01:08:09.006000,VER,1,0 days 00:01:17.714000,8.0,1.0,,,20.467,36.796,20.451,0 days 01:07:11.794000,0 days 01:07:48.590000,0 days 01:08:09.041000,195.0,191.0,256.0,263.0,True,HARD,8.0,True,Red Bull Racing,0 days 01:06:51.292000,2025-05-25 13:13:51.678,12,4.0,False,,False,True,77.714,77.714
8,0 days 01:09:30.211000,VER,1,0 days 00:01:21.205000,9.0,1.0,,,20.277,39.989,20.939,0 days 01:08:29.318000,0 days 01:09:09.307000,0 days 01:09:30.246000,199.0,179.0,266.0,255.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:08:09.006000,2025-05-25 13:15:09.392,2,4.0,False,,False,True,81.205,81.205
9,0 days 01:10:49.380000,VER,1,0 days 00:01:19.169000,10.0,1.0,,,20.44,38.145,20.584,0 days 01:09:50.686000,0 days 01:10:28.831000,0 days 01:10:49.415000,195.0,184.0,266.0,263.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:09:30.211000,2025-05-25 13:16:30.597,2,4.0,False,,False,True,79.169,79.16900000000001
