,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:58:52.888000,VER,1,0 days 00:01:41.657000,1.0,1.0,,,,40.291,33.295,,0 days 00:58:19.799000,0 days 00:58:53.057000,214.0,169.0,199.0,312.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:57:10.953000,2024-10-20 19:03:48.551,12,2.0,False,,False,False,101.657,
1,0 days 01:00:32.879000,VER,1,0 days 00:01:39.991000,2.0,1.0,,,26.845,39.996,33.15,0 days 00:59:19.787000,0 days 00:59:59.783000,0 days 01:00:32.933000,215.0,174.0,199.0,306.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:58:52.888000,2024-10-20 19:05:30.486,1,2.0,False,,False,True,99.991,99.99100000000001
2,0 days 01:02:35.728000,VER,1,0 days 00:02:02.849000,3.0,1.0,,,26.98,46.144,49.725,0 days 01:00:59.913000,0 days 01:01:46.057000,0 days 01:02:35.782000,213.0,116.0,156.0,183.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:00:32.879000,2024-10-20 19:07:10.477,124,2.0,False,,False,False,122.849,122.84899999999999
3,0 days 01:05:07.267000,VER,1,,4.0,1.0,,,40.222,58.115,53.159,0 days 01:03:16.047000,0 days 01:04:14.195000,0 days 01:05:07.326000,134.0,156.0,173.0,205.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:02:35.728000,2024-10-20 19:09:13.326,4,2.0,False,,False,False,,151.496
4,0 days 01:07:54.813000,VER,1,,5.0,1.0,,,40.279,61.864,65.48,0 days 01:05:47.733000,0 days 01:06:49.456000,0 days 01:07:55,149.0,136.0,203.0,130.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:05:07.267000,2024-10-20 19:11:44.865,41,2.0,False,,False,False,,167.623
5,0 days 01:09:34.592000,VER,1,0 days 00:01:39.779000,6.0,1.0,,,27.069,39.822,32.888,0 days 01:08:21.936000,0 days 01:09:01.758000,0 days 01:09:34.646000,209.0,177.0,201.0,302.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:07:54.813000,2024-10-20 19:14:32.411,1,2.0,False,,False,True,99.779,99.779
6,0 days 01:11:14.323000,VER,1,0 days 00:01:39.731000,7.0,1.0,,,26.838,39.793,33.1,0 days 01:10:01.484000,0 days 01:10:41.277000,0 days 01:11:14.377000,214.0,178.0,200.0,305.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:34.592000,2024-10-20 19:16:12.190,1,2.0,False,,False,True,99.731,99.731
7,0 days 01:12:54.405000,VER,1,0 days 00:01:40.082000,8.0,1.0,,,26.809,39.973,33.3,0 days 01:11:41.186000,0 days 01:12:21.159000,0 days 01:12:54.459000,211.0,179.0,199.0,306.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:11:14.323000,2024-10-20 19:17:51.921,1,2.0,False,,False,True,100.082,100.082
8,0 days 01:14:34.437000,VER,1,0 days 00:01:40.032000,9.0,1.0,,,26.901,39.932,33.199,0 days 01:13:21.360000,0 days 01:14:01.292000,0 days 01:14:34.491000,213.0,176.0,199.0,308.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:12:54.405000,2024-10-20 19:19:32.003,1,2.0,False,,False,True,100.032,100.032
9,0 days 01:16:14.407000,VER,1,0 days 00:01:39.970000,10.0,1.0,,,26.919,39.916,33.135,0 days 01:15:01.410000,0 days 01:15:41.326000,0 days 01:16:14.461000,214.0,177.0,199.0,309.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:14:34.437000,2024-10-20 19:21:12.035,12,2.0,False,,False,True,99.97,99.97
10,0 days 01:17:54.653000,VER,1,0 days 00:01:40.246000,11.0,1.0,,,26.971,40.034,33.241,0 days 01:16:41.432000,0 days 01:17:21.466000,0 days 01:17:54.707000,212.0,177.0,199.0,305.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:16:14.407000,2024-10-20 19:22:52.005,1,2.0,False,,False,True,100.246,100.246
