,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:57:48.995000,SAI,55,0 days 00:01:47.224000,1.0,1.0,,,,41.495,33.841,,0 days 00:57:15.318000,0 days 00:57:49.110000,227.0,135.0,193.0,310.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:56:01.523000,2024-10-27 20:03:34.674,124,2.0,False,,False,False,107.224,
1,0 days 01:00:06.932000,SAI,55,0 days 00:02:17.937000,2.0,1.0,,,61.514,46.266,30.157,0 days 00:58:50.541000,0 days 00:59:36.807000,0 days 01:00:06.964000,100.0,176.0,208.0,194.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:57:48.995000,2024-10-27 20:05:22.146,4,2.0,False,,False,False,137.937,137.937
2,0 days 01:02:20.703000,SAI,55,0 days 00:02:13.771000,3.0,1.0,,,56.743,47.358,29.67,0 days 01:01:03.707000,0 days 01:01:51.065000,0 days 01:02:20.735000,130.0,178.0,200.0,142.0,True,MEDIUM,3.0,True,Ferrari,0 days 01:00:06.932000,2024-10-27 20:07:40.083,4,2.0,False,,False,False,133.771,133.77100000000002
3,0 days 01:04:30.746000,SAI,55,0 days 00:02:10.043000,4.0,1.0,,,52.782,46.662,30.599,0 days 01:03:13.517000,0 days 01:04:00.179000,0 days 01:04:30.778000,122.0,235.0,195.0,122.0,True,MEDIUM,4.0,True,Ferrari,0 days 01:02:20.703000,2024-10-27 20:09:53.854,4,2.0,False,,False,False,130.043,130.04299999999998
4,0 days 01:06:40.671000,SAI,55,0 days 00:02:09.925000,5.0,1.0,,,53.462,46.644,29.819,0 days 01:05:24.240000,0 days 01:06:10.884000,0 days 01:06:40.703000,147.0,217.0,197.0,158.0,True,MEDIUM,5.0,True,Ferrari,0 days 01:04:30.746000,2024-10-27 20:12:03.897,4,2.0,False,,False,False,129.925,129.92499999999998
5,0 days 01:08:44.505000,SAI,55,0 days 00:02:03.834000,6.0,1.0,,,39.596,45.875,38.363,0 days 01:07:20.299000,0 days 01:08:06.174000,0 days 01:08:44.537000,202.0,189.0,249.0,236.0,True,MEDIUM,6.0,True,Ferrari,0 days 01:06:40.671000,2024-10-27 20:14:13.822,41,2.0,False,,False,False,123.834,123.834
6,0 days 01:10:06.335000,SAI,55,0 days 00:01:21.830000,7.0,1.0,,,29.087,32.01,20.733,0 days 01:09:13.624000,0 days 01:09:45.634000,0 days 01:10:06.367000,276.0,281.0,248.0,329.0,True,MEDIUM,7.0,True,Ferrari,0 days 01:08:44.505000,2024-10-27 20:16:17.656,1,2.0,False,,False,True,81.83,81.83
7,0 days 01:11:27.619000,SAI,55,0 days 00:01:21.284000,8.0,1.0,,,28.895,31.701,20.688,0 days 01:10:35.262000,0 days 01:11:06.963000,0 days 01:11:27.651000,290.0,287.0,247.0,328.0,True,MEDIUM,8.0,True,Ferrari,0 days 01:10:06.335000,2024-10-27 20:17:39.486,1,2.0,False,,False,True,81.284,81.284
8,0 days 01:12:50.112000,SAI,55,0 days 00:01:22.493000,9.0,1.0,,,29.146,31.928,21.419,0 days 01:11:56.797000,0 days 01:12:28.725000,0 days 01:12:50.144000,305.0,281.0,248.0,349.0,False,MEDIUM,9.0,True,Ferrari,0 days 01:11:27.619000,2024-10-27 20:19:00.770,1,1.0,False,,False,True,82.493,82.493
9,0 days 01:14:12.550000,SAI,55,0 days 00:01:22.438000,10.0,1.0,,,29.324,32.102,21.012,0 days 01:13:19.468000,0 days 01:13:51.570000,0 days 01:14:12.582000,278.0,280.0,247.0,325.0,False,MEDIUM,10.0,True,Ferrari,0 days 01:12:50.112000,2024-10-27 20:20:23.263,1,1.0,False,,False,True,82.438,82.438
10,0 days 01:15:34.397000,SAI,55,0 days 00:01:21.847000,11.0,1.0,,,28.985,31.92,20.942,0 days 01:14:41.567000,0 days 01:15:13.487000,0 days 01:15:34.429000,287.0,280.0,247.0,324.0,False,MEDIUM,11.0,True,Ferrari,0 days 01:14:12.550000,2024-10-27 20:21:45.701,1,1.0,False,,False,True,81.847,81.84700000000001
11,0 days 01:16:55.912000,SAI,55,0 days 00:01:21.515000,12.0,1.0,,,28.823,31.839,20.853,0 days 01:16:03.252000,0 days 01:16:35.091000,0 days 01:16:55.944000,288.0,281.0,249.0,325.0,False,MEDIUM,12.0,True,Ferrari,0 days 01:15:34.397000,2024-10-27 20:23:07.548,1,1.0,False,,False,True,81.515,81.515
12,0 days 01:18:17.627000,SAI,55,0 days 00:01:21.715000,13.0,1.0,,,28.874,31.883,20.958,0 days 01:17:24.818000,0 days 01:17:56.701000,0 days 01:18:17.659000,296.0,280.0,247.0,326.0,False,MEDIUM,13.0,True,Ferrari,0 days 01:16:55.912000,2024-10-27 20:24:29.063,1,1.0,False,,False,True,81.715,81.715
13,0 days 01:19:39.102000,SAI,55,0 days 00:01:21.475000,14.0,1.0,,,28.768,31.854,20.853,0 days 01:18:46.427000,0 days 01:19:18.281000,0 days 01:19:39.134000,292.0,279.0,247.0,,False,MEDIUM,14.0,True,Ferrari,0 days 01:18:17.627000,2024-10-27 20:25:50.778,1,1.0,False,,False,True,81.475,81.475
14,0 days 01:21:00.618000,SAI,55,0 days 00:01:21.516000,15.0,1.0,,,28.727,31.823,20.966,0 days 01:20:07.861000,0 days 01:20:39.684000,0 days 01:21:00.650000,295.0,280.0,247.0,328.0,False,MEDIUM,15.0,True,Ferrari,0 days 01:19:39.102000,2024-10-27 20:27:12.253,1,1.0,False,,False,True,81.516,81.51599999999999
15,0 days 01:22:22.208000,SAI,55,0 days 00:01:21.590000,16.0,1.0,,,28.701,31.876,21.013,0 days 01:21:29.351000,0 days 01:22:01.227000,0 days 01:22:22.240000,291.0,281.0,247.0,,False,MEDIUM,16.0,True,Ferrari,0 days 01:21:00.618000,2024-10-27 20:28:33.769,1,1.0,False,,False,True,81.59,81.59
16,0 days 01:23:44.220000,SAI,55,0 days 00:01:22.012000,17.0,1.0,,,28.9,31.961,21.151,0 days 01:22:51.140000,0 days 01:23:23.101000,0 days 01:23:44.252000,,280.0,247.0,,False,MEDIUM,17.0,True,Ferrari,0 days 01:22:22.208000,2024-10-27 20:29:55.359,1,1.0,False,,False,True,82.012,82.012
17,0 days 01:25:05.985000,SAI,55,0 days 00:01:21.765000,18.0,1.0,,,28.807,31.934,21.024,0 days 01:24:13.059000,0 days 01:24:44.993000,0 days 01:25:06.017000,293.0,281.0,247.0,,False,MEDIUM,18.0,True,Ferrari,0 days 01:23:44.220000,2024-10-27 20:31:17.371,1,1.0,False,,False,True,81.765,81.765
18,0 days 01:26:27.700000,SAI,55,0 days 00:01:21.715000,19.0,1.0,,,28.811,31.924,20.98,0 days 01:25:34.828000,0 days 01:26:06.752000,0 days 01:26:27.732000,290.0,281.0,247.0,326.0,False,MEDIUM,19.0,True,Ferrari,0 days 01:25:05.985000,2024-10-27 20:32:39.136,1,1.0,False,,False,True,81.715,81.715
19,0 days 01:27:49.489000,SAI,55,0 days 00:01:21.789000,20.0,1.0,,,28.957,31.824,21.008,0 days 01:26:56.689000,0 days 01:27:28.513000,0 days 01:27:49.521000,291.0,281.0,247.0,325.0,False,MEDIUM,20.0,True,Ferrari,0 days 01:26:27.700000,2024-10-27 20:34:00.851,1,1.0,False,,False,True,81.789,81.789
20,0 days 01:29:10.902000,SAI,55,0 days 00:01:21.413000,21.0,1.0,,,28.682,31.785,20.946,0 days 01:28:18.203000,0 days 01:28:49.988000,0 days 01:29:10.934000,292.0,281.0,248.0,326.0,False,MEDIUM,21.0,True,Ferrari,0 days 01:27:49.489000,2024-10-27 20:35:22.640,1,1.0,False,,False,True,81.413,81.413
21,0 days 01:30:32.584000,SAI,55,0 days 00:01:21.682000,22.0,1.0,,,28.654,31.924,21.104,0 days 01:29:39.588000,0 days 01:30:11.512000,0 days 01:30:32.616000,293.0,281.0,247.0,328.0,False,MEDIUM,22.0,True,Ferrari,0 days 01:29:10.902000,2024-10-27 20:36:44.053,1,1.0,False,,False,True,81.682,81.682
22,0 days 01:31:54.100000,SAI,55,0 days 00:01:21.516000,23.0,1.0,,,28.655,31.857,21.004,0 days 01:31:01.271000,0 days 01:31:33.128000,0 days 01:31:54.132000,294.0,282.0,247.0,,False,MEDIUM,23.0,True,Ferrari,0 days 01:30:32.584000,2024-10-27 20:38:05.735,1,1.0,False,,False,True,81.516,81.516
23,0 days 01:33:15.528000,SAI,55,0 days 00:01:21.428000,24.0,1.0,,,28.561,31.905,20.962,0 days 01:32:22.693000,0 days 01:32:54.598000,0 days 01:33:15.560000,,281.0,248.0,329.0,False,MEDIUM,24.0,True,Ferrari,0 days 01:31:54.100000,2024-10-27 20:39:27.251,1,1.0,False,,False,True,81.428,81.428
24,0 days 01:34:37.187000,SAI,55,0 days 00:01:21.659000,25.0,1.0,,,28.859,31.886,20.914,0 days 01:33:44.419000,0 days 01:34:16.305000,0 days 01:34:37.219000,293.0,281.0,248.0,,False,MEDIUM,25.0,True,Ferrari,0 days 01:33:15.528000,2024-10-27 20:40:48.679,1,1.0,False,,False,True,81.659,81.659
