,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
55,0 days 00:55:38.877000,28.7,80.0,1010.6,False,33.6,0,0.4
57,0 days 00:57:38.909000,28.9,80.0,1010.7,False,34.2,0,0.6
58,0 days 00:58:38.920000,28.9,81.0,1010.6,False,33.3,262,0.5
60,0 days 01:00:38.944000,29.1,80.0,1010.7,False,34.5,233,0.8
61,0 days 01:01:38.939000,29.1,80.0,1010.6,False,34.5,178,0.8
63,0 days 01:03:38.973000,29.0,78.0,1010.7,False,33.8,165,1.0
65,0 days 01:05:38.993000,29.1,78.0,1010.7,False,33.8,160,1.4
66,0 days 01:06:38.999000,29.0,78.0,1010.7,False,33.8,165,1.9
68,0 days 01:08:39.002000,29.1,77.0,1010.7,False,34.1,167,1.4
70,0 days 01:10:39.021000,29.1,76.0,1010.7,False,34.0,156,1.8
71,0 days 01:11:39.025000,29.1,75.0,1010.7,False,34.2,151,1.7
73,0 days 01:13:39.062000,29.0,74.0,1010.8,False,34.3,155,1.9
74,0 days 01:14:39.075000,29.0,73.0,1010.8,False,34.0,162,1.9
76,0 days 01:16:39.096000,29.0,73.0,1010.8,False,34.0,168,1.6
78,0 days 01:18:39.084000,29.1,72.0,1010.9,False,34.3,146,1.6
79,0 days 01:19:39.099000,29.1,72.0,1010.8,False,34.0,162,2.1
81,0 days 01:21:39.127000,29.2,72.0,1010.8,False,33.8,157,2.1
82,0 days 01:22:39.161000,29.2,72.0,1010.7,False,33.8,148,1.8
84,0 days 01:24:39.179000,29.3,72.0,1010.8,False,34.1,161,1.1
86,0 days 01:26:39.176000,29.2,73.0,1010.9,False,33.8,147,0.9
87,0 days 01:27:39.178000,29.2,73.0,1010.9,False,33.8,158,1.0
89,0 days 01:29:39.200000,29.2,71.0,1010.9,False,34.0,162,1.3
91,0 days 01:31:39.179000,29.2,72.0,1010.9,False,33.8,163,1.1
92,0 days 01:32:39.200000,29.2,72.0,1010.9,False,33.7,168,1.3
94,0 days 01:34:39.181000,29.3,72.0,1010.9,False,33.8,160,1.4
95,0 days 01:35:39.210000,29.3,71.0,1010.9,False,33.7,149,1.4
97,0 days 01:37:39.232000,29.2,72.0,1011.0,False,33.7,152,1.4
99,0 days 01:39:39.219000,29.2,72.0,1011.0,False,33.7,160,1.1
101,0 days 01:41:39.249000,29.2,73.0,1011.0,False,33.9,163,1.1
102,0 days 01:42:39.250000,29.2,72.0,1011.1,False,33.9,161,1.3
104,0 days 01:44:39.260000,29.2,72.0,1011.1,False,33.8,150,1.1
105,0 days 01:45:39.285000,29.2,72.0,1011.1,False,33.8,162,1.3
107,0 days 01:47:39.288000,29.2,71.0,1011.0,False,33.9,149,1.3
109,0 days 01:49:39.308000,29.2,71.0,1011.1,False,33.7,141,1.2
110,0 days 01:50:39.310000,29.1,72.0,1011.1,False,34.0,168,1.3
112,0 days 01:52:39.323000,29.1,71.0,1011.1,False,34.0,143,1.0
113,0 days 01:53:39.326000,29.2,71.0,1011.1,False,33.9,145,1.4
115,0 days 01:55:39.360000,29.2,71.0,1011.1,False,34.0,130,1.0
